class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 May 14 2008 	 great location 	 love location right magnificient mile , roomswere small two people bathroom , room motor go time , not know loud make hard sleep . bed comfortable either . tour group elevator take long time get , spend lot time wait elevator rentavation not suppose renovate , date way back one bellman tell we . one group break zipper suitcase one bellman go K - Marts get new one , service excellent . presently go construction wasalso problem we . 's nice hotel totherwise would probably would not stay noisy room slow elevator . 
 may 14 2008 	 unresponsive staff 	 book two - night stay March . refer revenue manager discuss bill discrepancy , repeat call return . 
 May 11 2008 	 bad place ever stay 	 come back vacation son . room horribly small , bathtub , room tilt beautiful view brick wall next build sunshine option . amenity list coffemaker room ( ) , Sony CD player ( ) , even ice bucket nonexistent evidently & quot ; not receive yet & quot ; accord hotel . manager bellman give we direction restaurant totally incorrect wrong direction . food less fair ; item kid menu always make since even hamburger bun available . cable tv channel consist one cartoon channel kid fine child age 4 . even take luggage leave , billing leave we door last day housekeeper decide come 9:15 a.m. despite privacy sign would not leave . bad place ever stay . 
 May 10 2008 	 Great Location - elevator issue 	 Hotel Allerton great location ; within footstep Magnificent Mile . look heart city would recommend hotel . room tiny not plan spend much time . hotel old elevator small believe 3 elevator break . mean wait 5 minute elevator arrive cram guest . almost become comical . ask elevator book ! breakfast pricey- $ 45 frittatas coffee bad . price typical hotel category . plenty place eat around hotel economical . feel hotel 's staff go 's way make we comfortable treat we like value guest . would go way stay . p.s . bed comfortable . 
 May 6 2008 	 nice stay 	 good stay .. room small , imaculate . find service polite location excellent ... lot cafe bar nearby within walk distance main shopping . close cbd fantastic Chicago architecture . minor irritation wifi work well reception area . 
 May 6 2008 	 like ' Allergy Hotel ' 	 wife read lot review choose Allerton admit disappointed . room size small bedroom breakfast terrible ( package egg ) . hotel apparently construction makeshift check - in area second floor . restaurant look mediocre ( , would eat nice restaurant Chicago ) bar area . 7 people max could fit elevator one time one break whole time . 's word caution : flush toilet , make sure lid close industrial toilet spray place . you be probably wonder title , & quot ; like Allergy Hotel & quot ; . way door one time , look ceiling notice filter AC . vent could see dirty filter decide take picture ( uploaded gallery section ) . show picture person front desk look , think second say would call maintenance it . the shower head nice view Magnificent Mile , worth $ 291 pay one night ( hotel , taxis , parking , breakfast dsl access ) . 
 May 1 2008 	 Allerton OK 	 Allerton ok hotel . company pay , , would book somewhere else . pro : great location , central great shopping , restaurant , etc . ballroom nice great view city . con : room tiny , mean tiny . room small room ever stay . small bedroom home . hall narrow elevator tiny . also take 2 - 3 minute wait one . entry hotel almost basement feel . take elevator 2nd floor check . different set elevator room . mean , leave room , take 2 set elevator get street . bellman friendly staff ok good . food suck too . I would stay Allerton . since free , can not complain much , pay , would upset . 
 Apr 25 2008 	 great location 	 Allerton Hotel Magnificent Mile great place stay . locate Michigan & amp ; Huron close store like e.g . Neman Marcus , Macys ' , Polo Palph Loren , Apple store , cheese cake factory Blumindale . attraction e.g . Navy Pier , John Hancock Center Hershey kid . many site see south hotel not mind wake . hotel , breakfast pricey service good . find place lot cheap eat . disappointed cleaning staff lack detail e.g . low shower gel , ask new refill , shower appear clean . night sometimes day , constantly approach buy peddler ask money get nasty one ignore . 
 Apr 23 2008 	 elevator thing needs update ! 	 appear throw old bed , wallcovering desk . continue management ! official hotel website indicate hotel construction . room update , include iron , coffee maker , mini - bar bucket acquire ice . address several concern , particularly around request ice , 3 time , management interested get phone . try reach management via phone take 30 minute 4 attempt . fitness room currently operational , although , ask staff member tell otherwise . try dine restaurant , offer dinner 9 pm . inform 8:50 , take order , report two type beer three type entree . I end go elsewhere eat . prepare come hotel plenty patience expectation low . 
 Apr 19 2008 	 love place ! 	 elevator slow - yes . construction bit intrusive - yes . however , quality staff ( helpful , friendly , available ) comfortable room far outweigh downside ! hotel close everything be wonderful . want know good breakfast - ask Freddy doorman ! need book car , ask Bouchaib concierge ! stay elderly father 5 day sightsee Chicago hand heart , everyone could not helpful ! want unwind crazy day shopping , cheese platter bar - fabulous ! thank everyone .. absolutely stay ! 
 Apr 13 2008 	 Great Location 	 Bad Elevators . fridge , Microwave . Friendly Staff inside . close everything . coffee room . well keep . 
 Apr 8 2008 	 wrost hotel ever ! 	 five elevator shaft , seem two work give time . wait least 5 minute every elevator ride . small - seven adult max . 5 minute wait , often pass wait next one be full . if 22nd floor like , expect spend least 10 minute get ground floor . take stair actually fast ! treadmill bike machine & quot ; fitness center , & quot ; size standard room ( small ) , neither MACHINE work . bike machine not even turn . bad treadmill ! start work , belt stick stop abruptly . almost hurt trip treadmill ! & quot ; free wireless , & quot ; available lobby area , not work . spend 30 minute phone outside - vendor tech guy India , could not figure not work . my room smell like somebody smoke , $ 9.95 / day DSL not even work . room change , dsl finally able connect slow dial - up . the bad , absolutely bad , hotel , ever ! avoid one , folk . $ 55 / night Motel 6 would much , much well one . 
 Mar 27 2008 	 Nice centrally locate choice Mag Mile 	 spending night jazz concert girlfriend decide buy hotwire . hotel remodeling , aspect get around awkward . elevator lobby level small , 1920s building ! actually give 2 - room suite tastefully decorate , great view . large living area nice furniture . flat - panel tv bedroom , large bathroom . course parking supremely expensive affiliated garage , get room $ 100 . well worth , great historic building . get price $ 100 - 125 range , think 's worth . 
