robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Aug 21 2009 	 Great Location Great Casino Great Value ! 	 stay Imperial Palace Feb. 2005 love , course go back past week first time 4 year , decide stay Imperial Palace . read less stellar review , get bit worried , though . ' m glad go instinct lame review IP . place great ! 's locate center strip , staff great , room clean ( CHEAP ! ) , casino blast ! dealertainer much fun ... play blackjack Tony Orlando , will not regret ( deal shuttle show , not tip , would not walk money start ) ! room clean . course be date , care ? want clean room , clean bed sheet , clean shower . available . believe garbage people say Imperial Palace . sure , slight wait elevator peak hour , wait 3 minute elevator time . seem work , ' m sure people still many order . opinion , be young , want clean / cheap room , Imperial Palace place . stay go back Vegas ... hopefully will much soon rather later . 
 Aug 21 2009 	 Hotel badly need renovation . 	 not quite know describe place . 's trailer park Las Vegas Strip . first , positive place LOCATION ! could not pick well location period . stay twice time different misery . the entire hotel casino general extremely date dirty . probably nice place back ' 70 ' 80 ... honestly look feel absolutely maintenance since ! ! wait LINES ( long line - literally ) access main elevator . wait twenty thirty minute . entire place congested period . check instantly put bad mood . bar restaurant staff friendly . security , card dealer staff member equally unhelpful act hate job . IP 's restaurant try simply bad , nasty period . sincerely hope day soon well chain purchase place floor ceiling renovation . suck good location LV Strip occupy Hellhole . People say , & quot ; be good tight budget & quot ; & quot ; be good 21 + & quot ; hotel . completely disagree . stay cheap Riviera Treasure Island . far good & quot ; Sin City & quot ; adult establishment , 's judgment call . get anything want anywhere Strip long feel like walk make phone call . I ' m give third chance . 
 Aug 20 2009 	 great location bad other say 	 worried staying read review great stay overall . good location , right across street Caesers close new hotel . quick check 1 pm Sunday give we room ready . big wait elevator work . room 10th floor clean comfortable . trouble tv first night send someone within 15 minute fix . front desk staff friendly helpful concierge . pool area nearly big enough much shade not even use . breakfast buffet , lot choice , service okay . highly recommend rent car day go Red Rock Canyon Hoover Dam , nice get strip . 
 Aug 19 2009 	 Fun budget Hotel 	 Fun friendly , look class go elsewhere . this Hotel great budget even though allot old other Strip . central location perfect get around , staff fun friendly , food good . stuffy big hotel relaxed atmosphere . room adequate clean feel little old . beware room situate front building ask move due loud music come tent would go day late night . move back hotel lovely quiet , also lift annoying seem stop every floor . price location ' ask cheap hotel . also surround Hotels equally budget , within short distance Caesars large hotel . check Oshays $ 1 beer leprechaun . 
 Aug 19 2009 	 worth $ $ $ $ $ $ $ 	 second time go vegas first time experience way 's mean see 21 ! well , go boyfriend , brother good friend book Imperial Palace see virtual tour website think look nice ..... well trip finally come stoke however , minute walk know something not right ... check - in not long however person help we could new job not know anything ! offer chance get upgrade room however decline would extra $ 80.00 wanted save much money .... well give key tell room well come find wayyy side casino overlook parking structure ... walk immediately shocked see tv small 19 ' television tv Nintendo 64 controller hook ( weird ) . carpet wear leave black stain sock learn early keep shoe go sleep ! bed comfortable room service great first night go back room hear bunch people laugh yell turn one punch window leave trail blood floor ! whoever hope go hospital ! really shock boyfriend 's something really expect . well next morning go restroom floor totally wet ... toilet leak ( disgusting ) call front desk say would fix one ever come room ! besides hotel room complete diaster fun trip recommend stay somewhere else worth money ! trust 
 Aug 18 2009 	 great young people try save $ $ $ 	 boyfriend stay Imperial Palace Aug 14 - 17 . location could well . literally middle strip . easy walk every big casino . arrive hotel 6:45 pm wait 5 - 10 minute check - in . quick . room simple , clean . wait twice elevator , find quick walk stair ride elevator avoid wait . eat two restaurant late night hotel . ok late night food . casino floor always full good crowd , never trouble find seat place bet . would definitely stay . inexpensive dissappoint . 
 Aug 18 2009 	 bad 	 skeptical reserved hotel Vegas . sooo worry room thing everyone say . true get pay want new hotel . Caesars Palace Bellagio be not bad . somehow end back hotel , good luck find front , good distance depend time come one guide . , not bad . eat restuarant inside hotel , simple go entire time . casino PACKED every night . unbearable . I m sure low table limit & quot ; dealtainers & quot ; , great . definitely keep smile laugh . check - in process bit long second line get long , 6 desk clerk come back make check speed . check Friday night around 10 pm wait 35 minute . elevator problem , consider crowded hotel never feel unsafe even crowded . came quickly call . room great . room 1893 ( 2 queen ) clean tidy . housekeeper come excellent job day . one complaint come room , television . like 15 inch tube television 12 channel , -- -- -- .. , go Vegas watch television . overall hotel not bad . would definitely recommend definitely would stay . ever go back need inexpensive , decent place stay , . 
 Aug 17 2009 	 bad make 	 1st stay Vegas celebrate silver wedding anniversary want spend money show tour imperial palace right choose . read review expect long wait check , happen fly UK one couple front we . check tell we room number ask we make sure happy stay 10 night , fine posh clean tidy . maids good keep room clean daily ask extra pillow get . strip view inform could noisey 9th floor overlook monerail mountain ok . eat couple time tea room average problem , burger palace yes burger little bit dry give plenty sauce , buffet brunch fine plenty choice . 10 day stay great comfitable hotel yes ceaser belligio want service expect pay want clean room lie head get explore great location . 
 Aug 17 2009 	 Loved ! ! ! ! 	 honestly not get bad review IP ! yeah 's dive ... fun dive ! ' ve stay bellagio wynn , thehotel bunch much fancy place time blow budget ufc ticket decide go cheap accom ... glad ! room true motel wuality ... get balcony ! pretty cool . the pool music super loud everyone seem great time ... sure be plain smallish pool alot fun ! think fun sum IP . typical kitschy , trashy vegas fun love . else get get deal blackjack dolly parton hug michael jackson ? not brave enough eat ( one exercise caution ) central strip location good price really beat ... long be around ' m going stay sure ! would rather spend extra money across road forum shop ! slight downside place reeeeeeke year serious smoking dedication ... hallway , non - smoking room name it . if can not handle look elsewhere . like everyone else say elevator annoy 's sneaky one round back go little fast ... pretty frustratingwaite 10 min lift . the bar casino pretty bad ... head elsewhere eat drink ! actually find everyone check guy ( stop 10 min talk us australia ! ) cleaner sooo polite ... much fancy hotel ... everyone really lovely big smile we ! even fellow guest great ... especially super drunk one hallway : ) look fun vegas cheap price look ip ! 
 Aug 17 2009 	 not eat ! ! ! ! 	 look good value strip , Imperial Palace great ! inexpensive great central location . room peel wallpaper , constant running faucet . definately get pay room . elevator definately well plan . average 15 - 20 minute get 10th floor lobby . stay cheap , suppose drawback expect . EAT TEAROOM ! ! ! ! ! ! ! ! ! ! ! ! go bachlorette party , bachlorette spend weekend drab room think may parasite infection food breakfast Tearoom . aside leave breakfast race heartbeat shake spent weekend sick stomach hotel . 's 4 day later , see doctor morning . EAT ! hotel general great value budget . location perfect , look , try extra buck make vacation worth Caesars Palace across street . .... stay ...... EAT food ! ! ! ! ! ! ....... please request extra roll toliet paper . 
 Aug 16 2009 	 Quiet Room View 	 return wedding trip LV ( ) . stay Imperial . review accurate helpful . location wonderful . everything twenty - minute walk ( 45 - minute cab ride ) . concierge find we good ticket show . elevator slow non - smoking room ( actually smokefree ) third floor walk leave come back slowness big deal . bathroom clean although drain slow . check linen hair clean . plenty towel room face parking garage perfect sleeping night . main concern : lobby smoky . many new hotel MUCH well ventilation system definitely meet neeeds . 
 Aug 16 2009 	 never .... 	 get ready go bed around 1:30 hear & quot ; girgle sound & quot ; bathroom . go bathroom 's see clogged stuff come drain bathtub start fill water kind grime , dirt gross colored brown black ! ! ! would stop ( tap water ) , next thing bathtub fillng almost half tub ! ! call front desk send maintenance . could fix problem obviously big problem need get tool . 2:15 . talk maintenance guy ( wonderful professional work hard ) decide well move . call front desk ask move , explain situation . guess response ? ? ? & quot ; room ! ! & quot ; tell we ask maintenance guy long go take etc .. talk maintenance guy immediate response : & quot ; oh yes room you . ! ! ! & quot ; thank much Mr . Maintenance , would able convince arrogant bunch work front desk help . Front desk people say good could $ 15 credit food ! thank say need use shower could even use bathroom . concerned staying room filth come drain disgusting experience ( apparently accord maintenance guy main pipe connect room clog ) . talk front desk say & quot ; move people , job could take 30 minute 24 hour three day . & quot ; fact maintenance guy advocate behalf speak kind bad service dismissive attitude provide front desk people . sure enough room we . wait three hour finally get room , since nobody come till give we key another room . go get key instruct we wait room . time get new room 6am . oh , get $ 15 food credit . question professionalism front desk people management . fact room book internet therefore cheap rate , render kind unequal service deserve need concern meet particularly awful mishap ? ? ? applaud however maintenance guy work dilligently problem resolve . two thumb management . I stay another hotel . way home airport conversation shuttle driver tell hear terrible thing hotel . go . 
