fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Apr 9 2008 	 Location Comfort Elegance ! 	 husband & amp ; arrive April 2 , 2008 4 night celebrate 21st anniversary . book standard room upgrade studio 7th floor upon arrival . room LARGE comfortable . walk - in closet vanity shelf mirror addition large bathroom awesome bathtub , bidet , large towel , toiletry . 2 comfy chair othman use many time come break put foot . everyone speak staff kind accomodating . free limo financial district M - F 7 a.m. 9:30 a.m. Breakfast ( free ) large selection coffee & amp ; tea croissant , biscotti , apple , muffin - perfect quick bite hit street . eat restaurant . location awesome ! able walk Times Square , Broadway , Central Park , Rockefeller Plaza , 5th Avenue Shopping . subway stop 1 block away use go Battery Park . take Airtrain Subway JFK get e train 3 block north Michelangelo ( much cheap taxi convenient ) . pay average $ 320 per night- check different booking website get good rate . sensitive noise , ask room street side ; room 7th Avenue hear honking , siren , people night ... not mind since part ambiance NYC . would definitely stay . 
 Apr 5 2008 	 good choice immediate area especially price 	 attend conference Midtown could bear think Hilton Sheraton mega - hotel , opt property . carefully research room rate , type , amenity choose junior suite . pleasantly surprise upgrade one - bedroom suite check in . the corner room overlook 50th Street , make little difference . typical New York noise hour annoying . entry room lovely marble foyer , brightly light , lead living room . look good couch uncomfortable minimal light . bedroom good size , bathroom . impressed ' fine luxury linen ' bed comfortable . feel room could little clean - icky smudge front tv hair bathroom . worried thin blanket layer , a / c never cool room overly warm . nice soak tub nice amenity . imagine surprise shortly check - in housekeeper appear Bulgari amenity small box Godiva chocolate ! order room service supposedly prepare hot site restaurant Insieme - salad , risotto , berry platter . salad risotto unimpressive berry delicious . bit shocked total bill , New York , be expect . would prefer eat restaurant opening late evening . the next morning go lounge complimentary coffee croissant spread . decaf coffee weak lukewarm , cappuccino excellent . go back Insieme breakfast , delicious good value quality food present . beautiful space . all feel get expect pay . nice way expensive hotel block away , right next need 7th Ave . would stay ? well , plan return New York time next decade , would probably try another property . small size , beautiful public area , attentive staff , mention awesome location , good enough reason give hotel try . 
 Mar 29 2008 	 completely underrated ! 	 good hotel stay New York ' ve stay many . huge ! be far beyond 4 star sink tub , vanity area , living room area room set way request upon arrival . coffee / latte bar morning nice touch . decor wonderful . say be worthy 5 star . 
 Mar 24 2008 	 excellent comfortable midtown hotel 	 travel New York work fairly often , one good hotel ' ve stay NYC . 's 51st 7th Avenue -- walk distance Times Square , far enough away not feel like part extremely touristy area . be also within walking distance Central Park , Penn Station , many thing . the hotel extremely nice . calm well - appoint lobby . staff courteous helpful . check experience go liike lighten -- wait walk . room comfortable . trendy / boutique hotel , rather comfortable , traditional style hotel . frequently stay Palace , would rate hotel comparable one , except gym well equipped . ( Michelangelo 's gym fine , cardio machine free weight ) .hotel rate NYC insane lately , get good deal hotel , would snap . 
 Mar 12 2008 	 great room great location 	 find great rate internet call hotel directly honor . checked upgrade JR . suite , totally unexpected . room large , comfy , clean quiet . lobby elegant live music evening . free coffee , cappucino croissant . location 51 7th terrific . fly ointment lousy , overpriced , slow serve breakfast hotel restaurant -- avoid . general great place spend stay NYC 
 Mar 4 2008 	 good place 	 ' m never quite sure try new hotel NYC area , must say , pleasant surprise . nice staff . great location . roomy room clean . not always get New York matter pay , case , get ... not break bank . would definitely return . 
 Feb 24 2008 	 do not get much well come luxury value money 	 agree good thing already write hotel . room comfortable , well maintain large bath tub ny ( big plus bath lover like ) . location spot - slap bang theatre Broadway shop Fifth Avenue . good thing overprice like many five star hotel NY . minus point wireless internet due thick carpet , get electric shock whenever touch metal , small thing comparison five star hotel stay in . overall excellent value money reason sure return . 
 Feb 21 2008 	 recommend hotel friend visit NYC 	 great two room suite , luxurious decor , cd player room , tv bathroom ( bidet course ) , great service , absolutely well complimentary breakfast pastry espresso bar ' ve see . gorgeous lobby , great location ( could watch flea marketing folk 7th avenue window , see southern end central park , etc ) .We will back sure ! 
 Feb 15 2008 	 new home New York 	 spend weekend New York City , see little Mermaid . first time stay Michaelangelo friend recommend . absolute gem . one problem experience hotel around Theater District seem get bit tired run - down . case . room , common area , hallway excellent , exquisite shape . staff extremely helpful professional entire weekend . complaint make hotel appealing - location . LITERALLY right middle action , be look peaceful , out - of - the - way may place . hand , would not let reason keep away ! be well worth reasonable price ( especially factor large size room fantastic tub bathroom ! ) . 
 Feb 14 2008 	 Best Show ! 	 husband stay Michelangelo 4 night . come NYC Westminster Dog Show . hotel mile Madison Square Garden , short cab ride average $ 7 one way . bellman hail cab front hotel ... easy . not eat hotel try Ruth 's Chris step street good . the hotel clean , quiet , comfortable . location wonderful . cold walk February we , definitely come back summer sightseeing foot . we not partake morning coffee everyone seem complain . honestly not understand since 's Starbucks virtually every foot walk block . every hotel employee communicate professional helpful . think place we visit NYC ! 
 Feb 13 2008 	 great place stay 	 stay Michelangelo long weekend . excellent choice . near theatre , restaurant , Rockefeller Center , shopping . upgrade corner room large include make - up counter walk closet . bath towel size beach towel . magnifying mirror could pull . curtain black light outside . problem street noise . staff friendly helpful . one day ask different pillow , another day ask hair dryer . time item bring room 10 minute . doorman particularly nice , always talk we go . one day rain , ask doorman place buy unbrella . lend we Michelangelo unbrella return next day . interesting place eat Ellen 's Starlight Diner 51st Broadway . waiter waitress aspire Broadway cast member sing rock roll show tune eat . fun place one lunch . 
 Feb 6 2008 	 Super Hotel - Excellent location 	 & quot ; long Weekend & quot ; break New York - please choose Michelangelo .... upgrade room excellent , plenty space ( include bar ! ! ) staff could helpful depite centre everything - find quiet . I note previous writer experience Computer/ Camera shop opposite corner ! well truly rip charlatan - overcharge we $ 500 ! do not know mange keep get away ! ! Love Michelangelo do not buy anything neighbour ....... 
 Feb 5 2008 	 lovely civilised 	 four we ( two couple ) stay three night . get upgrade , nice room , clean . helpful staff . breakfast really coffee venture . would definitely stay again . but dont ( hotel ) enter camera / computer store oposite corner 51st 7th . call 51st Computers Electronics . do not believe , Google address ( website ) read customer review one party wish completely cynically rip off . jj 
 Feb 5 2008 	 Loved ! 	 return NYC stayed Michelangelo . love ! wonderful location . cozy , staff helpful resturant next door convenient . please note food excellent service not receive Hotel . 
 Feb 4 2008 	 elegant calm hotel 	 elegant hotel provide calm oasis block times Square . room spacious , comfortable well - appoint . hotel offer complimentary croissant , coffee espresso morning , serve lobby . clientele seem mix Americans foreign visitor , tend toward couple rather family ; see family teenage child . like hotel well stay 
 Jan 30 2008 	 Superb hotel 	 top quality hotel , worth every penny . large deluxe room , comfortable bed , excellent power - shower & amp ; lot nice little touch , i.e . fold - down service night , couple chocolate & amp ; next day 's weather forecast leave bedside cabinet . free pastry / coffee set morning , although orange juice extra . concierge James Jolis know everything will need & amp ; organise reservation drop hat . all , great place stay . 
