perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Oct 16 2008 	 Love Sparkling Gem 	 need bolt hole attend sick relative treat Northwestern Univ . hospital . hotel offer special rate situation ... althought not need special rate ... already special.the staff could teach course good public relation ... helpful , compassionate patient . modern update lobby room ... sparkle clean room bath . comfy cloud - like bed , COLD A / C , thoughtful recliner face large flat screen tv give proof idea people really think care client 's comfort . the cozy rooftop bar ice cake . really show group motivate thoughtful hotel professional . small gem big city ! 
 Oct 10 2008 	 great hotel 	 staff extremely helpful friendly . room great clean . would definately recommend hotel anyone look wonderful experience . one block mile . beautiful bar great view . go . 
 Oct 10 2008 	 love place ! 	 get outstanding rate signing hotel ' website newsletter . Affinia great location Michigan Avenue near Water Tower . beware however : park expensive Gold Coast .... $ 48 / night . right start , Victor greet we make we feel welcome . check - in easy room gorgeous . however , handicap acessible room want tub , one call front desk another room . room renovate beautiful , comfortable well appoint . the rooftop bar must - do . outside patio heater candle , high table big group little grouping chair sofa get comfy enjoy view . not sit inside bar area . Pedro Quentin excellent bellman , Christopher ( concierge ) helpful . as leave , shake Victor 's hand ( be always ! ) told ' ve find new Chicago hotel ! 
 Oct 9 2008 	 Best Bang Buck CHITOWN 	 OUTSTANDING property ! ! ! would definitely stay againi greet name every time enter Affinia . staff extremely attentive pay attention every detail . concierge even help retrieve cell phone leave cab .... 1st classroom : well appoint nice city view . luxury shower amenity . 35 & quot ; Flat Panel tv .... sweetrooftop Bar : classy Cool ! exceptional service viewsfood : although hotel bar & amp ; restaurant excellent , must try Geno 's East .... be right next door ..... good Chicago pizza hand ... 
 Oct 3 2008 	 difficult well 	 book via " lastminute.com " would obtain far well price book direct hotel . arrive receive free upgrade great . Affinia say room refurbish mean . absolutely great wow factor . list room except say every possible need cater . expense spare come décor presentation . staff always friendly helpful . location great main road 100 yard ' go . good local breakfast evening pub food could find Elephant & amp ; Castle one block away . another place must try breakfast famous West Egg Café block away . another suggestion evening meal ( particularly rain ) Original Gino ' next door hotel go try Cheesecake Water Tower , great food . 
 Sep 30 2008 	 Great Location Great Price ! ! 	 hotel def . good place stay Chicago . conveniently locate Mag Mile , subway , hop on / off tour , many location . staff wonderful room exceptional . unfortunately not great view . hotel face building , regardless room clean comfortable . gym top line machine w/ tv ipod connection . rooftop bar great place lounge around not feel like leave hotel drink . great view city . staff good , especially bell boy . remember name first meeting call we name week ! ! previously stay Affinia NY impressed ammenitie staff know would pleasant stay Chicago . however , Affinia Chicago exceed even expectation ! ! 
 Sep 30 2008 	 Affinia fantastic ! 	 hotel exceed expectation . we room 21st floor couple travel room directly us 20th floor . way afford we identical view ... suite sizable , clean well outfit . the location hotel outstanding , situated 1st block Michigan Ave / Magnificient Mile . as write another review , concierge , Christopher Rodriguez helpful . approachable & amp ; pleasant young man . we would definitely stay ! 
 Sep 30 2008 	 glad choose Affinia 	 2 different room stay . one double , 2 double bed . room smallish , really cool . bed step desk / fridge area . wonderful bedding / pillow / toiletry . large window nice view . second room double king room huge ( 750 sf ) 2 story window . plenty room entertain . staff extremely courteous friendly , everyone front desk , conceierge , doorman clean maintenance staff . also lovely outdoor patio bar 29th floor , manage see lake . can not imagine even consider stay elsewhere next time Chicago . 
 Sep 25 2008 	 Windy City December 	 first time Chicago partner . go December great time . cold temperature , snow windy like condition could get Chicago . stay Affinia Chicago time , renovate hotel top bottom . give renovate room awesome view city . room two room boutique style atmosphere . love everything room . bed furniture . one male front desk clerk extremely helpful polite us recommendation lunch / dinner . eat meal hotel . room awesome view typical Downtown Chicago street . far attraction go , shortage . Chicago City pass good deal . also Gray Line tour city , find City Chicago run 's Trolley tour city free . 
 Sep 20 2008 	 rate 4 - 5 star hotel . pure quality ! 	 moment arrive hotel , pure high quality service .... doorman , front desk check - in , concerierge . Christopher Miele even able get we OPRAH ticket ! make stay one good hotel stay ever . victor doorman nice helpful .... marisol another concierge . really 31/2 star hotel , rather 4 - 4.5 star hotel . highly recommend great service . awesome hotel . stay Chicago . 
 Sep 14 2008 	 good holiday ever 	 fifteen we travel Ireland great pleasure stay Affinia ! good hotel Chicago without doubt ! irish people know friendliness hospitality major competion ! fabulous bunch people , mention name , victor , daniel , erin , christopher , joel , make stay unbelievable ! thank particular victor put midnight antic , find key etc , Affinia open hotel Ireland , need great hotel like ! please let we know be business ! ! nice staff meet , ever visit Ireland work restaurant call oar house howth co dublin . come visit xxxx Ps Victor make holiday love yaxxx 
 Sep 12 2008 	 4 2 	 4 star quality 2 star price . room great . funky boutique decor , comfortable bed & amp ; pillow ( ) , enough room bite small side . got great price Expedia . option similar quality double price . any service like checking & amp ; store luggage first class . so ' m rate experience 5 value put average hotel Excellent category . 
 Aug 31 2008 	 great location great room 	 room large clean , bed huge great free choice pillow . coffee machine could use extra charge include choice decaf . staff polite efficient . hotel perfectly locate . bathroom good lack space store toiletry . although renovation process hotel , noisy streetwork foot hotel since doubleglazed window bit annoying woken 8:00 . would recommend ask room high level possible . the heating/ vent . /cooling unit room loud not need use outside temperature perfect . the possibility breakfast hotel via room service extremely expensive . nice cafés area , Gherardelli 's . 
