Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Apr 11 2005 	 good 	 terrific hotel . great business traveler . nice room excellent service . lounge great . free 24 hour internet service . free refreshement lounge also . 
 Mar 24 2005 	 dreadful ! 	 Agree review - far 5 star hotel . look / feel like something Dallas / Dynasty 80 . staff unhelpful , rude , have not get clue be - quite unbelievable . room small storage space , hotel smell , restaurant atmosphere whatsover food dreadful . hotel stink Novotel road look far superior ! ! do not fool hotel 100 time well London . 
 Mar 23 2005 	 good 5 star 	 book place last minute friend visit flat action ! pay £ 80 late room bad price London , although would not worth pay much . request room view mess reservation ( twice ) end room 2nd floor view street . room huge quiet sparsely furnish knock tear - certainly 5 star . cd player , bathrobe orchid . think pool spa pretty nice , much well average public area well present . breakfast nothing special although service efficient despite busy . overall staff could friendlier helpful though , could barely get smile ! location great , quite nice area 1 min Tower Hill tube Tower London , 5 min bar restaurant side river , stop west end . worth stay get late deal want hotel pool / spa . 
 Feb 4 2005 	 stay 	 hotel 5 * simply grade ( course opinion ... ) stay weekend awful time - many thing wrong mention , state room , broken tv , smelly room , price hotel complete disgrace staff - even senior management completely obnoxious , worst - busy sign door - mean nothing place . twice partner come back room find 4 peopole time , ? will never know - ask tell . even walk reception say - come room today partner unwell , within 1 hour - .... stay lot hotel - although may seem good value - barely 4 * trust - spend money else . 
 Jan 30 2005 	 5 star 	 book great rate 80 pound per room per night hotel website , include poor breakfast cold coffee good start . price great value wonderful view london Bridge tower london . although slightly away action tube station next door . interior resemble dining establishment nearby Brick Lane , 80 pound hard complain . 
 Jan 17 2005 	 consistently good 	 good weekend rate available directly Hotel 's website . worth ask high floor room river view - also worth pay small supplement exec room - be much large . yes away west end quiet many would see plus point , action London short tube ride away . worth stay stunning view Tower London river . good spa pool . staff friendly helpful , reception staff front house manager ( Royce ) exceptional . unless press need stay west end , would recommend hotel without hesitation . 
 Oct 25 2004 	 Pros Cons ! 	 visit Grange City Hotel Saturday 23rd October 2004.while bear London , ' ve live Suffolk past 20 year Saturday opportunity play tourist . visit Hatton Garden , Oxford St. Petticoat Lane Market . the Grange City other describe , businessman 's hotel prime London location . it note hotel extend moment ( buide work ) site top underground station ( Aldgate ) , albeit truth adversely affect stay . check painless room much expect , reasonable size , clean well appoint . what rather forget weekend , City London largely desert shut . shop restaurant / cafe open mile . indeed travel far west Tottenham Court Road find life . on weekend visit , underground meltdown . Tower Hill tube Aldgate East shut Circle Line , mean taxi bus real alternative . back hotel , not take advantage pool , Saturday night wine bar largely deserted save group meal Sunday Morning breakfast average . in summary ( really 5 - star ) good value assume get good price . pay £ 95 room include continental breakfast . 
 Oct 7 2004 	 Nice Business Hotel City Location near Tower London 	 interesting room apparently vary amenity provide . cd player , iron ironing board -- orchid bathrobe ! would like bathrobe . room well fit , good sized pleasant , bathroom nicely do . would not really call & quot ; five star & quot ; hotel although service good room nice . business , convenient Tube across Tower Bridge access restaurant Design museum . Seemed reaasonable value price -- London standard . 
 Sep 22 2004 	 great hotel great price 	 book 2 night Grange 's special weekend rate ( 95 pound per night ! ! ) totally impressed . bit slow start trainee reception good . classy spacious room , brilliant location gym , pool spa facility top notch . bet hotel atye London country mile - will back ! ! ! 
 Sep 20 2004 	 Superb 	 easy sum place ... brilliant ! spend two night double room luxury 5 * hotel london £ 80 per night include continental breakfast . previous review spot . location excellent , close Tower Hill underground also away crowd . hotel wonderful . make full use gymnasium , swimming pool , sauna , spa steam room , free charge . towel provide well change facility etc . not forget pound coin locker ! minor complaint fitness centre close 8 pm weekend instead 10 pm . room luxury would expect 5 * hotel except not bathrobe cd player contrary previous review . not realise , next time go shall enquire . tv skysport channel manage watch Ryder Cup cricket , choice apart terrestial channel BBC World . foreign channel example except japanese one . staff friendly helpful . problem check 2 hour late could spend time pool ! 
 Sep 5 2004 	 Hotel PERFECT family 
 Sep 1 2004 	 absolutely fantastic ! 
 Sep 1 2004 	 really proper 5 star hotel 
 Aug 2 2004 	 Great Hotel Spectacular View 
 Jun 27 2004 	 Grange City -- big room mediocre service 
 Jun 11 2004 	 Fabulous 
 Mar 2 2004 	 bargain luxury weekend hotel 
 Sep 12 2003 	 good business 
 Sep 2 2003 	 Modern Opulence 
 Jul 21 2003 	 Great Hotel 
 Nov 18 2009 	 Große Leistung zum kleinen Preis 
 Sep 17 2009 	 Super déçue 
 Aug 26 2009 	 Très bon hôtel 
