sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Aug 5 2008 	 fantastic hotel well deserve 5 star ! 	 stay Sofitel London St James one night , 10th wedding anniversary . having book 5 * hotel , curious see money going buy we . need worried ! outside , hotel really look part , friendly doorman always present . extremely clean hotel , lot care take keep way . once inside lobby , sheer luxury hotel plain see . reception desk replica clock face Big Ben , whilst smell fresh flower beautiful . staff work front house pleasant welcoming . lobby area Rose Lounge , afternoon tea take inclined . also lobby Brasserie Roux , , although go inside , certainly look impressive sound . the hotel split across 6 floor ( 7 include Penthouse Royal Suite ) . room locate 6th floor . 3 lift , posh modern . we highly impressed room , clean even kettle polish ! drawer dressing table hairdryer , also meticulously polished . bed comfortable ever sleep , make perfect sense realise much bed ( linen ) cost . pretty much everything room available purchase , catalogue provide show cost . king bed , include pillow / linen / duvet , cost approx £ 2600 ! ! ! bathroom also clean , comprise bath overhang shower . shower powerful , selection towel staggering ! also 2 bathrobe slipper provide , along selection Hermes Paris toiletry . interestingly , telephone wall next toilet , not need miss important conversation nature call ! tv provide room , decent selection channel choose . usual Sky channel , along foreign ( french , german , spanish , chinese , arabic ) channel radio channel . an iron ironing table locate wardrobe room , come quite handy uncrease clothe enjoy night out . the hotel locate right middle West End , stone 's throw Piccadilly Circus Trafalgar Square . big theatre within easy walk distance , number nice restaurant nearby . also , handily , Tesco Metro store street 100 yard . overall impressed hotel , would recommend friend family without worry . shop around good nightly rate , undoubtedly wonderful time ! 
 Jul 28 2008 	 Sofitel St. James - Oasis 	 upon checkin greet lovely fragrance fresh flower adorn lobby , friendly professional staff . queen suite superb lovely tub separate shower . ahhh ! 8.5 hour flight Canada heaven earth ! exquisite bed heavenly room equip comfort home . room service luncheon nicely present promptly deliver . breakfast buffet dining room , though costly 21GBP , provide variety english breakfast continental choice . lovely Brasserie Roux fine choice lovely dinner . for wish save money meal , St James handy pastry coffee shop breaky , pizza takeout fast food Tesco market grocery snack Regent St , , course pub restaurant Picadilly Circus Haymarket area . location excellent ! easy walk Palace , St James Park , Green Park , Picadilly - hop city tour , 10 - 15 minute Regent St. shopping Oxford St. also easliy walk original Hard Rock Cafe Picadilly dinner . while London experience 30 degree temperature hotel welcome oasis cool . would highly recommend hotel anyone wish central location attraction , luxurious accomodation , safety security . pricy well worth ! 
 Jul 25 2008 	 good location nothing criticize 	 hotel typical Sofitel style , despite extenal appearance ! room large typical Sofitel furnishing . bathroom particularly spacious well - fit . view onto blank wall var away - though not view , other might want check booking want see something interesting . Location - Piccadilly , far Trafalgar Square - handy tourist . price little steep ( room expensive , really expect pay internet connection day ? ) , else one expect London ? 
 Jul 20 2008 	 Excellet hotel amazing location 	 stay St James romantic night away excellent time . hotel not look particularly special outside lovely location within walk distance Buckingham Palace Picadilly Circus . the inside hotel look high quality modern feel . not know refit recently , seem well do - lot modern touch also seem retain fair bit history . our room great , nice size centre London . bed massive comfy . bathroom excellent shower amazing . shower head 30 cm diameter dump water ... refreshing . certainly not low water pressure lack hot water alot London hotel . Hermes shower gel body lotion also nice touch . all staff hotel friendly though not eat hotel can not comment restaurant . London , stop Dorchester much expensive hotel . see , come nowehere near St James quality service . the slight problem make booking last minute hotel 's site . apparently not receive payment room even though prepay . ask pay checking , query , junior member staff call manager resolve issue instantly . this probably good London hotel stay would highly recommend many famous name . be clean , modern excellent value . 
 Jul 18 2008 	 perfect 	 stay sofitel S.James week - end beautiful experience . everything perfect : location ( close enough shopping area Piccadilly / Regent Street beautiful St. James Park ) , hotel personnel ( french speak ) , last least , clean , quiet & quot ; cool & quot ; room . definitely must happen visit London ! 
 Jul 17 2008 	 Beautiful 	 book hotel anniversary treat one night - wish lovely venue . located minute walk Piccadilly Trafalgar - well locate . give free upgrade arrival deluxe room huge gorgeous big bathtub walk shower . every aspect room perfect , except view room look roof , not matter room make . staff helpful attentive . room service mini bar ( usual ) overprice not make use . pay , feel like luxury - extremely good value well worth return visit . 
 Jul 16 2008 	 Lovely 	 stay Sofitel New York thoroughly enjoy - decide give London one try - not disappointed . very simply lovely ! concierge - helpful friendlyfront desk - friendly efficientroom - absolutely lovely - particularly shower ! spotlessly clean . also really quiet due good double glazing - quietness comfortable bed fantastic night 's sleep . bar area - friendly . slightly worried might bit pompous - ! would delight opportunity stay . 
 Jul 12 2008 	 central everything ! 	 four day , room small , expect . location near - perfect , close everything - walk entire time London ! problem bed hair sheet - duty manager come change sheet ! , hotel fairly quiet considering 's location Piccadilly hotel staff nice friendly . would return Sofitel next visit London . plus be really close Fox Davidoff - two cigar shop ! ! 
 Jun 14 2008 	 Fantastic Hotel 	 move Sofitel Walforf Hilton hotel dark dingy ... sofitel contrast inviting , light , spacious courteous professional staff . room junior suite spacious large bathroom , two closet window Wellington Place . window old fashioned sash model open could enjoy cool London breeze . everything first rate price well four star see North river . 
 Jun 13 2008 	 really like upscale Hotel 	 lovely Hotel locate near Buckingham Palace . wonderful amenity like HDTV Flat Panel TV 's , Robes , Slippers , Newspaper Daily , Great Bathroom telephone , excellent wardrobe clothe , secure safe fast elevator . downside real close tube stop . walk great deal stair take close way Palace walk around couple city block instead . overall worth money . Doorman get cab quickly friendly . word warn : minibar pressure sensitve lift drink look , charge room . another problem someone charge expensive meal room even hotel . take bill verify signature even name . really love place hope return . give A+ 
 Jun 3 2008 	 Fantastic 	 stay 1 night come New York . extremely courteous staff take care bag immediately . check request room open view . 7 hour aircraft think window face wall would quiet upset stay . elegantly tell superior room ( one book ) would offer view . offer upgrade deluxe 30 £ accept well . room large , face Waterloo Place . exactly need . spotless room bathroom . great great bed ! bar rather dark french - like . try restaurant . take breakfast room . room service right time . , courteous intrusive . 24 £ tasty english breakfast reasonable ( pay London elsewhere much less quality quantity ) . location perfect . 5 mn walk Picadilly circus without crowd noise . I will definitely stay next trip London . note staff french thus speak french ( ) could plus . 
