perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 Jun 18 2008 	 still crowd ... 	 ' ve fan Kimpton property year - especially Hotel Monaco - enjoy hotel throughout country . Chicago Monaco exception . like Hotel Monacos , location close action . Chicago , be block Orange Line ( Midway connection ) block Michigan Avenue shopping dining . although currently great deal construction Wabash , noise never problem . although Monacos feature tight quarter , Queen - Queen room plenty big . travel two teenager problem spacious room . addition , room overlook river feature two deep expansive window seat . overall , room comfortable spotless well appoint Kimpton property . carpet stain furnishing show wear . theme carry lobby furniture decor look little tired worn . Kimpton also gradually evolve retail market - room feature item purchase ( robe , bath salt , even undergarment ! ) .One main reason prefer Hotel Monacos service . Chicago , always greet friendly smile everyone wear Hotel Monaco badge . check - in breeze even allow obtain room around 11 am . front desk staff always cheerful , encounter minor glitch - sporadic delivery daily newspaper , two day wait goldfish arrive , request glass towel repeatedly ignore housekeeping staff . end , minor frustration not dampen great time Chicago . 
 Jun 17 2008 	 Fun Night Fun Hotel 	 group girl celebrate friend 's bachelorette party stay Hotel Monaco one evening . front desk staff friendly helpful . think neat , person work hotel put favorite food underneath name nametag ! funny ! wonder man check Mac N Cheese name ! 4 girl room sleep comfortably . bed great ! thought decorate nicely clean . cocktail bar wait go find bartender also friendly . food restaurant smell wonderful ! location great , although Chicago not really go site . fish fishbowl room , interesting . glad fish survive we rowdy girl come back 2 a.m. ! 
 Jun 2 2008 	 great staff ; excellent location ; highly recommend ! 	 book Kimpton website get feel good rate : $ 159 room view river . parking $ 40 per day . since one night , investigate whether might less expensive alternative . due construction front entrance ( unfortunately warn call ask parking ) , unable find valet . loop around bulide pull garage turn correct one hotel . bit stressful deal rush hour traffic , minor flaw otherwise wonderful stay . we walk hotel greet pleasant doorman front desk staff . smile desk clerk note Kimpton Touch preference ( high floor , good view , pillow ) assure we meet . ( . ) go room ( not bother bellman ) 12th floor treat excellent view Marina City Mies van der Rohe IBM building . room quiet ( day night ) spite hotel thick thing ( one block Michigan Avenue short walk Millennium Park ) . room large ( surprising price location ) ample size two we . other comment , gigantic window cushion window seat spectacular make room seem big . one caveat , however : window seat high ; climb onto . problem we , imagine something many people would able . ( course , still enjoy view , even can not reach seat . ) picky may bother fray curtain ( presumably cause pull open close instead use attach pull stick ) noticable rest room well - decorate appear worn . minute later , knock door , bottle water cookie deliver , along welcome note coupon 15 % breakfast adjacent restaurant . ( , part Kimpton Touch program . merely sign book website . need minimum number stay . ) want wait around complimentary wine reception 5 6 comment . get back hour walk around , bed turn chocolate pillow , ice bucket fill place nightstand , tv play relax music . unnecessary , course , fun . the bed comfortable . bathroom small , nice - look clean . fitness room small high - quality two Precor elliptical machine , two treadmill , bike , exercise mat , free weight , bottled water , towel . dinner hotel restaurant , South Water Kitchen , good , albeit spectacular , service excellent . room service breakfast expensive ( everywhere ) , great quite good , deliver promptly request time . check easy . wait approximately10 minute car , not seem bad consider 9 Friday morning . I would hesitate recommend hotel . 
 May 31 2008 	 great location 	 Hotel locate perfect location , 2min work train station , less 5min work river boat tour . room stay simple clean nice decoration huge tv & amp ; comfortable bed . pay hotel close get everything need hotel monaco 's cheap ! ! restaurant stair excellent food , too . we travel world , be picky . enjoy stay . 
 May 24 2008 	 Hotel Monaco Chicago : find ! 	 stay Kimpton Hotels continually deliver great experience business personal travel . Monaco downtown Chicago ( Wabash ) continue live expectation Kimpton . the hotel centrally locate business trip site see . the front desk staff helpful provide direction get point b . also responsive request make stay enjoyable . there also free wireless access ... nice one travel personal budget ... hate pay $ 20 access web hotel ... case ! check blog detail hotel site see recommendation ... http : //travelswithsunnyd.blogspot.com/2007/09 / eric - trip - to - chicago.htmlthe Monaco Rocks ! ! ! 
 May 22 2008 	 fantastic quick thinking -- -what service ! 	 book anniversary weekend Kimpton Hotel Burnham , reason room not ready 11 pm arrive , quickly send we sister hotel , Monaco , night & quot ; sweet suite & quot ; , cab fare include pick tab night . fantastic service , friendly accommodating . love room , view beautiful , funky furnishing . pleasure ... back Hotel Burnham morning another excellent stay beautiful room wonderful service bed turn - down chocolate , soft music radio bathrobe bed await we long evening sightseeing . clean , appoint room nice plus weary traveler usually stay middle road place . highly recommend Kimpton chain ... Burnham Monaco . 
 may 20 2008 	 romantic get away 	 fancy hotel ' ve ever stay . spend 6 month overseas , fiance meet Chicago , Christmas . room , bed , picture window inset seat , bathroom huge . decor new lovely . wide range electronic bathrobe comfort home . valet parking not great , dude unhappy bring wrong car punch vent car , front desk reimburse mighty pricey parking fee stay . heaven hotel great . clean well ... ' m bit OCD come cleanliness . 
 May 14 2008 	 a+ 	 friend highly recommend hotel could not happy ! wonderful ~ husband kid already plan next trip even leave hotel . kid love goldfish room think window seat well . 
 May 12 2008 	 Accomodating ! 	 husband stay Hotel Monaco visit friend / celebrate anniversary . could not accomodate . since celebrate , move we room river free . also set mood put sparkle grape juice ice champane glass room , music playing , chocolate pillow . nice gesture ... hotel staff always say & quot ; Happy Anniversary & quot ; we , make special weekend . hotel clean beautiful . bed comfy , view awesome - especially sit window seat night ! quite sight overlook city ! hotel restaurant really good ... hear great mac cheese , go brunch . forget toothbrush toothpaste - it not 5 min someone door substitue . awesome service , awesome service , awesome service . stay Ritz Carleton 's past Hotel Monaco 's service comparable . enjoy ! 
 May 5 2008 	 Loved .... great kid 	 family return wonderful stay Hotel Monaco . two kid ( 17 month 5 yrs ) we well set grandparent . wonderful experience . adjoinne room spacious clean . important nice , clean room travel kid room live expectation . room large BEST part fact huge window seat ( 6 ft plus husband could lay comfortably ) look L Chicago River . child take toy facinate coming going city . could spend hour . fact , 5 year old make bed sleep . grandparent 's King room one huge window w / seat room ( 2 queen ) two window . light bright . child also greet Kimpton Kids goodie bag goldfish room . big hit ! hotel staff great well ... friendly helpful suggestion , cab etc . location convienient downtown . front door actually less busy street . although room service South Water Kitchen menus kid friendly , staff prepare special dish child upon request . example , make chicken tender ( room service menu ) late afternoon snack . also create custom make breakfast South Water Grill . I would highly recommend hotel ! 
 Apr 27 2008 	 bad ; great either . 	 stay Hotel Monaco 3 night . 's pro con : pros : pretty convenient location ; clean room , eclectic decor ( like style ) ; nice bedding / linen , service adequate , staff polite . con : small , dark room -- small window build old renovate space ; small closet , bath tub / shower combo small , eclectic decor ( like surround funky stuff ) ; small lobby , pricey restaurant . bottom line ... give level quality term service , amenity , location , 3 - 4 star hotel , would not worth pay $ 200 night , would find something well around area Chicago . 
