way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Oct 16 2007 	 ok beware 	 firstly , give away room , even though book week advance call day arrive confirm . man front desk call John extremely rude suggest lie calling . nightmare , especially 2 long flight . sympathy could unhelpful . not apologize either . feel completely unwelcome . end sister hotel ( Hotel 31 ) pay first night . back Hotel 17 rest stay thing fine . guy front desk day clearly adept deal public . name James nice helpful . suggest good breakfast place nearby call Sunburst ( 18th 3rd ) .the room ( 623 ) good room - quite big NYC quiet . two window . shared bathroom ( ) . however , imagine room noisy close bathroom near door elevator . also hear mostly small room - ask 623 ! sort place enjoyment stay depend room happen have . and watch John front desk . still . 
 Oct 11 2007 	 Great Place ! ! ! ! 	 friend recently stay Hotel 17 5 night . wonderful experience . staff friendly helpful . share bath never problem always clean . room two twin bed room large double bed room see . location great close subway . would stay , plus $ terrific ! 
 Sep 17 2007 	 tiny room comfortable ! 	 reasonably price hotel Manhattan , New York ? yes exist , never go flash either . room small , small , still quite comfortable , like comfort . I get single room sink , bathroom share hall , since 2 never wait clean everything work . everything clean neat . the hotel quiet street far near subway station one could even walk Union Square without much effort . reception pretty uninspiring , nothing complain about . a / c hallway practically non - existant ( summer ) , A / c unit bedroom actually work thank God . next time New York , unless win lottery , shall stay Hotel 17 . 
 Sep 13 2007 	 great value location atmosphere 	 party six stay three room Hotel 17 five day Labour Day weekend . ' hard add anything new post , ' reiterate ' comfortable , clean , well locate , well price hotel midtown Manhattan . everything little worn around edge , perhaps wallpaper carpet ' match , everything well maintain clean . feel bit strange use share bathroom , pretend ' dorm room university , office – ' really much different . fortunately , bathroom keep scrupulously clean , always find one free use . room quite spacious bright , other much big double bed squeeze . ceiling twelve foot high , even small room feel claustrophobic . ' like room , ask move . one elevator rather slow , good chance get fit use stair . stay elevator actually break one night fire department rescue passenger . elevator run next day . short stay find quiet , safe neighbourhood . Gramercy Diner locate two minute away 3rd Ave 17th excellent place breakfast . major subway station Union Park eight ten minute walk away . 
 Sep 7 2007 	 can not beat Value ! 	 be New York City lot ( love theater ! ) , budget small . absolutely good bargain hotel ' ve find : clean , quiet , comfortable , excellent location . squeamish wife tell share bathroom problem . since be save $ $ $ , splurge wonderful pure Food Wine restaurant around corner Irving . breakfast Friend Farmer , also Irving . 
 Sep 6 2007 	 great location close public transport 	 great location stay . Close Union Sq station subway , make get almost anywhere really easy . lot cheap food option good quality supermarket ( whole food union square ) . union sq also farmer market 4 time week lot good food . the hotel pretty run . trade fact Madonna stay Woody Alan make movie . not help date decore , old furnishing , flake plaster tiny bathroom ( share ! ) . stay 8 day usually problem get bathroom morning evening . room hand basin towel supply , ask fresh one ( see ) .The room aircon loud keep cool . fact noise aircon help drown noise street resident slam door . bed reasonably firm room make morning specifically ask , otherwise maid would not go near it . reception staff typical US hotel budget range . courteous not ask many question annoy . usually look bored speak response lack enthusiasm . overall , hotels location 's save grace . great anyone want experience Manhattan , not expect Ritz stay . 
 Sep 3 2007 	 Value money ! 	 would agree past review Hotel 17 . perfect budget hotel , clean , well keep , problem whatsoever share bathroom ( first time try ) always clean available . three we ( Mom daughter friend ) stay triple room , bed clean comfortable , room enough three we plus luggage shopping . ( sink / vanity room towel / toiletry , bathroom ) know expect way decoration past review hotel photo ! three busy day sightseeing shop not even notice funky wallpaper ! hallway ( quite narrow upstairs ) front entrance clean well keep , desk staff courteous helpful . elevator work art ! gramercy diner 17th 3rd open 24hrs , good inexpensive food . also enjoy dinner Mumbles S / e corner 17th/3rd , south store / deli serve coffee / tea / juice / bagel etc breakfast go . neighbourhood pleasant , quiet , easy walk Union Sq subway . overall great stay , good value , go back , 's hotel lot character . 
 Aug 30 2007 	 great location budget hotel 	 Excellent location right next Empire state building , brilliant week NYC , great location shopping , stay feel safe secure . ok reception staff problem throughout , do not spend alot time fit purpose fine , get double bed even happy , tiny room hey do not mind ! 
 Aug 22 2007 	 cheap perfect 	 1st trip big apple . stay 6 day hot month august well worth check budget , room 5th floor small not much share bathroom ( 2 ) never wait use small sink room air con unit even though noisy absolute bliss temp 100 .the hotel situate 5 minute walk union square easily accsesable subway compare london cheap . money save stay money spend important thing like clothe ! ! ! room clean clean every day ask , intend stay hotel room miss whole nyc experience.what say , stay save money spend know deserve it.i back ! ! ! ! ! 
 Aug 7 2007 	 Fabulous ! 	 Somewhat nervously approach stay . review Hotel 17 , budget hotel NYC . Soooo pleasantly surprise ! ! lobby nice cool ( yes , tiny , care ) . guy behind desk nice enough , overly friendly . room 7th floor right across bathroom -- perfect luck ! room ... absolutely perfect . clean , small -- right . sink , tv , AC , nice bed , firm mattress . absolutely recommend place would stay . pretty good location . eatery close easy enough walk Devi 18th , eg . ( great indian food ! ) . close Union Square 's Greenmarket . 
 Aug 5 2007 	 travel alone kid good value feel safe strange city 	 have never NYC unsure expect . need save money book room base review tripadvisor.com . room exactly expect . slightly worn , comfortable . air conditioning work fine , enough tv channel satisfy , clean bathroom , always available . short walk grocery store ( small ) , take cab mostly , try subway walk bit . staff able accurately answer question right away . overly friendly , job adequately . money , satisfied . great time kid ( 5 7 yrs old ) want go back . disappointment ! 
 Jul 20 2007 	 Great price 	 purpose , hotel right : good location close Union Square , comfortable bed , quiet room quiet air conditioning unit , pleasant , helpful front desk staff . room slightly shabby , great price . stay incredibly small room non - chain , budget hotel . room triple provide adequate space three we ( husband , wife , adult child ) spread . hang & quot ; maid service & quot ; card door room make get fresh linen , service little slow side . share bath ( sink room ) not trouble access , bath start need attention get . 
 Jul 17 2007 	 Perfect we 	 husband stay Hotel 17 July 13 - 16 great experience . staff helpful , room clean , bed comfortable . bathroom keep immaculate always available . 
