great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Dec 19 2007 	 Luxury hotel experience San Francisco Theater District 	 stay two night Hotel Adagio business trip accomodation service outstanding . from moment check ( early ! hassle ! ) welcome , concierge able offer lot great tip dining area . also offer inquire ticket ACT / Curran Theatre block , although end get ticket box office . the lobby airy great place meet other , sit quiet moment . room everything would expect luxury hotel , surprisingly quiet consider hotel locate geary heart Theater District . the hotel conveniently locate near many local attraction , especially nice want catch show two be within walking distance several theater . also lot great shopping close , Union Square Chinatown within easy walk distance . also able make use hotel fitness room stay - one good ' ve ever find hotel fitness center . well equip several Cybex treadmill , elliptical trainer set Cybex weight machine . also plenty free weight plenty room yoga / stretching / ab work , also resistance ball sweat towel / water provide free charge . 
 Dec 10 2007 	 average experience 	 aside huge AC unit middle room giant hose extend window little piece cut - up foam & quot ; sound barrier & quot ; ( keep mind window open be Geary ) ok hotel . lot money spend lobby restaurant ; room decor pretty average , however . nothing uber stylish memorable fine . build old guess well . not think would spend $ 200 , however , stay . 
 Nov 30 2007 	 Hotel Adagio - elegant home away home ... 	 not even entertain think another hotel . convenience - absolutely ... imagine luxury , swank accomodation step , yes step good theatre retaurant city . imagine staff say yes every request , meet expectation predict satisfie ' ve think . nothing compare style be surround . sleek room . whether ' ve stay ' regular ' ( far exceed ' regular ' ) suite , satisfied , overjoyed mood attention detail put . Hotel Adagio . ' m almost reluctant give glow review keep glorious , luxurious secret secret , cat bag - 's wonderful recommend . ' m pay sponsor , completely loyal customer 10 + stay every one well last . ' m picky - travel frequently far . live wine country - hour city be go , expect good . hand , Hotel Adagio . nothing compare . 
 Nov 30 2007 	 love place ! 	 first stay joie de vivre hotel , find Adagio beyond expectation . staff awesome accomodate . arrive early town straggle hotel 11 am straight airport . let we check early ! queen room view across geary city - awesome . clean , comfortable room service food excellent . hotel block away Powell Union Square theatre district - easy smooth walk . yes , panhandler , San Francisco 's fact life . live city many year offer advice towner : ) keep wad dollar bill outer coat pocket give one whenever feel moved . remember , sleep warm great hotel - homeless population sleep outside cold ! b ) ignore panhandler quickly walk around . choice . back hotel - 's really great . love morning paper , morning evening coffee / tea downstairs , fruit bowl , scent aromatherapy candle lobby / sit area . run time eat Cortez , look great , always packed , great decor . definitely stay hotel chance ! really nice subtle trendy international vibe . enjoy ! 
 Nov 29 2007 	 nice 	 wife picky hotel easily impressed . lobby good start -- easy eye , jazzy techno background . staff friendly helpful hint like & quot ; not waste time Pier 39 . & quot ; missus enter room , exclaim : & quot ; oh , hell yes . & quot ; cool furniture , nice bed bathroom . plenty space . even small couch i - pod adapter nightstand . have do well pick place . 
 Nov 26 2007 	 Great Thanksgiving weekend ! 	 nice hotel , beautiful lobby . nice spacious room . centrally locate , easy get around . good service . 
 Nov 11 2007 	 Stayed ... restaurant even well : ) 	 stay great central location Geary ... start end love Fest every year ... large room great ... bed great ... bathroom ok : ) service year ... definitely keep hotel choice San Francisco ... 
 Nov 11 2007 	 great stay 	 great hotel . stay 2 night book hotwire 1/3 price ! great staff , awesome bar food . 3 block Union Square beware 100 bum hotel union square . seem harmless though . like hotel lot . 
 Nov 8 2007 	 Great Hotel Good Location 	 stay 3 night Adagio Sept ' 07 . easy find , near union square . easy walk ( i.e . flat land ) walk Union Square , Ferry Building , Embarcadero , Fisherman 's Wharf . service door desk attentive , hotel current hip , modern , minimalist feel . nice reception lobby ( grand lobby would see elaborate hotel , nice nonetheless ) . room 14th floor , much view , quiet ( review mention noise restaurant , problem 14 ) . not spend alot time room , comfortable . dinner Cortez one night , nice , right ally term type food quantity ( basically sit lounge order several tapas style plate cocktail . ) real expensive city , Adagio reasonable ( package include free parking ( $ 35 night cost ) get Visa.com one benefit Visa Signature card , check ) great location . would definately recommend other look stylish hotel near Union Square ( certainly pay premium & quot ; boutique & quot ; style hotel , much Clift Kimpton hotel area ( reality , Kimpton Hotels Adagio , free parking put top . ) ) complain homeless area , reality see homeless people everywhere go SanFran , seem popular place homelessness ( give real estate price , understand ) . give Adagio try , will happy . 
 Oct 26 2007 	 great location great price 	 hotel near Hotel Monaco Clift Hotel Union Square . fun , modern , boutique feel half price . walk Redwood Room Clift Hotel , currently favorite bar PLANET . 's gorgeous red wood , art ( screens/ projection ) rotate around room- Gustav Klimt 's work move around , apparently change artist night go . Redwood Room bar Asia de Cuba restaraunt , get food bar . yum . Blackberry margarita good , . Sit Alice Wonderland chair lobby . Hotel Monaco worth walk , also . pretty . go across street Swig live music . Sunday night easy get , apparently , be open jam session . pretty fun . Sushi San Raku ( sp ) also good . Sushi must San Fran super fresh . 
 Oct 25 2007 	 comfortable convenient 	 comfortable corner room . feel like home 5 day stay . location near Union Square great we resonably price overnight parking . lot natural light comfortable king bed . thing not like ; tv box . sound back tv trap box sound terrible . breakfast hotel restaurant , terrible overprice . 's great family diner across street breakfast . staff really nice enjoy tea / lemonaide lobby . would stay . 
 Oct 7 2007 	 right heart San Fran 	 boutique hotel great place explore SF day . right edge union square tenderloin make sure turn leave hotel right ! restaurant also surprisingly good cheap . staff friendly willing help . 
 Oct 7 2007 	 nice retro feel Hotel 	 spanish architecture exterior Hotel Adagio belie faux - Sixties , vaguely Rat Pack cool interior . place could feel retro - contemporary , . someone like & quot ; contemporary & quot ; furniture design , earth tone furniture , wall painting , lamp , general interior feel lobby room , , turn . fact , one permit oneself transport different time place , kind fun . staff courteous helpful . check bellman get we hustle room quickly valet parking service lot virtually right next door $ 33 / day -- not forget budget . worth we since stay one night San Francisco , core area major city , always challenge park . get late evening , Hotel 's restaurant , Cortez , still open still pretty well packed . instead purchase two large meal purchase couple small plate , salad , dessert . & quot ; foodie & quot ; might bit intimidate menu , be terribly expensive . small plate around $ 13 large plate around $ 26 . dessert salad $ 9 range . case food 3 - 4 5 star rate . good flavor , light , subtle , overpowering . apparently French Fries thing come highly recommend . restaurant much reflect feel Hotel 's interior . restaurant wall back - light color look like mondrian painting , echo ' 60 feel . get corner room opposite corner face Geary street . view , , parking lot wall adjacent building . fine however less street noise way . frankly not know people get hotel middle large city concerned view . unless be pay penthouse Hilton , be big deal ? internet access ( course ) small business center well . Adagio close Union Square - block away . nightlife fairly buzz around neighborhood want go fun ample watering hole distraction within walking distance . ton eaterie well - San Francisco . hotel seem always recommend Sears Fine Food , local landmark , street lunch breakfast next day . good diner - style cuisine . mention homeless people core Downtown / near Market area . one : nothing Adagio particular . literally dozens hotel -- nice awful one -- within half mile one area -- issue would matter hotel stay area . two : issue City San Francisco not reflect Hotel Adagio hospitality establishment particular , though suspect voice dissatisfaction City deal homelessness problem . suggestion avoid homeless -- please not take intentionally cruel down - and - out -- walk fast . be City enjoy , support homeless population . let local City , non - profit agency , church ministry resource deal problem help people need help . to sum - Hotel Adagio nice boutique hotel fun retro feel . service good on - site amenity solid . aware pitfall core downtown hotel , go flow , will really enjoy stay . 
