poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 Sep 7 2009 	 recession ? 's service one would expect ? 	 say bad trip Vegas . 5 time stay different hotel every time . always greet smile friendly front desk staff . Paris . arrive Wednesday Labour day long weekend . not busy , yet . call front desk , feel like back airport wait go security . Jenny , desk agent bellowes & quot ; Next & quot ; excite expect typical warm greeting , nothing say we besides least could get we way . request king bed strip view book month prior . tell offer request put . ask Jenny , simply say available . strip view purchase additional $ 55 . think tell we call last month . call crazy , time stay somewhere request king bed , get king bed . be like request non smoking room get stay ashtray . anyway , ASK Jenny get room , not ask question , since agent politely point map go . obviously not people person ( good place work ) . get room 2 queen 's King . tell could switch morning . Super .... ! also request late check Sunday 5:00 fee $ 100 . tell not problem . well long weekend , call day , tell absolutely . hotel 100 % capacity nothing . point , mad . lot thing lead , rude hostess cafe , wife get drink casino order least half hour prior , coffee half draught beer Napoleons lounge , etc , etc . mostly little thing , add positive one not start happenne . one would think time recession , business would extend warm hand want guest return , feel pinch . Paris must want extend pinch guest well . phone speak management . hold several minute , hang . finally get Nikki . staff member make trip worthwhile . deserve raise friendly , accomodate relaxed . phone 3 minute start describe stay , let we stay room 6:00 extra charge . stay Paris . perhaps run bad luck , many choice , risk . 
 Sep 7 2009 	 SportsBet need upgrading ! ! 	 stay year least . Wife Daughter like shop , be great location . room food great . hotel seem always packed , can not understand bar sportsbet old ( mean Old ) TV 's . see High Def anywhere Paris ! ! always endup cross street watch sport another casino . 
 Sep 6 2009 	 Paris Hotel Lies 	 Paris Hotel advertise vegas.com book 4 night Oct 31 Jan , 2010 , receive 25 % stay . book , give discount . double triple check date make sure BLACKOUT date category & quot ; Terms Conditions & quot ; , date date . call phone number page , person phone could offer explanation , & quot ; hotel want & quot ; . 
 Sep 5 2009 	 clean room good view 	 good : clean room , bathroom . staff friendly . view pool strip great . pool huge , sun go early . second time stay paris . buffet decent selection , one staff member unaware rice available.bad : tv need update . sprint reception spotty . internet free . 
 Sep 4 2009 	 Bathroom Backup 	 Type Room - Premium - stay 2 nightscheck clerk somewhat arrogant snippy – complain tired look forward go home . call we station , start process reservation , leave 5 minute explanation . room view Eiffel Tower pool partial view Bellagio Fountains . take 5 minute hot water reach bathroom every time . bottom sheet bed fit barely come bottom mattress . notice dirty food tray leave hall many hour . housekeeping room fine - reason rate one star cleanliness follow incident ( hope bathroom thoroughly clean next person stay room ) - morning go check , pack everything go breakfast . back room , zipping suitcase , hear gurgle sound come bathroom – black , smelly sewerage back sink drain , overflow sink spill onto floor . call housekeeping – first thing ask toilet backing . tell sink back spill onto floor . call housekeeping , someone show within minute – point go door suitcase – apparently room across hall also problem . express checkout leave . 
 Sep 2 2009 	 gay excellent location 	 first say one main reason go stay Paris hotel often market Gay Paris partner thought would great stay place gay - friendly . however hotel gay ... say anti - gay anything like zero evidence gay - friendly signage , event , anywhere . kinda feel dissapointed respect despite , think hotel AWESOME . location centre strip much go north south really get true Vegas experience . room clean housekeeping staff ( fact staff ) friendly service consistently good . room basic room 20th floor view non - existent ( look build rooftop ) not come Vegas stay room day . would say hotel well couple old adult group vibe different well - know gambling hotel like Ceasar 's Bellagio . Paris Casino quite ordinary engage small compare place . find use hotel casino waiting dinner reservation , kill time , get & quot ; get to bet money & quot ; urge 3 am . awesome casino hotel lobby important stay someplace else . the pool 3rd floor outdoors . large area lot chair clean . food DELISH ! eat Village Buffet quite honest BEST buffet ever . high quality food well - prepare -- highly recommend . also eat hotel cafe order room service everything delicious ! however price high maybe 3 star hotel ' m assume child / family stay . wish like fast food court something lobby like hotel like New York New York sometimes not want spend $ 10 danish coffee . would highly recommend hotel look Paris feel ( maybe prefer sightseeing show instead gambling ) , good food , centre strip good price ( ie Bellagio ) enjoy lay back vibe . would stay would probably check another hotel like Ceasar 's next visit . 
 Sep 2 2009 	 Great Value fine hotel 	 stay June 7 night say one bad thing place . get upgrade ( $ 20 trick ) bellagio fountain view room , everything right . pay $ 60 per night room expect luxury hotel clean great location . definitely recommend stay fancy great location strip lowish cost.the pool ok always sun bed available bit manoeuver around eiffel tower shadow get day sunwe hire car front desk really easy spend day cruise strip drive red rock canyon.all good trip 
 Aug 31 2009 	 Good Value 	 pay $ 100 per night ( £ 60 ) standard room impress size & amp ; huge bathroom . expect budy hotel possoble delay check - in . sefl - drive cause we issue huge free car park @ rear . siutated right opposite Bellagio Hotel centre strip ideal location walk / sight - seeing . excellent noise - free air conditioning room despite 3000 bedroom bag deliver room ( ) within 10 minute check - in friendly staff . restaurant - 10 chose - expect pay good money average bottle wine food good - v / good less formal burger restaurant - huge portion good value money.115 degree visit air conditioning work treat hotel . if want big , busy & quot ; WOW look Vegas ! MJL 
 Aug 28 2009 	 can not go wrong hotel ! 	 mom treat trip Las Vegas 40th birthday could not pick well place stay . right moment arrive , enjoy stay . everyone work hotel friendly accommodating- smile around . upgrade room $ 55 night- include breakfast everyday , light dinner complimentary drink every night . also receive two free pass Eiffel Tower great way see whole strip light night . room clean comfortable we find bed comfortable . food restaurant excellent really enjoy meal Mon Ami Gabi . also book massage treatment Mandara Spa worth every penny- treat like royalty . one good thing hotel location- right middle strip . hot , nice close many big hotel . fabulous trip would stay ! ! ! 
 Aug 27 2009 	 Viva La France 	 apprehensive early review , get happy decide spend stay . firstly , check - in easy however , line get wait 15 min . totally understandable give size property ( nearly 3,000 room check check ) . Paris theme special touch , faux cobblestone street scenery path main level property lead quaint shop eatery . casino pack weekend lot gambling action . ( casino ) good gambling energy see everyone great mood . Daily Happy hour pool also nice touch . get pool early , get busy , however , not trouble find chair . staff extremely helpful friendly . service great everyone . room premium view room . check offer upgrade , decline happy room Eiffel tower view . room clean decor comfortable tv amoire , safe , two queen bed , two side chair desk chair . bathroom large marble separate shower stall . problem property . would definitely stay . con : internet surcharge , hotel strip charge fee . $ 15.00 day Paris . hospitality industry work tip . friendly smile tip go long way enhance experience hotel hotel Las Vegas strip . 
 Aug 27 2009 	 great value really nice room . 	 stay Paris Las Vegas cheap quick night sleep way Death Valley . value ! check - in extremely slow three people work 7:30 night . however , room give we make inconvenience . idea get lucky , end Eifel Tower Bellagio fountain view ! ecstatic really want , not want pay extra charge . thing ask book room high floor , away elevator end hall ( ' m light sleeper not like lot traffic room door ) .The room amazing ! not fancy exotic , really nice big . everything clean look pretty new . bed pillow comfortable ' m quite picky come comfort . bathroom HUGE beautiful . large vanity area , somewhat separate toilet , large bathtub totally separate glass encase shower . outdoor swimming pool look amazing sure wish would time take dip . from saw , rest hotel nice . neat walk street Paris . lot shop restaurant locate around . easy navigate . problem parking parking exit locate close & quot ; street & quot ; Paris . over - all wonderful stay would go price right ! 
 Aug 26 2009 	 WOW 	 read review , admit kinda scared hotel . arrive big line check , 5 min . book regular room upon arrival upgrade beautiful strip view , could see pool , tower fountain across street . room great always clean . part see mini bar could place item . casino great overly crow unlike one , favorite Indiana Jones slot , could anything wrong keep win money . crepe house great breakfast might want share one huge . like other say go street wallgreen water munchie , alot cheap . overall great experience would return heartbeat ! 
 Aug 25 2009 	 Good Hotel need update 	 stay Paris several year ago , open . room floor trip decor first stay . hotel show sign high use abuse Las Vegas hotel get . clean need , damage tub poorly repair , hole wall fixture remove old tv ' last leg . I understand area renovate , offer chance upgrade . I suprise see room service tray sit hallway 24 hour . room service , however , extremely prompt . as long pay cost three star hotel , good bet . 
 Aug 24 2009 	 great 	 third stay paris wonderful . service great ... location great ... food gaming great . go first week sept . husband wait . recommend hotel friend . keep great work . yet disapointe room 
 Aug 24 2009 	 great place stay 	 great hotel . perfect location amazing restaurant like cozy warm invite hotel . hotel try fancier want feel like home , Paris great hotel . highly recommend definitely try weasel way upgrade room . harm try ! 
 Aug 24 2009 	 Paris - nice amount pay 	 overall stay hotel nice , bed comfortable hard . bathroom large room nice size . do not spend much time room way work fine . lot place eat hotel location great easy access walkway . would like enter hotel first thing see would beautiful lobby check counter , first thing see upon enter casino floor - downfall . bottled water hotel expensive $ 3 12ounce bottle . place buy water buy elsewhere like walgreen cvs . overall stay nice happy hotel ! 
 Aug 23 2009 	 romantic 	 two week vegas get well start ever - previously stay las vegas luxor hotel , week enjoyable experience . time go two week paris , right middle strip . eiffel tower attraction , fiance propose first night , right top look grand canyon , sunset . say . paris hotel totally romantic . mon ami gabbi good resturant strip value money , exellent food service . great place people watch . truely walk different place hotel soon step door . buffet 's amazing also eiffel tower resturant also must go . one size would pool shade ever luxor pool waterfall cool next even tree find yuorself go water cool . spa also one would expect top hotel . staff willing help aid request , ask good room ' long time ' tell checkin end great view bellagio fountain . think downside hotel would stay 
 Aug 23 2009 	 ` ` MAGNIFICENT HOTEL '' 	 ' ve stay different hotel Las Vegas thru last 20 year Paris beautiful place far , central , clean perfection time , staff courteous friendly ( always waitress around offer drink casino ) , restaurant fabulous food buffet die ! penthouse suite 31st floor spectacular ( never wait 45 second elevator opinion fantastic ) , bed dream , like sleep cloud , furnishing luxurious feel like royalty ! ! go back soon . try hotel disappoint ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
