Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Apr 7 2009 	 good hotel ever ! ! ! ! 	 amazing hotel great location , close everything . staff extremely accommodate 's great value . love free breakfast . free internet great . surely stay ! ( anyone want great place eat check Lori 's Diner , 's reasonably price area food tasty ! ) 
 Apr 5 2009 	 wonderful experience 	 travel friend first trip San Francisco . thrill great location hotel . concierge desk clerk check excellent . not remember name , check around 1:30 pm 3/19/09 . room spacious breakfast fresh nice selection continental breakfast . definitely stay next trip San Francisco . 
 Apr 2 2009 	 Great Hotel Pefect Location 	 recently stay Donatello two young child . perfect location 1 block Union Square Powell Street cable car line . staff friendly room clean large . king size bed pull couch still plenty floor space . room also nice plasma tv dvd nice kid long day explore SF . also continental breakfast fruit , bagel , muffin , donut juice make easy get early start day . return SF definitely statye Donatello . 
 Mar 29 2009 	 Great Hotel ! 	 stay Donatello recently 6 year old son . studio suite king bed sofa bed . room huge , clean , great area sink , coffee - maker , fridge , microwave & amp ; toaster - plus basic salt & amp ; pepper , plate , wine glass & amp ; wine opener . staff fabulous extremely helpful ! highly recommend great room , great location & amp ; great staff ! 
 Mar 28 2009 	 good location accomodation 	 Donatello nice place location Union Square cleanliness hotel . room spacious comfortable , though pillow could well . flat , large enough fold adequate fluff . housekeeepe staff pleasant helpful . offer extra towel / linen turn service daily , though ask environmentally responsible . continental breakfast provide convenient preferred sleep eat room morning . appreciate perk , though woman concierge quite rude . smile watch us arm cross . even nerve ask room even though see sign ! front desk staff other friendly courteous . acknowledge us smile greeting every time pass lobby . overall , enjoy stay Donatello would recommend hotel other . 
 Mar 27 2009 	 enjoyable 	 great place stay close cable car transportation , easy get everything donatello , like union square fishermans wharf castro sight seeing place . staff friendly helpfull room spacious clean . buffet breakfast bonus well wer not expect . give welcome pack arrive help decide tour sight see trip might like plan 
 Mar 25 2009 	 hotel bargain - nice room great location . 	 ' ve stay Donatello several time last 2 year . trip first 2 young kid . great . service always friendly speedy , location Union Square great we , room get spacious ( room big other -- ask make reservation need space people ) . room one bed , also sofa - sleeper room . 
 Mar 22 2009 	 Giant room contemporary feel great service INEXPENSIVE 	 get great deal room -- & quot ; Recession Special & quot ; $ 101 / night . book stay largely large room size -- room 400 square foot -- travel 14 month old , want lot room since put pack play . also like location next Union Square , safe , nice shopping area San Francisco central neighborhood . the room HUGE . room ( 708 ) happened lay perfectly baby ... small enclave walk perfect size pack play , slightly remove section room . put bed 8 pm , not sit dark , silent room . parent room next door , lay little differently , also cool . the room decorate contemporary stylish . like lot . fridge could store baby food , microwave , coffee maker , second sink ( right next bed , love middle night ) , utensil ( ! ) . could live cook meal want ! room huge , room 2 chair sofa . also , continental breakfast free every morning top floor . nothing fancy , nice , unexpected bonus . get early run thing . we love , love hotel . people incredibly friendly accommodating . can not recommend place enough , especially value be travel baby . 
 Mar 21 2009 	 great place stay . good location . highly recommend . 	 great place stay . excellent location . nice big clean comfortable room . friendly helpful staff . complimentary breakfast & amp ; tea & amp ; coffee anytime comfortable sit room overlook city . enjoy nice meal restaurant well . come airport 's cheap ride Bart Train Powell Street Station & amp ; short walk hotel . go back airport . 
 Mar 19 2009 	 Excellent hotel 	 SF number time stay number hotel . impress Donatello Hotel First centrally locate , step away restaurant , cable car , Union Square , good fashion store town . room spacious clean , staff friendly Restaurant aaa+ would certainly recommend hotel . 
 Mar 19 2009 	 good value staff location 	 great rate off - season always allow overlook certain thing , although room fine . front desk staff hospitable . location , block Union Square , convenient . detail appreciate window open fresh air . bring 6 year old business trip perfect . ' ve stay establish hotel entitle quaint inn Union Square area opt hotel first next time travel San Francisco value . 
 Mar 18 2009 	 Great Value 	 pick hotel base Tripadvisor review . review accurate . stay two night . room clean quiet . bed comfortable . staff helpful . location outstanding . 
 Mar 18 2009 	 great location great room great service bargin well 	 stay Donatello ever go San Francisco . block Union Sq . 1 2 block number theater well great restaurant club . room really large plenty room spread . hotel valet parking right premise get car take 5 min . . staff great , friendly helpful . since live SF 35 year 2005 not usually take advantage Concierge service . eat Zingari Restaurant past top notch . one many thing like Donatello fact nice bar live jazz happy hour . good deal town ! ! stay two hotel similar size , price location , beat Donatello . home away home ! 
 Mar 17 2009 	 Donatello great San Francisco hotel . 	 whenever take trip San Francisco need stay Union Square area , select Donatello . block Union Square , major department store great restaurant easy walking distance . personnel hotel friendly helpful . room spacious equip microwave , refrigerator dish plus usual tv cd / radio . since husband handicap , receive extra , friendly help bellman since frequent often , gracious we . hotel fancy attractive , comfortable clean . 
