great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 Feb 2 2005 	 Nice Place 	 stay Homewood Suites weekend January . impressed price pay . staff friendly room clean large expect . plus , loved fact could walk right across street straight Norstrom 's 's attach mall . stayed & quot ; luxury & quot ; hotels Chicago , might provide pamper feel . however , beat price Homewood room size location . 
 Jan 2 2005 	 really good spot money 	 second visit take three grade school age child . Lived Chi . 10 year know neighborhood well . hotel easily access car , 4 block southwest major traffic mess Streeterville around Chicago Michigan Ave . . valet cost average neighborhood - car several block away . doorman helpful . good thing place location . Steps Mich Avenue , Nordstroms , easy walk Water Tower , American Girl , etc . plenty choice restaurant within block two . want walk Millenium Park - far . hotel one block subway . room 1980 's vintage , clean . lot room suit family , kitchen nice young one . actually nice view high floor . lobby / front desk always understaffed . & quot ; free buffet & quot ; mob hotel full , take food styrofoam container back room table . nice coffee service day fruit , lobby . access nice Crunch fitness center lobby free , nice . pool roof small beautiful view city . small workout room top floor well . PF Changs deliver room service , save tip go pick . overall , nothing fancy , nice enough great location . money save go shop Nordstrom 's mall . 
 Dec 8 2004 	 great location prepared walk ! 	 stay Homewood Suites - Chicago early December 2004 could Christmas shopping enjoy light Michigan Avenue . hotel perfect location trip . room small suite maintenance man come move thing around pull couch kid , room clean not say 's Location , Location , Location . hotel within walk distance nearly everything want . complimentary breakfast good plentiful egg , fruit , sausage , etc . crowd , not wait . negative encounter elevator . hotel 19 story . 16th floor lobby / restaurant 6th . people check go breakfast , busy one elevator break ! many unhappy visitor day end walk 10 flight almost walk 16 wait least 15 minute elevator ! really negative thing . need work fix issue . otherwise great ! 
 Nov 30 2004 	 great place 	 great location far downtown Mag . mile . our room clean nice separate bedroom living area kitchen ( use ) - many great restuarant chicago . slight problem breakfast- crowd , hotel accomodate . stay 4 night would go back . 
 Nov 21 2004 	 great value great stay 	 stay week November busy town due many big convention . night Homewood book full , problem complaint . contrary , move room help little inconvenience . room north side spacious , much large Embassy Suites downtown hotel room . 600 sq ft . prefer room south side , though small , liked & quot ; feel & quot ; plus room south side offer great city view . Embassy Suites downtown hotel room almost view . , prefer Homewood Embassy though Homewood cost less . embassy well quality room ( recently redone ) whereas Homewood show bit wear ( 5 year old ) , however Homewood Suites big window view L / r bedroom . Homewood also feature full kitchen instead small galley . feel like small apartment instead hotel . all staff helpful . buffet breakfast always well - stock , right til last minute . free light evening meal exceed expectation - great entree okay , plus good salad , roll delicious cake pie , wine beer ! Chicago expensive eat , save fortune breakfast dinner , eat day treat day . in contrast early reviewer , elevator adequate , always work fine . wireless high - speed internet available free , local phone call free . wow ! do not card laptop , lend wireless internet gateway . use work flawlessly . they also complimentary tea & amp ; coffee & amp ; fruit lobby 24/7 . 's perfect location yet quiet . 
 Oct 23 2004 	 Homewood Suites winner ! 	 husband stay Homewood Suites Hilton week begin Oct. 14 . please spacious , clean suite . staff unfailingly polite helpful . plentiful complimentary hot breakfast serve daily , Monday - Thursday serve free , basic dinner 5 - 7 pm , well free wine beer 5 - 7.the complaint kitchen sparsely appoint ; one skillet couple pyrex dish , really could not cook much anything . , room great ! hotel also conveniently locate , one block subway . rate $ 139 / night ( week stay ) , feel Homewood Suites great value . 
 Oct 8 2004 	 stay Homewood Suites Hilton . 	 husband make mistake stay Homewood Suites wedding night . terrible disappointment -- especially since bill sleep $ 200 ! suppose bottle champagne , chocolate rose , fruit , flower wait we room get . find big stain carpet . management gracious give we discount . would stay recommend hotel . amount money stay Drake . 
 Aug 26 2004 	 big disappointment ! 	 would stay hotel . location great encounter quite problem . unfortunate enough many child large group . 2 elevator service guest often time one would closed repair . room clean everyday call 3:30 pm one occasion someone come give we towel make bed . room arrive thing bathroom pick soil towel . breakfast food demolish soon put many time restock . perhaps less busy time impression would favorable . 
 Aug 9 2004 	 Homewood Suites- Majorly Disappointing 	 good location , hotel deliver promise . visit July 28 ... group 6 woman , 2 rooms,5 day . call several time make sure double room sleeper sofa . reservation change get . huge group family / revival meeting book there- many kid , etc seem get preference everything . breakfast buffet , people wipe food 2 occasion within 45 minute . never restock food . not expect ? another huge problem must take elevator floor 6 ( lobby ) use room card get floor . stupid- anyone could access hotel point . half time , one 2 elevator work , would spend 20 min downstair wait go . walk , would easily take step upper floor , allow . time , elevator would skip floor change direction ! staff half courteous , half truly rude . good thing property gym next door , crunch , may use guest . great facility . quote 2 different price room . leaky toilet bad bathroom outlet check decent time , though inconvenient . Maid service good 2 day , one day clean bathroom kitchen . sheet change 2 occasion . constantly ask towel . one thing another . like kitchen frig- though would hesitate return give attitude staff . not think amount pay impact politeness service staff , matter . 
 Aug 5 2004 	 Homewood Suites- GREAT HOTEL 	 stay 4 night Homewood Suites Grand Avenue . excellent location Michigan State . within easy walk distance attraction . reach hotel airport subway system never take taxi whole time excellent location . room suite kitchen , small living room room king size bed . also include free full breakfast great variety food . I would definitely stay hotel . staff nice . problem initial arrival . get noon check 4 . go concierge desk first floor registration desk sixth floor . concierge ask come back 4 , ask could go check , room available check . staff nice efficient . also get deal room website $ 109 per night . great rate Chicago . central location , excellent breakfast good service make recommendation future stay . 
