good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 Jun 17 2008 	 ok ....... 	 ' m quite impressed place seem . begin , ' m would call budget traveler , although get place good price via Priceline , thing consider . first , big & quot ; gotcha & quot ; mandatory valet parking . taxis , set back $ 43 ; , be rather stiff . room clean , small side , especially width . someone sit desk ( locate center room front bed ) , room another person get by . comfortable bed , nothing special . pool , spa workout room could find . centrally locate Wharf , within reasonable walking distance Pier 39 , etc . try bad mouth Tuscan , nice place stay , be put valet parking , not disappointed . 
 Jun 12 2008 	 Great Hotel 	 son , girlfriend , stay four night recently Tuscan Inn . location great , hotel clean nicely decorate . room small , everything need . coffee morning lobby , wine afternoon nice touch . adjoining restaurant really good . Tourists USA world . concierge desk stay busy . enjoy four night definitely stay . 
 Jun 11 2008 	 pleasantly surprised 	 wife take weekend trip San Francisco want stay place cheap close Fisherman 's Wharf . place disappoint . our room $ 99 per night promotion find Travelzoo . figure get pay ... room actually pretty nice . not much view ( think window face adjacent building ) room fairly large , clean , room ( well whole floor ) nice quiet . private feel hotel . also staffmember serve soda wine loungy lobby area early evening , nice bonus . surround area hotel , surprise , seem safe relatively clean . location great ... block touristy part Wharf . would definitely recommend hotel next brief stay bay . 
 Jun 9 2008 	 great hotel 	 stay tuscan inn 5 night . definetely worth . great room , clean spacious enough 2 adult 2 small kid . price fantastic . first book thru hotels.com think get great deal .. sf itinerary change bit , need another 2 night tuscan inn , hotel say would match hotels.com price , actually give we low price ! wow ! staff encounter super friendly hotel location great .. enjoy stay , ' m sure will love . 
 Jun 8 2008 	 really enjoy hotel 	 really enjoy atmosphere hotel . reasonable close Fisherman 's Wharf . hotel offer coffee , tea , biscotti morning wine appetizer late afternoon . staff helpful efficient . stay Best western , pleased . 
 Jun 1 2008 	 fantastic stay 	 stay Tuscan Inn 4 night . room right size 2 people 2 suitcase ( big need ? ) , king size bed spacious comfortable . room back hotel mean get street noise . Cafe Pescatore next door good breakfast , wharf 5 min walk load place eat . get snack Safeway opposite hotel opposite right , cable car stop one street behind hotel leave . one thing must wharf clam chowder bread bowl , good one find aptly name Chowders pier 39 next wipeout cafe . delicious ! back hotel , not go wine evening always busy must good . probably will not go back San Francisco ( much love , be rather long way ) will not stay , would definately recommend anyone else . 
 Jun 1 2008 	 Overall Excellence ! 	 arrive mid - afternoon , rather & quot ; fast & quot ; shuttle ride airport Fishermans Wharf , enter hotel lobby , quite surprised . outside , build not really shout we . check easy , friendly , helpful front desk staff . room upgrade complimentary . room clean , quite large large bed , plus room sofa , table , large tv extra chair . bathroom clean , well light , always well stock shampoo etc towel . bed really comfortable , good night sleep every night . odd thing bathroom door room door open outward room hallway respectively . room face small courtyard centre hotel , street , noise keep minimum . the complimentary wine evening great bonus tea , coffee hot chocolate morning . far seafront . 2 block ! ! Safeway Walgreens across road little snack , drink souveneir . Denny 's 3 block away ! great ! ! plenty Fishermans Wharf . would recommend anyone stay , would stay . 
 May 31 2008 	 Fantastic Hotel 	 fantastic choice , 10 day tuscan , location wonderful couple block pier 39 . Coffee Biscotti morning nice touch , wine taste every evening become must get back hotel . room spacious 2 double bed give we plenty room , bed comfortable bathroom good size . bar road sport fan grand hyatt worth visit . overall fantastic time look forward return A+++++++++++++ 
 May 29 2008 	 Perfect Location Lovely Inn 	 room absolutely lovely , although dresser drawer closet small . bed comfortable . window not open - fresh air . internet free . need something print two different time , follow direction go front desk able get right away . small refrigerator , stock little space & quot ; goody & quot ; . location perfect - two block Fisherman 's Wharf block street car trolley . bathroom large include mount makeup mirror . towel large soft . shampoo , conditioner , soap lotion provide heavenly ! coffeemaker room & quot ; regular & quot ; coffee not leave one day , deliver immediately request . lot lot restaurant nearby . wonderful time would definitely stay . 
 May 26 2008 	 Tuscan Inn incredible 	 say enough good thing hotel . strict budget trip SF thrill get hotel $ 59 Priceline ( season , convention , homework ) . hotel perfectly locate opinion : close Fisherman 's Wharf , away crowd ; within short walk North Beach ( absolute must see ) ; literally around corner cable car ( buy multi day pass - much cheap ) ; store restaurant closeby ; excellent transportation connection besides cable car . hotel elegant , stuffy . one friendly desk / concierge staff ' ve encounter ( make luggage tag , map drive direction , give bus / trolley direction , gracious special request , wine & amp ; cheese hour etc ) . room abit smallish ( absolutely typical SF ) , immaculately maintain , tastefully decorate , excellent bathroom facility . one stand example : painter touch nicks hall moulding , cheerfully greet morning way . budget traveller travel world , hotel one top five pick good value ( not pay rack rate ) . hotel manage Kimpton folk great job price . 
 May 20 2008 	 terrific stay Tuscan Inn 	 Tuscan Inn , exellant location , close public transport , clean , impeccable , friendly service supermarket opposite . king bed room quite overlook courtyard decor lovely . complimentary toiletry , coffee biscotti happy hour drink eveing go prove go extra mile . we find great breakfast place around corner Taylor St , call Darren 's Cafe , good price excellant food service . would hesitate stay highly recommend it . Shona Sydney / London 
 May 19 2008 	 would stay eventhough issue 	 stay Tuscan Inn , walk distance Cruise Pier . go cruise want close cruise terminal . close , Fishermans Wharf area , need rent car , public transportation front . room nice comfy , complain room small . would stay , event hough know luggage check , try work , eventually find , experience great . ( lack communication unhelpful end ) 
