trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Aug 23 2007 	 Dream - ... sure ? ? ? ? 	 book hotel via search engine . major mess ! 2 adult two child , boy age 17 girl age 12 . book executive junior suite . apparently , suite book one super huge queen size bed ! ! ! however book clearly state 2 adult 2 child age 17 12 . afterall , hotel accept booking , have not point ? arrival , room available . staff appear none bother totally unsympathetic not book direct . expect we ? eventually , offer we small room sit area child share corner leather settee . exactly comfortable appropriate choice . also insist increase room tariff additional $ 150 per night . book 3 night . stay two . total cost : $ 1,400 - totally unhappy , never return , never reccommend ! course disco top floor . complaint noise , 4th floor . however , hear other complain noise . Saturday night , return 11 pm , queue street disco . enter , stop doorman ask go . informed resident go room . despite 12 yr old daughter we , demand see room key . totally unacceptable . obnoxious rude . 
 Aug 18 2007 	 Dream Hotel - need couple thing rate high 	 nice looking building outside good location 55th Street West 7th avenue - close Times Square , Central Park number subway line . lobby quite attractive fish aquarium floor ceiling , statue sit area small stylish check - in desk - staff friendly efficient . number elevator - small side typical old NYC building . I book large room - appx 285 square foot - standard room 185 sqaure foot come small bed . decent closet space sizeable bathroom well design many mirror , bathtub / shower combination good water pressure temperature , great lighting good storage space . the room clean neat blue neon type underlighte give room nice ambient feel great lighting lamp bed , halogens dimmer ceiling accent light . for improvement rank high opinion , room need upgrade treatment : * chair room comfortable sit read - nice reading chair would good room hotel calibre * bed mattress sit wood frame - reasonably comfortable would well boxspre / foundation underneath * window could use upgrade sound proof - stay NYC idea amount noise expect , however bit loud street close ( 2nd floor face onto 55th ) believe window would benefit soundproof * clothe dresser function cheap design - drawer stick piece scream low quality ( hotel calibre , expect well ) stay decent good hotel - area improve , rating would average . 
 Aug 17 2007 	 dream hotel 	 Dream Hotel pay $ 284 stay room 1316 locate disco suffer 2 loud disco beat . add insult injury , treat , turn cover , whereas colleague cover turn apple place pillow . air conditioning unit not work well either . hotel rooftop patio great , steer clear 13th floor accommodation , might enjoy stay Dream Hotel . 
 Aug 15 2007 	 RUDE STAFF 	 staff hotel rude . would let guest roof deck short . go home change come back find many people roof short on . they also allow anyone wear sneaker front entrance certain time night . staff even give guest hotel hard time sneaker . 
 Aug 14 2007 	 always stay ! ! love ! 	 Dream hotel great place stay ! great location , friendly staff , awesome rooftop lounge , wonderful spa cool decor ! room typical nyc size contemporary comfortable ! bed soft , clean , white sheet great pillow . place kids family , fun young hotel ! book hotel online IPrefer membership Fabia front desk take great care we . room service time friendly . ava lounge rooftop overlook broadway Times Square . service friendly attentive remember drink exspensive ! fun remember give receive ! 
 Jul 18 2007 	 nice Lighting .... 	 wife & amp ; stay Dream 4 night early mid month , include weekend . first impression - conveniently place without right noise Broadway . easy get subway stroll theatre land . check - in ok , swift professional . small lobby , ' interesting ' design , dress smartly . great hi - vis cylindrical fish tank check - in . room : 7th floor , via 3 small lift , small corridor ! ( busy early evening peolpe try get Terrace bar view ) . double size bed big - 's minimum spec double view , two battle space . however - comfortable hotel bed sleep , take grant . use sort soft lined duvet mattress , cool . beware U.S. hotel room - small , small general , unless afford top - line 5 * experience . you work way around bed , 2 people pass around bed ! not really matter , small niggle . small clean shower / toilet . Aircon efficient , noisy auto mode - kicks - in loud noise wake . great 40 & quot ; plasma screen oversized room , hey ! good music via Bose system . good sound insulation . bizarre cool blue lighting bed desk . would recommend room away main street side 3 lift ! breakfast good ok value restaurant , eat - out else . downstair bar neat stylish , Terrace bar view excellent - beware seige New Yorkers non - resident evening . book sure seat ! ! Amalia adjacent restaurant serve good food , even come overly pretentious description wine list . general Dream hotel staff helpful . 
 Jul 16 2007 	 ' Dream ' ! 	 know hotel people stay hate stay Dream . stay wonderful ! room spotless , quiet , bed amazing . staff courteous .... wish daughter happy birthday check ! concierge helpful well inform bell hop kind also helpful . the location can not beat ... good stay ever NYC ... stay . 
 Jul 14 2007 	 stay Dream Hotel . dreamy experience 	 return stay Dream hotel New York . really enjoy five day stay . first room tiny room locate famous bar Penthouse . Needlesss say night techno music . complain front desk next morning , quite willing change room well location hotel . room small exceptionally clean . staff pleasant willing help . the hotel ideally situate Manhatten attraction within walking distance . hotel gear young crowd 25 35 year old . would definately recommend hotel . if ever go back New York would hesitate go back Dream Hotel ! . RanellaMontreal , Canada 
 Jul 5 2007 	 great location full drunk young trendy clubber . 	 spend two night Dream Hotel . great location close Central Park 5th Avenue . room small funky . small bathroom great shower . good thing stay ; great comfy King size bed . addition , Kevin , concierge really helpful recommend great place eat . bad thing intoxicate night - time raver visit hotel bar travel elevator hotel guest . never safe solo woman traveller . 
 Jul 4 2007 	 Shame can not sleep lobby 	 stay hotel purely competition go New York weekend pay anything . review matter fact . when first arrive , check hotel concierge take bag say would follow we next lift bag . 15 minute later arrive go back get , also get another concierge help need bring key card ( fault time ) . lobby amazing , clearly budget get blow . room , clean seem like 3star give lick paint . really disappointed give one robe per room , 2 we pay extra one . much furniture room yet nowhere hang anything ! room small use neon blue light bed unnecessary . however bed comfortable great night sleep back hotel . the service general weekend reception staff concierge 's not anything special . although use restaurant breakfast morning service food lovely . eat Manhattans $ 20 go , definately worth it . the room clean first day twice 2nd . 2nd day leave apple pillow New York Sunday Times paper hanging door , nice . do not fool fancy website , lobby . sum clean 3star neon blue light bed piranas lobby . Bizarre ! 
