great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Oct 21 2008 	 Fantastic ! 	 stay Apex one night birthday visit theatre brilliant . we book standard double room £ 100 include tax check - in inform would upgrade deluxe room free charge . room disappoint - luxurious spacious , massive comfy bed still room sofa 42 & quot ; flat screen tv.bathroom excellent walk shower , huge bath complimentary toiletry . the area quiet hotel side street good night sleep ' ve ever london hotel . see show Victoria area journey hotel quick easy tube . if get hotel £ 100 less 's absolute bargain , especially close action ... without hustle bustle London hotel . 
 Oct 21 2008 	 fabulous apex hotel 	 fabulous time short break london make even well lovely time apex hotel service impeccable could wish well area nearby tower london around corner , hotel nice book go apex international edinburgh november feel confident experience high quality service london , regard , malcolm lorraine , west yorkshire 
 Oct 15 2008 	 Ideal Location 	 travel Autumn London River Festival . everything hotel good , ideal location visit festival site , close Tower hill underground station big help come train . the staff helpful friendly room comfortable spacious well equip . enjoy visit great river festival .We look forward stay next year . 
 Oct 14 2008 	 surprised price ! 	 boyfriend return weekend break London celerbrate birthday choose much search Apex City London hotel . upon search net expect much price pay 4 star include Breakfast central London extremley surprise ..... good way ! hotel good location Tower Bridhe tube minuete away . night nice see London light area actually quiet ... sure that s weekend thing though ? check check everything dream ! happy helpful staff , clean modern hotel , great bedroom need Breakfast nice . pay extra £ 5 cook one worth . even serve scottish breakfast ! bar serve great cocktail good vibe it . we love room , high standard , clean , modern . bed comfy . mention celerbrate birthday upgrade free charge nice little extra like extra chair room , robe ... come back new year recommend least 5 friend stay visit London next week . the review justice , even well real life though ! Book disappoint ! 
 Oct 13 2008 	 Relaxing 	 first visit London actually stay city . idea expect need worried . moment enter hotel left , staff 1st class everything , front desk kitchen . enter room delight spaceious well equip facillitie include large walk shower / wetroom , kingsize bed well stock tea / coffee tray tuck neatly away cupboard along fridge . everything need phone call away ask reception enter leave , taxis breakfast bed nothing much trouble . one good night sleep long time completely relaxed throughout visit . way rate experience excellent anything less would fair staff due professional approach make stay complete . 
 Oct 13 2008 	 Excellent ! 	 ' ve spend two day wife wonderful hotel . my room view Tower Bridge . the room spotless , immaculate comfortable bed . the zone quiet one . even window open could not hear noise form street . 
 Oct 9 2008 	 Beautiful Hotel -- Great Breakfast 	 Apex City London Hotel beautiful hotel great location . room small , make provide great atmosphere ! could walk hotel Tower London Tower London Bridge . website provide information http : //www.apexhotels.co.uk / hotel / city - of - london/ ! would mail post card breakfast good ! hotel also clean make we feel like pay ton money stay , not cheap , worth every penny ! also enjoy safe walk taxi around corner London Underground Tube Station ! general London tip : get London pass REALLY wonderful resource everything save little cash ! really enjoy eat lot place list ! 
 Oct 6 2008 	 Excellent hotel quiet street 	 comfortable modern hotel minute walk Tower London , tube bus service . friendly helpful reception , lovely clean room bit space could ask include safe drink make facility . complaint would lack daylight room - small window face small dark area outside . well tv good variety channel hire dvd refundable deposit . pre - book breakfast hotel website get price reduction - breakfast fresh continental combine full English freshly cook - yummy . luggage store safely checkout time . stay weekend mean disrupt public transport difficulty get barbican due meet son . go weekend likely use public transport check tfl ( transport london ) website station line closure . bus 15 RV1 Great Tower Street opposite Tower Gateway respectively also take City . would happily use hotel . 
 Sep 30 2008 	 Lovely Hotel Nice Location 	 return three night stay Apex , City London , lovely hotel . room luxurious , say least , one comfortable sleep ever hotel bed . hotel locate good , safe area , near tube matter minute walk away . nice pub nearby ( though close , street hotel lovely quiet ) . service receive exceptional would highly recommend hotel . 
 Sep 26 2008 	 fab hotel great location 	 stay two night 20th wedding anniversary say fantastic hotel great location , look window bird eye view tower bridge.the staff could not nice minute check say smooth check ever , nothing problem.we breakfast two morning would highly recommend get great feed do not eat day ! ! room great size two television two dvd player ! ! plenty tea coffe , biscuit complimentary bottled water every day , bed sooo comfy.it also quiet night time everything near , tower hill tube station around corner tower london beside lovely walk along river.we definately stay hotel recommend friend go london 
 Sep 24 2008 	 great location value 	 stay September 12th 13th take Proms Park Thames Festival . good sized room second floor view small adjacent park . room clean large bed good sized bathroom bath separate shower - plenty hot water good pressure . weekend even room quieter expect heating / cool work well although default set 23c rather warm we time year . complimentary newspaper , great continental breakfast good selection cheese , meat , toast fruit well usual continental pastry . location easy transport - 15 bus short way away , Tube even near boat available within ten minute walk alongside Tower . good value book internet room upgrade arrival . we book hotel result Tripadvisor review disappoint . 
 Sep 23 2008 	 great service nice room 	 wife stay friday sunday . hotel nice , Superior King room , nice standard , big bed , nice bathroom shower room bathtub . employee show excellent service . order full breakfast 3 - course dinner . hotel restaurant Addendum also excellent service great food affordable price . there nice gym basement . its situate close Tower London , subway ( circle line ) , bus 15 Thames river boat . get Heathrow , take hour first take fast train Paddington station , change circle line stop close hotel . its & quot ; downtown & quot ; london , easy get bus subway . lot cosy pub dining place outside , full life friday , dead saturday . Addendum open though , case not want go downtown . 
 Sep 21 2008 	 Awesome Stay 	 almost can not say enough stay . book deal London website similar Hotwire / Travelocity . get room half average rate . room large , nice view fantastic location . we not get change eat hotel , look niced . across London Bridge . room clean , staff great , hotel new modern . 
