great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Oct 24 2008 	 bad short stay 	 stay October 2008 surprise , withall holiday inn certain standard isunchange place though world . basic clean . the room nice bathroom big generalstuff like like iron , hair drier , tea coffeefacilitie . the main draw back placedin room beside elevator rumblingup shaft night . know wasthe elevator hit floor would geta noise like microwave door opened.other place perfectly dine short stay , would recommend 7 14 day . 
 Oct 16 2008 	 well positioned hotel sightseeing . 	 stay couple night . room ok coffeemaker . however bathroom bit small . powerful shower bath . the aircon unit room pretty poor not seem cool air - move around . factor plus heavy bedding make sleep uncomfortably hot . the subway station Columbus circle far away make get see sight easy . also Times Square Central Park within walk distance . 
 Oct 13 2008 	 bad 	 Midtown lot positive negative . positive walk Times Square ( be 8 block , much NYC standard ) . cab ride Times Square cost we $ 6 one way . locate near lot stuff . another positive room large lot room consider . able 3 girl stay comfortably one room ( enough room rollaway bed , rare NYC . ) bathroom small , eh , care , enough room we sleep get ready , need . free continental breakfast good well . ( ask coupon will not give . ) negative housekeeping staff less stellar job . dad spill water bed around 5 pm call ask bed change new blanket . leave arrive back 10 pm nothing do . call ask someone come . someone arrive 10 minute later towel . Random ! call ask sheet blanket someone bring not even put bed . room not get make one day all . but price pretty good quality room good location , can not picky . would recommend hotel ! 
 Oct 8 2008 	 like do not try ! ! 	 live New York move hotel apartment treatment . limited budget , settle ' good quality ' ' good money ' . room ok long do not need much wireless internet hotel . part nice . front desk RUDE every time meet . speak confrentational . checking , girlfriend need copy credit card ID speak someone early day say everything good go . call ask ask speak desk . request deny , conversation desk girlfriend go like : ' what question ? '' can not ask ? '' need know he s go ask '' ? ( ) she s beig helpful '' helpful ! Miss call hotel '' well I m phone , right front '' call ... ' then call deny conversation happen . say ' right that s ' she ' say . ' turn , one say ! ! bottom line , staff rude never stay . plus room lot thing miss make pain butt . 
 Oct 5 2008 	 okay convenient 	 good location major plus , friendly staff charm helpful conceige . place clean neat . room average , bathroom tiny . closet roombar restraunt good 
 Sep 25 2008 	 surprised ! 	 read review hotel , not expect much honest . first time New York . hotel really nice outside enter buidle lobby reception surprisingly well photo post website . staff friendly . room big , clean nice . overall really pleased happy room . however , air con unit plastic bug strip , ask change room high floor incase . staff great say problem . even give use free voucher use breakfast water . room perfect really enjoy stay . breakfast great especially since free staff really friendly nice . never go bar restuarant , also look appealing . store luggage day also book taxi doorman - friendly helpful . also use safe facility hotel find also satisfactory . would stay - great shopping . 
 Sep 17 2008 	 really pleased ! 	 think hotel great . first timer NYC 's great location handy everything . room nice big comfy bed quick wireless internet connection . front desk sometimes little grumpy yet still helpful rest service excellent , would definately stay ! ! would highly recommend - go another friend impressed size cleaniness room location . 
 Sep 12 2008 	 Value Money 	 ideal choice look value money hotel near Central New York - Times Square - 15 min walk couple subway stop - Colombus Circle subway 1 block away hotel . room spacious comfortable - luxurious value money . give non smoking room smell smoke ask move dorte quickly . swimming pool nice along hot day walk around . staff helpful , pleasant stay can not really fault anything . would recommend budget luxury . 
 Sep 8 2008 	 lovely hotel good value money 	 book hotel see bad review trip advisor , bit worried . hotel basic clean , well situate ten minute walk time square , away noise able sleep.had meal hotel find really good expensive bar hotel like quiet drink day sightseeing.staff helpfull , waitress restaraunt give daughter tip shop.overall love hotel . 
 Sep 5 2008 	 feel good choice 	 all - star hotel , ? like ( know anything New York ) , real concern stay . take shoot hotel happy . reasonably price . ' place look luxury , staff helpful location perfect . easy easy New York car . location close subway . , feel safe walk neighborhood night . walk Times Square big deal dark . , happy location , mean everything . room nice enough . problem hotel . stay without question . ' read poor review , ' negative experience note . read review leave , feel hotel really underrated reviewer overall . New York see city decent , safe place stay . clearly meet need every level . oh … easy parking , . park car leave extent stay . close Columbus Circle ' need car . Yankee fan … easy get stadium . take F ( make sure know need take local F train … always stop stadium ) . 
 Sep 5 2008 	 Good Location 	 stay Holiday Inn explore city & quot ; NY & quot ; hotel locate 2 block subway entrance central park . nice restaurant one block away . hotel large room ( city hotel ) bed good shower work give plenty hot water . instead visitor thsi forum find hotel breakfast area fine , will get decent meal fair price not leave building . the pool nice , little swim hot day much walk sure welcome . not much hotel service . overall good place stay . 
 Sep 4 2008 	 nice great location tatty 	 Old review time fly ! friendly lady reception , make feel welcome straight away good delay Gatwick roller - coaster taxi ride JFK ( unforgettable ny experience ! ) .I remember read last redecoration 10 year ago show . awful , definately live look . need strip redoing . lift good corridor outside tatty often smell cigarrette smoke . way room service tray dump outside service room near lift not great , partially next room . not , stay age . but bed comfy , free wireless internet , view not amazing south tower time make difference . be go get amazing view , not expect one ! good location , 25 minute walk Times Square go south close central park Columbus Circle metro go north . lot restaurant , diners bodegas nearby keep feed even go round corner hotel ( great doughnut ) .this hotel good need base , somewhere collapse end day somewhere drop goody day . 
 Sep 4 2008 	 Great Location ! 	 stay hotel wife 2 teenage daughter 5 night . have one room big enough we bathroom slightly small . room clean airconditione work adequately . request high floor face road get find quiet night . easy walk distance time square central park hustle bustle downtown . breakfast ok eat hotel hundred eat place around . ideal show -walke distance hop hop tours.would stay would recommend hotel good value accomodation New York . 
 Sep 4 2008 	 holiday inn midowtn 57th manhatten 	 hi , daughter spend 5 night hol Inn 57th 27th Aug , could not fault hotel . comfy bed , pleasant staff , great shower . 10 minute walk central park , 25 minute walk 42nd st , subway 5 minute . good location , quiet . hop bus good although finish 16.30 , use local bus , train etc . Taxis seem cheap enough , driver pleasant ! ! recommend transfer bus hotel , well organise time . book ticket top rock , tour bus cruise transfer end , save lot time hassle good price . use attraction ticket direct booked line . great find quiet location . Roof toop pool bonus august weather really hot . pool close 1st sept open sunday . good luck great time - ! ! ! ! ! ! ! comfy shoe MUST ! ! 
 Sep 2 2008 	 expect 	 arrive hotel lobby bar area etc invite expect room ..... Holiday Inn big brand name , expect standard holiday Inn UK .. however would say UK standard lot high . the room okay- decor maybe bit old fashioned line mildew / mould net panel window . room also never curtain closed make good view room opposite build across car park . the bathroom small spot mould round tile overall feel be not clean /fresh could be . the location ok ... use subway usually handy good block walk get ... would probably stay near center next time close walk distance place ... although nice eatery round about . also , hotel reception staff could quite blunt / unhelpful bar staff bellboy pleasant . overall hotel not bad .. return New York think would stay somewhere different ! ! 
