GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 May 9 2008 	 run 	 arrive Vegas know Sahara history decide go see could get room . lobby seem nice , check people use really old do system dot matrix printer grotty know be not good sign . got double room first night AU $ 179 second night sunday $ 55 kinda happy . check bring bag . go room realise smoking ( do not ask counter do not think ask . learn States ask everything cos be not good give information unless ask - stupid ) . rang say do not want smoking room do not non smoke one we . look room . layer dust table , furniture batter scrape , stain another table , stain carpet , dirty wall - overall embarrassingly awful . go check cos do not another room surprise , offer we non smoking room ! God really annoy ! go trouble lug bag back realise lie phone early . wrecked say would see room . exactly , minus smoke smell , furniture be not bad state . good bad . bed base filthy tho side do not want look . stain carpet see room well . worth money really quite embarrassing decide go history try enjoy fact alot famous people show , etc - admittedly back 50 60 prime ( probably refurbish since 80 ) . read buy last year hopefully new owner give lease life . good thing view Stratosphere monorail stair . be not fuss hotel room , be not bad place stay . 
 May 8 2008 	 last time ... bad . 	 friend consistent visitor Las Vegas stay Sahara numerous time . however , time come move accom 's due experience time . need late night supper service coffee shop horrendous , specifically Hostess . unknown reason want give we booth 2 occasion threaten we security persist . lady work long & quot ; think & quot ; . also find poker player regular local give preferential treatment dealer guest / tourist often brunt joke , eye roll , verbal abuse . sad see unprofessional . no complaint room , decent price get . pool area nice great deal poolside BBQ saturday . of note , & quot ; House Lords & quot ; excellent restaurant service always top notch . continue visit there . additionally , frequent poker game , find proximity rest strip way hard get cab Sahara . 
 May 7 2008 	 Old Rundown 	 first , 15 computer check desk 2 3 people work every day line fill whole lobby . not understand look like permanent 1 hour wait time day stay 3 night free , constantly walk people outraged lack staff . nonsmoke room smell stale mystery stink , furniture look like resale crap , tv make 1990 good , airconditione somewhat useless . sure something go town , crowd well , people gamble look like crawl camper call home barely enough money carton cigarette live . one waitress Saturday pool stare parking garage cement another wall . be 21 yrs old look cheap place crash might work , be old 25 look elseware . 
 May 6 2008 	 never ! 	 normally tolerant person , however girlfriend terrible night 's stay . start arrive - line check snake nearly front door take 45 minute get counter . meanwhile bellboy stand around laugh , chat one come anyone apologise delay even offer take bag we . when get counter , lady check abrupt rude saw doctor , become exceedingly nice afterwards . not appreciate kind attitude . get room , 2555 , find make . rang housekeeping tell , apology say would send someone . wait wait one come , go back front desk ask room change . this second man deal even rude . yet apology , even recognition not happen . tell happen , said & quot ; Name ? ....... room ? ........ & quot ; & quot ; new room 2489 & quot ; . literally THREW new key across counter we . still bellboy stand around chatting , offer move bag we . we get second room floor make , twin room instead king have pay ! go back reception ask speak manager . 3rd staff member deal similarly disintereste plight refuse get manager we ! give we another room try , finally correct - clean , make , King room - much ask ! ? pity room smell like wet carpet . we understand error element chaos line long , seriously extent , stage sincere apology would defuse situation . my girlfriend ask woman counter could make complaint handed feedback form , give back bellboy read put counter - either secure feedback box , bin - guess will never know . on plus side - steak restaurant house ( House Lords ) pricey , good . monorail station conveniently locate , plus hotel well place strip , extreme north end . I may eat , never stay . 
 May 3 2008 	 Sahara Classic 	 Sahara apparently one last remain classic hotel early day Vegas . celebrate 55th anniversary , Vegas , old ! hotel somewhat renovate . outside lovely . pool area , though small hotel strip , ample size , accomodate pretty . room hand dire need renovation . clean , old , musty smell , carpet wear , mattress extremely uncomfortable , bathroom old , tub faucet drip . as third stay Las Vegas , noticeable difference , aside aesthic , service . new hotel , example , arrive airport bag , be someone assist - . sit pool , server would come ask need drink - . need cab , someone hail one - . ' m sure ask would received , way , not invasive place - certainly save we money tip . we eat cafe coffee bar . cafe good - like diner service . coffee bar great coffee , offer muffin , cake , bagel sandwich - ok . the hotel direct access monorail system , extremely convenient fast . we problem delay check . let say , check Tuesday Friday . end , stay quite pleasant - luxurious hotel , price , acceptable . 
 May 3 2008 	 Paid get ! ! ! ! 	 stay Sahara April 28- May 1 2008 stay standard room Alexandria Tower . check long slow . clerk use old comuter system card key writer . room 16 th floor partial view Strip . room old need restoration . room bathroom clean housekeeping excellent throughout stay . Buffet worse ever eat comme Vegas 20 year eat bad one . cafe good burger breakfast . I say $ 33.00 night , worth pay . want cheap clean .... good place sleep hour . staff save grace . every staff member contact fantastic . always helpful always smile . 
 May 1 2008 	 Bed Bugs ! ! 	 leave room see huge bed bug one pillow ! 's enough keep anyone away , place rundown smell like stale cigarette smoke . employee rude unhelpful . breakfast buffet disgusting . pool nice , except awful music pipe full volume . stay somewhere else stay home ! 
 Apr 30 2008 	 Worthwhile option 	 travel Las Vegas every year convention . convention hold Las Vegas Convention Center ( LVCC ) . stay LV Hilton past 5 year , hotel room rate climb , decide try something less expensive still hopefully convenient Hilton , right next LVCC . convention , Sahara almost half rate Hilton . book room convention hotel reservation system . Convenience LVCC primary concern trip . choose Sahara Monorail stop , know could get LVCC quickly . also convenient evening get event Strip . walk Sahara Monorail stop room Sahara really much far walk back Hilton Hilton Monorail stop , except rail time ticket , break even . small sacrifice well worth end . the Sahara offer pleasant stay . room clean , quiet secure , primary concern hotel . room sign wear , nothing drastic unacceptable . odd stain seat desk chair , two side chair , seat option . my interaction hotel staff limit check - in check - out . experience pleasant . hotel offer internet access room . problem connect first , call desk , engineer send room within 10 minute investigate problem , turn faulty cable . also trouble upload file FTP ( work convention ) , problem significant . ( Files would upload , confirmation file transfer complete without close FTP browser relaunching . figure quickly enough make due . ) common internet use hotel , access site e - mail trouble - free . because convention , eat hotel restaurant time , available choice look good . will try next time . for need trip , sahara ideal choice . visit Vegas gambling excursion , plenty choice available , although rate Sahara attractive . room - rate comparison favor , likely stay Sahara convention next year . 
 Apr 30 2008 	 Slow check - in 	 check - in process slow ' ve see Vegas . take 1.5 hour get check one person desk . check day way ... know bus load come day get check .. hide fee $ 6.00 day charge check - in crazy .. add room rate ? check stay great ... good time check - in 4 am .. 
 Apr 28 2008 	 bad Motel 6 	 book NON smoke king bed 2 night via tripre $ 90 . however , hotel overbook room , front desk end give we smoking King Bed mold crack bathroom ceiling bath tub make squeaky noise step . call front desk could offer smoking 2 double bed next day , call front desk ask book , move we smoke king bed AC break phone ! ! ! go straight front desk ask another room , say send engineer couple hour , ridiculous , insist unacceptable would like another room , finally give we non smoking king bed room . understand hold NS King Bed since reserve first ! ! ! also charge $ 7 / day facility even use . we would never go back , room condition horrible ... mold , crack , AC , broken phone , 3 5 light room work ... totally bad Motel 6 . 
