disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Oct 10 2006 	 Modern amenity understaffed time 	 husband stay Amalfi weekend hotel interest outrageous rate . find Amalfi TripAdvisor . pay $ 279 / night . the Amalfi locate decent location near river . numerous good restaurant bar within walking distance . also walk Magnificent Mile . try Bin 36 dinner drink , Keefers ( right next door ) drink , Tempo ( several block ) breakfast , Grand Lux Cafe ( Mag Mile ) brunch Sushi Samba dinner . prefer stay northern end Mag Mile , close lake , good alternative . the Amalfi decorate modern style , always loud music play lobby . decor bright refreshing . room clean little cramp two people . feel like always step eachother pass bed tv . bathroom good size . aveda bath product . room seem newly furnish contemporary style . hotel 6 floor , not view . some nice touch complementary cocktail hor d'ouevre reception every night 5:30 - 7 complementary continental breakfast include fruit , juice , coffee pastry , serve every floor every morning . nice come room pajama gather goody take back room . I complaint . first , back hotel loud night . Friday night , stay room 440 , face alley . alley 10 dumpster empty periodically night long . noise bad ask switch room next night . tell go room 419 , knock door , someone sleep . ( double - check front desk staff Disturb sign door . ) ask room end get much quieter room face front hotel . my second complaint hotel seem understaffed . 1 2 front desk staff working time , inevitably wait one available . also , front desk staff also serve concierge , one people may occupy 15 minute help someone direction reservation . front desk staff seem bit unprofessional time not willing please attitude . Valet parking cost $ 37 per night ! ! ! wait 25 minute get car back Sunday afternoon . so , good experience , not know stay . 
 Oct 1 2006 	 great hotel ! 	 husband stay Amalfi 5 night September , thoroughly satisified . bed linen great , breakfast floor convenient . room clean . ' happy hour ' evening , partook , well do . staff extremely friendly helpful , answer question quite easily . hotel small , 6 floor , view room street , problem we . look huge , bustle hotel , staff fall , high price cafe , place . touristy thing Chicago , really enjoy friendliness people cleanliness city . like location hotel , north / south portions downtown , convenient side river . lot walk , take subway , bus . also 7 - 11 around corner incidental . hotel quiet . the thing probably dislike Chicago people street ask money , sure way big city , pushy point obnoxious . we really enjoy trip Chicgo ! 
 Sep 13 2006 	 unique touch customer service 	 previous poster state , website make feel though well Disneyworld customer service site , . customer service fine , anything write home . not greet door first time enter anytime exit enter , problem . average service . breakfast nice floor , go robe back room , without may see . sheet great , nice soft hotel white ! ! neither towel ! think good . 2 showerhead nice location . 
 Aug 31 2006 	 Amalfi : website well experience . 	 Amalfi Website exceptional persuade decide many option take chance hip cool presentation . truth matter Amalfi Website well actual experience . expect blow away incredible customer service think . two day Amalfi call sir one time . time period call Sir jogging walk Conrad Hotel gain access mall . matter 2 minute address Sir three time different employee clothe jog pant wrinkle t - shirt . amalfi employee nice polished . accomadating , exceptional . cool , excellent service . well service Embassy Suite residence inn . room - Beautiful Suite , comfortable bed , Nice AmenitiesPrice - Good valuequiet- Mature Patrons . overall - hip , incentive laden , 3 star boutique masquerade 4 star luxury hotel 
 Aug 20 2006 	 enjoy stay 	 pleased welcome spouse daughter enter lobby . 4 year old daughter greet crayon color book . staff extremely helpful time need assistance . bathroom minor problem staff quickly send technician resolve issue . enjoy evening cocktail even service contract nanny service wish attend evening event ( experience eatery downtown allow child resturant ... nerve ) ! breakfast average ( cereal selection neither hot cold ) . overall pleasant experience nightlife require babysitter . enjoy hope help ! 
 Aug 20 2006 	 great boutique hotel 	 Excellent service , clean , comfortable quiet room , incredible breakfast reception include cost hotel room . impressed , highly recommend new botique hotel , stay ! 
 Aug 15 2006 	 Loved Amalfi hotel 	 manage get amazing rate Amalfi impressed room friendly staff . fall love FREE continental breakfast provide every morning especially chocolate croissant , yum ! amalfi great hotel definately stay . love Swissotel , feel definately get monie worth Amalfi since least offer Free continental breakfast evening cocktail reception . 
 Aug 7 2006 	 Great Staff good location make Amalfi good choice 	 wife stay Amalfi past weekend quite pleased . staff helpful pleasant . room ( 530 ) tastefully appoint spacious . dual shower head great . breakfast floor definite plus . decent choice pastry , bread , muffin . fruit ( except juice ) dairy product san butter . choice coffee tea along juice beverage . within walking distance Navy Pier block House Blues ( see Chris Isaak ) . plenty restaurant around room service Harry Carry 's arrive 15 minute 7 pm Sunday night . well equip exercise facility . if drive definitely consider parking outside Hotel . arrive hotel 's valet even suggest park car . $ 37 day park hotel 's lot versus $ 6 day weekend $ 24 day weekday lot 2 block west hotel south side Kinzie Dearborn Clark . if return Chicago would definitely stay Amalfi want stay downtown . ( North Chicago River therefore couple block away loop . walk along river see tall ship way pier also quite nice . ) 
 Aug 4 2006 	 overall excellence 	 overall excellence . stay 5 night never disappoint . location central everything south river north , make easy walking . friendly helpful staff , quiet room , out - of - the - ordinary free continental breakfast evening cocktail reception ( top shelf liquor ) . hotel occupy low 6 floor 12 story building . bedroom average size bathroom large double - head shower plenty counter space . minor consideration : provide 2 towel per day give extra ask ; exhaust fan bathroom ; jiggle handle toilet keep run ; mirror bedroom . back hotel quiet top 2 floor view -- - other face brick wall . would definitely stay . 
 Aug 2 2006 	 Loved Amalfi 	 return weekend Amalfi Hotel . group celebrate anniversary birthday . room well appoint clean , expect boutique hotel . comfortable bed pillow . spacious bathroom Aveda product . continental breakfast freshest ever hotel . sure attend manager 's evening reception - top notch appetizer cocktail . bonus hotel friendly staff - typical snob find big city boutique hotel . everyone encounter bellman , front desk , housekeeping , food attendant gracious . front desk even extend checkout 3 hour accomodate flight schedule . location convenient Michigan Ave , Loop , El , River North offer . definitely stay next visit Chicago . 
 Jul 29 2006 	 Happy Anniversary Amalfi 	 stay one night Amalfi celebrate anniversary . hotel lobby minimalist , easy check - in . room small nice touch ... book shelf , cd , nice roomy bathroom love double - head shower Aveda product . bed comfy . continental breakfast nice , croissant , muffin , bread , fruit , etc . would stay . 
 Jul 28 2006 	 relaxed unassume elegance 	 first stay Chicago glad choose Amalfi . helpful nice minute step onto curb . 3 day stay , treat well pay presidential suite . slacker snob group . room well decorate comfortable even though small . everything convenient room well hotel . morning pastry , etc . well hotel appetizer complementary drink evening great bonus ! definitely stay next visit . 
 Jul 26 2006 	 Downtown stay 	 well locate well staff . amalfi clean comfortable place stay . lacks restaurant bar many near . free continental breakfast evening cocktail . 
 Jul 25 2006 	 Great Hotel ! 	 great experience Amalfi Hotel ! 's great location - walk distance Michigan Ave , lot restaurant , House Blues . hotel room clean nice modern decor . complimentary continental breakfast floor convenient . coffee pastry good . also gym floor clean new equipment . not deal staff much helpful . great overall experience ! 
 Jul 17 2006 	 great stay 	 stay group friend see World 's Largest Block Party concert July . hotel nice - quiet , still plenty young people energetic vibe . 's good location - actually close Michigan Ave ( previous person obviously know walk different way five min ) , yet still within Rush St. area good bar restaurant . not miss burger Harry Caray 's . also , Weber Steakhouse good . good place Billy Goat Tavern . anyone appreciate SNL ( & quot ; cheezborger , cheezborger & quot ; ) love - change seventy year sit . cool place great burger . Amalfi need . nice , clean , professional ... 
 Jul 11 2006 	 thing great thing great 	 stay two night September 2005 anniversary . hotel rank # 3 get $ 200 / night stoke . good = room nice . bed extremely comfortable . liked style placeokay = Breakfast rave reviewer , find average . not good = front desk service nonexistent midnight . frustrating look late night dining option . end get anything . wish location block two close Mag Mile area . 8 - 9 block water tower . State Street be not Michigan Ave . we not experience designer thing , be area pretty much know go do . overall , would stay , would explore option first . 
 Jul 8 2006 	 Excellent Stay Amalfi 	 stay hotel business / pleasure . request early check - in accommodate without problem arrival . staff also helpful make sure mini - bar space personal use ( travel infant need room milk ) . room average size city hotel room furnishing modern art deco . closet space small , enough need . bathroom large Aveda bath product . hotel room clean housekeep great job every day cleaning room provide turn - down service evening . every morning fresh continental breakfast delicious coffee front elevator . room right outside elevator hear noise outside door . hotel also complimentary cocktail hour night liquor , beer , wine appetizer . room service deliver Harry Caray 's Restaurant price mid high quality food average . mini - bar good snack consider husband eat , surprised come $ 19 ( stay 5 day eat goody entire time ) . husband use gym enjoy machine . gym also open 24 hour . staff helpful , pleasant , accommodate . one time drop glass bathroom housekeeping staff immediately come clean . improvement say hotel need internet access . wireless point every day . hotel also business center use printer fax machine , internet room try use . engineer helpful apologetic problem fix within hour complaint . see guest pet think dog allow establishment . hotel pool . conveniently locate next door Red Fish Restaurant ( great food ) also 7 - 11 right around corner . bar ton place eat within walking distance . hotel close Michigan Avenue hotel stay Chicago area , still within walking distance museum , shop , attraction , etc . would definitely stay would recommend hotel couple people business . hotel also family - friendly , pool , would stay child . 
