North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Jul 11 2009 	 great casino hotel 	 enjoy two night stay Bally 's June 2009 . Diamond Registration clerk Casino Marketing Manager pleasant assist we . several extra request pleasantly involve situation assist get we need .. housekeeping service great . thoroughly enjoy meal Sidewalk Cafe ( conveniently locate indoor rear casino area ) . room spacious well decorate . gaming Staff nice . cocktail waittresse friendly come around often . enjoy use Diamond Lounge , locate Paris Hotel / Casino ( sister hotel Bally 's . ) free use computer guest access internet great . really enjoy stay . second time stay Bally 's . would definately return future trip . 
 Jul 10 2009 	 Un * * * * * * * believable ! 	 check July 3rd wait time short . upgrade large suite ( $ 25.00 extra p / night ) large steam shower separate jacuzzi tub . great view . close enough strip action far enough away relaxation . everyone deal , valet bellman waitstaff make we feel welcome . dinner service & quot ; al Dente & quot ; awesome ! Tequila Bar good . great view watch firework 4th . would definitely stay . probably con hard water Vegas , need put hair conditioner bathroom 
 Jul 10 2009 	 convenient 	 time Las Vegas short hotel ideal half way strip central major attraction . easy free parking restaurant site . check fast number guest cater unreasonable . south tower room quiet , clean comfortable . hotel quick inform guest forthcoming disturbance road work large number check out expect guest could avoid busy time . 
 Jul 10 2009 	 wonderful trip husband 50th birthday 	 compe 5 night south tower . check ( take 10 minute ) give room North tower , king room , non smoking , question ask . surprised & quot ; good review & quot ; pay additional fee North Tower . wonderful staff room clean spacious . husband first trip Las Vegas thrill accomodiate . location great , absolutely wonderful stay . check breeze , check room via tv menu . well , check zero balance . big gambler , play slot recommend total Rewards card ... great benefit offer ! even get free meal . would definitely stay . thank Bally 's trip lifetime ! 
 Jul 9 2009 	 never stay 	 bad visit Vegas . check bad , wait one hour line . South Tower dirty wall paper thin . bed soft lumpy . bad around . 
 Jul 9 2009 	 Perfect Wedding Weekend ! 	 Bally 's fantastic - excellent , fast , friendly service good food strip . regular room huge usual amenity . could not well weekend - price definitely right . ideal location strip well . right middle action . 
 Jul 8 2009 	 want FUN - good value - stay ! 	 friend stay Bally 's June 18 - 22 . marry mom late 30 's early 40 be look get away , relax fun . main concern hotel fun pool atmosphere ( spend everyday pool not hit strip till dark ) , central location & quot ; top & quot ; term frill cost . Ballys GREAT ! stay 8 year ago love . check mention friend 's b'day clerk upgrade we South Tower North Tower . room large , clean comfy bed great airconditioning . change notice last stay daily charge refrigerator use room safe . location center strip close everything . hop shuttle Paris ( connect Bally 's ) take Rio take another shuttle Freemont . ( alot fun ! ! ) pool nothing fancy large deep end . D.J . play music everyday . want pool thing fairly loud get bit & quot ; rowdy & quot ; ie , LOTS drinking encouragement sport go ... not stay Bally 's . love activity ... waitress friendly , people friendly always something go , ie , hoola hoop competition etc . negative price item small market locate near lobby ( $ 3.00 small bottle water ) . go market locate 1 block behind strip Bally 's Gamblin Bills .... good price ... bit walk thru small mall get pool stop crap fairly inexpensive fast food along way . overall , place great really good value compare hotel locate near strip . stay ..... 
 Jul 8 2009 	 Location - 	 advantage - location valet parking . hotel room use clean . bathroom terrible . Smells awful . 
 Jul 7 2009 	 bad service ever ! 	 dicide rent cabana two woman group little old need shade , still want we . call 11:00 reservation , get 1:30 . cabana not ready . table dirty , much garbage food behind tv , bird fly back eat . ask everything . ie : chair , lounge , ice , beverage , float ( ask engineer , person see ) extra towel , menu . no - one come clear empty . complain , told & quot ; short staffed & amp ; 7 cabana & quot ; say something supervisor , go get employee explain . make several call manager & amp ; never get phone call back . 
 Jul 7 2009 	 thoroughly good 	 stay hotel first time interior design enthusiast , say lass & quot ; bet Ray Hanna involve decor & quot ; talk manager delight Ray many renowned decorator involve , Robs Lamplough etc . thoroughly good hotel , great service excellent colour scheme . 
 Jul 6 2009 	 great time 	 stay Bally 's 4th July weekend . check - in 3rd breeze ( arrive hotel 10 , room ready ) .It nice stay large , clean room ( deluxe king North tower ) .The pool scene really fun . pretentious , lot people good time . my wife love Spa well . great stay overall , return.2 small things- clean nasty window not charge $ 3 per day use safe . 
 Jul 4 2009 	 great hotel great room great location great price ! 	 say hotel except wow , massive room . say massive , room probably big first flat , huge . bed design sleep entire football squad ( american European , take pick ! ) , big enough 6 ' 4 & quot ; lay direction still mattress . Decor little date , sheer space make . room open plan , bath bathroom slight mezzanine . bath look room , toilet bidet separate little room either side shower . room also feature two basin two large wardrobe . my three complaint room : -1 ) cleaning do high standard2 ) shower strength wet dog shake excess water onto you3 ) wireless internet tiny Ethernet leadapart , room comfortable , little loud ( air con quite noisy bathroom fan ) comfortably furnish . issue experience check - in checkout problem one book room ( water leak ) handle well staff . 
 Jul 4 2009 	 avoid Ballys Las Vegas 	 Ballys room request , pay upgrade room get king bed . charge we additional $ 25 / night . also pay $ 3 / day use room safe . also pay $ 4.50 extra drinking glass : $ 2 glass plus $ 2.50 & quot ; room service . & quot ; internet additional approx $ 15 / day . the sheet hole fray . washclothe towel also fray hole . staff unfriendly check check . Bally 's claim 4 star hotel . certainly . nicer experience Motel 6 . ok group crazy college boy look stay cheap frill atmosphere . 
 Jul 4 2009 	 Awesome Value Center Strip 	 stay Bally 's four night June 5 - 8 get steal deal Westjet Vacations . e - mail hotel advance request room North Tower grant question ask . check quick clerk pleasant able answer question . luggage quickly deliver room porter give we two free Eiffel Tower pass welcome gift Bally 's . pleasantly surprised huge room ...... king bed room dine / sit area couch chair close 10 people ! bathroom also large makeup table outside . stay room always clean barely hear sound guest floor . grant Bally 's old hotel facility luxurious other Bellagio Wynn , can not beat price ( think two weekday night neighborhood $ 50 / night ) convenient mid - strip location . add bonus Bally 's connect Paris beautiful hotel / casino . restaurant Bally 's good ( nothing fancy ) plenty variety - everything italian hot dog . Nosh ( casino level ) serve great breakfast ! casino always lively modern slot , want variety go Bellagio mgm.all , would recommend Bally 's would definitely return . blast ! ! 
 Jun 30 2009 	 lucke 	 reading review , realize totally lucke room . originally book South Tower , end North Tower King bed room . large hotel room ' ve ever stay apart honeymoon . not view tv old , not mind . tile marble bathroom makeup area ( LOVED makeup area ) , retro velvet tufte wall act headboard comfy armchair . bed soft side , sleep well not issue noise . , think get lucky . one point evening hear people talk hallway hear conversation room even tv . imagine intolerable would ' ve noisy / talkative neighbor . 
 Jun 29 2009 	 can not recommend can not beat central location 	 stay numerous hotel Vegas area last 15 year research know getting go . never write review bad hotel honestly recommend Ballys anyone . arrive Bally 's June 22 reading review fully expect would stay Venetian Wynn . check line 75 - 100 people deep 2 clerk work ! ! check take 1 1/2 hour bottled water distribute throughout line bit nice touch never end wait . request North Tower room honestly say would hate see South Towers ! room fairly clean , hallway get stain everywhere look like red kool - aid substance . window absolutely filthy not even open curtain entire stay . housekeeping pretty good daily reviewer state , glass , plate room service tray stay hallway day . a / c unit quiet hard time keep room cool set 72 . one afternoon want grab drink head room go main bar casino . 3 bartender work 10 people sit around bar . money hand , husband stand 20 minute bartender walk past numerous time without even look way . even polite & quot ; excuse sir & quot ; , get glance walk away continue unload dishwasher behind bar . needless say , visit bar . order room service one night service average ( 30 minute ) food mediocre . never make pool see poster picture not think miss much . 1 restaurant completely full look menu post decide skip one never say anyone seat receive service staff ( actually , never see waiter / waitress 10 minute stand ) . small snack bar usual fruit pastry item see people purchase . location hotel can not beat ( positve thing find ) . right next Paris move walkway . , need average room , non existant service so - so amenity , hotel fine need . 
 Jun 27 2009 	 Terrible South Tower - Good North Tower 	 recently stay Las Vegas Bally 's June 21 - 26 . compe Harrahs 5 nite South Tower . take 35 minute check 7 pm . king room avaiable , could get 2 queen bed South Tower , $ 25 grade king North Tower . Refused offer . tell check back 2 hour king South Tower . assinge room number , come back room card . wait line get room card . luggage rental car , take go eat another casino . hang around Bally 's slow ? proably want ! got king ST around 10 pm . bad review read ST true . Carpet hallway dirty , stained , dark , trashy , smell . room not well . cigarette burn mattress floor . bed ragged . the bed worst ever . wallpaper peel wall . could hear neighbor side . hear toilet paper roll next door - bathroom . shower , half water come shower head half tub fawcett . ready upgrade night , line long usual . stay one night ST . next morning get move NT . line early morning . cost we $ 20 night move king NT . well worth extra money . hallways wide , clean , bright , trash , well mainte , etc . even see people clean carpet , window , dusting , etc . room much nicer , . complaint tv old CNN cable . clean lady & quot ; LUZ & quot ; take good care room . help tip $ day . st room # 5822 NT room # 2441.it hard believe difference two tower Bally 's . end cost little $ 1.50 night well room . casino host make we pay $ 6 & amp ; change not loose much money Bally 's . not consider time play ! play Paris next door nicer . strip O'Shays , Imperial Palance ( check dealtainer , 12 pm ) , Harrahs . Harrahs Properties ! lot road hotel construction go . rental car waste money , unless want travel outside Las Vegas . hard navigate strip . traffic cone , lane close , detour , rude/ drunk driver , bus , limos , concrete truck , lose tourist . almost forgot police car , ambulance , bad - taxis . Ford Focus take 2 gallon gas fill tank . not let rental car people talk buy full tank gas cheap rate , unless plan use . Paris give 20 % coupon Village Buffet good Mon . thru Fri . , player table game . eat twice . good ! locate inside , Bally 's . usually line , move fairly fast . breakfast , lunch , dinner , late night buffet . lot choice beverage . $ 25 day buffet Excaliber good . get steak egg special anywhere , steak need cook medium . wise small steak tuff chew . good rating top Bally 's North Tower . foget South Tower ! 
