's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 Sep 22 2005 	 Perfect place inexpensive ! ! ! ! ! ! ! ! ! ! 	 nervous could not afford alot hotel stay not know area , happy stay Hayden Hotel . great , recently remodel hotel . price nice locate right next subway station . set middle office district night actually quite quiet ( much noise street ) . elevator slow , care . share bathroom NICE CLEAN . staff excelent . room , course , small , expect New York ? wife stay week wonderful time ... mini refridgerator room ( must request , be free ) save bit money eat breakfast sometimes lunch room . Central Park close ( especially Strawberry Fields ) Museum Natural History block along shop hustle bustle NYC . 
 Sep 16 2005 	 Great Hotel - Mice ? ? 	 admit little worried read review Hayden , however decide leave last minute many hotel available $ 200 . book Hotel website get price $ 139 , $ 30 cheap Expedia , Hotel.com ect . advise previous review request room third floor notice second floor look rough really old key card lock , bottom floor look fine . stay Friday 9th Tuesday never see mice insect . room clean cable TV , Air Conditioner sink room , share bathroom . bathroom also clean always free need . maid friendly make room every day . allow leave luggage locked room later day check . stay hostel hotel world stay many place much much bad , price may find well especially last minute ! 
 Sep 12 2005 	 Mice - stay away ! 	 get back holiday New York ruin stay Hayden Hotel . see 2 mouse one evening box near bed catch cockroach ! room dingy , dark noisy . check early go another hotel could stay room mouse run around we ! take advice , stay hotel . staff know mice hotel still not anything . stay away ! 
 Sep 3 2005 	 mouse .. eww ... 	 horrible stay hotel . first night get hotel , see mouse run bed gross . go talk manager time rude act like normal mouse room . insist not another room could stay . promise would fix problem first thing morning . well ... yea ... people go room & quot ; supposedly & quot ; get rid mouse .... yup ... leave .. decide take nap .. wake sound mouse run across floor . try book another hotel everything full . recommend hotel . 
 Aug 11 2005 	 Great Hotel budget ! ! ! 	 spend 6 night Hayden impressed ! ! hard find hotel NYC budget , hayden excellent ! ! room clean , staff helpful , great location Upper West Side . little worried sharing bathroom , work great . matter need use bathroom , always open . word caution though , first shower morning , let water run 5 min . get . hot water slow arrive . there draw back though ... floor hardwood , pretty noisy people coming go . elevator slow ! ! ! ! take stair almost everyday . lastly , not get around cleaning room late afternoon . sometimes late 4pm . but n great place stay . definetly stay ! ! ! 
 Jul 6 2005 	 TripAdvisor make difference 	 place use horrible , upgrade merely Skanky . due member tripadvisor finally persuade management upgrade place . still would stay unless NYC alien attack . would last place would destroy , essentially , would redundant . improve , attention must pay . 
 Jul 2 2005 	 relief ! 	 stay mid - May . hotel room less $ 200 / night hard find , perhaps graduation . usual economy choice - Hotel Belleclaire , Washington Square Hotel , YourStay Central Park- - fully book . there Deluxe Queen available Hayden hotel 's website $ 139 / per night private bath , take chance , know would like great location , nothing else . specifically request room without mouse problem , concern I . I pleasantly surprise . room 6th floor quite spacious NY budget hotel -- probably 12x18 ft large closet , writing desk , dresser two window face north overlook rooftop . bathroom small , adequate newly renovate . furniture , though new , date style , carpet , though clean , drab color industrial quality . arrive night dim light ceiling fixture give room kind dreary appearance , bedside lamp nightstand side bed quite nice . wall paint stark white unadorned except large ornamental mirror frame print two . not make sound pleasant , really quite soothing , albeit unadorned . hot day , window airconditioner quiet efficient . staff lay - back good humor . mouse evidence . ask desk clerk mouse problem , say renovation progressing , long issue . order food deliver room , visit mouse , hang bag food leftover shower stall . perhaps necessary , thought would easy precaution take , guest report mouse problem seem put food bag floor . the hallway floor nice wooden parquet ( new inexpensive parquet tile kind ) . whoever renovation understandably want show , course make hall noisy would carpet . think hall charm much ny - residential 20 so . the people complain elevator get , go stay high rise Holiday Inn . elevator really fine . kind happy find european hotel . I would definitely stay . think one good deal NYC . eat NiceMatin , corner bistro open breakfast , lunch dinner . Yumm ! 
 Jun 24 2005 	 good money staff polite 	 really worried stay read review couple day due travel , get room supprised find clean tidy . give we twin room rather double slightly annoying hoiday good . hotel excellent spot couple block central park really nice italian resturant around corner . would stay well price . 
 Jun 14 2005 	 Great Local ! 	 husband stay Hayden Hotel Memorial Day weekend 2005 . read reviews site figure & quot ; hey , can not bad horrible place stay Milan last winter ! & quot ; opt shared bathroom room ( travelocity price $ 100 night ) , since not think would spend much time room . sure enough , stay fine . price good location great . nice walk front door close subway Central Park . really enjoy aspect it . every time either we use bathroom , clean . fact , will honest ... never see another guest entire time . can not imagine not book weekend . use shower ( 9:00 ) , first one use day . nice bonus . the room small . , not seem bother we since not room much . the staff nice . check let we store luggage & quot ; secure & quot ; room flight later day . room not look secure , not option . really come well solution . the elevator slow old . not big hurry really slow we . imagine intend get new one point . oh , room noisy morning . , not Hayden 's fault ... 's & quot ; city living & quot ; good . not really bother we , imagine would bother someone else not use living city . we not see rodent hotel . , see one outside one night walk back hotel . huge . good time . final say , hotel great price . would recommend friend . ( likely ) back . 
 Jun 14 2005 	 PR Parade Weekend 	 okay , not know many people trip hotel . stay great . location , price , room , great . admit reveiws nervous friend get thing get well . lobby fine get room ask renovated room 3rd floor , still renovate 1st 2nd floor . room fine . double suite come pull - out sofa bed ( big enough 2 people ) queen size bed also big enough 2 people private bath tv . 4 girl ... imagine . not kiil . one complain space ammenitie . good . plus eveyone tell hotel shock . baller something . price excellent . walk park get 5th ave . puerto rican Day Parade walk 15 minute . two block 1 9 train get anywhere . goodness sake , hotel upper west side . price give people greatful . . would diffently stay every time visit NY officially move . 
