ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 may 30 2008 	 close yet quiet ! 	 select hotel second visit NYC grow daughter . first time Christmas couple year ago time want chill run around like frenzied tourist last time . choose hotel part Kimpton ' greener ' hotel .. least hope ! find great place stay - close Grand Central Station - yet upon return - feel like home . nice quiet welcoming . Cheryl check we nicely lovely hostess one wine hour able attend . Marie desk evening first evening send we great italian restaurant across street - Rossini 's . always available chat smile wave come evening . Christopher concierge send we fun tasty Thai restaurant Chelsea - Nooch - good check we see like it . as Kimpton member , treat item mini bar room also would free internet access bring computer . free 15 minute access lobby may use charge card . day free wine hour fun would like relax awhile meet guest - fun meeting couple Chicago . two great yoga studio - yoga Sutra Om yoga - easy find . one within walk distance across NY Library easy subway ride Union Square . find farmer market Saturday go wonderful boutique store - Mavi . nothing well yoga class skyline visible outside window ! bit hotel ... 11th floor never bother street traffic . lovely turndown evening good chocolate leave pillow . blackout shade want low behind blind . like waking sunshine . hear fellow guest elevator film chase / crash scene ' the take Pelham 1 2 3 ' block away make detour morning . fun watch . sign Denzel , Travolta , ' Tony Soprano ' .. crew work scene hospitable . flight not leave Monday evening also able arrange late check hold bag we could fit time city say might love well ! ! ! definitely return . one last thought .. be Super Heroes Met .. one favorite thing time around . 
 May 27 2008 	 adequate 	 get great deal via travelocity , ( $ 210 per night deluxe king room ) . well , well worth ! ! ! ! would admit pay $ 350- $ 400 per night , would dissappointe . king deluxe room actually quite large spacious , ( NYC standard ) . room clean , small bathroom , ( course ) , nice little ipod clock radio . , relatively no - frill . , small lobby . , ' m NYC hang hotel . price pay , give a- . oh , relatively quiet , ( park ave honk policy nice . wish effect live : ( ) would definitely stay receive kind deal . look trendy place hang , ..... 
 May 27 2008 	 small .... really nice ! 	 get great rate Travelzoo hotel ( $ 199 ) check review Tripadvisor . level expectation , base review . expect room small , , , really clean , efficitiently set , comfortable short stay . bed fabulous enjoy location centrally situate . staff friendly check - in check - out smooth . would stay short stay , get good rate , excellent value . the price breakfast rediculous good restaurant Lexington Ave , one block away . 
 may 24 2008 	 high end Hotel reasonable price 	 second stay hotel . nice hotel . extremely picky hotel stay anything slightly budget . normally stay Westins , W 's , Ritz Carltons , St Regis . room clean actually somewhat spacious New York . furnishing modern , bathroom elegant subway tile , great bath product always take home , flat screen TV 's , IPOD Docking Station etc .. location perfectly location Murray Hill away noise Times Square close Midtown quick cab ride downtown . hotel bar restaurant nice posh . definatley go ' Hudson ' look . stay . 
 May 22 2008 	 Loved 70 Park Ave . ! ! 	 get back stay NYC . stay 70 Park Ave 1 night , stay another ( expensive ) hotel rest stay , business . say , love 70 Park Ave . good . 's ... lobby common area clean staff incredibly nice . recently sign Kimpton reward program ( free ) automatically upgrade we king room overlook Park Ave . room huge gorgeous ! ( see photo .. ) . Park Ave extremely nice area , be 2 block Grand Central Station . bed comfortable flat screen tv huge ! ' m interior designer , impress environmentally friendly ( compact flr . bulb , low flow water fixture , etc . ) . eat breakfast Silverleaf Tavern , good , bit pricey ( 2 buffet breakfast - one regular , one continental - coffee ) - $ 58 . restaurant design quite hip though .... overall , recommend hotel price extremely competivitve . great stay ! 
 May 4 2008 	 Great Hotel Quiet Neighborhood 	 stay 70 Park Avenue work spend little time friend NYC . select Kimpton 's reputation , TripAdvisor review , get great corporate rate . turn perfect hotel . large room 16th ( 17 ) floor . bathroom little small , big deal . service hotel first rate helpful desk bell staff . primarily residential area easy walk access Grand Central Station . like quiet residential area oppose chaotic hotel around Times Sq . Central Park South . allow great access area , calm hotel . still NYC , would recommend upper level floor . old building redone . little issue heat / ac one night unfortunately could resolve opening window . function old building fluctuating outside temp early spring . ( big deal ) would stay would recommend . 
 May 4 2008 	 great stay 	 book via United web site land room good $ 150 less similar hotel Midtown . modern hotel , staff friendly helpful . two minor downside : bathroom tiny well lay . wireless internet service slow spotty . otherwise room clean , modern , well design . bed comfortable water pressure shower good . area quiet Midtown . would certainly stay . 
 May 2 2008 	 Nice Hotel Great Location Amenities 	 hotel nice , especially dollar . room , like other mention small . expect price range location . cab ride LGA hotel 29.95 tip personally drive , cabbe everywhere . hotel close Grand Central several dining option shopping ( great bagel coffee ) small pharmacy / grocery inside . immediate area somewhat residential mixed corporate office minute walk Empire State Building , Macy 's , several shopping dining establishment . definitely sign Kimpton reward website . free service get extra perk member ( slipper , chocolate , H20 etc , free internet ) 1st night . hotel 1 restraunt nice , . lobby small appear website . feel little small far place relax people watch , bit probably common NYC . would stay travel child would probably look somewhere amenity . staff fantastic , concerned need meet . would definitely stay . excellent staff , excellent location . 
 Apr 19 2008 	 Location Service make one gem 	 take daughter spring break trip hotel perfect choice . concerned would want hustle bustle Times Square Hotel welcome quiet location come nighttime . room nice size especially NY standard bath , though large , clean well - stock . bed comfortable nice linen , duvet blanket . daughter really like ipod station . able listen legally blonde night ! corner room unexpected view Empire State Building . great location easy walk Rockefeller Center , Times Square Grand Central Terminal need travel far . would definitely stay . 
 Apr 8 2008 	 Great Hotel Excellent Service 	 return three night stay 70 Park Avenue enjoy hotel much . stay 16th floor nice view Empire State Building . check 4 pm Friday not wait line . room bathroom exceptionally clean . especially like nice quality linen -- comforter pillow , soft blanket . room good size ( two double bed ) , include desk chair still enough room walk around . light nice ( variety option ) include candella nightlight , not hear stay . like candle room -- soft lighting . other amentitie enjoy ihome clock / radio ipod , L'Occitane bath amenity , flat screen nice sound system , dvd player ( son bring movie buy street vendor ) , slipper , nice lotion leave bed night turndown service . the honor bar include variety snack drink essential guest may forgotton . price reasonable consider convenience bar . I surprise receive e - mail sombody hotel day stay ask anything could make stay comfortable . request two extra pillow although not arrive , deliver within minute request . first night , handwritten note assistant GM , small welcome treat offer use internet free room ( not apply since not computer ) . free internet access lobby ( 15 - minute per 24 hour period ) free print airline boarding pass . the location prime . block Grand Central Station -- lot shop eatery . not far Empire State Building , Rockerfeller Center , Broadway , Fifth Avenue , lot touristy stuff . 
 Mar 29 2008 	 Great Service great location ! 	 stay 70 Park Avenue 5 night March 2008 . arrive early evening bag bring straight reception . check problem , staff polite . room little small fine us base . lovely bathroom toiletry bathrobe provide . bed comfortable ever sleep ! downpoint pay everything tv , free channel bite disappointing consider price . Ipod dock useful wake we long flight ! also not view bother use room sleep shower ! hotel complimentary wine hour 5.30 6.30pm lobby evening . lovely relax two time make ! Doorman helpful call we cab need it - much appreciated rain ! reception staff also let we use telephone confirm trip booking . 30 minute free internet lobby , pay . lovely hotel quiet location . easy walk Empire State building shop restaurant . Grand Central Terminal station 3 4 minute street get breakfast catch train subway . 
