absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Sep 7 2007 	 Euro - style Simplicity Upper Midtown 	 stay Beacon many , many time , consider home New York . stay , upscale hotel far downtown , always end go back Beacon . hotel popular french tourist , give euro flavor . true , one star hotel , without alot amenity . , well . physical plant well tend . room immaculate , service efficient , warm personable , consistenly remember little touch , toiletry bathroom . concierge front desk staff excellent knowledgeable . real beauty hotel neighborhood . convenient anywhere New York -- Manhattan -- via subway . Central Park , Museum Natural History , Columbus Circle , Lincoln Center , cheap restaurant Manhattan within block Beacon . local community vibrant alive . local university convenient get well . Fordham Law School , Julliard , Cooper Union , Columbia U. close short subway ride away . hotel across Fairway supermarket , get almost anything need . be near Niko 's , one good greek restaurant New York . hotel excellent value . suite huge , come wel - equip studio - sized kitchen . pay $ 255 per night . drawback hotel Manhattan parking . pay $ 47 per night parking , factor room budget . enjoy stay , continue make Beacon New York home . 
 Sep 6 2007 	 quiet oasis 	 first impression good : building cover scaffold reception area look bit ' date ' . room find quiet oasis : traffic noise , usual rumble air conditioning unit . room spacious small kitchenette area ( microwave , fridge & amp ; coffee maker ) ; two american Queen size bed bathroom . clean functional . there seem restaurant close hotel except Café Viand , next door building . eat several time : breakfast evening meal never disappoint . staff friendly efficient ; food plentiful good quality . if want self - cater supermarket directly across street , seem stock everything . the hotel location plus : short walk 72nd St Subway station 5 minute walk Central Park . 
 Sep 1 2007 	 Roomy 	 Hotel Beacon fancy . daughter disappoint pull scaffolding cover entrance hotel . however , everything siteseee family could need . room big NYC standard - kid plenty room spread game . the neighborhood great - real residential neighborhood , oppose Times Square area Wall Street area sometimes stay . plenty market , restaurant store price level taste . breakfast times Tasty Cafe near subway station ( Broadway 72nd , think ) . counter service place , food great quick , use book seller set stand right outside door encourage kid look ware . because neighborhood crowd fast - pace Midtown , hold tightly onto kid . could enjoy look around relaxed pace . also , fun playground western theme Amsterdam 77th kid want return again . the concierge staff helpful . ( one direct we playground ) . anything could not answer , look quickly we . not use anything high - end , like get theater ticket , not know would . small thing , nice surprise toiletry room . hotel sign say ask staff anything forget , Hotel Beacon anticipate everything we , much well . toiletry include thing like cotton swab toothbrush ! stay Hotel Excelsior neighborhood . excelsior seem up - to - date upscale Beacon similar price . however , preferred Beacon staff much friendly helpful , location slightly close store , restaurant subway . even though Beacon busy location , problem noise room . 
 Aug 22 2007 	 great deal Manhattan 	 stay one night , base experience would definitely return Beacon . paltry ( NYC standard ) $ 255 plus tax , four we comfortable one - bedroom ( w/ two double bed ) suite w/ kitchenette . suite large ( NYC standard ) luckily we add advantage corner unit great view ( 22nd floor ) . minor complaint bed not quite firm enough bathroom little small side . not explore area around hotel , other note , plenty restaurant grocery store nearby , be convenient enough location get around city . able park street free overnight , around block hotel . overall hotel good value Manhattan , least compare half - dozen place city , Brooklyn , Secaucus ' ve stay last three year . 
 Aug 21 2007 	 Mouse House 	 excited stay Beacon initially . neighborhood nice , great feel . also close subway . however , stay progress , thing get bad . safe room attach closet wall . mention front desk , never fix 5 day . sofa bed bit wear around edge , need replacement . toilet run flush annoying . nevertheless , small item tolerate . last night , pull sofa bed , mouse dart . scare heck wife I. call front desk , offer we another room . pack move midnight . fun all . while hotel give we modest discount due mouse incident , , not think could say would want stay , love neighborhood . 
 Aug 19 2007 	 Great Hotel Great Location 	 friend book Beacon part package deal Virgin . male need twin room , hard think come reason . book 1 bedroom suite 2 queen bed . surprised size room . huge , big sitting room kitchenette . find staff helpful , exception one front desk stakk that s expect anywhere . hotel short walk away subway stop . also close central park . Times square 20 - 30 minute walk depend time day . little problem flood toilet one morning within 2 minute call reception maintenance guy sort problem . nice hotel nd go back next year short stop NYC . 
 Aug 17 2007 	 great hotel 	 bit worried stay hotel review read . last stay New York awful experience Hotel Pennsylvania . however , Hotel Beacon excellent choice . staff helpful attentive room excellent . room two double bed , marble bathroom , living room kitchenette . room clean hotel quiet . neighbourhood nice plenty restaurant pub within walking distance . subway two block away Midtown two stop downtown . would highly recommend hotel . 
 Aug 15 2007 	 great hotel 	 hotel great location upper west side . nice collection restaurant classic NYC deli 's love . hotel not offer breakfast diner next door visit every morning staff friendly efficient . minute walk subway station take directly Times Square , Battery Park etc . also short walk attraction like Central Park Natural History Museum . the room huge , think deluxe suite , living area , kitchenette , separate bedroom 2 double bed walk robe . ample space ( plenty room store shopping ! ! ! ) . staff friendly , esp concierge help many occasion . overall , would like try different neighbourhood NYC next time , , would definitely stay Beacon . 
 Aug 13 2007 	 good round hotel 	 stay 7 night begin August 07 . hope go ok one two dodgy review read hotel run , poor service . event , delight Beacon . room modern clean good state decor . hotel staff confirm room renovate bring standard . location great . fairway supermarket road everything could want . another upmarket deli side street supermarket . viand din next door - use good amount . meal fairly price staff attentive . subway two block . Central Park close . load restaurant vicinity . room keep clean tidy hotel staff - could clean towel bedsheet every day request . room 23rd floor back . pretty quiet great view across Central Park 's San Remo apartment twin tower . we would definitely stay . much well compare previous time New York stay Midtown Broadway . less noisy , well restaurant bar , yet easily accessable . good tip ? ... take earplug airconditione . hit 90 degree f ; apartment room nice cool aircon flat unit bedroom cause bit much background drone easy sleep night . 
 Aug 8 2007 	 great family hotel 	 Aunt want take kid ( age 7 & amp ; 9 ) NYC weekend . hotel perfect : 2 nice size queen bed , clean bathroom , small table 2 chair kitchenette ! family ideal . affordable dining option close hotel . fairview market ( across street ) everything will need breakfast . notice several family stay hotel . the location next natural science museum , subway station Central Park . staff helpful . 
