smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Jun 18 2009 	 Super Duper ! 	 stay @ Base2stay April 07 5 day . must say , everything PERFECT ! room trendy , clean , modern , little small , end day , & quot ; Base2Stay & quot ; . bathroom amazing , nice limestone tile lovely clean . shower brill , lovely powerful everything want shower . location excellent , personally think find another Hotel close main Underground station ( earls Court ) lot good restaurant earl court , loud , make good night sleep ! ! Base2Stay cheap & quot ; Frills & quot ; hotel , London , will not spend much time indoor anyway , not want hotel restaurant , swimming pool etc , base2stay place ! overall , recommend Base2Stay would not stay anywhere else LondonThank great hopsitality ! 
 Jun 17 2009 	 clean comfortable affordable 	 13 yo stay base2stay six night June 2009 . staff helpful accomodating , room common area clean , affordable otherwise fairly expensive city . conveniently locate one block Earl 's Court tube , . room service , convenient food delivery option . overall , great . 
 Jun 16 2009 	 Perfect family visit London 	 Base2stay absolutely perfect family 's first visit London ( husband many time , especially business business expense account ! , time travel 13 year olf son ) . room extremely well design , exceptionally clean fresh - bathroom spacious new . Earl 's Court neighborhood easy navigate far expect London attraction - nearby restaurant reasonable ( hotel provide special discount coupon ) . Marks & amp ; Spencer simply Food block away - fill kitchenette juice , muffin fruit breakfast snack much head dinner . cost travel day , base2stay terrific value . already recommend highly good friend family . 
 Jun 15 2009 	 great place 	 stay night base2stay impress value money . teenage son , stay bunk room . small everything need impeccably clean . hotel really stylish modern impressed care friendly attitude reception staff . 's lovely area London 10 minute tube Victoria . certainly stay . 
 Jun 15 2009 	 brilliant base sight see london 	 stay base2stay two night fantastic time . staff polite , friendly helpfull . room plenty big enough three we lovely , modern clean , basically everything need . location great , minute tube nice area feel comfortable come back night . I would highly recommend place one look good affordable accomodation great location hope go back one day ! 
 Jun 14 2009 	 top quality 	 spend eight night Base2Stay give high mark . the reception / concierge ( everyone extremely polite eager help every inquiry ) hope TripAdvisor allow say Ashley real Aussie Doll . true asset hotel . House keep impeccable . bathroom large well equipped . free WIFI pleasure . stay several room stay , not book ahead return guest request specific room . favorite L4 - quiet , spacious terrace table chair . the Deluxe room unfortunately face street get noisy . what pleasure find kitchenette fridge , micro wave , contemporary dish even clean service . Base2Stay easy 3 - 4 minute walk Earls Court Tube lot bus connection . walk residential area real eyeopener . upscale neighborhood . impressed large private park individual area . lose count walk Fulham Rd . M & amp ; take away great varied prepared meal . boot close lot pub fast food place . if one little complaint , bed . albeit , comfortable enough , . feel spring . pillow compensation - find ? 
 Jun 14 2009 	 Great Hotel meet expectation . highly recommend stay . 	 wife stay hotel base review site recommendation . excellent stay ! staff friendly accommodate . help we direction , book attraction , useful tip city . room clean , safe , pleasant . hotel close tube stop Earls Court convenient get around city . numerous restaurant pub within walk distance hotel . 
 Jun 13 2009 	 unbeatable value money 	 good stuff people say hotel absolutely true . pass London one night , normal B & amp ; b full end . expensive ( £ 132 ) not include breakfast , excellent , spotless well run place stay . room well - plan , everything could need ( include excellent shower ) staff work really hard make feel welcome .. , inside budget , not hesitate . 
 Jun 13 2009 	 Good London Base 	 Staff helpful , hotel well - maintain & amp ; important enough location badly affect recent tube strike . convenient store nearby provide surprisingly decent microwavable food , happen shock London restaurant price . would especially like thank gentleman reception help we transport alternative stay ! 
 Jun 12 2009 	 great concept perfect location excellent value 	 husband stay June 2 - 9 , largely base tripadvisor review . could not make well choice value , location service . stay standard double , directly behind reception area . arrive early morning flight take tube Heathrow , arrive base2stay 9:30 . though room not ready , take luggage advise we come back 11 . explore area foot , discover Earl 's Court tube stop 3 minute ( really ! ! ! ) walk away , ton cafe , restaurant , pub , food shop immediate area . pick grocery Sainsbury 's , coffee in - store Starbucks , head back hotel , find room ready bag await we inside . though room quite small american standard , well lay . stash two suitcase ( wonderfully comfy ) bed , make full use closet area , several shelf , adequate hanger , small safe . the build - in kitchenette see lot use ; small fridge , glass , crockery cutlery two , microwave , immersion kettle small sink . other mention , toaster would really helpful , seem electrical outlet could accommodate one . breakfast room day , handy . our bathroom large , seem equipped person disability , shower door stall , ... walk - in area 3 shower head ( people car wash , ! ) first disastrous shower water EVERYWHERE , learn use middle shower head , well . towel bath product wonderful , one large , small sink bathroom . staff base2stay terrifically helpful , especially glitch WiFi ( come wonderfully handy . ) quiet room ever stay , sleep well ever hotel , say lot , generally not sleep well away home . take advantage often significant discount offer local restaurant ; love Greek Gets , Strada , Gourmet Burger Kitchen , discount really help , food generally expensive expect . , outstanding choice ; would stay heartbeat , though might try spring superior double next time , bit room . 
 Jun 10 2009 	 great family - none well ! 	 perfect base family trip London . close tube bus , comfortable , modern clean , good value London . instead pay high price restaurant meal young child would barely eat , bring food nearby shop , use kitchenette room , everyone eat well without high price . staff always helpful , example order pizza delivery son , give we travel advice . 
 Jun 9 2009 	 love little friendly hotel ! ! 	 choose Base2stay London trip base Trip Advisor recommendation disappoint . location excellent , feel residential 3 minute walk Earl 's Court Tube close walk High St. Kensington local shopping . room clean bed extremely comfortable . room noise minimal temperature perfect . staff go call duty meet request need . feel price reasonable pleased quality receive ! plan stay next trip , really can not recommend enough ! 
 Jun 9 2009 	 Great Hotel great location 	 come London first time wife two night . hotel two blocs Earl 's Court Station choose hotel base great review disappoint . room excellent condition see picture ' ve attach . also small kitchen use . wife preferred go café near hotel . at front desk get coupon restaurant area recommendation tour place visit . front desk really helpful . I highly recommend place stay . 
