woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 May 28 2009 	 great location - fun atmosphere 	 husband Memorial Day weekend impressed room location . front desk clerk check we able upgrade we since stay 4 night , even though busy weekend . room great view Bellagio fountain . always want stay Bellagio reason , realize stay across street afforadable , comfortable resort . the breakfast buffet good well price , especially $ 5 coupon receive check . sign & quot ; A - list & quot ; reward system get coupon book provide buy one get one 's outlet , must . go Yolos twice . first time Thursday afternoon eat bar . awesome service nice blond bartender ( not get name ) , friendly check we often ! unfortunately , eat Sunday afternoon service horrible . hostess could care less walk food take hour order . server come back say pork 20 minute order place . bad experience stay seem isolated incident . extra Lounge great late night people watch ! hour enteraintment ! atmosphere casino great seem much airy casino seem less smoky . croud fun , great music pump throughout casino ! room great , though perhaps could use little lighting . would definitely stay ! ! P.S . - try serendipity 3 Caesars Frozen Hot Chocolate ! not expect great service , drink worth ! 
 may 27 2009 	 girl Weekend 	 girlfriend meet Vegas past week ( we - sat ) stay PH . get GREAT deal Hotwire ( $ 93 / night ... can not believe cheap ) ! hotel pretty trendy ... lot pretty light , ble bling decor , & amp ; great music . great single ! nervous room nice enough exactly like picture ( sometimes get trick ) . room theme 1985 movie Perfect John Travolta Jamie Lee Curtis please not get freaky weird room . especially love bathroom since toilet door girl could get ready shower whatever . thing not especially like shower door totally see - through ( okay be couple kinda weird be friend ) . casino bit small compare nice hotel strip okay us b / c not gamble . pleasure pit interesting though b / c girl lingerie dance around pole . prive really nice club locate hotel . 's lot place eat well mall attach ( go ABC get liquor ... much cheap get club ) . spa average dayspa sauna / whirlpool / etc ... get Gerry deep tissue massage . pool could ' ve well 4 star , okay since get see Russell Brand sit cabana across pool ! 
 May 27 2009 	 horrible customer service ! not stay ! ! ! 	 reason even stay friend book want stay well . check line long take 45 min . explain friend 's 50th birthday day wonder could anything special . tell busy . the room ok . miss cupboard door . window outside filthy ! ! wiring pull wall . blind not block light . view great . pool lounge chair extremely filthy . stained dirty . empoyee rude friend desk . key card deactivate middle stay . when mention fron desk disatisfication stay , really unsympathetic . great location . use stay venetian service complete opposite ! ! ! 
 May 26 2009 	 Hollywood one would think ....... 	 stay booked package JetBlue . room size nice 6th floor great view roof AC unit . annoying room service voicemail call offer free show long get duppe sale pitch new tower hound around every corner . sale pitch tell we one hour three hour long . TELL make LESS 60 k leave alone . like location hotel mall around , overall staff really suck along lack clean skill room . stay elsewhere next trip sure . 
 May 26 2009 	 ` ` Planet Hollywood '' 	 ' ve Vegas plenty time , spend less money room strip receive well service Planet Hollywood offer . upon arrival greet smile even welcome Planet Hollywood . good greeting come staff try promote ph Westgate time share . ' m still try figure PH housekeeping staff not clean room . pull housekeeper another room dump trash replenish towel , bottled water newspaper ( charge mandatory fee $ 5.95 per day water paper ) . know not come Vegas watch tv , room want watch tv offer HBO room would nice instead offer local channel . iron room leak water onto clothe ironing ; take housekeeping 2 hour bring new iron room . my friend 's husband Casino area , ask glass Remy ... cocktail waitress tell & quot ; Serve Remy High Rollers & quot ; . rude assume not & quot ; High Roller & quot ; . overall layout hotel poorly design , non - smoking room smell like smoking room , construction view City Center may nice view be build suck . Planet Hollywood one main line wait sometimes 20 min get connect another room even front desk . 's good eat Planet Hollywood : Spice Market & amp ; PF Chang good food . Miracle Mall right next door hotel great ! ! ! 
 May 23 2009 	 Indifferent extremely poor customer service 	 wife stay Planet Hollywood Hotel Casino 4/21 4/27/09 . book Expedia . bad experience travel Las vegas - 9 time . customer service part Housekeeping manager , front desk supervisor security essentially non - existent . room would serviced call 3 4 time per day even though would rise early ( 7 am ) leave service soon sign door handle . 2 - 3 even 4 pm room would still service . housekeeping manager front desk supervisor offer excuse like big property , etc . housekeeping manager finally offer complimentary breakfast buffet inconvenience , notify approriate people buffet provide coupon despite ask necessary . lead inconvenience aggravation . floor book stayed suppose non - smoking yet occupant room next mine clearly smoke . stop security front desk twice address one ever get back smoking continued . clearly , hotel lot work customer service . hotel locate favorable spot strip great potential . base experience lack follow hotel 's part , would recommend hotel . 
 May 23 2009 	 price Right - Great Place ! 	 stay P.H . may 10 - 15 . get excellent package deal Allegiant Airlines Bellingham . arrive evening , check quick efficient . give non - smoking , king sized room ( request ) overlook south strip . bed comfortable love roomy bathroom separate toilet area . hotel easy access Miracle Mile mall ( ask customer service coupon book ) plenty shop restaurant . 's like P.H . - not like . internet access costly ; dark room , resort fee ( Vegas seem charge ) . shock people smoke hallway non - smoking room . Ashtrays provide elevator , invite smoker light . music centre casino area loud grated nerve want get . ( go - go dancer look bored stiff . ) slot machine back area make noise not create excitement . stingiest slot anyway , soon go gamble elsewhere . give coupon book discount dining , etc . go Planet Dailies coffee shop although price high end think coupon would compensate difference . seat noticed food arrive basket though drive - in . thank ! leave not try P.H . restaurant . find several mall reasonably price . plenty hotel deal go would stay somewhere else return . Tips Vegas - happen use Ritz shuttle service airport . company not take credit card though prepared pay cash . pay return trip prompt pick time . take shuttle bus outlet mall Primm use 2 - 1 coupon find internet . find bargain . buy day ticket monorail cost $ 26 2 - worthwhile opinion . access station still walk mile get anything . bus pass far well option . also dislked fact smoking permit virtually everywhere casino . Vegas behind time several country smoke ban public place . least non - smoking area casino . we not stay Vegas year , overall find ' new ' Vegas expensive 's designer / brand shop , celebrity chef restaurant high price show . miss old Vegas loose slot , inexpensive food fun atmosphere . still bargain need search use coupon . good news will not complain price London anymore ! 
 May 22 2009 	 Cool hotel awesome bed ! 	 husband return first stay Planet Hollywood Hotel . awesome time hotel beautiful . staff great check upgrade us strip view room free . room large , bathroom also spacious . bed comfortable bed ever sleep . room quite . never hear anything wall door . this hotel right middle strip close everything . would stay heart beat . great price great room ! 
 May 22 2009 	 Meant 20 something 	 noisy hotel . loud music , loud people loud room ! lol yes noisy room , 3541 . could hear people talk room , water pipe soooo noisy room , wake we early ! ! room clean , although rather tired look new hotel . bed ok , I ve sleep bad . room large flatscreen safe . party vacation , place . 
 May 21 2009 	 wonderful bed ! ! ! ! 	 lovely time hotel . comfortable bed . big room - & quot ; Lost Space & quot ; theme room prop / poster movie . would recommend hotel anyone - location brilliant , staff friendly helpful - wait 10 min queue get get strip view . pool area well stay still good . recommend anyone . 
 May 20 2009 	 Cool hip hotel 	 overall : breathtake over - the - top like hotel Strip , good value . cool hip . nice casino . clean room . super comfy bed . great location . we like ! 
 May 19 2009 	 Decent hotel clientel young wild side 	 hotel fine price . pay 100 / night Fri / Sat stay throughi priceline . line long check , go pretty fast . hotel pretty clean bed comfortable . ambiance fun casino location great - right middle thing . pool spring break vibe , enjoy , like scene place . awakend middle night boisterous drunk people hallway , bring earplug . buffet pretty good . 
 May 19 2009 	 Prime Strip Location ! 	 go May 14 - 17 boyfriend awesome time ! Planet Hollywood really funky place location Vegas Strip could not well . go hotels strip within weekend never far home whereever go . room : really nice even though not good view . not request strip view anything , time room nap / sleep / get change not really care . bed super comfortable , bathroom really quite huge ( seperate shower , bath toilet 's door ) . lighting , other say , bit dim . day find daylight enough anything need . 4 really bright lamp room , not think ever one time wind bed . also never hear peep elevator room . find quite quiet , not close elevator can not speak room . Room Service : good . come back everything clean stuff replenish ( hand cream , towel , etc . ) . pool : spend bit time pool busy thing , let tell be like giant pool party . huge shallow pool ( guess not want drunk drown ) music bumpin ' hot tune . lot pool chair around lot booze . 's young scene would not recommend hotel people 40 maybe ... feel bad 50 + people trying relax poolside bunch drunken crazy 20 - something splash around haha . food : PH , ever eat Spice Buffet . good be regular $ 30 / person use $ 5 coupon make $ 25 / person 's bit reasonable ( be cheap fancy meal haha ) . be look cheap breakfast recommend La Cantina Miracle Mile Mall , really delicious . not always eat buffet either , find fast food joint cheap casino ( subway , Burger King , Pizza & amp ; taco place etc . ) . other say ABC Store Miracle Mile Mall good place get water . buy couple two litre bottle cheap always water room . even refill small bottle not buy be walk around . cheap drink : be look drink bargain , go right leave hotel . way will find Bill 's Gamblin ' Hall dude outside sell $ 3 Coronas ( bring everywhere , every casino / bar ) Bill 's $ 1 Margaritas cheap pitcher well . Casino Royale O'Sheas cool / cheap place drink ... be pub style rugged fit type place would club . cheap beer be . head way strip ( South ) will find lot mini mart . pick six pack drag around will never beerless . 's good alternative be near cheap bar . transportation : go look buy we $ 7 deuce bus Day pass day , however turn not use . walk everywhere ... spend LOT time walk Vegas . bring comfy shoe . comfort style key ... will sorry . failure follow rule result blister , sore leg lot whine miss fun . transportation airport get cab . lot line cab airport go incredibly fast ... whole system . fare $ 13- $ 15 ph . P.S . need bus travel downtown area be go ... be pretty far supposedly nice area . general , walk everywhere fun free ! stuff : be week , go see Big Elvis Bill 's Gamblin Hall 3:00 - 7:15 . be get great voice 's free . get early get seat , be popular . lion MGM pretty cool . feel terrible first ( two usually time ) find total 38 bring Lion sanctuary close ... really one Lion probably go month . seem fun ... trainer play get really close ... make wonder 's ever mauling haha . would scary . check shark reef Mandalay Bay cost $ 16 / person . be pretty cool , would say be worth . bellagio fountain show also pretty . General Tips : like say , wear comfy shoe sandal able walk long time . will thank . also , air really dry Vegas . find lot walk around outdoors nasal passage , throat , eye , hand ... everything ... get really dry . problem solve use hand cream , saline nasal spray , eye drop drink water . not bring thing , hand lotion room eye drop nasal spray pick Walgreens . really help soothe . - come be 20 's - 30 be look awesome time . 's full young people although be pretty fancy 's casual . stay location value alone ! be awesome ! ! email question ... will try answer well . 
