charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Jan 24 2006 	 Great Hotel . 	 stay hotel 5 night . it perfect.15 min walk Time Square . it bargain could spend load money clothe etc rather hotel room . as long expect Hilton hotel 31 suit ground . get pizza little deli road . bloody smashing . 
 Jan 23 2006 	 Loved ! 	 hostel well could expect ! tight budget prepare pay little bit extra good location . could really well location eye , good access subway ( need use couple time week ) main tourist site . fantastic view Empire State Building bathroom window although 8th floor never wait long lift . originally book private double room share bathroom ( keep cost ) arrive pleased find room ensuite bathroom shower , bath toilet ! bathroom always keep clean , along room , tend daily , trouble noise outside . also enough room 2 people 's suitcase room , although shelf coathanger . the staff always friendly helpful useful advice ask . two lovely breakfast bar corner street , lot eatery walking distance . give idea situate ; take we 30mins walk Central Park , 5mins Empire State Building , 10mins Chrysler Building Grand Central Terminal , 15mins Times Square , 15mins Rockafeller Centre / Ice rink . parent go time , stay much expensive hotel near Central Park . although hotel nice , say location Hotel 31 lot ideal far north Manhattan . 
 Jan 4 2006 	 Ideal 	 ideal location , reasonable price , friedly staff room always clean well us.just need thank 
 Dec 31 2005 	 exactly say tin 	 want fairly central base 4 - night stay Christmas Manhattan Hotel 31 come good budget choice . really want basic room plan spend little time possible - not visit NY sit hotel room , right ? room clean , warm , functional , quiet ( 8th floor ) everything work , include air conditioning . unusually find plenty power socket available . staff courteous , helpful time : useful come back late night . door lock cardkey type , double -locke facility inside add security . not forget take cardkey go bathroom : - ) unobtrusive housekeeper attend room every day always top soap etc , unlike budget hotel ' ve stay . share bathroom never problem small functional . 8th floor grateful elevator quite & quot ; period piece & quot ; genuine & quot ; elevator music & quot ; play time : add atmosphere experience though : - ) restaurant / dining facility deli corner seem sell everything stay open hour . thing miss opinion kettle able make hot drink . , Hotel 31 fit need perfectly would certainly stay . 
 Dec 21 2005 	 Hotel 31 vs Chelsea Star 	 stay stay Chelsea Star Hotel November . book double room share bathroom fine think use share bathroom upgrade ensuite Chelsea Star ! : ) hotel 31 fine though be really go hotel much . also stay room 510 agree review unbelievably stuffy warm strange smell hallway ! would recommend option stay Chelsea Star would pick , room central location . 
 Dec 20 2005 	 impressed ! 	 stay December 8 - 12 . little uncertain stay anywhere average chain hotel . must say place wipe doubt . front desk helpful friendly . yes , elevator small , hardly problem . build old smell nice . bathroom clean . never wait use share bathroom . bedroom also clean . option maid come day clean . stay 5th floor great view . neighborhood nice . would definitely suggest & quot ; hostel & quot ; type hotel anyone plan experience city budget . wish would taken picture , would say picture list review accurate . 
 Dec 19 2005 	 problem hassle . 	 book hotel girlfriend put slightly problem read . think people must expect perfection Hilton style say something bad . ok room small swinge cat lift recommend . yes share bathroom seem permanent occupy sign first morning . room always clean tidy return evening , staff always polite , give direction ring place ask say nothing arrive hour late due plane parking problem JFK.The handiness subway diner deli across road praise enough . view Empire State Building make fact could see bathroom . budget traveller hotel want . HIGHLY recommend . 
 Dec 17 2005 	 would stay 	 problem bug , rodent general cleanliness . stay room 510 view Empire State Bldg . room sink BLOW DRYER . also , towel , soap , shampoo hand lotion provide . share bathroom big deal . my complaint would room hot day , hallway sometimes smell cigarette smoke . 
 Dec 6 2005 	 great way stay cheaply New York 	 great way stay cheaply New York . plus Side - Location , friendly service spotlessly clean . Minus side - room small . if intend make New York can not recommend enough . like visit city stay hotel , . can not wait visit St Paddys Day ! 
 Nov 30 2005 	 great budget hotel 	 girlfriend stay hotel31 4 night November 2005 please . u want hotel big room , breakfast , restaurant fancy stuff , look somewhere else pay 200 buck / night , u want cheap ( New York ) , clean , quiet , simple little room great location ; place ! plan spend money save cheap hotel city . example go World Yacht dinner cruise ( 80 buck wonderful experience ) everything else ' ever afford stay expensive Hotel . room share toilet clean people reception helpful kind . it´s five star hotel sleep well 8 : th floor . search good cheap hotel good review aproximate 15 hour net choose one . glad . two guest Finland 
 Nov 27 2005 	 great budget hotel expect pay 	 great budget hotel , close lot amenity tourist site within 5 - 10 min walk distance . located main avenue feel safe walk back hotel night . subway stop round block great BLT 's & quot ; Anitas & quot ; deli end street . do not encounter bug rat reviewer , although wife say hear something & quot ; scratching & quot ; at / in room pipe , can not confirm . room small must decorate person sense taste bed comfy not go New York look hotel room wall . share bathroom always clean rarely & quot ; use & quot ; another guest . bad point ? lift small , will argue anyone say not , strong smell clean product hallway ( room strangely ) room , 314 , right beside share bathroom , could hear everything go room . shower take guest particularly loud annoying . thing consider would recommend hotel probably would stay . 
 Nov 9 2005 	 good budget 4 NYC ! ! 	 ' ve hotel 31 girlfriend 4 day last week oct 2005.what say , perfectly fit we , hotel amazingly locate centre NYC , couple step Empire state building ( 5 min walking ) , Broadway , 5th ave Times square ( 10 - 15 min ) .The hotel 's room big , enough space stay ( actually use sleep , city like outside stay hotel ? ? ) sink room useful little necessity . the share toilet problem , always clean busy . the staff kind helpful , book via EXPEDIA problem , everything perfectly arrange . excellent . what say , real great time stay hotel , perfect solution want live ny , lodge real heart manhattan , budget solution . I recomend anyone ! ! 
