excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 Mar 24 2008 	 love place ! 	 wonderful hotel . rate reasonable , room re - do . room bit small , spend much time room ? location can not beat ... right Times Square area near many theatre . complimentary breakfast offer plenty choice , hotel staff friendly . stay every time go NYC . 
 Mar 22 2008 	 wow ! 	 hestitate write review would love keep place secret ! staff friendly helpful . would phone street New York get advice information . the room extremely clean , quiet - must well insulate not disturb outside noise . although room bit small , 's enough room store baggage move around problem . free Continental breakfast internet access indeed plus . only one elevator , never wait one minute elevator top ( 9th floor ) hotel completely book . perfect location . street Times Square Broadway theatre . room rate receive reasonable one cheap find look NYC hotel .... check rate review hundred hotel . the secret ! place stay back . 
 Mar 3 2008 	 Great Hotel 	 husband check Feb 29th stay two night . room modern clean . pleasantly surprised & quot ; 2star & quot ; hotel . room small nearly small anticipate . staff friendly nice . free continental breakfast great , nothing top , pastry , cereal , bread , bagel etc . restaurant hotel problem we really not spend anytime hotel . location excellent less 1 block time square . outside noise little loud night NY not expect like home . ever back NY definately stay hotel 
 Mar 3 2008 	 Great Value Midtown Manhattan 	 ' m back great stay Comfort Inn Midtown . ' ve stay number hotel price range location , Comfort Inn easily good . clean , comfortable convenient , work air conditioning ( even February , hotel room New York always hot ) , great location ( Broadway 6th Avenue , right theater district ) , free continental breakfast wireless internet . room quiet comfortable , location could not convenient . will definitely stay . 
 Jan 30 2008 	 great deal nice room 	 finish 5 day stay , stay nice hotel big room , be year since ' ve well location , brand new room , super clean , comfortable , free WiFi breakfast , plus free coffee 24/7 lobby , plus coffeemaker room price . wire internet even fast , plug right desk . yes , bathroom tight perfectly workable . queen bed look feel brand new . 46th street side ( front hotel ) , get little street noise Manhattan -- 's part & quot ; charm . & quot ; nothing ever wake . stay weekend weeknight ; weekend much expensive , weeknight among low price find . 
 Jan 23 2008 	 Awesome find ! ! excellent location 	 get home stay feel must write review great hotel . first would give hotel excellent rating wireless internet access horrible . spotty well throughout entire hotel , include lobby breakfast area . common amongst guest talk . ( although use computer room two computer laser printer print free . ) excellent location ! ! half block Times Square area . lots food , shopping , theater nearby . close tkts office buy day theater ticket half price . party three room close location . newly renovate room . mean completely renovate . nice flat screen LG led tv . good bed . Decor , paint , trim , furnishing new ! quiet room , except occasional siren , trash truck , etc objectionable opinion . Front desk staff helpful polite . breakfast room small adequate , CLEAN . Maid staff pleasant . could go lavish praise address negative review other leave will not . wish address comment one reviewer complain he / she could not get money back within 24 hour cancellation period cancel flight . person state unethical & quot ; not control weather & quot ; . well neither hotel . 's fair hotel charge , least one night 's stay , since may room fare night get another person take room . overall stay , person three room , enjoyable look forward return room day 's activity . definitely recommend hotel friend make stay NY Times Square area hotel ! ! ! 
 Jan 22 2008 	 great reasonable place stay near theatre NYC 	 return 3 night weekend Midtown Comfort Inn 46th Street . accomodation clean nice ( small NYC ) front desk staff helpful friendly , NYC quite reasonable ( $ 200 night ) . hotel 1/2 block Broadway Times Square , go theater can not well . even room two double bed ( small family ) . recommend strongly . 
 Jan 19 2008 	 great find ! 	 nice hotel busy location . stay 46th Street Christmas week faint heart , hotel prove quiet spot sanity middle . take friend have never NYC , enjoy stay well . staff friendly courteous , room clean typical size ( small familiar ) NYC . room also quiet , bed comfortable , bonus location . breakfast lounge bagel pastire , fruit , etc . convenient spare we overcrowded spot vicinity , pleased stay will back next visit . 
 Jan 18 2008 	 bad customer service ' ve ever experience 	 book reservation hotel chain website . hotel 24 hr cancellation policy fully understand . flight cancel due weather NY day arrival . immediately call hotel notify dilemma ask have still charge . tell yes , ask speak manager . believe ethically wrong , consider not control weather . leave voicemail 24 hrs response try contact . time successful , hear say extremely rude attitude would make exception , would still charge . . proceed tell look previous stay Applecore chain , & quot ; not look much like value customer & quot ; . 
 Jan 14 2008 	 perfectly happy ! 	 complaint hotel . little nervous come lone female traveller 18 hour flight , fine . renovate room 2nd level- face back , view , issue noise either . * * enough space ' m 5 foot 2 , me- couple would find room tiny . bathroom clean- great work ! - , big - sized traveller would find shower tight . location good- near enough main road feel safe , near babble TIme Square would intrude . like could walk Broadway action play , 6th/5th avenue look decent food quieter place . , adequate need . felt compel write use TripAdvisor alot decide hotel- hope review help someone else ! 
 Jan 13 2008 	 Little Gem ! ! 	 decide book hotel little mini- vacation wife read review post . first trip NY want good experience we . little concerned noise reviewer mention , decide book hotel anyway . room back hotel little noise hear street ( outside police ambulance siren ) . hey heart city , complaint . door mention many previous review slam , people allow slam . door slam first time enter room realize door , enough common sense allow door slam courteous fellow traveler . would suggest hotel inv type mechanism door slam . time notice morning though people leave . complaint reason could not give hotel & quot ; Excellent & quot ; rating . GREAT thing hotel : location : excellent ! location beat . situate 1/2 block Time Square , theater many fine restaurant . everything close , major bank ( Bank America , Wachovia , Chase , etc ) , 24hr pharmacy within 1 block radius . street hotel relatively quite , line restaurant . sidewalk also congest main drag ( Broadway ) .accommodation : excellent value ! hotel spotless lobby room . our room appear newly renovate , decor wonderful . usually mainstay iron , iron board , coffee maker tea ( decaf & amp ; regular ) coffee ( decaf & amp ; regular ) . refrigerator microwave oven though . time wish fridge microwave want bring food back BECCO ( way must love italian food ! ! ) . bed comfortable everything , clean ( look type dirt grime none find . ) free wireless internet connection , great plot day room make reservation want . 42 & quot ; plasma tv adequate room luggage closet . room comfortable 2 people move around . our view room build next door , not bother we one bit , day not return time shut eye . hey come New York enjoy city watch go room anyway , right ? : ) elevator small not really notice super slow . bring we bring we . breakfast plentiful start day . be nice able go stair get something get day start . breakfast consist variety cereal , 2 % milk , boil egg , waffle , assorted fruit , orange juice , apple juice , coffee ( regular & amp ; decaf ) , breakfast muffin even Red Bull energy drink . read complimentary copy NY Times USA Today . good way save dollar stuff really want spend money on . while drive New York instead fly , little kiosk lobby check flight , addition computer business center . also small fitness center , not use get plenty exercise walk around city taking sight . price : Excellent Value ! search many hotel prior book one , beat price . pay $ 248 + tax per night New Year 's weekend ! hotel charge nearly twice much . sooo glad decide book . certainly lot bang buck , compromise accommodation , staff friendliness / helpfulness location . parking garage locate across street charge discount rate stay hotel $ 25 per day . add $ 10 top total drive oversized vehicle . the hotel locate directly across street & quot ; Muse & quot ; hotel rate twice much Comfort Inn . admit , laugh time walk hotel look across street people come Muse think & quot ; idea much money throw away & quot ; . hotel little gem right heart city ! back would recommend location friend without hesitation . 
