feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Feb 7 2009 	 Great Location New York 	 impression arrive really good . lobby impressive - arrive December decoration , huge tree ! room bit basic , functional . be class 4 * hotel , whcih probably fiar . find really difficult find upper end hotel resonable cost . barclay expensive , nearly much Four Seasons , Ritz Mandarin Oriental . bathroom bite disappointment - like relax soak bath , bath short shallow . shower OK , curtain oppose screen , water end floor . the good thing hote superb location ... short walk Rockefeller Centre , Times Square Broadway . even walk Central Park fit ( take 30 minute ) .We actually spend virtually time room much see outside . would stay agin ? probably . well locate functional hotel , will fine . 
 Feb 1 2009 	 Affordable Luxury Heart Manhattan ! 	 friend spend 3 night Barclay Jan 29 - Feb 1/09 can not say enough positive thing experience ! book 4 * room Hotwire rate $ 119 / night Deluxe Double Room . give hotel & quot ; Excellent Rating & quot ; opposed & quot ; Average & quot ; great rate pay . pay $ 200- $ 300/ night price list hotel website , would & quot ; Average & quot ; rating . stay Room 1259 clean , large Manhattan standard well appoint 2 amazingly comfortable bed , desk , mini bar lot space luggage clothe . & quot ; negative & quot ; would typical NYC sound - traffic , siren whistle - could hear quite clearly room since windows double pan sound proof . however light sleeper , issue we . actually enjoy sounds NYC ! Hotel Lobby comfortable elegant , appreciate brightly light spacious corridor , give 2 woman travel ownThe hotel excellent location , central everything , include Times Sq , Fifth Ave , Rockefeller Center 20 minute subway Madison Sq Gardens go see concert first night . everything visit effortless fun ! concierge Lorena helpful friendly - get us ticket sell MSG concert deliver room less 2 hour ! restaurant recommendation - Cellini 's wonderful italian food , Blue Fin & quot ; W & quot ; hotel Times Square , right mark want dining experience . Magnolia Bakery Rockefeller Center also miss ! not hesitate stay Intercontinental Barclay , especially snag good deal like . friend well experience pretty fussy traveler , disappointed Hotel . deserve 's 4 * rating opinion . cheer ! 
 Jan 28 2009 	 great location decor little tired 	 first time trip New York Barclay brilliant location . entrance Grand Central block . hotel 5 star day past - room spacious , clean quiet ( back hotel ) .The decor bit tired character ... breakfast absolute rip - go dinner around corner Lexington . overall , good stay get £ 125 per night deal late bed .... 
 Jan 27 2009 	 check service well 	 check hastle . Clerk insist early check possible , hold position . attitude towards ability check early change pleasant uppity discover reservation book Hotwire . would recommend speak manager immediately clerk misinformed unfriendly . room extremely small , furniture need move close closet door . light work . housekeep pleasant , friendly , helpful . good location easy , quick access Subway , quick walk Grand Central Station . 
 Jan 25 2009 	 Good Experience Intercontinental Barclay 	 friend stay shopping trip Big Apple . twinbe room spacious clean , plenty room bag . location great Park Ave around corner . take taxis place within easy walk distance . need speak concierge find helpful polite . check good experience . complaint street noise window single glaze bathroom small overall lovely place stay would recommend anyone . deli across street great open 24hrs find day leave ! ! 
 Jan 22 2009 	 148th hotel nyc right 	 well marriott downtown stay omni price recommendation . windows double glaze load road noise . will not stay hotel . 
 Jan 21 2009 	 worth money 	 long line reception desk . indifferent reception desk service . housekeeping supply type coffee pack work & quot ; Mr. Coffee & quot ; type coffeemaker room , reception desk say & quot ; be not provide free coffee pack . first night , pay coffee pack get . & quot ; next day go hallway find guy deliver coffee pack room . say different room different coffeemaker give we 4 pack would work machine . a light not work room . tv remote control spotty . general , hotel appear care service . 
 Jan 20 2009 	 Great Location nice hotel 	 actual hotel situate old building oviously renovate bring date . personally like type hotel maintain character modern type building . room well maintain clean decoration wise look basic little tired . king size bed comfortable en suite bathroom decent size . we purchase deal air / hotel package elect pay little deluxe room order little space normally acquire standard New York hotel room . deal well worth money three night stay extra room cost well spend . the hotel lobby spacious , staff meet helpful courteous . within lobby restaurant area well bar . use restaurant small beer bar even base New York price cost appear expensive . like old hotel build two wing basis , east & amp ; west make sure enter correct elevator room area . like old hotel west wing elevator could reach use small flight stair beware lot luggage . nothing worry ramp would assistance . location wise situate Park Avenue Lexington mid town Manhattan therefore well appoint tourist site whether foot transport . subway station situate within five minute walk Grand Central virtually doorstep . find New York well explore foot afraid use subway taxi ride take get traffic . all enjoy stay Intercontinental Barclay see would everyone 's taste . 
 Jan 14 2009 	 Poor 	 despite book advance call hotel number occasion lead stay check desk confuse want two room floor . finally get room tired although receive ' free upgrade ' room small & amp ; shabby , imagine room would like receive upgrade ! ask well room & amp ; tell would wait reception 2 hour . also make enquiry car meet us airport concierge never email contact price later rang speak manager ensure nothing arrange guess car wait we airport ! . concierge know stuff Scott , other recommend poor restaurant . depart hotel charge we room even though prepay . manager call apologise clearly interested complaint . receive partial refund despite promise never email contact detail . thankfully Airmiles fight we receive $ 4 money back . find room shabby & amp ; much staff incompetent & amp ; occasion rude . 
 Jan 13 2009 	 good location need update 	 travel NYC every six week business . generally book four star hotel Priceline time . four star hotel though . good : even though book priceline , front desk clerk see tired look long day , upgrade deluxe room . friendly especially NYC . check speedy efficient . the location good . couple block away grand central , rockefellar center , etc . close subway train . nice , safe , clean neighborhood . the lobby old fashioned elegant . the good : room ( deluxe room accord check clerk ) decent . old tired especially compare 4 star hotel ' ve stay NYC lately . tv flat screen , carpet drape wall look old clean enough . however bathroom old . wallpaper peeling . mold wall smell musty . exhausted want sleep one night complain . however , would beware book priceline area future not want get hotel . bathroom gross . hopefully rennovate . 
 Jan 12 2009 	 see well day .... 	 stay double room 11th floor 3 night early January , though nothing particularly wrong stay , impressed hope . 5 star billing , amazing entrance lobby , friendly staff let room small , noisy drafty curtain visibly move wind outside . hotel ok , get good rate , great location , think hotel see well day maybe need investment IC Hotels . 
 Jan 8 2009 	 Nice hotel 	 go Barclay two old child , son 's girlfriend . room reserve available , hotel come satifactory alternative include nice upgrade . ' m Platinum Ambassador Intercontinental , probably help . room nicely decorate , high ceiling comfortable bed . love evening maid service . room service incredibly expensive , everything New York . many old hotel , bathroom rather small . surprised not real restaurant , per se . table set dining lobby / bar area , go Radisson across street several meal . good 15 minute walk get theatre district , seem bit long 23 degree . try take cab show , cross town traffic impossible . get cab walk . , nice hotel , next time will stay close Broadway . 
 Jan 7 2009 	 Lovely Hotel 	 stay Barclay November . room nice clean . hotel within walking distance Times Square , Fifth Avenue , etc . not eat hotel can not comment food . nice place across road open 24 hour type food could want . went every morning breakfast find reasonable . staff friendly helpful stay . this nice hotel central - great base tour around NYC - would recommend . 
 Jan 6 2009 	 great location fair accommodation 	 usually go NYC , book Priceline get affordable rate -- particular week , awfully hard time get something . eventually , succeed get InterContinental $ 200 / night . never stayed , figure ought safe 4 - star hotel . the hotel certainly 4 - star location . hell , location 5 - star , around corner Waldorf Astoria . lobby splendid ( especially December , beautifully decorate holiday ) . room wear , couple dead lightbulb carpet tack bathroom doorjamb . service throughout stay indifferent . concierge , ask make reservation , say would call confirm -- make reservation , never confirm . and personal pet peeve : one afternoon , ask lobby restaurant serve afternoon tea get emphatic yes ! menu describe variety loose - leaf tea . order one , serve tea bag tea . well experience NYC hotel price range -- would not return InterContinental choice . 
