Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 May 10 2009 	 nice room bit way 	 never Las Vegas not realise big block walk , come country currency worth half US $ buy food Hilton question find walk lot get well cheap selection . Monorail pretty expensive , not go want go option . location not exactly ideal we . however , get upgrade big room upon check , check around midnight queue wait , big plus . room huge , bed huge , comfortable ( matress pillow ) . room big flat screen tv good . bathroom pretty small compare size room , be big deal . two issue room - wall room must pretty thin could hear guy room next door clearly talk phone , secondly loud & quot ; clunk & quot ; every 10 minute come intake vent Air / Con would keep awake night , unless Air / Con drown sound & quot ; clunk & quot ; ...... be all . the hotel clean enough , sign wear room nothing major . give hot price pay happy enough overall value , long not eat drink , not . thing get & quot ; chain & quot ; hotel like , WiFi make pay arm leg , refuse principal . 
 may 7 2009 	 stay somewhere else 	 stay week partner attend conference -- choose hotel conference locate . could , would definitely choose stay Hilton . upon check , silently downgrade room book . mention , not get room realize give small / inferior room . find kind insult Hilton figured would not notice pay regular room rate . several call front desk provide real solution , eventually tell could room originally book follow day . around 5 pm next day , room finally ready move . ( course , & quot ; busy & quot ; send someone move luggage . ) room fine , pretty worn edge . whole hotel seem like not put much effort keep up . a request front desk one night ear plugs prove fruitless -- parter transfer several different people hang frustration . ( hard get ear plugs hotel ? ) eat hotel depress experience . Paradise Cafe run sad - looking sushi restaurant mediocre sushi ' ve ever eat . I not think Hilton worth . generally unpleasant stay . spend couple dollar night stay strip nicer hotel . stay away Hilton ! 
 May 5 2009 	 amazing value Convention Center slow 	 husband ( age 40 43 ) drive Pasadena Vegas two four time year . favorite place Bellagio be splurge MGM be serious swim pool time . sometimes , be value . be usually find Hilton . weekend , will stay fourth time ( nab great rate perfect little weekend getaway ) .The LV Hilton clean , comfortable pleasant . like pool area . LV Hilton nowhere near posh Bellagio , theHotel Mandalay , MGM , Mirage -- ' ve stay . location good . would take LV Hilton day Bally 's , Monte Carlo ( pre - renovation . not see lately ) , Flamingo , Sahara , Excalibur . go right time ( i.e . nothing major go Las Vegas Convention Center ) , get lucky , find crazy - good deal . tradeoff be Strip . jump tram easy access Strip , find tram little overpriced -- rival price cab . ( usually car , not take tram much . ) Hilton large comfortable room , atmosphere 's little luxurious also little cheesy , decent pool , pretty - good - but - not - great dining , pleasant staff . LV Hilton rate Luxor , New York - New York , Paris , MGM , TI , Ceasars , not choose Hilton -- stay one property . never choose Sahara , Excalibur , Flamingo another three - star property Hilton . place grungy , not - too - clean feel , whereas Hilton feel clean upscale . if be look splurge little luxury , place . be look value , seriously great deal find hit right time . 
 May 5 2009 	 Disgusting bed bug infestation ! ! ! ! ! ! ! ! ! ! ! ! 	 Hiton member first time Hilton Las Vegas location , simply prefer new hotel . second night notice disgusting bed bug crawl bed , wall , closet , furniture . bitten back , face , arm . never stay hotel . customer service also horrible entire situation . 's true say , & quot ; get pay & quot ; . 
 May 5 2009 	 Pathetic Service 	 Okay let honest . hotel well one star rate . little strip , room bit tired , buffet little sparce compare other , overall , probably worth three . the reason low rating service . stay week Spa never work . whilst try relax pool , hear bang , drilling , hammer etc - nice . main thing pathetic attitude Hilton respond complaint . go ............. email Hilton customer service complaint , email back say sorry touch soon , contact hotel detail . day follow response email Hilton , send email say sorry respond within 48 hour . day follow response . email Hilton ask what s happen time do not even bother response . great eh . advice ......... price ok , look price bracket , try Orleans , nice room , thing work seem give dam 
 Apr 30 2009 	 fine far heart Strip 	 choose Hilton business event take place inside want close . first time Vegas , trade far interesting casino strip . without car mean take cab Monorail lot . Monorail stop right hotel convenient . $ 5 one - ride ticket , be cheap cab group 1 - 2 people . ( ride mid - strip casino usually run around $ 12 - 13 ) .As hotel , room great . stay second cheap option available North tower . new renovation evident . service hit miss . long , slow line check , long wait someone pick phone answer question . late one night keycard malfunction . mean retrace long trip room front desk ( 20 floor walk across massive wing ) get new key . desk tell we ' ve computer problem lately happen lot . Buffet great , especially ample weekend endless champagne . make sure give free pass make reservation . pool large normal standard , small compare lavish pool new Strip hotel . casino old Vegas feel , include $ 5 blackjack table , not easy find big casino elsewhere . not try restaurant Hilton get good service bar . fame Hilton sportsbook massive bill . fun watch game , one care bet . sportsbook staff friendly accessible , helpful amateur better knowledgeable pro . I would stay get another great deal , conference . fun trip would opt something Mid - Strip . 
 Apr 28 2009 	 nice worth $ 	 hotel great location ... next subway venture visit hotel . hotel nice .... room bite dark bad . fact bathroom small update . please forget ... room dark ! ! ! ! even light . conference room nice size always cold resturant variety . service hotel ok large . additionally , lot discount good quick resturant hotel choose base taste . 's little strip state subway right ... 
 Apr 27 2009 	 Hilton vip fan place 	 ' m Hilton Diamond VIP , reason stay hotel get point . get ok rate , make sure get room North Tower renovate . room like Hilton around . front desk people suck . diamond vip u check vip Lounge . might get well room . also D - VIPS get free breakfast buffet 2 water , make sure charge $ 8 water . room ok , tell cleaning do quick . breakfast nice , Sat Sun ton Brunch item .. nice .. location ok , strip . staff need fire . bad , could lot well . diamond need ASK everything ... get feel force Hilton & quot ; DEAL & quot ; VIPS .. 
 Apr 26 2009 	 cut rest front ! 	 thoroughly professional ethical .... many choice restaurant , service exemplary , quality unmatched ...... 
 Apr 26 2009 	 Las Vegas Retreat 	 easy check facility nearby park convenient self parking . Hilton gold member treat well reception give room upgrade numerous voucher . enter room extremely pleased spacious , several area room , include tv sit area . bed comfortable , albeit bathroom quite small totally adequate well present . hotel convenient strip mono rail link , quite pleasant retreat back Hilton away strip . Hilton large casino slot machine table suit pocket . use buffet cafe hotel offer excellent food , could eat , accompany good service . first impression pool busy , see hotel realise Hilton quite tranquil . criticism hotel room service tray seem corridor long time collection . stay many Vegas hotel locate strip , Hilton exceed previous hotel highly recommend return . 
 Apr 24 2009 	 good experience -- like real Hilton vs. Casino Hotel 	 Hilton chain influence , plus fact close hotel convention center , give hotel urban - resort vibe room - on - top - of - a - casino . use kind service , like . pool good absolutely deserted . Met people coffee shop -- good food , let we long meet table . even get haircut -- well get home , pricey - $ 50 . like small asian restaurant bury casino -- get attentive service even though ' m chinese high - roller . room big , nice nothing over - the - top like would find new place Vegas . overall , solidly good place . 
 Apr 24 2009 	 Decent option easy get around monorail access 	 stay 4 night . got fantastic rate use hotels.com include free night $ 25 promotional chip . room basic classic type . room big decent condition although decor fade . big new flatscreen tv . reasonable view North Strip although someone really need clean window ! bathroom small , small sink room ! quite room large bathroom small mystery . bathroom need remodel one reason get great rate . sure list . the hotel swimming pool area large load space lounger . casino generally quiet ... do not really gamble used monorail head favourite place . monorail useful murder walk anywhere strip even short distance . late night may get taxi back strip monorail . walk late night peaceful time whole trip ! bit & quot ; nickel dim & quot ; go ( $ 3 safe charge example ) . food option look ok although try coffee bar sportsbook Deli fine particularly cheap . room service average . overall , pretty happy price . 
 Apr 20 2009 	 Nice hotel 	 tag along hubby work trip . get 6 pm Tuesday & amp ; computer give we drink ticket , tell we check bag & amp ; try back hour . $ 99 nite , say upgrade , robe , access lounge , free safe ( otherwise $ 3 nite ) , free internet etc . room 24117 view golf course , house & amp ; mountain . complaint . comfortable bed abundance pillow . bathroom separate shampoo & amp ; conditioner ( big plus ) & amp ; lotion . the lounge ( floor ) open 6 am 8 pm soft drink , water & amp ; juice always available & amp ; kind snack ( fruit , nuts , cookie , cheese ) . continental breakfast cereal , danish , muffin etc , morning . 6 - 8pm , beer & amp ; wine available . take full advantage lounge . Hilton monorail stop good 's really close anything else . walk Riveria one day & amp ; hike think would . definitely need mode transportation want leave hotel . gambling brutal . not win anything . Video Poker , Slots , Roulette & amp ; Ultimate Texas Hold Em take money . Friday - Check noon & amp ; hubby train til 5 pm check bag . laptop put safety deposit box . service quick & amp ; efficient check & amp ; pick up . I would stay ( gamble ) . 
 Apr 19 2009 	 Great Great 	 e OUTSTANDING stay Hilton . on - line pic .. quite accurate . 2 bedroom suite exactly show . clean . terrific . would stay heartbeat ! great weather help : ) , suggest not use GrayLine transport McCarran ' the strip ' . TAKEN .. well , actually TAKEN . fail pick we refuse return prepaid transport fee . great company , eh ? hilton : OUTSTANDING . grayline : disaster . 
 Apr 14 2009 	 good great 	 take son Vegas boy weekend . Friday & amp ; Saturday night . Hilton nice . room clean bed comfortable . monorail station right outside offer access rest strip ( get 24 hr pass $ 13 ) . far action downstairs , seem quiet compare casino strip . overall think good value would stay . 
 Apr 14 2009 	 wonder many bad review .... 	 read seemingly unende string bad review site concerned stay . however , convention attend hotel able book room Sun - Thur $ 60 night ( purchase expedia combo air / hotel ) . expect horrible time , pleasantly surprised time check check . King Size Premium room 21st floor South Tower . room nicely sized ( not huge not feel cramp either ) view golf course . bathroom little small size nicely appoint . love premium pillow top bed linen . issue hotel room wall super thin . first night , neighbor tv 1 morning - could long take , knock door ask turn . throughout stay , could also hear occasional cough neighbor . , think room nice good value $ 60 / night . as attend work convention pretty much busy morning night , unable comment anything else hotel except cater service . part convention , serve two lunch two dinner - except first night dinner good . first night serve horribly overdrie food - really unedible two table end go real food later evening . catering service excellent though . business center leave lot desire . staff quite rude . explain need package send FedEx gentleman duty tell able help FedEx man already come go . inquire another FedEx center near special pick could arrange simply say none business ! rude . next day need stamp charge fee , run card ( need LOT stamp ) tell two left would not get another delivery afternoon . wait reverse charge ( not know phone manager ) . addition , business center odd hour not exactly good business center ' ve ever use . convention hold next year long get good rate , definately stay LV Hilton . 
