go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Jan 19 2008 	 even Steven 	 stay Tuscany work week January 16th . hotel good 20 minute walk Strip . night , might look shoulder walk part Flamingo quiet . want see Vegas want save money , place . want midst Vegas action , be not . the hotel outdate despite recent renovation . casino old fashioned depressing . walk though least 10 other strip , one sad . many senior citizen park slot , businessman work , . sportsbook two guy behind counter white board . the food average . & quot ; basic breakfast & quot ; cafe adequate . cost $ 4.99 not include coffee ( $ 1.50 ) . give 2 1 coupon check . mexican restaurant get good comment co - worker . the room old fashion big include kitchen save money eat . tv 7 8 channel . also charge $ 10 early check . internet access absurd $ 14.99 day . if want hotel Vegas save money , drop bag , hit town , acceptable not mind long walk . want hotel relax , look elsewhere . 
 Jan 18 2008 	 great place good price 	 stay Tuscany Suites Dec 31 - Jan4 . find hotel clean , comfortable , quick 10 - 15 minute walk strip . nice bonus around corner Ellis Island great steak special . New Years partier , find place quiet . casino huge , good variety slot , kind husband , kind . enjoyed try anyway ! drink service quick frequent . we 3 meal Marilyn 's Cafe , please food . portion large , share breakfast find service lunch time quite slow . little well breakfast . dinner there . there music go bar every evening , go . seem many people enjoy themselves . over good stay would consider go back , perhaps summer try pool . 
 Jan 9 2008 	 spacious . Great Pool kid 	 spacious room 2 adult 9 yr old . great pool set everyone . watch drink dispense machine - swallow money not get back . short walk Strip ie Paris , Bellagio Fountains etc . tip - hire car drive another hotel park Self Park area Free . way not walk far kid . 
 Jan 3 2008 	 low cost - Great Location 	 Tuscany Suites casino255 East Flamingo Rd . – sure get package price hotels.com Expedia [ thing ? ] on - line package seller . Book Monday Friday fantastic low cost ! [ Tuesday walk - in rate $ 35.00 , truly give - away ! ] probably ' find low - cost Friday Saturday night . rental car virtually free [ package ] except extraordinary fee gas ! ' need car , cheap book car save shuttle bus , cab tram cost . walk Tuscany Strip , get cab night . -- tuscany clean & amp ; convenient , really full - service , good price large room . -- tuscany double - size room fridge . ask room build " G " " h " close lobby . ask third floor avoid noise . drive around property check - in pick building like , near pool [ two pool , one lap ] -- Tuscany Casino , humble plain plain . -- 24 hour restaurant serve fresh food friendly staff . fancy , ' ok . -- avoid " Lodge Net " tv internet , joke . check bill 24 hour leave erase phony charge . 
 Jan 2 2008 	 Tuscany Ok 	 quiet , safe clean environment . room third floor , not hear thing even though guest around , parking street around . third floor build C , next main building . get room $ 63 night include tax . huge room two double bed , huge bathroom shower tub , separate toilet ' room ' . coffee maker , small fridge sink room , microwave . take napkin , fork , etc snack shop . toiletry ( replace every day ) , safe , hairdryer , iron , iron table , open window , good climate control , clean carpet , sheet plenty towel ; wear stain . apparently whole building non - smoking , nice -no tobacco odor whatsoever . good snack bar quick eat , coffee ; not use facility see casino : side premise . well maintain surrounding , good security , build door open room card key . Felt safe . rent car one day find plenty parking . place huge , lot 3 floor building . look like time - share . snack refreshment machine every building . good sized pool , obviously nobody use cold . find strange stair indoor access , way go via elevator , one whole building . let us ask architect ... not like:1 ) early check - in , hotel policy charge $ 10 . annoying , find late - after 20 min walk bag trailing.2 ) bad painting job ceiling room.3 ) Toilet seat bad condition , screaming replace . clean worn.4 ) stained sofa ; not go near see stain fear would urine stain ... people would not like:1 ) tuscany good , cold , 20 min walk Strip Flamingo Road . little solitary night , enough traffic make feel confident . way , ' ugly seedy neighborhood ' review say . lot parking close gas station , renovate . see one homeless sleep one bus stop , see city sleep , anyway . take month traffic light change , dangerous cross street traffic . bus along Flamingo Rd , stop close hotel , plenty taxi wait around lobby building.2 ) limit tv channel , not come LV watch tv . definitely would stay ; not mind distance Strip want little peace quiet , place . 
 Dec 31 2007 	 take Ear Plugs ! Noisy Air Vents . long walk Strip 	 property 's building noisy air exhaust vent ground level one corner seem produce noise around - the - clock . building close together , be hard escape noise . take ear plug help sleep . attend conference Ceasar 's Palace walk back forth . relatively long way . feel safe , ugly neighborhood walking . recommend family . take comfortable walk shoe . everything else acceptable . not try on - site restaurant bar . 
 Dec 30 2007 	 Great Time Value 	 place terrific . wonderful time husband , not far strip , fun take ( Cold ) evening stroll Flamingo Bellagio see site . eat Marilyn 's Cafe , breakfast waiter , Eddie , ( ask ! ) good , food okay , get lot money . money spend , get quite deal , include quiet room ( could not hear neighbor ) , & quot ; mom - and - pop & quot ; type operation good homespun customer service genuine smile almost employee ' face . not miss place , will love . 
 Dec 26 2007 	 poorly maintain hotel resort 	 stay Tuscany 4 nite Thanksgiving 2007 . reserve King room 2 adult , 2 kid -- sofabe not make -- mattress really stain . call front desk bedding & amp ; tell staff go home . call back , offer move upstairs & amp ; assure sofabe room make . moved & amp ; find sofabe make sheet , etc . either . call front desk & amp ; another 30 minutes+ , security bring 1 sheet , 1 mattress pad , bedspread king bed not fit queen sofabe . maid keep forget change sheet keep ask change . room large crack ceiling & amp ; wall , like not structurally sound . outside pool open , cold use , concrete walkway always dirty . lock one evening late night go car blanket & amp ; pillow exterior door building ( G ) would not open card key . another couple arrive 10 min . later & amp ; also could get . eventually , employee come elevator & amp ; flagged let . ( forget could walk parking lot & amp ; try get end building & amp ; leave cell phone room ) . daughter ( age 20 ) describe room & quot ; Ghetto & quot ; . thing recommend parking close & amp ; accessible room , although good spot usually fill early & amp ; drive show , end parking outside loop . almost forgot , one night order large pizza pizza snack bar / pizza spot service pool , sell coffee drink , get major diarreah eat pizza . eat meal Coffee Shop inside , like breakfast late night snack , pretty good . one comment , family , room usually two double bed -- think way small adult comfortable , really unnecessary since room large enough accomodate two Queens . major complaint we . book King room Queen sofa sleeper kid . normally not put mattress pad sofa bed mattress & amp ; stained & amp ; gross . would not ever go back . Nancy 
 Dec 24 2007 	 Budget Bellagio 	 place GREAT value . pay $ 35 / night mid - week . room large , w / coffee maker , fridge , microwave & amp ; stove . bath big , separate bath , shower , & amp ; toilet & quot ; room & quot ; . nothing fancy , clean working order . great place extend stay . place much nicer expect price . reviewer complain & quot ; smell & quot ; not notice problem . interaction staff good . place nicely landscape , good food bargain ( 2.99 steak & amp ; egg .99 pancake midnight 5 ! ) , adequate casino . even good exercise room lap pool . 's long block strip . small problem -- one elevator per building , end building . would rather take stair , outside entrance either stairwell . construction building seem shoddy -- kind look like cheaply make group college dorm building : think best western meet faux - tuscan villa . price , place find . would rather spend travel money something room -- much time spend anyway ? -- place . 
 Dec 22 2007 	 another great stay Tuscany 	 return second stay Tuscany ( 5 night ) , pleasant experience . request 3rd floor suite , , multi - level hotel , not want risk heavy - foot noise we . room Bldg & quot ; B & quot ; face Flamingo Rd . sensitive traffic noise , may want consider another building . city folk , immune : - ) room convenient clean ; believe recently renovate one . small stove top micro - wave . refrigerator seem work overtime , freeze beverage matter set . husband take insulin ( require refrigeration ) , call front desk inquire setting . inform problem , maintenance man show immediately , kind completely change unit . the pool area remain closed repair right now . not much luck play slot , casino always fun . as always , Marilyn 's cafe offer decent food reasonable price ; Mexican cantina offer . visit Tuscany Gardens time . we would like thank : Alina front desk , Ruth , concierge , lovely Suzanne serve cocktail , gracious kind service . see next year ! 
