great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Sep 7 2009 	 GREAT Hotel ! ! pool fantastic staff friendly . 	 see couple bad review Mirage really not know anyone could like place ! arrive 9 am obviously room not ready yet . go bellman check bag . they let we take swim suit head pool . say check back around 10:30 see room ready . pool awesome drink little pricy compare average bar pretty much expect . yes TOUGH finnd place sit ! ! ! ! go every day 8:15 reserve couple lounger . go early will stand long line . thhey open 8 am line move fast get 8:15 still leave plenty option find place lie out . go back 10:45 check , aline within 10 minute . really think get great deal room rate . find sight call SMARTERVEGAS.COM show promotion Hotels run . MUCH well expedia , travelocity etc . rate . pay 85 $ nite plus $ 50.00 towards buffet free admission secret garden / dolphin show . travel site average $ 119.00 nite ! ! ! ! check mention celebrate 20th anniversary see could help little ! flash $ 20 promptly give REALLY nice delux room 24th floor ! 24th 25th floor private elevator really make nice wait every floor people get . room great , bathroom huge ! nice shower jacuzzi tub plus 2 sink nice long vanity ! ! thnk room size standard room still plenty big we . view not great could care less ! ! ; room much watch tv listen music . yes walk elevator take thru casino EVERY hotel visit ! went see Penn Teller Rio . GREAT show ! ! got ticket straight thru ticketmaster $ 65.00 , cheaper every website could find ! . take taxi airport tell take Freeway ! ! will tell fast .. 10 - 12 dollar ! ! arrive cost we $ 30 tip , head back spend $ 18 tip ! ! good luck downtown gambling . also go slot - o - fun next CircusCircus REALLY cheap gaming super cheap drink ! ! Kinda run bit care , fun ! ! also cheap eat right across Mirage . Macs , subway , chipolte.pizza convenient . also walgreen block towards Venetian . nice snack stuff might forget bring ! ! pack bottle rum Jack daniels go coke . also pack couple big glass small thermos style cooler put drink bring pool ! save buck way ! ! fun relax trip ! ! 
 Sep 6 2009 	 wonderful experience 	 finish 3 night stay Mirage Hotel Casino Las Vegas . read many review Trip Advisor ready anything . stay exceed expectation . check smooth even though bit wait line . front desk staff friendly courteous . get room find give king size bed rather 2 queen reserve . quick call desk re - assign room 2 door room key change telephone . Coud not get simple . room beautiful clean . bed fantastic . fact since purchase new mattress set base one Mirage ! many folk write bathroom small . find problem . large bathroom need ? plenty room also contemporary attractive . love glass tile . breakfast buffet good food fresh , however , dinner buffet rather uninteresting provide tasty item . stay Mirage everything want . certainly would stay . 
 Sep 5 2009 	 LOVE MIRAGE ! 	 husband stay Mirage tower suite first trip Vegas , already plan reserve second visit . room clean , private elevator awesome ! food expensive , take arrive , , blast ! 
 Sep 5 2009 	 Mirage spectacular - might stay anywhere else 	 check Aug 30 2 pm check promptly . bit walk room worth . reserve one bedroom tower suite ... cost bit last visit not - so - great room , want sure enjoy stay . huge ! Approx 1200 sq ft living room , dining room panoramic view strip , right volcano . sometimes would pull seat window watch everything . bathroom huge double sink , stand shower jet tub . extremly comfortable pleasure stay , great ! staff attentive room clean restock daily . order room service daily prompt , server would set table food delicious , not expect . one evening even stop California pizza kitchen - line long order pizza go enjoy room watch activity strip . stay fantastic . I one complaint - Starbucks open 24hrs . go Grand Canyon day tour pick we 5:00am Starbucks closed . rude , ' m sayin ! definitley stay definitely Tower Suite ! 
 Sep 4 2009 	 comfortable stay 	 nice room , good location center Strip excellent value money . restaurant bite disappointing japanese one good . 
 Sep 4 2009 	 leave one night 	 bathroom small , although room update , door flimsy hear people talk hallway though room . smoke apparent thoughout smokefree room , little dark , pool nice . would not stay . 
 Sep 2 2009 	 Great Fun Mirage 	 husband return 4 day birthday trip Las Vegas Mirage . third time Vegas 2nd . book Expedia get great deal free ticket see Beatles Love show . hotel beautiful check process fine . arrive around 9 am morning room ready . fine , check bag bell service go eat Carnige Deli . breakfast wonderful ! also eat buffet one night good also . walk around strip able get room around 2:30 . bag bring within 15min . call . get renovate strip view room request . despite previous person post , renovate room small renovated bathroom . yes bathroom small really not matter . put fact bathroom really clean ( stray hair ) toilet make strange noise . room nice great view ! bed comfortable ! love Beatles Love show ! ! even though free ticket seat top , could see everything theater small could still see everything close . we also see Drew Carey Mirage funny ! eat one night Paris Eiflel Tower restaurant really good night time view great ! ! ! minor complaint would bathroom clean , wall really thin pool situation . not even try fight crowd one chair . sure solve , something needs do . overall staff friendly , food place eat good location hotel strip perfect ! not gamble could not comment . would not problem stay would like try place well . far good place stay . stay Planet Hollywood ( Aladdin ) stay Red Rock Resort . red rock nice way strip . 
 Sep 2 2009 	 could try hard 	 expect great thing Mirage , briefly visit previously , disappointed stay . family five pay two room get one arrive . stay separate room connect room night . conflict information staff : tell could leave bag get connect room follow day , tell take bag room . helpful . however , pool area good , not visit dolphin / tiger area costly - feel free guest . room ill - equip - coffee maker / microwave / fridge , poor star rating . lot well Vegas . 
 Sep 2 2009 	 ` ` mirage rock '' 	 return mirage , room exceptional , view awsome , carnegie deli breakfast great , casino somtime smokey especially use non smoking environment uk . first time vegas love , would deffinately reccommend hotel.nightlife rock return . 
 Sep 1 2009 	 Impressed Mirage 	 key positive inlcude tropical ground pool area ( abundant waterfall ) ; hotel centrally locate strip , within short walk Cesars , Bellagio , Treasure Island , Venetian . sure see Circ de Soleil , Beatles . Phantom across street Venetian . plenty restaurant Casino serve taste . excellent hotel overall , would recommend stay . sure would charge $ 25 use fitness / weight room . 
 Aug 31 2009 	 overall good flaw 	 stay Harrah 's TI , decide splurge try Mirage . try honest know . lengthy . I book flight room directly Mirage website problem whatsoever . stay 8/24 8/29.i arrive 1:30 P.M . room ready . tell check back 3:00 ask cell phone number case something come early . go back 3:00 room still ready , offer room right next door , accept . everyone desk friendly courteous . I go Impulse store buy 2 beer take room . go room call Bell Desk . go get ice open first bottle beer , hear knock door Bell Man ! Astonishing ! believe name Tom friendliest guy world . show everything everything work . funny , tip $ 10 instead normal $ 5.i unpacked , take view , put iPod handy iPod station relaxed beer . thrill Strip view Venetian , Harrah 's , Volcano , distant mountain plane come landing . the room , upon first glance , nice . 24054 , guess one unrenovated room , think bathroom huge . comfortable king - sized bed great tv . plenty outlet electronic doodad . housekeeping Tuesday Wednesday perfect . slip bit Thursday . non - existent Friday . vacate room 8:00 A.M. well 2:00 P.M. ( include brief stop change pool ) . call tell maid still lunch . well , ready relax room dinner show go leave . maid come little later , tell give soap clean towel . expect little 4 - star hotel . tip , sorry ! also report Thursday accidentally pull far sink plunger come loose thing make go . could fix 30 second flashlight . report right away , one ever show fix . also grind chew gum bathroom tile , directly line sight sitting . leave red stain may may blood . towel rack right sink bend someone slam door . shower either full blast nothing . never use tub spa . the Pool . absolutely beautiful , waterfall , palm eucalyptus landscaping . lounge chair situation plain silly . witness incredible scene greed selfishness could imagine . People chair reserved buddy entire pool area . would say estimation 70 % chair unoccupied , towel . discount people actually pool , would say 25 % chair reserve . come close one day take pair silver sandal throw pool . People wander look chair . score chair one day watch leave hustle snag chair . 2 hour sit side pool stuff rock . another day , come 2:00 P.M. get one fairly quickly , people around give dirty look like sort alien outer space . one middle aged lady deep south accent actually look curl lip ! ! ! third time go , Friday , SoCal knucklehead show , not expect get chair not . grab rock stuff sit edge pool . staff go around start pick towel unoccupied chair time time . good note , Monica Chicago good attentive pool waitress . bar pool nice . show . see Beatles Love show ( 2nd time ) Terry Fator . like fact Terry pay tribute we military veteran . put good show . seat terrible however . way leave discount obstruct view seat . enjoy show , would probably see . beatle Cirque du Soleil great . can not go wrong show . seat perfect . book seat hotel . dining . solo , ' m sheepish go fancy place . eat BLT Burger , California Pizza Kitchen Carnegie Deli . BLT - great burger ! charge . basic burger 2 extra topping , fry microbrew , $ 33 include tip . honestly say well fry Burger King . service good . CPK - two pasta meal . service incredible ! Jim Joe bar awesome ! great service , good meal ! Carnegie Deli - eat breakfast twice . complaint never get refill coffee . food good . craving - go breakfast . seat far away serve line food cold time get back table . second time ' m still wait first good experience . gambling - dealer pretty decent . Vaughn unintentionally funny offbeat theory . try make fun . little take aback one hispanic lady keep run conversation Spanish go hispanic patron . ' m mad though , deal straight flush 3 Card Poker . never get favorite game , Craps , high minimum . always one $ 5 table go . fun game play , $ 10 $ 15 minimum , would buy $ 200 play style game . much . okay slot . Sports Book nice place relax throw baseball bet . try Poker Room . people never seem like fun . bar - complaint bar . Nightclubs - Mirage Jet Revolution . ' m old stuff , girl line look fabulous . 25 rich ! Checkout Friday flawless . Desk staff commend ! overall , enjoy stay would recommend other , need look past tne minor flaw . pool thing ridiculous . one solution would charge $ 5 lounge chair . tighten security would help well , since ' m positive pool get invade people hotel . I would stay , say do . location ground perfect . 
 Aug 31 2009 	 Resort coffee shop - STUPID 	 cost guest , Mirage decide increase bottom line close 24/7 coffee shop & amp ; restaurant , & quot ; Caribe & quot ; . instruct staff direct guest & quot ; Carnegie Deli & quot ; serve ny deli style food , massive portion describe ridiculously wasteful ... albeit tasty . breakfast offering primarily 3 - egg omelet ; much else . seat capacity considerably less much large & quot ; Caribe & quot ; - create long wait much needed morning caffeine . resort add Starbucks , , close one two coffee bar ; long line await morning customer . reduce breakfast option , Mirage force guest leave resort risk return gaming floor . become regular morning customer Treasure Island 's 24 - hour restaurant ; short tram ride next - door property . long - time fan guest Mirage , light recent business decision consider select new favorite hotel semi - annual trip Vegas . 
 Aug 30 2009 	 Loved Mirage 	 arive 8.30 Monday evening make way check . reception area amazing indoor forest giant fish tank . room great , modern design , veiw planning spend much time anyway . the pool area one well ever see waterfall gardens.looke bit crowded morning visit late afternoon time hard day sightseeing get chair easily time . visit Secret Garden dolphin habitat zoo white tiger ( $ 15 charge think ) well worth it . there dozen eat place bar within hotel , there s starbuck also . we eat craving buffet excellent value food nice . I think good feature hotel location , right centre strip close famous hotel .We havd fantastic first visit Vegas could pick nice place stay . 
 Aug 29 2009 	 terrible - never go back . 	 husband take Vegas 40th b - day we really look forward little trip . mirage year ago love ! time . concerige friendly simply give we pass thing could pick gift shop street ! view room medicore , wall thin maid fail clean room one night hotel . annoying . the pool - which suppose beautiful , actually repair . waterfall working - it big eye - sore tape chicken - wire . process get pool chair downright ridiculous ! sign clearly post & quot ; chair saving & quot ; other simply uphold Mirage guest . rude guest save chair 10+people time ! get waitress get us drink pool take 1/2 hour ! finally show look like utterly exhausted & quot ; gun & quot ; .The resturant yet another bad experience . one nicer dining attraction long wait service awful . wait 10 minute get water ! stay someplace else ! 
