decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 May 8 2007 	 good time Eastgate 	 take 12 - year old daughter 13 - year old niece NYC weekend . take subway JFK hotel interesting ( $ 2 JFK Howard Beach 42nd Street Grand Central -- 5 minute walk hotel -- JFK $ 5 connection free day reason ) . cab ride would ' ve $ 45 flat rate . our first experience Hotel not good ... front desk personwould not provide room 1:00 pm & quot ; not ready & quot ; . bellman overhear volunteer check room . think see planned girl nap ( since 4:00 ) right lobby couch room ready smartly offer get we . sure front desk not check see , help persistent . room already make available . housekeep great quickly provide extra linen towel . room large . & quot ; 1 bed suite & quot ; ( $ 270 first night , $ 215 second night ) . not really suite door bedroom , sit area well table 4 chair . kitchen adequate -- use refrigerator freezer . furniture bit wear date . blanket provide pull - out couch fill hole . bathroom tiny clean could ' ve . hairdryerwas especially dirty , several crack mirror andtile . bed comfortable room quiet 10th floor . heat not seem work well , still comfortable . not spend much time hotel , not fussy . feel safe . stay Affinia Dumont also Murray Hill neighborhood -- much upscale property walk Grand Central Station . however , price increase significantly . happy room stay Eastgate . bellman arrange town car we back JFK $ 50 flat rate . nice driver ; enjoy much well cab ride . kid love ! location hotel great -- walk Grand Central Station , Empire State Building , great restaurant 3rd Avenue , TimesSquare , Bryant Park , even Rockefeller Centre . take 3 cab ride 3 day . Gray Line double - decker bus tour outstanding . get various part throughout city ( buy ticket online $ 5 saving ) . guide entertain . start Times Square go . girl love city , especially tour NBC . regret make Statue Liberty waste time go top Empire State Building -- long line girl quickly bore . recommend hotel family kid . great neighborhood , close everything , safe . 
 May 7 2007 	 great hotel 	 book junior suite Scooch.com - £ 480.00 4 night 2 us - bargain get . massive room , clean , great location , noise , fast lift , friendly staff , hot shower / bath- would go back , question ! 
 May 6 2007 	 Quality NYC ! 	 stay Eastgate 2 week apartment renovate experience wonderful . book full studio suite living room , clean , date spacious . Kitchen , use freezer , fridge , microwave , awesome ! like live apartment , maid service . staff wonderful accomodate request . only downside cost internet service , $ 10 day $ 40ish dollar week , pay include amenity , imo . there restaurant , bar , store conveniently locate hotel , pretty good . also , not bother take cab , walk Grand Central ( visit market ! ) . 
 May 3 2007 	 Perfect Family / Friends Affair ! 	 bit leary see $ 230 price room 4 . can not get anything cheap , especially kitchen . wow ! surprised ! room 6 , easily . room clean smoke - free . nothing fancy , clean comfy . two toilet dining table . feel like home room . hotel close enough Grand Central quickly get anywhere city . must half - dozen irish pub within stone 's throw ! ! perfect place family / friend 's getaway . thestaff friendly , warm , helpful . come back . 
 May 2 2007 	 Great Experience Eastgate Tower 	 book Eastgate Tower read many review online . wife stay 3 days/2 night . originally little worried walk to / from hotel night , walk Grand Central Eastgate 10 - 12 minute . 's 3 block south 4 - 5 block east Grand Central Station ( travel mostly subway around city ) . good route ( especially night ) simply walk 3rd ave . 42nd st . Grand Central . fairly populated well lit night . take shuttle ( subway ) Times Square go anywhere nyc.the hotel spacious clean . not Ritz , $ 135 night thought get money 's worth ! not need help staff , can not really comment they . I nothing negative say experience . would stay hotel ! especially take kid . 
 May 1 2007 	 Excellent suite hotel 	 need place 5 adult central NY place hit spot . 25 storey , all - suite hotel ( mean room separate live / lounge area ) Murray Hill part town East 39th st 2nd + 3rd Avenue . 2 bedroom suite ( 1 2 double bed + 1 2 single ) plus queen size settee pull - out lounge . lounge 33 ft 14 ft plus separate fully equip kitchenette end . tv room bathroom bedroom . take recommendation early Tripadvisor , go upper floor escape traffic noise , although , avenue much less traffic go past hotel - something bear mind be look hotel busy avenue ny.the reception area small staff helpful smart italian restaurant next door supply room service request . it be within walking distance UN building / Grand central station great place breakfast Snappys Frontier ( egg bendedict ) 40 th Diner 45st 2nd + 3rd . also room variation cater couple etc . overall winner ! 
 May 1 2007 	 great find ! 	 great Hotel . huge room , clean central location . get excellent price travelocity book Queen Studio weekend . purpose trip spend time NYC meet friend visit Australia . book Hotel concerned might unhappy would feel responsibility . important happy spending 9 night . one bedroon suite delight . huge living room dining table , arm chair pull sleeper , bedroom 2 queen bed , full size kitchen , adequate bathroom . Closets drawer galore ! we could not satisifie would highly recommend Hotel anyone want visit NYC . 
 Apr 29 2007 	 Wonderful bang buck 	 book hotel Quikbook late April amazing New York rate $ 160 night four night . value . large room , clean , good location near Grand Central Station . staff helpful . could go current New York hotel rate place terrific choice . 
 Apr 21 2007 	 Great Value Manhattan ! 	 great experience . bit wary , consider extremely affordable rate , pleasantly surprised . room lush mean , suit we fine . couple nit - picky issue dust tv closet shelf , satisfied overall cleanliness . happy size room kitchenette bonus we . downside kitchenette neighbor decide cook curry one night smell invasive ... wish would ' ve invite we : ) happy location . many restaurant nearby well D'Agastino grocery around corner 3rd Ave . 's block subway Grand Central easy go anywhere city . view Chrysler building head towards gc.our headache miscommunication Orbitz hotel . pay 5 night Orbitz tell Eastgate stay 4 night . reservation Manager Donna extremely helpful prompt resolve issue . lucky we room available last night . give hotel thumb ! 
 Apr 20 2007 	 great place ! 	 great place extend stay NYC family ! stay April 12th-17th . staff friendly . studio plenty room 2 adult 7 month old daughter . even crib highchair available extra charge . hotel quiet could not even hear guest room , unless stand hallway . definitely come back ! 
 Apr 18 2007 	 plenty space 	 agree other say . large clean room small kitchen useful us cereal toast morning.about five minute walk grand central subway.quiet location.plenty bar cafe nearby . 
 Apr 15 2007 	 Perfect hotel family 	 stay recently three day wife , two kid infant great experience every aspect . service : arrive red eye Ca hotel 7:00am . let we room , upgrade we junior suite free charge . everybody extra kind helpful start bell boy reception room service . every request answer quickly efficiently ( extra towel , make sofabe , crib etc . ) . room : get junior suite 18th floor . room huge NY standard . queen bed , sleeper sofa even open still leave huge space kid play around . kitchen fully equip helpful kid . bath decent size good pressure shower always common NY . furniture design philip stark , everything look clean well maintain . room large window bring lot light view quite nice ( face north ) . room quiet . location : hotel locatre 39th street 2nd 3rd avenue . personally think many bad location NY , go eastgate well . convenient get city ( close mid town tunnel ) , 5 minute walk grand central subway connection , 5 - 15 minute walk 5th avenue rockfellar centre , empire state building . 20 - 25 minute walk time square central park . btw - japanese restaurant adjacent hotel excellent sushi . since vacation plan well advance , get really good price . also , mention stay recently affinia manhattan business good experience well ( although prefer eastgate location ) . 
