money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Jun 2 2009 	 right times square centre everything 	 Wife 21year old daughter spend 4 day mayhem Manhatten honesty , dread , really hate touristy stuff dear wife insist go . LOVED ..... Great Place , absolute ballanyway Doubletree hotel . 3 people may 09 $ 600 night exclude breakfast . bad room one iconic view world . ( one tickertape Wall street result giant tv screen ) pay lot lot bad . clean , quite nice people , really easy deal , late check problem , maybe 5 minute till lift . room 1303 king suite , smoking , view onto square Broadway . nice bedroom , lovely bathroom fine small lounge . smoke , tend keep lounge window open noise amazing . alarm scream , siren , siren different siren music , seriously NewYork really need emergency vehicle scream maximum volume three morning . matter , , would shut window . sleep sleep dead due extreme New York Exhaustion . want peace quiet try Alaska . Breakfast wee diner round corner ( eat hotel ) supremely New yorkian nature massive portion . do not think whole 4 day cause talk hotel staff apart concierge last day . get ticket show book people ( next reception ) boy expensive . able plan thing ahead , buy ticket internet week advance .... much much cheap . do not care good show , $ 200 2.5 hour broadway show much particularily several go . if want see good broadway show wait till come theatre near ..... wife daughter , fun sight see shopping show , museum , bar , archetecture , talk everyone . think point matter , get New York . everyone great time hotel perfectly place make easy , Taxis door , 49th street Metro ( yellow r one ) basement , ( seriously ) Red Blue Bus tour across road . walk distance fun actually legal yet still safe three morning ( well safe - ish ) notice review not say much hotel . well that s unlike many hotel round world wreck trip . easy , nice , simple lot word do not denote ultimate high terrible low frankly city , that s good kind hotel could ask . get highs lows street , hotel sleep store stuff . stuff , well stock little pricey fridge spare empty fridge drink snack , cool idea . ( Pun intend ) internet ..... hell charge internet day ....... one except apparently cheapscate New York Hotels . $ 7.50 day totally worth find stuff New York google . still think con con though .... good security night , do not get past front door without key 8 pm ... excellent idea area . sure happen lose key .... easy access great food , great entertainment , great shopping Great bar night club . also available within easy walk distance crap food , rubbish entertainment , expensive shopping stupid people much money , Drink , drug , rock roll well , awful awful lot fun . doubletree guestroom perfectly place . 
 May 31 2009 	 great location service usual 	 Hilton Platinum vip , stay many location NYC . default location due NYU graduation concern would bother noise . surprise ! place sound proof become first choice Hilton Garden future trip NYC . front desk staff good , treat great . 
 May 29 2009 	 good hotel kid ! 	 arrive hotel greet warm cookie ! staff wonderful , friendly efficient , even get meal free 1 evening 10 min late deliver room ! even include cookie 2 daughter apologise delay . room bright , spacious , sound proof , ( v important staying time sq ) stay 13th floor smoking floor view still great room clean polish every day , even receive note chambermaid one day say thank tip leave ! area great , tkts booth right outside , mcdonald next door toysrus 2 min walk , subway entrance door hotel . I would highly recommend hotel family even single traveller noise travel room room . def stay , get hotel hilton website $ 199 per night book month advance , fab price ! security great go 3rd floor get reception .great place ! 
 may 25 2009 	 fantastic place stay kid 	 would thoroughly recommend hotel family travel child / teen . three kid ( 13 , 9 6 ) find hotel room enough space we real challenge . doubletree plenty room , two double bed separate bedroom large , comfy , pull sofa . stay 16th floor room ( partial view Times Square ) incredibly quiet . we find staff friendly helpful . request extra towel etc attend quickly . request seem like much trouble . fact front desk staff indulgent kid , help fit battery new toy aquire toy r Us ( street . ) location great kid . everything need ( include subway station ) right front door . load great place eat nearby . kid ' favourite John 's Pizzeria . we great time NYC , stay Doubletree totally enhance experience . 
 may 22 2009 	 Great Rooms Fantastic Location Times Square 	 Doubletree Guest Suites Times Square great place stay . entrance hotel , 's tkts booth ( get ticket show Broadway ) , Times Square visitor centre ( get show ticket ) , Duffy 's square great people watch , entrance 49th St subway station theatre West Side Story playing . easily walk Central Park , 5th Ave shop , Empire State Building much . walk Winter Garden Theatre show Mama Mia less 5 minute . sure beat stay away take subway place , especially group 4 6 people ( save $ 2 per person per ride walk . ) room spacious comfortable , good shower , large LCD tv sufficient amenity comfortable stay . despite incredibly busy location , hotel quiet . go ahead , stay ! 
 may 21 2009 	 highly recommend 	 2 woman stay 4 night May . great location even though , bustle right outside door , room quiet comfortable . 2 room suite spacious especially NYC . service could better front desk , concierge , bell desk maids - good receive 5 star hotel . bed comfy sofa bed . warm cookie welcome treat mini bar convenient . location highly recommend someone want see tourist spot . 
 may 20 2009 	 fantastic stay 	 wife stay Doubletree suite Time square annual mother 's day trip . everything hotel excellent . service check quick easy . cookie die . room two room suite . nicer expect . room clean , bed excellent sleep shower excellent water pressure tempature control . location fantastic , right time square . broadway theatre next door play West Side Story . load restraunt couple block subway entrance right next door . would recommend hotel anyone know head NYC . wife stay next time go NYC . 
 May 19 2009 	 Excellent Value money . 	 hotel ideal location sight ie , Rockerfella Centre , Fifth Ave walking distance . Macy 's , Empire State Building , one stop away subway ( yellow N ) .Grand Central Station two stop away subway ( Green 6 ) . Central Park walk 15 minute . Staten Island Ferry 5 minute subway ( Red 1 ) South Ferry . this hotel comfortable , room large living room 32 & quot ; Plasma , plus separate bedroom another tv , kitchen area microwave , coffee maker complimentry coffee , fridge . massive king bed get lose . 
 May 17 2009 	 Exceptional ! ! ! 	 stay Doubletree Guest Suites May 8 - 12th everything hope . yes , cookie check - in warm delicious ! ! ! ! loved idea show room key gain access elevator evening . lobby locate 3rd floor must take another set elevator floor quick virtually wait . four us suite upon arrival notice enough towel three , call & quot ; careline & quot ; know knock come door ample supply . also receive call make sure towel arrive - good service ! ! room spacious , bed heavenly ! ! ! kitchenette area sink , coffee maker , safe , microwave mini - fridge . loved separate sitting area . this hotel good choice want Times Square ! ! across street TKTS booth tiere seating - provide great area sit , eat lunch watch site Times Square . Doubletree Guest Suites perfect place stay expecially want experience Times Square ! ! can not wait go back . 
 May 12 2009 	 absolutely fantastic hotel lovely staff good location 	 spend week Easter . one bedroom suite , 2 adult three child . reception area bright modern , staff could helpful . room spacious , however double bed bit small side . room 26th floor , look onto Times Square . spotless clean , well equip fridge , microwave . useful addition would kettle instead coffee maker , minor complaint . location could well , be right heart Times square . not use bar restaurant , much well value find outside . defnitely stay next time go ny . 
