quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Nov 23 2005 	 Hotel sleep ; train station meal 	 Fantastic find London . ' ve stay two dozen hotel city one good large type . family room huge one city family four stay one room - comfort . rate come weekend business traveler . make pricey room eat cheap simple Marylebone train station across street . good coffee croissant cafe , yummy Cornwall pasty ( $ 5 ) pop . something , try Cinammon Spice , indian restaurant , street . 
 Oct 29 2005 	 huge room great location ideal hotel London ! 	 trip parent Europe summer , stay Landmark London . room HUGE even american standard , perfect 3 we . dad love hot tub access downstairs soak tired foot ! service professional & amp ; friendly . not able let we room 4 pm day check - in run large towel ( busy weekend ) , otherwise , stay impeccable . also , location ideal hopping & amp ; tube go see attraction London . breakfast , find great spot Baker Street ( two block away hotel ) eat cheap & amp ; delicious english breakfast every morning . lastly , stay hotel , must miss beautiful Regents Park , nice short walk away . 
 Oct 25 2005 	 Beautiful Hotel take mortgage breakfast ! 	 stay Landmark London Hotel nice , bed extremely comfortable , room beautiful , bathroom gorgeous well . spa , nice except bit & quot ; stuffy & quot ; feel time . thing get though , pay money , breakfast highway robbery ! least could include sense breakfast kind price tag attach . also , end pay $ 100 per night room sit area not ready get , feel disappoint not least get complimentary water room , continental breakfast include high price . money , not think would . place stay trip upscale B & amp ; B 's would day ! 
 Oct 14 2005 	 five star class 	 Landmark October 2005 tremendous choice 8 day stay . clearly popular business hotel several large conference ongoing still staff cater holiday traveller . room terrific .. particularly London standard . costly still good value London standard . particularly convenient location right across street train station / subway station . open London one minute walk . station amenietie shop , coffee , etc commuter price . staff , service , concierge , room ammenietie first rate . we would definitely select Landmark next visit London . 
 Sep 25 2005 	 nice room ... 	 must say hotel beautiful room quite nice comfortable . picky side , tv remote miss , room towel two though reservation make family three , toilet handle break . item efficiently take care couple call front desk . big downer cleaning staff remove ( mistakenly , ' m sure ) daughter security blanket bed . get little help hotel request locate response hotel email send stay . conclussion : Hotel look- 8 , customer service - zero . 
 Sep 24 2005 	 5 star supreme 	 treat luxurious long weekend away impressed landmark . meet expectation every way . deluxe room indeed spacious , sumptious well worth money pay , ( £ 130 per night expedia ) . arrival learn usual rate £ 220 per night leave we feel suitably smug . however would still maintain room worthy fee . bathroom huge walk shower approx 4 time big average person would need . bedding , linen toiletry would expect 5 star hotel . room service prompt , aptly price consider quality food fact recieving time day night . hotel immaculate throughout , supurb feature . bar restaurant pricy really get pay . miffed read several comment infer hotel centrally locate ! assume people know London well , hotel sit opposite marylebone station perfectly situate either tourism business . 
 Sep 24 2005 	 Loved Landmark 	 great time Landmark Hotel March 2003 . right across street tube / train station . room top floor look train station . even window open , room quiet . room clean wonderful , high - count bed linen double sink bathroom shower / tub . lobby lovely restaurant afternoon tea . lot space not feel squeeze right next another table patron . the location hotel great . walk distance Baker Street tube station ( tube line ) Marylebone High Street . check shop Shoon , Brora Conran Shop northern bit street . breakfast Formagerie Valerie 's Patisserie . great place fresh food . walk 10 min High Street hit Oxford Street department store Selfridges . I highly recommend hotel afford . get great package deal winter . beyond price range Peak season though . 
 Sep 19 2005 	 overprice 	 stay Landmark ok - find staff unapproachable stuffy - realise business orientate hotel - travel two child 7yrs & amp ; 5yrs - know something wrong tell child quiet pool . say could fault room . 
 Sep 15 2005 	 one nice London ! 	 boyfriend stay Landmark 2 night back June . impressed . room large ( slightly upgrade room basic one ) especially bathroom beautiful . staff quite pleasant come check we every hour make sure everything ok . staff discrete cleaning turndown service , make sure room ( leave strange time ) . hotel large , yes , enjoy explore . like location , edge central London still quite accessible everything . throughly enjoy stay would DEFINITELY stay , could afford every time . standard definitely classic 5 - star hotel . mean , place stay ! 
 Sep 15 2005 	 love hotel 	 stay Landmark time , time like . exec room large , comfy , squishy sofas luxurious furnishing . bathroom big , bed great . always room face courtyard , escape noise London . courtyard uplift wonderfully spacious central london hotel . one night upgrade Presidential Suite . wow . large sitting room two sofas , gas fire , good stereo ( input Ipod cable ) , lead large bedroom huge double bed . bathroom jacuzzi big enough two , separate shower loo . also dine room , small separate kitchen guest loo . like private service flat town , really . Landmark comfy , arrogant . firm favourite . 
 Aug 22 2005 	 lovely hotel shame price 	 husband stay Landmark two night early month special treat wedding anniversary . booked & quot ; Landmark Suite & quot ; request ( two separate occasion , last one two day arrive ) atrium view . tell would not problem , give suite view red brick building across road . make bit fuss , eventually offer family room ( two double bed & amp ; live area ) atrium view - still try charge we Landmark Suite rate departure ! room bite plain spacious , large marble bathroom walk - in shower , good sized bath , double sink separate toilet . atrium view big plus well worth downgrade , even mean room bit dark keep light time . what find extremely disappointing little get money . mini bar pricey ( £ 6.95 small beer ) movie £ 9.25 . toiletry ration - even & quot ; family & quot ; room two sink bathroom , one soap one soap dish , one shower cap vanity pack consist two cotton wool pad three q - tip ! two bathrobe closet , slipper , room service charge £ 3 per person delivery - even call come get trolley away , could not push door leave corridor . eat Winter Garden extortionate . afternoon tea real pleasure well worth cost ( £ 45 two people ) breakfast dinner disappointing . dinner two bottle Pinot Grigio come £ 133 although good quality , feel way overprice . breakfast £ 20 - expensive . pastry top quality , cook breakfast pretty average . service indeed outstanding , price not expect anything less . full body E'SPA massage Health Club indeed lovely , not use swimming pool sauna , can not comment leisure facility whole . the Sunday Jazz Bruch aspect stay thoroughly enjoy . be cheap £ 60 per person get sumptuous buffet ( many 20 choice dessert alone ! ) , live music taittinger champagne drink . glass half empty , attentive staff always fill . true Landmark style , however , extras charge inflated price - bottle mineral water almost £ 7 . wonder guest ask jugs tap water , have obviously catch ! , fabulous hotel - ' ve & quot ; & quot ; give 4 star expect much price . 
