Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Sep 11 2008 	 Nice NYC Hotel near Central Park 	 stay Salisbury two night Sept stay New York City . book via Expedia get pretty good deal . check nice easy . room 10th floor , get elevator see right next elevator like nooooo , be go noisy , need not worry not hear thing . thank goodness ! room lovely , two big double bed , little kitchen area sink fridge . nice big wardrobe iron board use . bathroom fine , bath shower , powerful , job . room spotlessly clean real issue . on second night , crash bed notice water run ceiling light fit bathroom , like errrr water & amp ; electricity , can not good ! phone reception within 10 min someone , room we shower , not put shower curtain inside bad tub , manage flood bathroom , water find way we . real problem , nice act quickly . water electricity , Isuppose check quickly ! previous review state elevator really slow , never experience problem , sure not quick , never wait minute ... people really much hurry holiday .. ? eat breakfast , suit we check day . cost $ 4 per person eat . include cereal , croissant , pastry , toast , fruit , juice , tea coffee . nice enough , preferred eat breakfast lovely cafe 's Manhattan . pay breakfast reception , upon check . location great , right Central Park lot restaurant near . would hesitate stop again . if anyone question , please hesitate ask ... : ) 
 Sep 11 2008 	 recommend salisbury 	 daughter stay Salisbury Hotel 1 week although book double room , ask could big room , give we right away . doorman amazing ! whistle around neck hail cab we . every time ( lot time ) ask direction around New York answer . Breakfast include we , consist variety cereal , egg , muffin , tea coffee . queue build 8.00p.m . wait long . bed clean mattress firm ( like ) . choose back room less noise traffic . flat screen television , alarm clock / radio , fridge , sink , coffee maker adequate bathroom . adjust water temperature , get right problem . air conditioning noisy need get ready go morning . hotel central everything - 2 block Central Park 15 minute Times Square ! ! would recommend hotel . 
 Sep 7 2008 	 Fantastic Hotel 	 hotel simply fantastic . staff attentive extremely helpful ( thank Dieter kindly book Empire State Building ticket ) . arrival , be upgrade suite room huge , clean airy benefit separate sitting room equip 42 inch plasma tv large sofa . hotel 5 minute walk Central Park 5 minute walk 5th avenue close proximity tube . I recommend hotel enough wait return Salisbury Hotel . 
 Sep 5 2008 	 well worth money 	 husband return 4 night stay Salisbury . first trip NYC find little gem site . read review figure price location , would give chance . glad . staff friendly , room huge kithenette king size bed . minute Central Park Times Square . not use subway much , instead opt walk ( alot ) also buy 3 day tour bus pass , hop hop type . woth money stop minute hotel door . would definately stay recommend anyone know ! 
 Sep 5 2008 	 two sister city love Salisbury 	 sister plan trip city stay Salisbury base people 's recommendation . disappointed ! get early Sunday morning room not yet ready , store luggage spend morning sight seeing . upon return room ready pleasantly surprize size room . kitchen area , flat screen tv 2 closet - one walk . issue wait elevator 11th floor not hear street noise .Location perfect - subway right around corner long trip ChinaTown ferry walk everywhere . breakfast cheap filling rather spend money eating time , go local grocery store stock . must though go Junior 's Cheesecake Times Square slice two three ! ! ! ! ! shop close - spend way much trip lifetime we . shop really like Eve Bari - buy unique jewelry nice purse well . usually spot Tiffany , Macy 's , Pearl River Mart street vendor . go wrong ! change pace & amp ; regroup go Central Park enjoy Zoo able see performer . refreshing ! ! Met , peacful place roof top garden good view city see ! ! ! - Salisbury give we great location great value ! would go ! husband & amp ; two time stay hotel money like closet ! stay Salisbury - will not disappoint ! 
 Aug 31 2008 	 excellent value money great location 	 ok Salisbury could little face lift nothing major . staff helpful friendly , room large ( unusual New York price ) comfortable else hotel fantastic location . far enough relatively quiet night close enough minute Times Square south , 5th avenue east Central Park North . walk everywhere find hotel within easy walk distance everything need . place little , Battery Park Statue Liberty China Town , use subway locate either end 57th , yard hotel . the breakfast bargain eat $ 4 head , although mainly bagel , donut , danish pastry etc .. cereal fruit salad available . room extremely comfortable air condition real blessing - yes redecorate , especially bathroom , comfort main thing , right ? use room sleep ? 's much see New York spend little time room , want , perfect . microwave fridge large walk - in closet . negative - elevator get little busy especially Sunday local Baptist Church use 5th floor hotel meeting seem want elevator , find leave early arrive back late ( 6 o'clock time ) mean elevator always free . Breakfast serve 7 11 , arrive 8 10 , queue . get early late . say , line move pretty quickly not want wait 's cafe door away serve pancakes bagel around sort price ( although 's eat ) hotel real find . great bargain truly fantastic location . would definately use . 
 Aug 31 2008 	 LOCATION ! ! ! 	 go back New york , be go back Salisbury hotel ! not get well hotel price ! location wort lot . Metro station around corner , 5 min . walk Broadway , 5 min . walk 5th avenue , 2 street central park ... want ! ? ! ? ! ? room modern , big clean ! reception friendly . use breakfast hotel , get foor every corner NY . 
 Aug 30 2008 	 Nice hotel great location next 5th ave . 	 great hotel 6th 7th 2 minute walk 5th avenue everything else prepare walk . hotel offer nice room pretty big little kitchenette . cheap breakfast also available.the good thing place location next 5th , central park walk distance site prepare walk 20 odd block empire state etc ... subway end road . recemmend walk though see everything walk 5th time sq make pretty fun . 
 Aug 29 2008 	 Nice hotel reasonable price 	 stay four night . room spaceous clean everything work . Breakfast not include deal , cheap option take extra - good value , get early avoid queue . staff helpful whenever need ( extra towel arrive minute ) . slight negative long wait lift decor bit tired . I also mention italian restaurant door along ( Alfredo 's ? ) really nice good value . 
 Aug 24 2008 	 would not return hotel unless spend money ! ! ! 	 let start say hotel great location . 15 minute Time Square less 5 minute central park . on arrival check quickly . get lift hall way dark date ! ! room clean date need lot money spend . bathroom tiny brown.no fridge room shame would usefull . ownly ever leave 2 towel bathroom , family 4 ! ! every day request more . there huge lcd tv room . cause we lot 's problem ! ! guy next room full blast 2 - 3am whatche olimpic . complain fair hotel ask turn short time . ( realise hotel fault ! ! ) think hotel need tv 's adapt stop future.i would stay hotel MAJOR refit badly need . 
 Aug 23 2008 	 good hotel great location 	 Salisbury hotel great location - close Broadway 5th Ave , Times Square , Central Park almost opposite Carnegie Hall . we find accommodation quite basic comfortable . bathroom could done update walk wardrobe smell badly stale clothe . however , quiet , airconditione large flat screen tv . the staff helpful suggestion react request . breakfast cheap $ 4 self - service mainly consist large variety pastry . particularly dislike small plastic plate , cup cutlery . however , many good place eat nearbyoverall good experience reasonably price hotel good location . 
 Aug 17 2008 	 great value - great location - great family 	 Salisbury fantastic location - 5 min 5th Avenue Central Park . many New York 's attraction within short walk . hotel fairly basic - not expect luxury - room large , comfortable clean child love big flat screen tv . salisbury busy pack family world - one elevator ride hotel meet family Spain , Australia , USA , Germany UK ! be also great value money breakfast $ 4 dollar head roll , bagel , toast , cereal etc fresh coffee hard beat spend cash sightseeing shop instead - not put breakfast queue move pretty quickly ! stay 6th floor front street noise quite loud ( think siren , horn etc ) think part ' New York ' experience soon get use . 's problem upper floor back - vouch member family staying time we . because 's excellent location often pop back day freshen , cool simply offload shopping . desk staff helpful really enjoy stay - would not hesitate go back - next time Christmas shopping ! 
