nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Jun 24 2008 	 Nice NY Option 	 walk hotel room see earplug offer management , apology letter usually good start , New York room near street noise issue . 24 - hour cacaphony part NYC . ask high room available wise problem noise . the room seem overlook Ground Zero , undergo massive construction , contruction presently street level . thus , bird eye view Ground Zero good view East River . room brand spank new ( newly renovated ) . large NYC . bed wonderful . internet access ( guess fee , since use WAN ) . find staff helpful efficient . various subway route within easy walk distance . terminus e train , other pass . Wall Street area , lot go night . good option seem walk east along south side Ground Zero across pedestrian overpass . along river , various option . well bet evening take subway north Union Square , Times Square , etc . , option . morning , see Wall Street worker stream subway like lemming , head way . the gym appear decent , various machine . eat building . overall , hotel ideal businessperson business Wall Street area . though way tourism , subway make everything proximal nyc.this area bite far airport . could take train Kennedy close . LaGuardia , would ideally take e train , get train stop taxi ( $ 15 ) bus . Newark , would need go Penn Station , subway south . 
 Jun 19 2008 	 great hotel ! 	 room 2 double bed 24th floor . perfect stay , problem . polite , friendly accommodate staff . room quite large NYC standard , clean extremely comfortable . tv nice touch . hook laptop tv via vga cable ( switch input TV & quot ; RGB & quot ; ) , however need bring speaker intend watch dvd . sound pass tv . front desk rent vga cable $ 25 get back return . input game system Playstation XBox though . restaurant service good although price high . food excellent especially blueberry pancake ! room overlook Ground Zero noise construction barely noticeable interfere sleeping . e train subway station right next hotel , convenient . absolutely would stay . excellent rate excellent hotel . 
 Jun 13 2008 	 well 	 2 room 6 night . noise construction site Ground Zero hotel fault , website warning ( discover later late ) , hotel book line warn we . bad thing hotel inconsistent housekeeping slow lift . nothing good 4 star property . 
 Jun 10 2008 	 great hotel 	 nice hotel great part town . stay one night ( really even 24 hour ) wonderful stay . certainly get pay . view magnificient little sad . look window see magnificient view Hudson look see ground zero . God bless victim 9/11 . 
 may 27 2008 	 Great Hilton 	 stay Millenium Hilton two night . nothing great thing . first price great . use priceline get double , corner room view city Hudson $ 300 night . next room modern , update sharp . bathroom well update . bed heavenly room size pretty big fro New York standard . location great . literally locate subway line . locate directly across World Trade Center construction stret level . however not really problem . would stay . 
 May 27 2008 	 noisy elevator 	 give room 47th floor look East River Brooklyn Bridge . first night fantastic firework display celebrate 125 year brooklyn bridge get awesome view room . room large , great flat screen tv , keep perfectly clean twice daily housekeeping . ice bucket , bottled water chocolate provide daily although do not touch mini - bar warning everywhere say would start charge automatically thing move , whether actually consume anything . beware ! bell staff front desk staff pleasant efficient . problem room back one elevator ( high - power high - speed reach upper floor quickly ) elevator machinery quite noisy . luckily ' m sound sleeper . location hotel great , easy find ( bottom e line subway ) easy get around place , battery park statue liberty ellis island block away , short walk subway interchange take chamber street direct subway ( line ) AirTrain kennedy airport . would recommend hotel anyone except tight budget , still well value hotel city . 
 May 27 2008 	 bad 	 wife stay one night july 2006 hotel . we book online last minute web site pay around 180 usd nightstaff quite friendly check do without problem . service great , pool area quite nice room perfect . the bed comfortable room perfect size . 42 ' flat tv mount wall great decoration modern slick . definetly recommend hotel . 
 May 27 2008 	 Great Hotel - Great Staff 	 stay still great - corner room 47th floor view Statue Liberty Brooklyn Bridge City Hall . overlook construction ground zero discernable construction noise we . front desk great job check , find jr suite city view room we upgrade ! rate include room service breakfast great stay . short 
 May 20 2008 	 terrific hotel convenient location 	 mother come back 4 night stay Hilton think beautiful hotel . spacious room 2 double bed 37th floor face city , construction . problem construction noise . side area amount construction go , hotel locate right across street subway ( right street depend upon entrance exit ) . dept store Century 21 locate next door , walk Battery Park take view Statue Liberty pass shop way . would think price charge , free breakfast would include , gather 's norm expensive New York . hotel book hop on / hop bus tour we , pickup block away hotel . Soho / China Town / Greenwich / Times Square mere 10 - 15 min subway ride keep walk Broadway , would eventually walk right district . close tribeca restaurant . take 2 day orient subway run street locate , , pleased hotel able use accumulate point ( otherwise , way could afford ) . 
 May 14 2008 	 Loved . 	 super - fast check , large room , good view ' ve ever get . ask room 30th floor , will not disappoint . keep hear complaint construction , never hear thing . might high , would not concern . housekeeping come twice day , be close everything . 200 step away Chambers St. station , take everywhere . safe , secure . would recommend anyone . 
 May 12 2008 	 Good Hotel aware construction .... 	 stay Hudson business follow Millenium pleasure stay weekend . Millenium pretty far . 's & quot ; Soho & quot ; ( although , south Houston Street . ) . fact , be literally beside World Trade Centre . could see construction take place hotel room - interesting yet sad ... lot construction go area . Contruction WTC seem 24/7 could hear ( believe notice room indicate - wonder , get good deal 4 star hotel & quot ; Soho & quot ; ) . room good size ( especially , compare Hudson ) . modern decor ( large flat screen ) good view ( WTC , water , etc . ) . hotel lobby decent hotel bar . century 21 store across street be cheap shop brand name . sure would stay far south next time , especially give construction noise reasonably price 4 star NY . 
 May 12 2008 	 Loved Hilton .. 	 husband stop Bangkok 4 night way Koi Samui . greet lovely cool refreshment cold towel . check quick easy . staff helpful could you . as 2nd wedding anniversary , room decorate bottle champagne fresh fruit . 1 day stay back Koi Samui lovely card welcome we back hotel . stay executive floor three night one night 29th floor . surprise , much preferred 29th floor , room much spacious lighting well within room exec floor 's room . we lovely time eat restaurant four day . would say location perfect cost 75 BHT get main district . would def go back .. 
 May 10 2008 	 enjoy stay ! 	 stay first weekend May family wedding take place close . gentleman front desk courteous . fact , everyone nice make point say hello , help ? eat Church & amp ; dey restaurant lunch wait rest family arrive . lunch good , quite expensive , prepare New York City ! stay 19th floor room great , roomy bed quite comfortable . issue room bit chilly , place call guest service , within half hour correct could thaw ! see hear construction WTC site however , noise bother . Century 21 next door OMG shopper paradise ! ! ! lot bargain ! ! take double decker bus city tour really great able see everything normally would not able since usually take day trip city catch show . we really enjoy stay would stay . 
 May 9 2008 	 Nice Hotel 	 stay May Day Bank Holiday . room 37th floor great view towards Hudson River Ground Zero . sun set build front amazing . we disturb building work , although could sometimes hear , not noisy . room good , breakfast imagine good . staff really nice . the side lack local night life , although Pier 17 not far , not bustle . good hotel , would probably stay uptown next time . 
 may 5 2008 	 great experience 	 check fast , staff polite room clean . hotel modern ideal location close many attraction . although construction go nearby , stay effected wonderful experience . 
 May 5 2008 	 could well could bad 	 stay Millenium Hilton past weekend first time . not spend much time downtown , pick hotel close event attend . overall , stay pleasant , although could well area . the construction go WTC site make get hotel little bit challenge , sign ' ve put fairly clear . drop car garage , garage attendant stand watch unpacked bag , without offer help . grant , garage not own run hotel , hotel caliper , surprising not bell staff assist visitor . check snap , quick one . woman help we pleasant , one answer question later afternoon . room , 41st floor overlook WTC site , nice . although have warn possible construction noise , height not . room extremely quiet whole stay . complaint room A / C not work well . not hot mean , even thermostat set 65 ( low would go ) way warm night long . stay long would ask room change . the pool lovely , public area hotel well maintain . aside A / c issue room , area hotel disappointing area staff . grant , usually stay Sofitel midtown , staff incredibly professional courteous . be spend almost $ 400 hotel room , expect exemplary service , Millenium Hilton definitely let - down area . exception front desk staff , employee run ok good . outright rude , definitely lack polish professionalism would expect hotel like . say , overall experience ok . not know would stay , though , mostly room cost , not think service quite par . 
