affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Aug 28 2007 	 Dated Hotel 	 place character will give . not really style . arrive late evening . first room give tv not work . Maintenance take look , could not figure . Told would wait morning electrician . pass gas leave . real professional . phone front desk account tv , able get another roomthe second room much like first . horrible striped wall paper , dingy , old worn carpet . bathroom incredibly small . hard use toliet without bang door , sink . cramp . bed not comfortable either . room temp hard regulate AC somewhat noisy . location seem convenient . training session 8 block away . theatre seem near , that s place may tolerable night two . and not make long distance phone call room without call card . $ 2 / minute . know would expensive not expect type rate . 
 Aug 27 2007 	 little disappointing 	 stay last night vacation Allegro little disappointing . make reservation convenient Union Station El station return airport . lobby spacious impressive room small . barely room open suitcase still walk round room ! bathroom tiny - quite uncomfortable . breakfast restaurant quite pricey , nice enough . plus side - probably comfortable bed sleep vacation ! second stay Chicago 2 week - know well place stay ! 
 Aug 24 2007 	 another cool Kimpton 	 ' ve stay Allegro couple time . like Kimpton property , be classic old hotel 's beautifully update . find staff cordial , really like corporate culture . be pet - friendly ( although not travel dog ) , get recycle bin room , Aveda product bath not clean toxic chemical . room not huge bathroom not be go get Hilton . allegro lack square footage make cool . ok , may little pricey , ' m willing pay bit consider high cost business responsibily . 
 Aug 17 2007 	 really nothing special 	 ' ve stay hotel twice hope stay somewhere different next time ' m Chicago . location great , doubt , room tiny reeked smoke even though suppose smoking . sink crack , toilet relic make truly incredible amount noise stripe wallpaper place give actual headache . staff civil nothing , hate lobby dark cave even beautiful sunny day . Kimpton hotel seem something special , one nothing . 
 Aug 15 2007 	 love teh Allegro hotel 	 good experience Allegro . good location , excellent staff , nice decoration . 
 Aug 15 2007 	 Dissappointing Kimpton 	 excited stay Kimpton property advertise upgrade . hotel way 4 star opinion . arrive early room ready pleasant surprise . check - in woman desk friendly state pre - pay receipt . really interested still charge card 2 night decide look original pay reservation . tell friend anything hotel anything locate . example wine hour 5 - 6pm every evening not bother tell we coffe shop locate first floor . , room carpeting wear bathroom aweful ! can not believe Aveda put product ! ! bathroom tiny date . guess feel like date bathroom could eventually pass retro ! ! room small hardly enough room bring luggage room without throw bed . armoire tacky mini bar snack bar . gift shop aweful lobby friend enter girl work asleep head counter ..... would reccommend stay . 
 Aug 14 2007 	 not impressed ! 	 week Chicago stay 3 different Hotels different area Chicago . Allegro Hotel disappointment entire trip . make reservation , call hotel ask room large enough 3 people fit comfortably answer yes , definately . book room 4 people even pay little extra - $ 249.00 per night thinking would get large room / suite . let tell small room - 2 double bed tight wall 3 1/2 ' desk / nightstand bed . room also 19 & quot ; tv armoire . , small bathroom , pedestal sink - small shelf hardly room put makeup toiletry . room described & quot ; art deco & quot ; really not except couple lamp . shabby need & quot ; life & quot ; . bad part - room lock adjoining room door . door sound proof . constantly hear neighbor tv conversation could even hear use bathroom loud flush toilet . leave tv low vaolume night long drown noise . somehow room not get clean 2 night stay - ok though since expectation low . make bed request towel toiletry . fair , hotel clean , fun area pleasant employee . grand lobby , restaurant wine / beer reception . however , not get many vacation want ask pay . find hotel big disappointment . 
 Aug 13 2007 	 overall good experience 	 overall experience pretty good . train come check - in time . able get we little early , glad not feel well need lie down . the location awesome . 2 block show Wicked , ( awesome ! ) close State Street shopping . the lobby decor nice . room cheery looking , could tell old . bed comfortable . the bathroom really tiny , okay exception small ledge toiletry . big vanity counter would helpful . the air conditioner could aduste . time okay not room much , time get little stuffy , would nice cool room . tell desk clerk , not seem surprised it . the Concierge little arrogant , thought . roll eye we ask restaurant theater .... supppose know reservation make ? , supposedly , Tootsie Rolls want , dish never stock really well . ( guess not need candy bad ... 's principle . ) overall , good place stay . close everything want . get deal $ 100 / night , think get money 's worth . sure would spend $ 250 / night stay , though . 
 Aug 13 2007 	 Rough Start @ Allegro 	 several room book @ Allegro family reunion . arrive early , expect room ready , mainly drop luggage . immediate family , 3 room ready , different floor . fine , another family member not want . wait . left & amp ; come back hotel around 2:30 . want know room ready tell computer , even ready , could not check . around 2:50 , computer back , room would not available around 3:15 , 3:20 . frazzle even check @ 3 , every available room hotel ready . lobby crowded & amp ; go end line time . I read review Allegro trip , look forward stay , open door suite , frustration leave . room beautiful . bathroom fabulous whirlpool tub . plenty space throughout . visit regular room , think could stayed comfortably also . room big new , modern hotel , travel , people use room sleep . bathroom regular room quite small though . overall , hotel beautiful , would recommend anyone . remember old hotel & amp ; room mega . two negative check , might come bad day ( wedding go ) . # 2 , parking garage around corner & amp ; across street . little scary , especially dark , walk up / down long ramp enter / exit . 
 Aug 12 2007 	 stay far away hotel 	 huge Kimpton fan hotel may look like Kimpton picture , nothing like . kimpton funky cool boutique hotel . one old hotel wear carpet wallpaper . bathroom tiny date fixture . the 19th floor sort equipment ceiling ( east side hotel ) create extremely loud buzzing sound hallway nearby room . impossible stay room move another . but bad paper thin wall , note review . hear person pee , creak bed sit , etc . tonight Saturday management allow room end 19th floor include large suite reserve large group write 1:37am turn th suite nightclub , complete loud music , singing , etc . room suite . needless say , awake due noise . management say try keep group one end hall & quot ; minimize noise . & quot ; come on .... book large group say throw party ROOM ? ? crazy . stay kimpton , stay far far far away one . 
 Aug 10 2007 	 place condemn ! 	 Hotel Allegro definitely hotel avoid travel Chicago . good thing hotel location also allow guest bring dog . perhaps travel pet option , would good spot . addition , none Aveda bath product world could compensate terrible establishment . hotel charge well $ 200 night room , guest expect accommodation similar one star motel . when arrive hotel , tell king room reserve pay advance unavailable place queen room . room extremely small . bathroom small impossible shut door sit toilet . request change room tell call back 4:00 . call time place hold hour . first many time would place hold hour and/or unable contact anyone work hotel . when finally able speak someone , tell could move king room originally reserve . wait bellhop ( tell front desk ) , forty - five minute , one show . decide move stuff ( would preferred anyway ) . move , get stick elevator several minute . bring management ' attention , tell , " day huh ? " escape elevator , move king room much big , still small side . the armoire hold clothing unable hold day ' worth clothe think might make small people bar hang clothe low therefore , clothe drag bottom . travel , definitely enough hanger space put thing . next , turn shower undress daughter give bath . go bathroom entire thing FLOODED ! ! call front desk one pick ! ! husband go downstairs find maintenance man time come upstairs fix problem , still one pick front desk . fix plumbing issue , housekeeping send dry inch water . BEG please wipe floor tub disinfectant maintenance man track dirty work boot tub bathroom floor . housekeeping staff could understand think important . we order room service one night – hotel take liberty add almost twenty dollar bill service charge inclusive gratuity . menu limit certainly worth surcharge . call room service pick table do eating , tell place outside door someone would come take away . put outside 8:00 P.M. one came get 9:00 A.M. follow morning . event emergency , would serious problem table block door HOURS.The wall paper - thin hear neighbor dog clearly wall . plumbing also loud whenever guest use toilet shower , pipe noisy room . décor look like bunch thing throw together sake able purchase leftover bargain price promote guise art deco boutique hotel experience . besides hideous look , wear need renovate . king bed , get two pillow . room stock two bath towel . day continually request additional towel bring room . sure gimmick get tip part housekeeping staff . rug hotel room hallway stain visible grime . manager nice time issue . shame quality manager work deplorable condition . explain hotel go renovate problem . also tell we short staff difficult reach anyone phone peak regular business hour . I complete guest survey send via email regard stay hotel . indicate condition mention review hear single word back place . guess survey additional way hotel add insult injury . second time stay Kimpton hotel keep Kimpton experience absolutely bad ! learn lesson deal chain ever . 
