worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 Apr 12 2008 	 little over - price opinion 	 Overall , ambiance hotel nice . however , price , expect free internet free access pool gym ! pay $ 199 per night . pay $ 115 per night , might different opinion . outrageous price parking ! ! $ 51 per night ! ! ! ! conference go hotel 's ballroom . good av equipment decent continental breakfast spread . bathroom nice bed comfy . good location . not eat restaurant look expensive . 
 Apr 9 2008 	 Great Value step Union Square 	 Nikko locate two short block Union Square two short block Market Street - great location . plenty good restaurant area great shopping inside five minute walk . hotel par Nikko standard , consider good . book Queen room & quot ; cozy & quot ; say least ( honestly , 8 10 foot wall wall ) really not lack anything . enjoy ~30 & quot ; plasma tv . overall think great value SF around $ 115 per night , definitely stay next time ' m SF . 
 Apr 8 2008 	 Alright 	 go S.F . early summer 07 stay Nikko , find relatively nice property , staff do not speak english great though , check - in little long liking . room nice decent view although room small opinion , restaurant food alright $ 130 2 people eat dinner seriously ? steak order be not well order steak say Chili 's . do not eat , go across street Hilton next night eat restaurant top , 47th floor believe , amazing view spectacular food , plenty sightseeing shopping end , San Francisco kind place really , think like southern California alot well , temp . be not warm , nothing really exciting S.F . good time really nothing special , definetely go back Orange County / LA area next time want go california . 
 Mar 29 2008 	 Worst Service life 	 lot travel , work play . overall , stay hotel 25x year , mostly great experience . my recent stay hotel Nikko first last ! ! upon late check due delayed flight , settle room , pull room service menu soarly dissappointe find hot dog , sloppy joe , salad , chip soup late night offering ! decide go bed hungry , proceed face go bed . bad sink clog body wash smell old man 's heavy cologne . next day call hotel ask pack belong within hour plumming issue room next door need break wall . call front desk finish pack ask send new room key could move hurry meeting friend hour . wait 20min one arrive ! Called say would get someone right away wait another 30min . one come . call upset point tell have th room another 10 min , could someone come time would return back hotel . one CAME , late meet friend annoy would unpack re - iorn clothing . Opon return hotel , locked room , go get new key new room say stuff would wait . none belonging new room ! love idea hotel would rather accomodate get accomodation pay . bad service life ! 
 Mar 25 2008 	 Excellent Stay . 	 family stay March 19 March 24th , book thru hotels.com double room 2 adults/2 child $ 111.00 x day .. plus taxis . upon arrival courteously upgrade room ( 1211 ) 2 queen - size bed 12th floor . the room nice clean great bathroom shower tub . free newspaper door every day ... discreet maid - service ..... location great .... minor drawback ... water pressure shower could well .. internet access free .... staff commend Bellman reception area Concierge ... desk personnel staff Business center .... receive several package mail ( ( pre - arranged ) 100 % satisfaction . come back without doubt . 
 Mar 7 2008 	 Great Hotel 	 Great Hotel . location can not beat . room service quick good . stayed 11th floor . room big , bathroom amazing . back . 
 Mar 5 2008 	 Great Spot 	 beautiful hotel great location . staff nice . private . 
 Feb 26 2008 	 ok hotel parking outragous 	 hotel ok , Nikko 's regular standard . could find reservation arrival make website hotel . PARK . room $ 199 , park $ 51 night ! recently renovate room , ok nothing outstanding . not bad $ 200 hotel downtown SF will never get parking . 
 Feb 24 2008 	 Incredible Lobby ... room need work 	 disappointed room . check huge beautiful lobby excited room . room need repair . closet mirror door fall track ridiculous open . bathroom tile grout old chipping . think counter dirty , old can not clean . something remove wall metal part still . ventilation fan bathroom keep toss bag ice bucket floor keep door open crack air . internet parking way overprice quality room . lucky good view one room although furniture run , bed towel nice . location great though , employee wonderful . never find & quot ; Lobby Bar & quot ; . nobody front desk ask assume bar restaurant close early go theatre . 
 Feb 18 2008 	 Hotel Nikko - nice hotel great location 	 other note , Hotel Nikko locate great neighborhood . Steps Union Square Powell Street Bart Station . shop literally step away . follow advice tripadvisor member ( exit right hotel , rather left ) able avoid Tenderloin ( apparently close ) .The hotel clean normal amenity . room large size San Francisco . flat panel tv nice . other note , mini bar kind take something , end bill . not think buy soda replace later . the staff friendly helpful . hotel busy , check quick efficient , staff available need help information . the adjacent Starbucks convenient open early ( be east coaster need caffeine ) .The trouble hotel 's wireless . never able connect internet ( never even could get place enter credit card ) . suspect must use javascript ( something else company deem security risk ) .All , please ( albeit short ) stay . 
 Feb 3 2008 	 Satisfactory 	 Booked Nikko location disappoint . breakfast voucher really impress breakfast . room 17th floor lovely magnificent view sunrise . reception concierge helpful . alas ! streak meanness ! Minibar automate one could remove item replace without incur charge . Mean , smallminde . surely foreigner need read unfamiliar brand label consume product . also , bottle water place next bed - cost $ 6 . available local shop fraction . similarly beauty product . please use bedroom shop . Europeans accustom free use leisure facility host hotel . blatantly mean minibar situation . coffeemaker bathroom . Hygiene ? ? ? ? phone cost far high . otherwise pleasant stay expensive . hotel remove minibar cost explain situation . 
 Feb 1 2008 	 love 	 great location next square . nice stay . good place leisure business . 
 Jan 30 2008 	 great 	 husband stay honeymoon . great hotel .. big , beautiful design , great food . be within walk distance Union Square , love ! also near cable car , take Wharf ( must see ' ve never ! ) also enjoy Chinatown , close . overall , enjoy time hotel . 
 Jan 27 2008 	 imperial floor room great view 	 spend Saturday night one imperial club room , 22nd 23rd floor . room great view Bay Union Square . room clean comfortable . bathroom nice , tv mirror sink nice deep tub separate shower . imperial club room access private lounge offer free continental breakfast free wine cheese afternoon . lounge staff helpful knowlegeable staff give we great suggestion shop dining nearby . overall , pleasant stay Nikko . 
