strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Dec 28 2003 	 Awesome hotel ! 	 palm awesome ! stay hotel 1 night December 2003 . book August , look forward . see little & quot ; Real World Las Vegas , & quot ; must say ok season , hotel seem cool want stay . read mostly negative review website prior trip , make iffy go , experience fortunately not turn negatively . thank travelworm , offer $ 75 night , must say give good hotel deal lot time , stay nice standard room pretty nice view Strip . bed nice , live reputation . bathroom also nice . many toiletry ! downstairs , good food selection ! Little Buddha , Gardunos , Fantasy Market Buffet , food court McDonalds , Panda Express , Ben Jerry 's . little Buddha expensive , good . Gardunos ' Sunday Buffet $ 12.99 person good big variety good mexican food ! think also cool Palms also movie theater , although never go inside see one . palm also parking lot , parking garage , make life easy . night , shine various color tower , top , be alternate color , make pretty . , overall , good experience , Las Vegas future , would definitely consider stay . hopefully , people never bad experience . 2 complaint though . ( 1 ) 's Strip . have nice Strip . ( 2 ) wish outdoor deck Ghostbar 55th floor could open family day . would nice , see view bar operation 
 Dec 2 2003 	 Palms disaster 	 look forward stay Palms , experience disaster . one , mini bar room charge sixteen item upon opening , eight removed bill phone call , remain eight dealt check . girl handle check treat lie 16 item apparently remove within minute . eventually remove bill , particular front desk employee basically accuse thief . room service cover chocolate mousse friend order bleu cheese instead whip cream . the guest elevator nearly impossible get saturday night , brilliantly place entrance two popular attraction hotel . bed nice , would never stay palm , would not , good conscience , recommend anyone else . 
 Oct 27 2003 	 can not trust Palms 	 wife like gamble awhile special occassion . several favorite casino resort frequent compte room return play . mind want try somewhere new . hear Palms friendly slot . base arrainged trip Palms wife 's birthday . I call Palms vip service talk senior host , arraign credit line set , validate would complimentary room base past level play , player card check special suprize room wife 's birthday . there limo airport , give . arrive . room reserve . credit line set . player card . obviously , surprise wife birthday badly vip staff . 3 day weekend call check we . big surprise ! check present bill 3 night @ $ 365 / night . guess even though drop + $ 5k house not enough they . I talk executive manager Palms . say would call talk vip staff . far , one week call . you make mind . palm treat customer ? 
 Oct 20 2003 	 nice place 	 pro : - nice , clean hotel . - friendly staff- Younger crowd - price well , upgrade suite extra costcon : - club pain get ( people two hour wait hot scene , ' m one em ) - little strip , decent casino close 
 Oct 9 2003 	 weak ! pool small 	 aware GhostBar evening club open Palms Sunday Monday . try go Monday evening , turn away due private company 's convention party . hear hotel guest GhostBar 's view great drink price outrageous , bore due dancing . POOL ridiculously SMALL ! would bad place summer 's pack hardly seat . pool old - fashioned kidney shape flintstone - type cheesy furniture . ' ve try make look retro , look like furniture pick swap meet . hotel cater single 20 - 40 . hardly see child . child would absolutely bore . husband ( early 30 's ) stay Palms Sunday , Sept.28 Tuesday , Sept. 30 , 2003 . arrive 11:30 wait room 3:30 pm . Understand check - in 3 pm hotel one small tower . use stay large hotel strip , surprising immediately get room . complimentary change room , want change bathing suit , get bathroom stall . eat lunch Cafe watch football game Blue Agave Bar . food Cafe actually well taste Gardunos . disappoint bland food Gardunos , service great . not try buffet review figure right , since Gardunos suck . Blue Agave bar great melon margarita , chip , salsa seafood appetizer . little Buddha rock ! sexy trance music awesome sultan - lair decor ! average food . drink well price Cafe Blue Agave . drink pool $ 9- $ 12 small size . Tip -- get drink Blue Agave plastic cup take pool . save extra moola . casino soo small . sport book joke . want see football big screen , ' ve got pay $ 10 cover private party cheerleader . small tv 's everywhere . want great sport book , Caesars MGM , period . weak location strip , walk Rio buffett carnival . shuttle take various location strip . room clean decorate plain , bland furniture . nice view strip . never sleep much peacefully vacation . bed , sheet pillow phenomenal ! get purchase information via email simply call Palms ' housekeeping . one thing hotel go restaurant decor ... creative inspiring . cool thing ; daily paper itinerary door . check itinerary , will tell if / when guest get club complimentary . employee really cool , smile , extra friendly helpful . great current music play constantly everywhere . quickest elevator ; probably hotel tiny ! would not stay tell friend : & quot ; palm worth look , not stay hotel unless be big shinding go lot celebs . otherwise , be quiet hotel ' ve see Las Vegas . do quite remarkable job marketing place , need live advertising . & quot ; 
 Aug 28 2003 	 enjoy Stay Palms 	 Arrival : partner move Palms another hotel 8/3 . want splurge little last two night , reserve junior suite . suite locate east end tower get great view Strip . room spacious , window 2 side . large sit area couch coffee table . bathroom spacious surprise soft terry robe hang back door , nice touch . combo in - room safe mini - bar nice touch . coffee pot coffee morning first cup . Word caution : leave blind open Sunday night enjoy view drift sleep , awaken window washer ! guess see everything ; & gt ; ) parking : Valet parking breeze check - in desk right inside door . line long front desk clerk call we cell phone room ready could pick key . east parking garage locate close tower elevator , wound parking go . save time wait car valet save tip money ! dining : eat buffet quite disappointing . food mediocre seating mile away food . many great buffet Las Vegas would recommend pass one . on hand , dinner Gardunos delicious service top notch . try marinated steak , disapointe . minor complaint : way much air conditioning ceiling fan breeze non - smoking section face pool . cause food get cold fast . gaming : enjoy play poker , blackjack , pai gow little slot . partner total slot player . sign Club Palms card quick easy . play short time poker room like call , smokey closet poker table . poker player take trip Mirage Bellagio leave gas mask home . slot slot not much say , always win Vegas slot Atlantic City . Vegas general give much slot action buck . the blackjack game fun couple hundred dollar play multi - deck ( 4 think ) shoe game . allow resplitte 4 hand double . 2 - deck blackjack , allow hold card . nothing beat downtown ( especially Horseshoe ) single - deck hand - hold blackjack . play several hour Pai Gow break even . game always fun offer low - risk action , fun people joke around ( well always .. lol ) free drink . give try , dealer always help set hand . other : pool nice like hotel , close 6:00pm . hotel also modern movie theater food court easily accessible casino floor . nice touch want grab quick meal show . much bar fly nothing report . buy great sheet other mention gift shop . all enjoy stay Palms . would pass poker room buffet . definitely try Garduno 's . wish stay long could try nine Little Buddha , guess save next time . , spring extra $ $ $ get mini suite , be well worth it . enjoy ! ! 
 Aug 17 2003 	 Chain 	 Palms Casino definitely place 21 35 crowd . room spacious nicely decorate . bed linen comfortable nice ( standard floral polyester crap ) . ghostbar cool . pool area cool ... beautiful woman , nice beverage . room service quick calamari tasty . 
 Aug 16 2003 	 not waste time money 	 meet friend mine must say experience stay particular hotel aweful . stay many hotel strip range 2 4 star never negative experience stay palm . employee staff rude , even try nice courteous . Ghostbar 's design flawed make difficult walk around without step . one good thing Ghostbar view outside . room average , bed feature comparable find Excalibur 's standard ( Excalibur like well ) . also quite pain get strip people , luckily face problem rent car . also consider trendy hotel , drink food extremely overpriced . also probably see whole hotel 3 minute . save money folk , ' m twenty single thought would well experience hotel aspect trip . try Hard Rock , well yet stay Strip , will save whole lot time , money , headache . trust say ! 
 Aug 9 2003 	 check - in problem 	 reservation two room . easy check one room . room take hour . Kept tell room still occupy . finally , put room hall . nice room get in . good video poker excellent food . you need car get Strip . 
 Aug 6 2003 	 Rudest Employees ever 
 Jul 29 2003 	 Weird check - in Maloof Place 
 Jul 22 2003 	 good place Vegas 
 Jul 14 2003 	 be 30 kid will love 
 May 5 2003 	 great young crowd ! 
 Mar 21 2003 	 false pretensis 
 Mar 7 2003 	 GREAT place stay Sin City 
 Feb 18 2003 	 First Class 
 Nov 28 2002 	 would recommend hotel 
 Sep 9 2002 	 Palms - vacation Vegas 
 Nov 17 2009 	 spettacolare 
