love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Jan 14 2006 	 badly do Soho Grand Badly do 	 live near NYC go freqently seldom occasion actually stay . recently relative come town New Year 's Eve choose stay Soho Grand . delighted hotel pass often read never actually reason . relative invite spouse join New Year 's Eve celebration hotel . sound like fun , right ? wrong.we arrive hotel appoint time immediately send stand line get wrist band . not know , last time wear wrist band get function high school . think something little elegant , Grand , come . next , pass three different check get table . bouncer everywhere . can not control crowd hotel , perhaps not offer party . bizaar , elegant . the cost $ 200 pp include & quot ; open bar & quot ; say , drink could order available . problem find waiter able order . easy offer open bar not take drink order , huh ? praise chef . food good . problem buffet set - up try keep warm food warm overall , must say food well do , original good variety . , stand line . seem Soho Grand like Disney approach deal guest . next , entertainment . entertainment evening 's event consist blare record music , tv screen mount dining room ( , ' m kid ) tune Times Square 's festivity . guess allow guest Soho Grand live vicariously group Times Square . dining room one large table consist family ten people . family group include two child age 10 . really fun kid blow horn ear . as evening go , less less evidence wait staff tend dining room . go physically find waiter get champagne pour New Year 's toast . that be personal experience Soho Grand . relative , instead tell hotel inform problem encounter party , hotel apolgize offer free upgrade suite next visit . coulple already stay suite . seem little concern dissatisfaction guest . finally , relative 's review hotel room small ( unusual ny ) elegant warm . understand Soho Grand trendy reputation . impressed . 
 Jan 12 2006 	 Luxury pretense substance 	 stay Soho Grand repeat business trip throughout past year . company agree corporate rate , force stay . believe Soho Grand veneer chic , exclusive , luxurious , fail understand need back level service . while could forgive tiny room , customer service consistently bad every visit . check - in staff inattentive unhelpful . make feel like intruder , rather guest . comparison , stay different W Hotels Manhattan , second visit , greet name . room service poor , cold arrival mixed order . the Soho Grand idea run hotel , especially repeat client . be sad even ' m pay , hotel horrible . 
 Jan 9 2006 	 great time SoHo Grand 	 spend weekend SoHo Grand mother birthday - we terrific time hotel love location - we get hotel early ( 9:30am ) check we immediately - we decide switch room SoHo style room classic style room ( cheap thought look same - except without plasma tv - just regular tv - they say SoHo room renovate see difference would recommend saving classic style room ) switch we immediately hassel - they also give we 2 drink voucher bar tell mom 's birthday nice - the concierge helpful bar area nice great atmosphere - my complaint room find piece candy floor previous guest - otherwise room clean - but room small - I expect downtown NYC - it fine weekend sure would put luggage long trip - we look 60 Thompson ( another hotel nearby ) little cheap nice well - would stay 60 Thompson well ( location essentially little funky ) SoHo Grand great feel . nice touch checkout honor verbal statement parking attendant low parking rate bill . overall wonderful experience . 
 Jan 9 2006 	 dissapointe Soho Grand Hotel ! 	 Soho seem live reputation . build nice , bar cosy . but : a. room much small appear website , b . staff level , facility , amenity , consistant price : wait almost half hour check , one lamp room order , key minibar lose take hour bring new one , bath foam , robe whether durty whether torn , room service forgot order call three time realise finally bring we meal , desappointing , butter little pot old ketchup ! ! disappoint , result , decide move Mercer Hotel 4 nigth , last 4 night stay NYC . Mercer great , quality difference worth two four time price difference , big ... enjoy ! 
 Jan 4 2006 	 Soho fab 	 second stay Soho Grand many year wonderful first . room service excellent , location perfect wining , dining shopping soho / broadway area plus hop meatpacking district . cheap , room feel little small compare similar price room UK less luxurious . 
 Jan 3 2006 	 Soho Grand Hotel recommend Everyone 	 Soho Grand Hotel deserve four star rating . accommodation first class . staff friendly accommodate . even eleven thirteen year old boy impressed . could enjoy overnight trip Manhattan . 
 Jan 3 2006 	 Soho Grand Hotel Elegant Hip 	 New Year 's week - end , husband choose stay Soho Grand Hotel . find extremely comfortable , easy go incredibly well decorate modern elegant style many people enjoy . stay modern hotel really not hit balance modern relaxing . Soho Grand large comfy sofas chair breakfast / drink area next lobby enhance experinence towards comfortable range spectrum . room , deluxe King , small well appoint fabulous bed linen nightside read lamp , handsome dresser armoire clothe . flat screen t.v . could better picture . bed perfect sleeping- comfortable . street noise audible maybe interior room would advisable sensative noise . staff accomodate friendly . breakfast good- great egg , fruit , waffle capuccino . ( fun hip music without overbear . ) concierge come much hope dinner reservation want make require phone call one month advance suggest . otherwise knowledable helpful . 4 star ! ! 
 Jan 3 2006 	 new year 's eve soho grand 	 hotel nice boutique hotel get manhattan . turn service markedly thoughtful , level hospitality level majority hotels.that say , two issue hotel:1 . request goldfish bose sounddock three day check . take 3 phone call 2.5 hour get it.2 . room service food average , something would expect 1st tier boutique hotel . despite two annoyance , hotel stunning , would gladly go back . 
 Jan 2 2006 	 Great New Years Eve stay SoHo Grand 	 little nervous stay SoHo Grand New Years Eve . live NYC year ago , place trendy come . happily surprise every member staff seem appreciate business front desk bell service . room north side hotel small small city view incredible ! Part New Years Eve package plenty little surprise . offer glass champagne front desk , cookie wait room we . 2nd night leave chocolate cover strawberrys go way make sure take advantage free breakfast offer & quot ; Grand Guests & quot ; . sure sign Grand Guest program book . bottom line : SoHo Grand give we wonderful stay will sure stay next time be town . 
 Jan 2 2006 	 love bed 	 great bed , sleep well . upon arrival 's clear ' ve never stay lobby check first floor , ground floor concierge . wait 10mins baggage someone ask check in . room nice , clean - Tv could use dvd player well tune tv channel sound image crisp . I dissapointe find wireless internet acess charge extra , fast connected . but overall nice experience , food amazing , chef good ( come someone live Paris use fine dining ) ! location great shopping soho , much cozier atmosphere around 5th ave etc.-Damien 
 Jan 1 2006 	 Grand ! ! Soho Grand 	 upon arrival Soho Grand Hotel completely envelop feel style & amp ; class . warm greeting receive doorman , wonderful restaurant recommendation give concierge , entire stay fabulous . away hustle bustle time square etc ... , yet close enough enjoy short cab ride mid town . surround shop boutique great , within walking distance ! although past visit first big NYC , first Soho Grand . definitely repeat patron ! ! 
 Dec 31 2005 	 soho grand chic ! 	 staff friendly , especially New York . dog , take . everyone nice dog . even provide bed 2 bowl dog . the bed human also nice . sleek contemporary design . would stay . 
