small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Apr 23 2009 	 place lie head night . 	 good point Hotel : fantastic location . price . Comfy Beds . bad point : paper thin wall , could literally hear couple next door , um ' at it'The smallness room . * * * room merely place sleep wash , not see reason stay room . conclude , bargain active tourist do not care lounge around room . 
 Apr 19 2009 	 beat location hotel ! ! 	 good thing hotel location , Times square end street & amp ; main attraction walk distance . room clean & amp ; spacious , spend much time room much see & amp ; ! ! would certainly stay ! 
 Apr 16 2009 	 good thing location . 	 arrive England tire 1.5 hour check tell room ready come back 2 hour . imagine well pleased . offer room different floor family travel together want floor . go come back nearly 4 hour later - guess one room still ready ! retire one room ready wait wait , eventually two irate phone call slightly well room one book offer floor . the service hotel well . one evening phone guest service four time get reply . could not order film play game tv sort error able fix . heater room sometimes work , sometimes not . one day room even make , time arrive back full day sightseeing , last thing want someone come room ! facility hotel speak , bar , cafe , gift shop sell hot drink . feel bit like train station people wait around foyer nowhere go except room . the decor old tired need renovate rather badly . location great Times Square etc . clean . 
 Apr 14 2009 	 Perfect comfortable hotel great location budget traveller 	 visit Milford Plaza four night stay New York City . hotel perfect location minute Times Square . staff hotel pleasant helpful need extra pillow back room minute pillow arrive . anytime need go reception help always pleasant happy help . bed clean comfortable . decor hotel tired looking could renovate location , price pay time spend room good value money . look anything fancy great budget hotel perfect base explore sight New York City . 
 Apr 14 2009 	 Great Value Good Location 	 stay hotel 4 day general feedback positive . upon arrival greet front desk staff pretty friendly consider New York . Valet Parking $ 40 / day still bargain location . the hotel walk distance Times Square bonus . location big plus hotel . room small , mean small , consider sleep showered room adequate . safe room nice . bathroom old outdated , clean . bed somewhat hard ( king size bed hotel ) , consider amount walk ny problem sleep . ice machine every floor . elevator fast easy use . security great check everyone 's room key prior get elevator . if look good value hotel heart Times Square fussy LCD TV 's room service right place right money . my complaint wireless reception high floor . although charge service , never able use internet . front desk give refund . oh wel .... 
 Apr 14 2009 	 Value Money defineatly stay 	 hear many mixed review hotel go , bit nervous , arrive room v.small smell mould ask another room get perfect room 21st floor amazing view . 3rd day trip realise eat free buffet breakfast , beautiful save we lot ! location amazing , right beside Lion King broadway ! wait go back , staff friendly helpful . highly recommend budget traveller . certainly value money . advice end room happy defienatly ask nice room . 
 Apr 7 2009 	 amazing location ! 	 stay Milford 5 night Jan 2007 . bit worried go review not good . room bit date spacious . break shower bit nightmare water temperature fluctuate hot cold ! location really superb . request room one top floor end 3 story top . window could actually see Times Sq . screen ! quite high be not noisy night time , however New York frequently hear siren car horn ! Times Sq . 2 minute walk away many many resturant take away place food across street hotel . would definately recommend hotel New York first timer purely location fab price reasonable ! 
 Apr 7 2009 	 great location okay dirty state disrepair . 	 stay friend , lobby okay checking , think would okay . however , enter room dishearten . grubby , musty , wire hang wall , really worth $ 's pay . hotel 2 * . thing go 's location , manage get lovely room Holiday Inn Garden Court one block dollar more . we also pay Wifi , not reach part hotel , mischarge ! 
 Apr 4 2009 	 Disgusting room - would never stay 	 ask move see tiny twin room , pubic hair bathtub , musty bedspread . however , tell could not move least next day , even would depend whether another twin room available . we move next morning - one block away Hilton Garden Inn , dollar per night , move pure luxury ! thing Milford go , location . say , Hilton next street , well worth extra 1 minute walk Times Square able stay decent hotel . 
 Apr 4 2009 	 Decent Hotel 	 stay 4 night March 2009 . must say worried due bad review absolutely fine . room small clean tidy lobby nice . security good always require show room key could enter lift area . greatly impressed lift ( elevator ) actually ! 10 lift label A - J . punch floor number keypad wall give letter lift go . mean wait second lift generally . mess around different people put different floor number ! think might norm NYC hotel certainly something have never see - know ' m easily amuse ! ! could not get well location either , 8th avenue , block restaurant row , course , round corner Times Square . whole would stay . perfect be look place sleep shower head long day explore city . 
 Apr 2 2009 	 good hotel would return location 	 Good Hotel could use hoover around edges base bed make sure hair shower . hotel ask want book Club Lounge arrival do not even know ring make bottle son need hot water go tea coffee soft drink food great do not get be not include . hotel good security team time . check okay fast nobody explain anything we hotel get room pre pay reservation person reception want we leave 50 dollor per night stay 5 night 250 dollor luckily friend us credit card take 50 dollar refunded card check . would stay walk door street times square . nice hotel clean room bit work hotel housekeeper would not leave room dust tv floor . 's new york city great time back book hotel . 
 Apr 1 2009 	 right want 	 hotel wonderful place right middle town ! walk distance Times Square close subway ! 3rd time definatly back ! 
 Apr 1 2009 	 cheap good stay 	 time , would probably know New York Christmas New Year truly amazing experience . New York time year also prohibitively expensive . pleased find Milford Plaza ( edge 8th Ave 45th Street ) Internet recently go New York . the cost standard room Club lounge access ( US $ 120 per night ) one competitive value - for - money New York 's uber expensive accomodation scene ( $ 200 night norm ) . location Hotel also much central : 5 minute walk distance Times Square Broadway , visitor would quick easy access New York 's famous landmark . when first arrive hotel , find room functional , little antiquated . say , definitely certain rustic charm room . one little matter though wall appear somewhat thin , allow eavesdrop conversation take place adjoining room visitor room loud ( presumably , listen conversation loud ) . course , part charm place , easily overlook , though imagine disconcerting might attempt sleep night beside particularly noisy neighbour ( bless early sleeper neighbour ) . view New York hotel room - nothing spectacular , easy forget give hotel 's considerably low - than - norm charge , fact view available , , quite bonus . lift - allocation - system also structure way instance , have give dedicated lift go level need - find system inconvenient ( sure , , extent ) , love since mean need engage small talk guest . that say Hotel without fault . one , appear stay many people access Club lounge , make impossible get seat Club lounge early riser ( whenever go Club lounge 9:30 , example , impossible get seat , though much easy get seat whenever go early 9 ) . club lounge also separate level hotel room , mean little inconvenience take lift whenever need go club lounge . in short , Milford Plaza perfect , definitely big - name 5 - star hotel , cost central location , extremely value - for - money , especially festive season comparable hotel charge almost double Milford charge . 
 Mar 30 2009 	 Brilliant Location clean friendly hotel . 	 stay Milford Plaza friend two night March , stay friend three day leave early get full day City hotel allow we check early great . show room concierge room want , clean tidy twin enough space we shopping , order bus airport day leave time great , although get we airport little early , give we time Duty Free shopping . check place leave bag small cost . would definitely recommend hotel friend travel together also couple , peek large double room spacious . 
