excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Mar 17 2007 	 Skip tower ! many well place stay ! 	 hotel certainly 4 star . state previous review room pretty standard low end 3 star . lobby adjoining area nice clean , room however much desire . positive stay : bed comfortable , good pillow ever lay head . view room sweet . could see , lake , river Navy Pier . quiet . could hear street noise , although could hear guy pee bathroom room next we . not nice thing stay : entire room thick layer dust everywhere . Clock radio , desk , ice bucket , drink glase , television , name , dust . window beautiful view filthy . lot lot hand forehead print ! crappy anemnitie . toiletry generic small . certainly enough two people . bottled water room $ 4.50 . towel standard hard hotel towel . houskeeping staff bother heck we . check Friday Saturday morning get ready day ( 8:00 ) knock door & quot ; DISTURB & quot ; sign clean room . 2 day stay receive 4 phone call housekeeping want come room ! hello ! check Sunday 12:00 , leave we alone ! check bag luggage hold major inconvienience luggage guy . would rather chat shoeshine guy . we try watch pay per view movie room saturday night not authorize . call front desk tell credit card give check not good need come downstairs give another one . spend day shopping , , knew not buy MUCH ! since 11:00 night pajama , tell would come morning . morning , completely different story , C.Card problem already put charge 2 night stay . apology night before . I agree poster rude staff . dress jean trip shopping explore city . business suit , pretty much ignore . step curb hail taxi doorman ignore we help business traveler come we . would stay . pay double pay stay Allerton last year would choose Allerton Sheraton Towers day . tower cold impersonal staff could really care stay . will not . 
 Mar 13 2007 	 horrible stay rude clerk bad room 	 ' m sure hotel good review . recently , last week , full week conference . first arrive surly receptionist actually tell reservation would need leave . fly NY significant delay , time arrive Chicago midnight . print confirmation 5 night show clerk . apologize . I give key filthy room 11th floor -- smell like combination raid , smoke , cheap perfume . allergic smoke make note book reservation . disgust see black hair pillow case room call downstairs demand room change . take bell hop 30 minute get new room , point nearly 1 am breakfast 6:30am business associate . last day stay , housekeeper call 8 am 10 ask leave could clean room . & quot ; disturb sign & quot ; prepare conference speak . Checkout noon ' m sure rush . check , might nasty rude clerk . nearly spat . live NYC , believe , deal rude people every day . one come close rudeness people Sheraton . floor carpet filthy , room loud , way front desk treated forget . ' m & quot ; young , & quot ; 33 , run new medium company . hotel consider someone look young mean not buyer power old guest . addition , consider wear suit day act pleasant time , can not think clerk could possibly see fit treat like dirt . never come back . 
 Mar 11 2007 	 Chicago Experience 	 live outside Chicago & amp ; periodic weekend city . highly recomme hotel & quot ; Chicago Experience & quot ; . spectacular location , view , room & amp ; plush bedding . walk distance many thing will want see ... River , Millenium Park , Michigan Ave , Architecture Tour , NBC Tower , & amp ; history sake , not miss Centennial Fountain ... commemerate reversal flow Chicago River , one amazing engineering accomplishment . 
 Mar 11 2007 	 Loved Stay ! 	 daughter Chicago one night attend three - day conference elsewhere Illinois . Chicago way home . not know stay Chicago , book one night Sheraton Chicago Hotel Towers base ad Chicago Visitors Guide . be glad ! enjoyed stay much . room comfortable well appoint wonderful view city . 's want -- great view , get . also , hotel within walking distance many attraction accessible bus stop ( take train bus airport city not bad -- save we lot money ) . elevator room fast quick one always available . find front desk staff friendly accommodate . downside we book one night Chicago . wish could stay Sheraton least another night . would definitely stay . 
 Mar 6 2007 	 love stay 	 opportunity stay Sheraton Hotel Towers business . hotel great location . room spacious comfortable . great view Chicago River Lake Michigan . staff friendly . chibar cool place hang great drink . cater food hotel serve excellent . would definitely stay whether business leisure . 
 Feb 21 2007 	 absolutely Perfect 	 husband come relax weekend big city find enchant deal online . less $ 150 , tax include , receive corner room gorgeous view skyline , Chicago River , Lake Michigan . accomodation clean , upscale , quiet . staff extremely friendly entire stay even accomodate early check late check concern , include extended parking extra charge . be within walk distance Michigan Avenue , Millenium Park , Theater District , Navy Pier . definitely stay visit Chicago . 
 Feb 8 2007 	 Nice hotel great location 	 place really nice - ' m write review year half stay thing still stick : Excellent Room Service FoodBeautiful Views / walk area within resortconvenient LocationGood breakfast restaurantlobby / public area well - furnish wireless internet come handythe thing like place pair favorite sandal end miss . call hotel notify , sandal never turn . 
 Jan 24 2007 	 everything need 	 wife 9 year old son stay Sheraton town NFC Championship Soldier Field . check breeze due starwood status , looong line conventioner counter . happy initital room ( good view ) prompty redirected top floor great view Navy Pier . I perfectly happy location even though lean towards Westin Michigan Avenue . walk Magnificant Mile block , walk Navy Pier . wife happy shopping son blast IMAX.If be everything within 15 minute walk . , $ 5 cab ride get . Ditka 's , ESPZone , Webber Grill easy get to . note -- hotel essentially convention hotel look like much traffic will actually experience . lobby typically busy , hit elevator & quot ; tower & quot ; side hardly notice . club Level Lounge nice -- split level great view . we will problem stay . 
 Jan 3 2007 	 beautiful hotel .... 	 try check room 3:00 p.m. tell ready come back hour . go back 4:30 tell King size smoking room available . , handicap room room 2 double bed . ( still clean ! ) tell book directly hotel specified King size smoking give confirmation number . hotel clerk state & quot ; take request make guarantee & quot ; told & quot ; want either room , want reserve . & quot ; keep say & quot ; nothing could & quot ; stand stupid ! ask speak manager ( must X'mas miracle ! ) sudden , beautiful king size smoking room , overlook river , city , lake , recieve $ 40.00 credit . hotel beautifully decorate X'mas . great location . walk Navy Pier , Michigan Ave , John Hancock etc . hotel huge really crow X'mas party convention . room quiet . would definitly stay . 
 Jan 1 2007 	 LOVE Hotel ! 	 second time stay Sheraton Chicago LOVED ! front desk staff go beyond find we great room make last minute room change even though book hotwire . room large compare other stay Chicago . room clean , quiet comfortable . sleep well home . hehe . would recommend hotel anyone stay Chicago whether business pleasure . kid ( 7/8 ) think fabulous , primarily 's convenience thing fun . 
 Nov 22 2006 	 Great Location Bathrooms need work 	 walk hotel impressed , huge lobby ornately decorate holiday . use starwood prefer guest checkin line , quick . room ready 1 arrive . go room , large couch look update . nice view 16th floor . lack part hotel bathroom , specifically shower really need work . spout fall wall , take show drain back . call maintenance pour Drano seem nothing . stay hotel one night would request different room . one night fine , location great ( right navy pier & amp ; magnificent mile ) , bell staff friendly . hunt around get great rate , 1000 bonus starwood point . one quirk concierge basic great , ask long would take get University Chicago Medical Center business , say 20 - 45 min taxi . really expect concierge suppose know area , minor inconvenience . overall recommend location , get good rate . 
 Oct 29 2006 	 room improvement 	 stay Sheraton Chicago Hotel Towers two night recently find hotel comfortable need improvement . check - in slow due two agent front desk despite long line customer wait . agent check friendly efficient . room right river set quite efficiently . however , although clean could use update repair . example , air conditioning unit miss knob need control fan hot versus cold setting light bulb burn . internet access good room quiet . order room service dinner food quite mediocre service somewhat lacking . bed comfortable bathroom adequate . hotel conference find difficult navigate give layout conference center confusing sign point room . staff try helpful apparently familiar layout conference room . also find annoying little organization multiple meeting run concurrently ( i.e . clear whose food whose room conference ) . overall , find hotel good great think would stay conference attend hold . 
