Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 may 20 2004 	 unique hotel 's great staff make difference 	 may view Pan Pacific business orient luxury hotel , would like cast different light ... due unusual circumstance , girlfriend find opposite side continent . meet big event , plan trip San Francisco . pour review pricing attempt find luxury hotel would fit style without devastating wallet . comment make previous guest often refer attentiveness Pan Pacific . attention detail staff say par Ritz Carlton . find reasonable rate online , book reservation two night & quot ; Superior Queen & quot ; . first night stay also happen fall girlfriend birthday . contact reservation department Pan Pacific let know special circumstance surround stay . arrival : Pan Pacific locate right heart Union Square . plenty shopping public transportation get around ( nice worry park $ $ $ ) . main lobby gorgeous , ornate statue view way roof skylight . twin glass elevator shuttle floor . classy without swanky . arrive early check - in time , baggage hand . give warm friendly welcome address name frequently . bit disappointed acknowledge girlfriend birthday . happily check baggage tell we room would ready shortly . return hour realize initial disappointment bit premature receptionist proceed wish happy birthday . inform we would upgrade suite . beam say least . bellhop show we room . smile courteous insist use personal valet service ( switch wall flip , notifie personal valet call ) flip require least bit assistance . room : perfect ! everything room scream class . absolutely spotless . carpet brand new , linen gleam white . suite cavernous standard . bathroom marble , recess lighting , separate bath shower . vanity full size mirror , makeup mirror , various appliance , even tv . elegant circular glass table dining area . tv bed sufficiently large , big block window . grace corner room 18th floor , large half - moon window provide wonderful view city . , can not stress enough clean room . everything look brand new . style could well describe minimalistic . neutral color overly ornate gaudy . could definitely see Eastern influence . eye pleasing calming . feather bed comfortable ever lay . fact , sit moment make nap seem tempting . give temptation , knock door ... service : upon answer door , see valet bring we bottle complementary champagne . far satisfied point 's hard put word . girlfriend seem happy , . persuade nap , decide explore city bit . know exactly get around , think would talk hotel information . concierge friendly knowledgeable . show we trolley car bus route , let we know would pay , even pencil route map . great city . long day , sleep like baby feather bed awake huge appetite . girlfriend think would fun order room service . though ridiculously expensive , admit great idea . breakfast menu varied enough could get exactly want . pick omelette mull get belgian waffle . Alfonso ( wish could remember employee name ) take order phone embody exactly love Pan Pacific . friendliness sincerity infectious . greet name , wish good morning , complement choice , ask anything else could we . without prompt , let know precisely food would arrive . promise , breakfast arrive 20 minute . gentleman deliver food make sure everything like even offer setup meal glass table . make sure ask everything want leave . food delicious , obviously make scratch . breakfast , lounge afternoon . breakfast , combine towel gift - wrap make quite mess . housekeeping skip room DND door . call let know would go afternoon , happily agree schedule room tidying . return night , room clean appear upon check - in . feel ashamed even go length pick multitude packing peanut one corner room . , impressed . next morning , obviously sad leave . room become comfortable , feel become accustomed level pamper . checkout quick painless . receive genuine thank choice stay Pan Pacific . one thanking . return . 
 Apr 23 2004 	 gorgeous ... expensive 	 stay Pan Pacific family summer 2003 . take advantage Leisure Package uprgrade Junior Suite ; huge room living area , dining area , separate bedroom , foyer , two full bathroom . cost ? $ 275 night . yes , service wonderful . yes , location ideal . yes , room beautiful . would pay much $ 275 ( plus taxis tip ... many tip ... ) taste luxury ? course would . forgot mention complimentary limo service . must stay San Francisco . 
 Feb 25 2004 	 expensive 3 - star hotel 	 room completely basic atmosphere unremarkable . Pan Pacific still good place stay get cheap promotional rate , way justify price tag 5 - star luxury hotel , not one . also warn ludicrious daily parking charge . 
 Feb 23 2004 	 use 	 stay Pan Pacific 1997 thrill . unfortunately , update anything since . hotel look date carpet room wear . bathroom dark need re - caulk . wait elevator long time . get much well bang buck SF . 
 Jan 27 2004 	 Phenomenal Hotel ! 	 husband stay lot great hotel around world , one rank top . pay nearly nothing ( hotwire ) amazed . bed fantastic , thick comforter , soft pillow . bathroom marble , extra tv phone . large mirror surround ( scary ) tub relax , glass enclose shower stall . plenty beautiful glass shelving hold toiletry fresh flower complete look . pleased hotel wireless internet access resonable price , also business center faxing , photo copying printing . hotel 's limo service even drop we dinner one night . staff bend backwards accomodate we . bell hop go give we ( free ) extra ticket pac bell park , already . location unbeatable , view room great . promise dissapointe , hotel good come . 
 Jan 20 2004 	 way overrate ... 	 expensive property nice lobby . stay corner room need renovation - tell entire hotel soon receive new carpet , etc . high speed internet work , tell refund , since provider 3rd party company . coffee service room , unless want pay $ 25 / night .... want nice place stay , go block away choose Monaco - truly great hotel . 
 Jan 6 2004 	 good price great 	 husband , , daughter friend stay suite Pan Pacific San Francisco / Union Square January 1 January 4 , 2004.first impression - lobby quiet beautiful . girl love elevator - quick . check - in - quick painless . Read ask pillow preference . Suite - decor understate nice . 2 bath - one shower one main bedroom shower , seperate tub , tv . bathroom beautiful . robe huge comfortable plenty towel . toiletry nice blow dryer master bath . Complaint 1 - hotel know 4 people stay room room prepare 2 . call request sofabe make also request extra pillow sofabe tell check main bedroom closet extra pillow . little put spend $ 275 night justify request pillow . time ask pillow preference - feather , foam , firm . complaint 2 - room nice little surprising see electrical gray tape hold telephone line . complaint 3 - travel kid husband bedroom watch tv kid living area watch tv . even panel door close tv compete other . complaint 4 - car bring front checkout , doorman assist we loading luggage . complaint 5 - minibar restock every day . complaint 6 - room rate include either free parking $ 39 day nice plus 2 free breakfast adult . decide forego breakfast utilize free parking instead . checkout remind desk include rate eat breakfast hotel . the complaint seem picky think luxury hotel like Pan Pacific wow we not . nice great . not know , maybe expect much think one & quot ; lead hotel world & quot ; offer leading service . the location hotel wonderful be look access Union Square . able walk main trolley line , wonderful SF store , quite restaurant , even walk Chinatown be it . next time will probably try Fairmont instead . 
 Nov 17 2003 	 one good hotel San Francisco 
 Sep 14 2003 	 Great Hotel ! 
 Sep 8 2003 	 good ' ve stay 
 Aug 3 2003 	 Elegant Hotel 
 May 10 2003 	 one nagging complaint 
 Apr 21 2003 	 fantastic hotel every way 
 Mar 16 2003 	 Bose Radio overkill 
 Feb 19 2003 	 Pan Pacific 
 Sep 23 2002 	 Pan Pacific 
 Apr 25 2001 	 Pan Pacific - WOW ! 
 Oct 30 2009 	 ? ? ? ? ? 
 Mar 16 2009 	 Mosconi ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 29 2009 	 desilusiono el marriott 
 Aug 6 2007 	 encanto ! ! ! 
