MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 oct 8 2009 	 wonderful experience 	 first time visit Las Vegas stay MGM Grand make wonderful experience . lobby exquisite room beautiful come stock anything may forget . husband leave dress shirt closet room call day later ( notice miss ) lose find ! shock ( nice shirt expect go ) . even shock offer send we . arrive next day freshly launder perfectly fold . entire hotel staff extremely accomodate make sure nothing please stay well . would definitely stay . 
 oct 8 2009 	 Amazing Pool Nice Rooms 	 Room - Stayed 2 Nights Summer . book grand tower room , get free upgrade west wing room . get room close elevator first night . change room quiter location second night . always request room away elevator elevator pretty noisy night . room pretty decent , tho small side , clean , upscale modern plush interior . Hotel Amenities - hotel big prepared walk lot everything . stay west wing , exit bar take straight Las Vegas Strip . food option plenty - Lots cafe 's quick dining - Mc have , starbucks lot . do not spend much time casino floor minimum bet pretty high . Nightclub ' Tabu ' pretty cool . good crowd awesome music . pool - pool amazing - Tho huge , difficult find emply seat , go early . lot fun lazy river . bad force get water early due thunderstorm . 
 Oct 8 2009 	 can not wait go back ! 	 MGM Grand clean , convenient offer variety shop restaurant meet need . location within walk distance hotel , restaurant , store attraction . not take advantage pool hot tub , water area clean plenty everyone , though bit crowd . buffet pass allow we eat free hotel buffet . food good variety choice , quality typical buffet - style restaurant . definitely not think worth usual cost $ 25 person . staff friendly helpful stay . visit hotel casino stay , none compare amenity atmosphere MGM Grand . would definitely go back ! 
 oct 8 2009 	 MGM everything need . 	 nervous take child Las Vegas , however , MGM Grand treat we wonderful . great location , child love inside hotel ( Lion Habitat , Rain Forest Cafe , Magic Shop , McDonalds ) . room keep clean . concierge help make trip special daughter help arrange limo service we Miley Cyrus concert attend . everything easy go smoothly . 
 oct 8 2009 	 enjoyable disappointing . 	 second trip Las Vegas , decide stay MGM Grand . beautiful fast paced , sadly live expectation . it definitely huge hotel ... we , downfall . far big ; stay four day still get lose massive hall . slot modern left lot we desire ( prefer & quot ; pull - down & quot ; slot like find Harrah 's property ) . be also busy ... stay middle week hotel quiet MGM still crowd . we like eat cheap save money show , etc . food court much appreciate . know could find McDonald 's Las Vegas dollar menu ? monorail nice ; especially heat July . basically run right one wing . majority staff encounter friendly accommodate ... except clerk check we . rude obnoxious inquire possible early check - in ( even willing pay extra ) . way start anniversary vacation ! trip , go Hoover Dam fantastic . highly recommend ! also see & quot ; & quot ; ... move beautiful literally bring tear eye . to sum , enjoy resort & amp ; casino much hope would . next time will stay Harrah 's property . 
 Oct 8 2009 	 Love MGM 	 stay many hotel Vegas since convention twice year . price MGM well . provide great accomodation low fare monorail premise . usually give promotion credit free ticket show . customer service also great . 
 oct 8 2009 	 wonderful staff great price . 	 avery nice hotel money , stay full week love . bed comfortable bed ever . buffet fair , fine dining bar fantastic . 
 Oct 8 2009 	 great experience 	 love location , price , amentie . several pool area . depend mood sit read , go lively area drink , people watch music . location centrally locate strip . lot restaurant activity on - ground . disadvantage cost fitness center . always think use gym free hotel guest . 
 Oct 8 2009 	 Great Value Money 	 good hotel money . location begin strip . walk distance many attraction . staff friendly room comfortable . pool area great . get crowded weekend , box match go stay little crazy night . satisfied stay . 
 oct 8 2009 	 clean smoky 	 great stay MGM Grand . convenient location strip easy access Monorail . clean room smoky casino . diverse choice restaurant shop nearby . 
 oct 8 2009 	 great hotel great location 	 Hotel conveniently locate close Vegas attraction . room clean spacious . lucky enough town & quot ; Restaurant Week . & quot ; enable we eat taste menus restaurant much low normal price . & quot ; Craft steak & quot ; & amp ; & quot ; Emeril 's & quot ; couple favorite . bad experience wait time front desk . avoid go front desk service & quot ; typical & quot ; check - in / check - out time . wait roughly hour service . wait get room , drop luggage concierge go back later check - in . 
 oct 8 2009 	 West Wing room far casino ! 	 although room West Wing section comfortable little small side . walk mile get ! 
 Oct 8 2009 	 expect hype basic room 	 major complaint , kind expect . MGM large shuffle like cattle , fun much excitement downstairs . nice casino , convenient tram , nearby many fun casino . disappointing , hotel vegas , everything cost extra- like use gym , etc . 
 Oct 8 2009 	 would definatly stay amazing time MGM Las Vegas ! 	 boyfriend stay MGM grand 21st birthday , first time Vegas . week end September absolutely amazing time . staff friendly clean polished . grand tower room actually nice ; grand marble bathroom shower bath tub , two huge , comfortable queen bed . bad thing stick ground floor room virtually view not spend much time room not seem matter good everything accessible use lift . one thing , check ask whether ' like free upgrade west wing room . ' read review even hear couple people hotel talk ' , room much small , ' well stick grand tower . MGM many place eat ' virtually spoil choice , grand buffet great , $ 14.80 head bad either ! hotel close ' even need eat hotel . one favourite thing MGM lazy river pool . never busy , nice hot ! cocktail great , shame rubber ring bit pricey rent . thing must Vegas : go Eiffel tower see strip night , Bellagio fountain , Mirage volcano , Venetian , see show . book lastminute.com get free ticket Cirque du soleil " " Bellagio , stunning show . front row , ' quite happily pay seat would go . another thing take helicopter trip Hoover dam , Grand Canyon Las Vegas strip sunset , little pricey , £ 200 totally worth . Book Travelocity stand mall , much cheap people advertise book hotel . hotel south end strip . lot walk strip , good way see ! get hot around lunchtime afternoon , around 37 40 degree $ 7 deuce bus , 24hour ticket well worth money , go way downtown Fremont street quite date defiantly worh visit . so grand time would jump chance stay MGM ! 
 Oct 7 2009 	 Attention detail need ... 	 MGM property everything need Vegas . great restaurant entertainment . find Spa staff particularly friendly . surprised room / hall show significant sign wear . Scuff mark wall ding / dent near almost every hall doorway ; really start show age . lots incentive package available , sign email announcement watch offer pile ! 
 Oct 7 2009 	 honeymoon room 	 husband stay 5 night get marry Vegas . hotel ok ... overly impressive 4 star hotel . clean close everything , however staff front desk welcoming . tell guy get married weekend not even look computer congratulate we . realize must get 20 time day ... put first damper stay MGM . ' ve never stay 4 5 star hotel , honestly , expect bottle champagne wine send room special day ... not treat we differently every guest . guess good bad time . pool awesome , clean huge ! love lazy river . big complaint ( reason stay ) room sound proof . awoken every night neighbor 4 5 door try get room , yell laugh whatever funny . could hear every footstep pass hallway outside room . make cozy night . , expect $ 200 night ! 
 Oct 7 2009 	 excellent first time experience 	 MGM great intro las vegas . first time want experience grandeur Las Vegas place . hotel massive . room spot . Clean classy . really enjoy time . special day buffet , breakfast , lunch dinner $ 35 . great deal . venture pool area impressive . many pool choose though not time . this hotel south end strip 's far walk visit hotel like Venetian . deduce take everywhere highly recommend purchase duration stay . 
 Oct 7 2009 	 great hotel ideal location strip 	 stay two night drive grand canyon . parking large covered garage next hotal free guest . check breeze short line staff helpful provide map direction large property . king room west wing modern design . room comfortable . breakfast buffet style plenty choice every taste palate . resident show MGM grand KA Cirque de Soleil fabulous . spectacular arena breathtake acrobatic skill display . well worth visit . just short walk strip Bellagio fantastic water fountain display , everything strip could walk little effort . big problem sheer number people wander strip times day night one crowd part experience . 
 Oct 7 2009 	 West Wing stay Prima 	 stay West Wing room 8th floor Oct 2 - 6 . room small , expect , also little worn . 's view room , housekeeping inconsistent , enough little thing make annoying . ' m Vegas veteran know option town , would probably avoid MGM future ... except one thing : prima program . sound like good idea turn GREAT experience we . take advantage almost benefit , easily spend $ 500 require . one show two nice dinner be . 2 - for - one drink entree great deal , ability move front line buffet ( especially ) taxi stand terrific . MGM ( believe ) still big hotel world , get walk front masse get cab wonderful . not think masse appreciate much though ! good stuff : Ka simply amazing . want jaw - dropping spectacular , see . craftsteak great dining experience . Wet Republic ( also free admittance w/ Prima ) good time , even 40 - something . ' scenery ' alone make worthwhile ! good : West Wing room not hot . Boutique - y , yes ... get old . Sports Book need new , large , home . actually , whole front place little disjointed . main entry stip lead collection Centrifuge bar , Poker ' room ' tuck behind , Sports book wedge 's effectively large hallway , lion . oh , Studio 54 part building . real complaining , make serious navigate ... would stay ? continue Prima program , hotel not figure create something like ... yep . will probably opt suite try signature Skylofts ... Prima make worthwhile lot fun we . 
 Oct 7 2009 	 great big hotel . loved pool area . 	 go Vegas brother sister . go check long que definately worth wait . box event MGM night room quite heavily book . go check ask possible get room grade plesently suprise complementary upgrade MGM Signature junior suit beautiful . would definately stay . must go Cyote Ugly bar . pool awesome . 
