good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Dec 18 2008 	 Fantastic Hotel 25th Anniversary ! 	 return 3 night stay Wellington 25 anniversary - absolutely wonderful ! ! arrive early check - in Sunday , staff courteous paperwork we hold bag could go & quot ; & quot ; city . return lovely , clean , well furnished queen room , side view 55th Street Carnegie Deli 7th . room good size New York City , time call front desk ( need extra pillow ) , service courteous prompt ! bed sleep wonderfully - comfortable - bathroom newly remodel , marble look tile floor , extremely clean , absolutely fabulous showerhead lot water pressure ( sometimes hard find old hotel ! ) . hotel within easy walk distance everywhere - centrally locate , Central Park , Times Square , Rockefeller Center - fact , even walk way back visit Empire State Building ! ! ( quite hike ! ) attach restaurant serve quite tasty breakfast , famous Carnegie Deli right across street . check - out easy checking - since noon , flight not leave 6 pm , hotel hold bag us - bellhop awesome keep luggage shopping bag ! ! would definitely recommend hotel anyone , whether romantic getaway , family vacation - probably will not find well deal helpful staff anywhere NYC ! ! 
 Dec 18 2008 	 great location ! 	 read mixed review website regard Wellington Hotel , ' look forward stay hotel . checking tell room ' ready give free upgrade standard double room queen sized room . show room despite ready ask could return hour . room spacious well present . room adjoining bathroom clean every day . find staff friendly helpful . the hotel five minute Times Square 10 minute Central Park , overall fantastic location . after stay week , would definitely recommend hotel other would stay ! 
 Dec 16 2008 	 Best yet 	 return NYC 16th Dec. this wife fourth trip six year ( mid 30 ) honestly say far good hotel stay at . central park 5 min walk , Times Square 5 - 10mins walk,57th subway right outside hotel take way downtown . diner , restaurant , pub ( use lot ) scatter around . we get king room massive , look like brand new bathroom , big great power shower . the thing could maybe moan noise night sidestreet ( do not think window soundproof ) drink normally fall asleep anyway . staff nice helpful . one tip would give anyone travel to / from Newark airport get Newark Liberty bus airport Port Authority 42nd st/8ave , take cab hotel couple dollar , way back . $ 15 dollar one way $ 75- $ 100 cab . the bus service quick , clean , evey 15 min right outside terminal . enjoy . 
 Dec 14 2008 	 Loved Wellington Hotel ! ! ! 	 although stay one night hotel , love ! wonderful room upper floor nice view Central Park . unfortunately check several day early unexpectedly concerned since weekend may able get reservation . however upon call front desk , staff courteous understanding able cancel remainder reservation without hassle . find room plenty big size bathroom little date none bad wear . everything comfortable clean . look luxury hotel , may hotel look nice , safe , clean place stay NYC perfect . staff wonderful bellboy service valet front desk personnel , everyone accomodate . centrally locate uptown downtown access access subway block south property . next time plan trip NYC definately stay Wellington Hotel . 
 Dec 14 2008 	 great location 	 hotel basic , need visit New York ! ! room quite small clean . location hotel excellent block away Central Park block Times Square . would definitely go back hotel visit New York future . 
 Dec 14 2008 	 Fantastic Time ! 	 read mixed review hotel booking , little apprehensive , speak colleague stay ( un known ) feel well . nothing praise hotel , check fast efficient , bellboy pleasent courteous , room big enough we do not spend vast amount time ! room clean every day , maid freindly , Location superb . fault anyway ! would definatley stay recommend friend stay too . I book standard room , email request twin , reply note request possible would oblige , duly ! great view Times Square ! 
 Dec 11 2008 	 would not recommend well hotel bad enemy ! ! 	 Booked break 3 lady . Booked 2 twin bed room , find arrive available . offer 2 room double bed , expect sleep another person . TOTALLY UNACCEPTABLE . eventually put small put - u - up bed already small room . final insult un - ironed bed linen . staff attitude brusque rude . take leave attitude . would stay , might expect sleep complete stranger ! ! Susan Solihull West MidlandsDate break 25th - 28th October 2008 
 Dec 11 2008 	 lovely time ! ! 	 read review think book . not worry everything fine . we book one bedroom suite four girlfiend . room 12th floor east wing - view clean spacious . hotel staff efficient helpful . ask concierge book limo return airport maybe pleasantly surprised type limo get - certainly . location hotel ideal everything . complaint hotel . New York city something everyone visit holiday season must . ! ! ! ! 
 Dec 9 2008 	 love big apple 	 Wellington standard tourist hotel central location . clean , busy friendly . within easy reach main sight underground link . staff meet could helpful . New York holiday season excitingg - miss ! . 
 Dec 4 2008 	 worth visit 	 bad anticipate . great location - close Times Square , good restaurant , shopping & amp ; Central Park . attach diner excellent food & amp ; also handy coffee facility hotel room . room small & amp ; bathroom tiny ! cleaner need re - training room dusty & amp ; previous resident ' smelly sock greet we pull chest drawer away access available plug socket . Reception ok & amp ; friendly always busy mean queue time . overall enjoy stay look alternative next time . 
 Dec 2 2008 	 4th visit already plan 5th 	 stay 4 night , 4 we share suite , well worth extra money ... fantastic time , room spacious , clean problem fix double quick time . Staff Park Cafe even help wine opener snap .... opening bottle , foot relax busy day ! everyone say , great location ... see lot ! another tip .... try arrive 4 pm allow 2hrs get hotel , unpack walk Rockerfellar Centre travel 67 floor 43 second see Manhatten night ! ! cost $ 20 $ 2 dollar voucher leaflet hotel lobby . 
 Dec 2 2008 	 love 	 get back new york stay wellington . brilliant . lovely suite four us view central park . room lovely clean . bed change every day towel . read review begin think make mistake honestly say could not fault . breakfast carnegie deli right opposite hotel everyday breakfast big share . highly recommend helicopter ride . amazing view statue liberty . prebooke car company pick we airport take we back thet alexatransportation.com . brilliant . local nice friendly do not want come home 
 Dec 1 2008 	 Front Desk Scam 	 hotel get wrong foot never improve . complete check process woman behind desk say & quot ; bellman take room sure everything ok since official check time . & quot ; sound fishy , especially since 2:30 , official check time 3 pm . instead able go room , wait lobby 5 - 10 minute guy show . take one look carry small single bag ( overnight trip ) ask luggage . say , hand key tell 23rd floor . obviously woman front desk say lie say help bellman get tip people would otherwise prefer carry luggage . the room fine , would expect price Manhattan . leave , however , one three elevator service take 10 minute get ( would walk not 23rd floor ) . 
 Nov 29 2008 	 good 	 stay Wellington 22nd - 27th November 2008 . check fine take room , pass lift everyone else seem use corridor another lift looked date , gather put one old room . room pretty big , massive bed . ... well floral ha . room clean , although could see wallpaper come away near heater . bathroom ever small . could touch shower , door sink without stretch far . clean . know would spend much time hotel agree would . right far much shopping . main problem room noise ! ! night could pipe go outside , night even wake we . people pass outside room easy make say . security room door great either . although locked chain door still move , bit strange . safe room could get one stair want . room always clean , bed make , new towel . part great . location brilliant . picky yes would stay would defo make sure new room . 
 Nov 28 2008 	 great ! ! ! ! ! ! 	 husband stay 20 - 25th Nov 2008 3rd time NY , hotel would go back . upgrade get room 2735 . great location diner next door serve great breakfeast even takeaway ! ! ! starbuck across street coffee . subway nxt door - locate within walk distance shop 5th ave macys Irish bar ( Rosie o'gradys ) street carniege delli great cake . like sense direction hotel good right beside central park times square . staff helpful room clean . I m go back next november sister without husband would feel confident enough location . bit advice would say do not make call room cost fortune buy card gift shop hotel call cost 90cent call . take trip 2 jersey garden worth bring big bag suit case u bag u like shop like we irish ! ! ! Hope u enjoy much . Jen & amp ; Keenan ( Ireland ) 
 Nov 26 2008 	 great location great service 	 stay Wellington Hotel , New York , 5 night November 2005 . read bad review , look forward much would usually . wrong could . hotel great location major attraction . Central Park , Times Square , Broadway , 5th Avenue etc . clean hotel facility need . polite helpful staff . real buzz reception . find great little bar block away , also find lovely little diner , breakfast morning . good access Subway also close , problem . round really enjoy stay hotel . bad thing could say attitude one bar staff adjoin Bar . one party , 's 21st Birthday , ask Manhattan cocktail attitude terrible , scowled said & quot ; order , Manhattan & quot ; . unnacceptable . 
