grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 Oct 16 2008 	 Nice Place 	 nice comfortable place stay , especially plan Vegas week . comfort home . nice bedroom private rest condo since daughter we . pull - out sofa bed living room , full - sized kitchen , dining room , laundry area ! pool area pretty use salt keep water clean look little dirty . complaint regard hotel 's itenerary activity go ... state free cost . decide try & quot ; complimentary facial & quot ; one day severely disappoint usher Mary Kay party ! turn back got . sale lady extremely pushy feel jippe . think false advertising unprofessional call & quot ; complimentary facial & quot ; . aware nothing free ! even game room . cost 75 cent play game . othere nice place casino next door nice . 
 Oct 8 2008 	 beware : not make credit card collect call room ! 	 Resort clean neat , pool keep plenty towel . two kid pool nothing . resort say game room , empty ... site ammenitie , kitchen laundry machine room , ( nice ) . not think run loby grab laundry soap soda . resort glorify hotel , color bright agitate . beware : not make call room unless local ! credit card call collect call . charge absolutely outlandish . $ 20.00 flat rate per call . notice , recording warn . fat bill credit card home phone bill use service . place call less 3 minute get $ 20.00 charge credit card suprise return home . not plan get adjustment phone company contract resort ! 
 Oct 7 2008 	 nothing special 	 return week stay use one RCI exchange week Grandview could find anything special stunning place , maybe expect .In general standard good , building room clean equip anything want kitchenette , washing machine / tumbler dryer , dishwasher , large fridge / freezer , fully air condition , problem shop buy food ! spot one across main highway seem mission reach get impression tatic get south point casino next door .depende allocate problem ongoing building work car parking seem issue , run good reliable shuttle bus strip need . initial allocation Iris building floor 4 move protest top 12th floor place must build budget hear everything around , & amp ; next , especially bath run , noise water pipe incredible ! ! wall floor thin certain area ceramic tile , make ear - numb racket .Bear mind timeshare resort steered direction 90 minute session take get free show / dinner gaming voucher , least bad , keep word leave alone afterwards , managed get $ 100 food voucher Luxor come handy .if consider stay , mile way much around moment unless hard hearing , take earplug - oh leave kid behind - unless keep open air swimmer , much else they . sorry , know load people like place would return desperate , short money give expensive pay week , & quot ; spectular . 
 Sep 29 2008 	 WOW whole lot ! 	 first Las Vegas experiance unbelievable trip . start Grandview Las Vegas . flight arrive early more go right Grandview anyway see could check early . room not ready yet call soon let we check early without hassle . staff extremely friendly ton offer . grandview vacation club already know course offer presentaion , go without hesitation offer show ticket show choice great discount rate . save $ 125 get great seat Mystere . , already owner another timeshare end Grandview , sit presentation , love much buy club well . definately offer could not refuse ! room , outstanding ! full suite jaquzzi full kitchen . well keep outdated like place stay . overall 10 , can not wait come back stay ! 
 Sep 22 2008 	 Nice Average Resort 	 Overall , Grandview nice resort . really average tell truth . nothing resort stand . timeshare people pushy . decide go tour get $ 100 gambling chip cash . easy $ 100 make . constantly hear people we move chair . annoying . hear neighbor next door talk . People use jacuzzi 's outside post time . 's bad try sleep morning . sound insulation room . our room clean except snail bathroom counter . buy Clorox take care problem . blind not work stay shut whole week . we get back resort around 1 every morning parking ( stay Iris building ) . afraid reading review . make sure rent car since 5 - 10 minute action . like control want instead depend shuttle bus . silverado Ranch Blvd take Walmart , Target store home . the Southpoint Casino buffet good breakfast ! ! ! dinner buffet disgusting . the casino money Fremont Street . make sure go plan gambling . odd well . we timeshare RCI stay unless everything else book . much nice place one . next time will plan vegas vacation least 6 month advance book Wyndham . 
 Sep 20 2008 	 nice experience 	 return Grand View enjoyable experience . able book b condo elderly family next door . next door South Point Casino able see Jerry Lewis Labor Day Telethon , highlight trip . staff friendly , sale pressure time share . pool great , weekend problem park weekday . due construction . noise . $ 50 weekly charge wi - Fi concern . public computer ( 3 ) lobby , nice touch . snack bar , poolside great snack souvenir . get rental car , resort shuttle strip reliable . 
 Sep 4 2008 	 Excellent stay 	 stay 2 - bedroom unit Jasmine building . ton room group 3 adult 3 kid . give timeshare property never approach sit timeshare spiel . there be / be ton construction going never hear thing . you need car ! ! ! intend travel main part strip . highway access second Grandview strip literally 8 - 10 minute highway drive . great place , great stay ... . 
 Sep 3 2008 	 undecide 	 , Wife & amp ; 2 kid love Grandview . apartment , pool & amp ; Casino , bowling & amp ; movie theatre across road suit need Vegas . check friendly hassle timeshare sale get parking pass . never problem get park week . nice choice 3 pool & amp ; 1 lot quieter . the reason ' m undecided staying wall thin . noisey neighbour would nightmare , last day could hear next door talk bedroom . every time someone move chair unit hear loud & amp ; clear . 
 Sep 1 2008 	 Nice Place 	 book exchange RCI bit concerene distance strip . although not terrible commute , would rathered close action . distance necessitate we get rental car , first 5 trip Vegas . that say , room large , clean comfortable . south Point Casino next door would hate stay , casino walking distance , resturant , buffet , cinema bowling alley . work well family include two boy 12 & amp ; 14 , mother law . we reserve two unit experience rather small correctable problem . attend presentation , feel pressure so . overall alot outlet shopping , visit Hoover Dam , Freemont Street , enjoyable trip . 
 Aug 28 2008 	 great staff ! 	 staff Grandview helpful friendly . last minute , book another room immediately give another suite $ 50 additional charge maid service . be relatively new , enjoy much . feel like live back condo fridge , roman tub , washer dryer . like fact away strip . close Primm Outlets , save ton money since many great deal . 
 Aug 27 2008 	 Great Place Bad Service 	 great place stay head Vegas . really great price , large clean room , lot nearby . complaint resort service people work ! one friendly , even check . not get one smile hello anyone ! housekeeping janitor seem use elevator guest , slow we alot ... another problem check , sign set rate rental week ... make mistake charging , charge credit card additional charge without even advise . still try get sort ... even try get sort leave resort ! ! check credit card statement leave resort ! ! ! 
 Aug 25 2008 	 super time ! ! ! 	 stepson , RCI member give we week Grandview 50th birthday GREAT time get timeshare go back May 09 
 Aug 20 2008 	 ! ! ! totally surpass expectation ! ! 	 quite nervous go end book time share , not many picture website . however , RCI state place would gold crown property . read trip advisor good bad decide stick take chance . Afterall cost $ 360 week 800 sq . ft . room full kitchen , king bedroom jacuzzi queen sofa pull out . I go 6 girlfriend happy walk room , suite , say . huge , anticipated , big kitchen , bathroom two tv ! beautiful clean ! absolutely complaint room.10 min ( real , 20 like say ) strip nice cause not far not get catch hustle bustle vegas strip . payless car rental super cheap car give we chance go outlet mall stuff without get stick strip traffic , insane . service great . want attend meeting ( $ 25 deposit show ticket would get go ) , forgot go ( purpose ) . cool , refunded money back without hassle . the 2 pool big beautiful plenty chair everyone . daily activity throughout day patron . it wonderful definitely would stay refer long not mind stay strip . 
 Aug 13 2008 	 not attend sale pitch unless 4 + hour 	 wife get talk sale presentation last afternoon Vegas Wedding Annversary promise would not take long 2 hour get free gift . bit go sale tour . long story short tour take 4 hour , rep would not take . 20 min south town can not walk back . every one probably 30 couple piss . got free package voucher late use show exhibit ticket night . go Stratosphere buffet . gamble $ joke - limit machine jackpot payout . way screw last night Vegas Price start 33,000 last offer 3x day 11000 . interest rate 17.9 % almost double total cost . math buy 
