great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Aug 28 2008 	 Nice hotel great position 	 family ( 4 ) enjoy nice stay Holiday Inn Express , Fishermans Wharf . room good size , breakfast good start day . staff friendly hotel great location . if plan go Alcatraz book get vey popular get book , lucky get tour first day 3 day visit tour book rest time . 
 Aug 28 2008 	 good location 	 stay 3 night July . hotel clean welcoming extremly well situated agree reviewer complain expensive parking charge fiasco breakfast . although usual breakfast include room rate expensive compare Holiday Inn Express hotel stay . breakfast area pack often nowhere sit . many peopel look around take breakfast back room . Staff seem find difficult keep shelf stock leave disappointed remain choice . large , busy hotel perhaps bit thought need give layout breakfast area- move toastersetc .. overall would still recommend thsi hotel situation excellent majority staff extremely helpful . 
 Aug 24 2008 	 Great Place ! 	 really like holiday inn express - staff accomodating - front desk staff particular - location facility good . breakfast good standard plentiful . I would definately stay . 
 Aug 23 2008 	 Nice Hotel great location 	 Good hotel , initial room noisy , ask move give two Queen bed rather King ask move lack room limited option . however , good overall stay . 
 Aug 22 2008 	 Good want reasonable room rate . 	 overdue review , since hotel back Dec 2005.As Priority Club member , stay several 5 - star Intercontinental , Crowne Plaza 4 - star Holiday Inn business leisure trip thoughout Asia . hotel first HI - Express stay ( many HI - Express franchise Asia ) , since vacation pay hotel bill , not mind expectation whatsoever . book basis photo post hote 's website . when arrive , pleasantly surprised clean well keep condition place . look new well maintain , lobby elevator room . request Alcatraz face room request meet . great ! room fairly alright 2 person , typical Holiday Inns stay throughout Asia . shower / toilet clean . room provide free wired internet Playstation console . I guess concept HI - Express minimal service facility . way , keep cost room rate affordable . pay US $ 90 per night would say great deal consider clean well maintain room , free self serve continental breakfast free internet . u need good room safe hotel sleep , . like lounge around hotel day , require swimming pool . fitness centre bar evening , try Hyatt across road Sheraton around corner . wife vacation , return room past 10 pm next day 10 am . happy price quality . good location . last stop tram short walk away , pier u see crab stall . free train ride Union Sq also round corner , get ferry terminal Alcatraz 8 minute pleasant walk . lot food option around , burger cafe . I enjoy 3 night stay . think return Dec 08 couple night , whilst way Orlando . 
 Aug 21 2008 	 great location 	 stay hotel two night disembark Panama Canal cruise . hotel perfect location sightseeing 5 minute taxi ride cruise pier . enjoy walk sight see Pier 39 , Lombard Street Fishermans Wharf area . 3 room travel extended family . lobby large contain breakfast area . breakfast adequate include . room clean quite large . use valet parking problem . 
 Aug 18 2008 	 expectation 	 recently stay Holiday Inn Fisherman 's Wharf four day teenage daughter . great loacation , walk distance site city . staff extremely accomodate helpful .... impressed service . room clean . breakfast bar pack morning , hey ... be free ! hesitant book rate 2 1/2 star Priceline , booked & quot ; 4 & quot ; star hotel . even though hotel not consider & quot ; full - service & quot ; ; bar , pool etc . , deserve well rating . consider cost hotel San Francisco , walk 2 star hotel , would return without question . Florida traveler . 
 Aug 17 2008 	 good choice Fisherman 's Wharf 	 stay HI - FW weekend August 8 , 2008 . find hotel good choice trip . Main Building ( one front desk ) corner Levenworth Bay . location locate right Ghiardelli Square Pier 39 . 10 minute walk either . we stay business floor since Priority Club member . able see Alcatraz Island Golden Gate Bridge room , cool . believe room 565.there Walgreen 's drug store one block hotel make stocking water forget item easy affordable . rent car take taxi 's public transportation . taxi airport ( SFO ) $ 50 include nice tip . taxi union square $ 10 hotel . $ 15 downtown financial district . we love garlic crab Crab House pier 39 . eat twice . go Giants game & amp ; Park . shop Union Square Chinatown . fun . the Holiday Inn 2 building . one Denny 's 1 block East Main Building . well locate stuff area . go SF every couple year Holiday Inn comparable chain hotel FW . little close Pier 39 matter ( 5 minute walk instead 10 . ) recommend Holiday Inn stay FW area . 
 Aug 16 2008 	 dreadful experience exhorbitantly price budget hotel 	 book hotel two night Expedia.com cost $ 342.00 per night turn budget hotel . arrival assistance available help luggage look luggage trolley bring luggage room . room clean adequate , somewhat drab location good . however , exorbitant price pay room reflect way whatsoever room service . might reasonable value third price pay . free internet ( 2 pc provide ) supply work first night . San Francisco hotel , car parking expensive $ 44.00 per night , hotel exceptionbreakfast complete fiasco morning understand reviewer speak favourably . People mob around self - service breakfast area use cardboard tray , plastic knife fork well paper cup plate . food variety standard poor service bad large number guest mill around , queue food slow . nowhere sit eat breakfast table use , guest use lounge chair foyer hotel whilst remainder choice carry breakfast room . without doubt astonishingly dreadful breakfast experience nearly 40 year stay hotel around world . stay hotel unbelievable experience , absolute disgrace price $ 342.00 per night appalling . 
 Aug 16 2008 	 Loved hotel ! ! 	 husband stay cross - country trip ( car ) . service superb location ; good . literally , right around corner Fisherman 's Wharf Pier . cable car Gharadelli Sq . right . could not pick well location . mention- safe ! hotel close everything yet quiet . breakfast buffet ( include room rate ) way average . everything want . room large ( king bed ) clean . would recommend hotel instant . 
 Aug 12 2008 	 Great Stay 	 stay 2 night August find great choice . hotel extremely clean room 4th floor quiet . breakfast also good hesitant read complaint breakfast area although find crowded , well stock nice amenity . consider Comfort Inn Van Ness must say definitely make right choice . close everything fun ! 2 block Fisherman 's Wharf . particular stay would hesitate recommend hotel . 
 Aug 11 2008 	 well expect 	 new & amp ; clean , perfect room surrounding . within easy walking distance ( block ) Fishermans Wharf . problem parking . beware , not read review parking garage hotel fill . drop luggage drive around corner Anchorage Parking Garage store car $ 30 per night ( 24 hour parking , in / out ) . actually work fine will either want walk Fisherman 's wharf ride taxi location , warn . expect able park hotel . great time worth money stay close go . take tour go 50 different movie site , awesome ! wish time go Alcatraz , get see , will know . 
