pay 	 get cheap deal local travel shop 99 train hotel 2 night . arrive queue day night . 4 room 13 us 2 family 's room 3 small single bed camp bed kid refuse sleep . one room clean get look like someone party rang reception say would sort . great location tube bus 10 min away king cross . day come back around 10 pm room not do 5 kid is'nt ideal . breakfast horrendous like cold rubber staff really unfriendly go nearby cafe breakfast next day great . price pay did'nt complain pay full price something like 110 per room would happy 
 basic warm good location .... 	 book hotel ' weekend rail deal ' exactly get - deal ! room basic warm . hotel closely locate London 's sight seeing exhibit . want book somewhere impress would not reccommend , however , room book hotel . 
 like jail 	 simply price buy part good rate London BA.com . 's giant hotel right Russel Sq , convenient king X Piccadilly Line Tube . , be pretty much horrible stay . single bed suitable chlld 10 , adult . courtyard middle look like jailyard , miss weight . blanket drape hang window , wait fire start , especially drunk Belgian Standard Liege football supporter scream . take pub lobby courtyard lose Arsenal . heat room unbearable would not switch . sleep window open , hope noise drunken Belgians would soon go away . bathroom ok , pretty clean except towel stain . bring toiletry stay b / c will get 3 mini bar soap that s . be look bed hotel 's well locate , reasonable safe , cheap , stay . though , would recommend sister hotel , Tavistock Royal National . luxury missus definitely enjoy stay get lucky . thank goodness travel male friend , use place crash going drink London . convenient vist Arsenal Football Club . 
 try hotel side street 	 well arrive queue mile long book , every morning afternoon , wait half hour give key room . room adequate special , neither alot space . spend day come back 9 pm buy drink bar no - where sit go din area get kick drink unless buy hotel ? ? four we ask would need buy able sit din area almost empty , smile know get repeat automate statement ask much glass water ! ! say £ 5 agree say would ask leave . spoke manager reception say not dept ? ? go bed.8am get knock door house keeping .. & quot ; leave today ? & quot ; & quot ; er tommorow . & quot ; ok need clean room . go downstairs speak manager explain would well keep night bar sleep knock we 8 morning holiday , get bar becasue space . say would speak housekeeping , dept . go breakfast queue 3/4 hr room , actually get straight back room 10.15 not clean ? ? next morning thing happen again . so summary room small , great queue , slow book , broken lift , morning wake call clean wether need . one responsible not anyone dept.you buy drink drink . positive food good 's near station . would go , way ! ! accross road stay president , ambassador county hotel 100 % well , price much friendly . it would appear way make hotel change attitude let customer know alternative . 
 Apr 17 2009 	 simply put 's budget hotel 	 book BA Holidays hotel tag one & quot ; recommend hotel ' . figure can not bad . early check - in request , even option look like never happen . sit lobby try rest 5 hour extremely tired flight . room small clean . two twin bed wheel not great idea constantly move . wash clothe bathroom , read pretty common european hotel , still forget pack , purchase & amp ; S. messing tv minute figure change channel tv look like ' . call housekeeping find operate heater , arrive minute later screwdriver turn , two setting , , heat adjust . read description hotel location ( oxford street , covent garden right doorstep ) , decide walk . get direction bell desk sound simple quickly learn long confusing walk . first last time walk . always taxi 's outside hotel . food hotel Pavillion Restaurant awful . 's call buffet style restaurant eat . roast chicken potato , potato hard , probably sit buffet area , restaurant busy chicken absolutely taste . first last time eat . not really much area , far restaurant . place someone picky , , difficult eat around hotel . phone call room pretty good rate , expensive . purchase tour bus ticket right hotel bus pick right outside hotel , plus find way back hotel bus bring back . day check - out decide last minute shopping flight use baggage hold service hotel . charge 50pence per bag , not mind first time hotel charge hold luggage . , travel London tight budget would stay , otherwise would definitely find somewhere else . 
 Apr 17 2009 	 great location clean room 	 stay Apriil 11 16 , 2009 , convenient locaton . take Piccadilly line Heathrow airport change train , get Russell Square , hotel right around corner 5 minute walk . huge hotel , good thing tour come pick , take 2 Evan 's & amp ; Evan 's tour , pick 8 am 20 people hotel , miss . convenient store Tesco right across street train station , buy water / croissant / sandwich / fresh fruit etc cheap , eat 3 orange day 75 penny , even cheap U.S. get Tesco card save even , do not find till leave . hotel clean , 3 deep drawer dress like lot , could put underwear , clothe scatter around , closet hang coat , shelf luggage , bath tub good soak 8 hour walk everyday . continental breakfast basic , coffee / tea/ orange juice toast / cereal , yogert croissant , fresh orange / grape fruit . price reasonable london standard , pay $ 144 night . walk british museum , must see . 
 Apr 16 2009 	 well place hotel - good access place interest ( short 20 m walk ) 	 return 2 night stay hotel husband 10yr old daughter . good base , clean nice staff . good facility leave baggage arrive early check check early . British Museum near , Covent Gardens 20 m walk , tube station & amp ; bus stop easily accessible . cook breakfast good , plenty eat busy could difficult get seat . husband daughter sleep well struggle noisy ( double glazing ) problem pillow . would problem recommend hotel though aware noise . good base sight seeing . 
 Apr 14 2009 	 Got A.S.A.P . 	 arrive 12.30pm . sheer bedlam reception due large influx appear student various part globe . Noise continue could hear throughout hotel . Decor throughout hotel date need refurbishment , dirty place . in room carpet threadbare , bed cover tear visibly repair , plaster peel wall place overall , room particularly clean . ask hairdryer payment £ 20 deposit give dryer hold together insulate tape . enough ! ! check without even stay one night . pay £ 180 move well standard hotel enjoy weekend . 
 Apr 13 2009 	 bad hotel see life 	 travel least 12 country , China USA . bad hotel yet . , wife child , nightmare . night trip , six year old daugther suffer asthma crisis . well morning , decide go London anyway , medical drug need . , London european capital , medical service available . not go , would lose money invest seven day trip . go . ok , three we tired , almost not sleep night , asthma crisis . arrive hotel - big , noisy horrible - go room , find ingredient another asthma crisis . huge stain ceiling , result water infiltration floor , humidity wall paint fall . room heater completely full dust . small bed reserve daughter look something times industrial revolution , fit acommodate child worker 16 hour day shift factory . try change room , use diplomacy first , protest veemently . not give damn . noticed everybody , bar reception , seem abhorr guest , not care least bit . allege room . housekeeper go room , & quot ; clean & quot ; ... nothing clean , complete maintenance need , remove dust ... poor woman look room disbelief , exclaim : & quot ; stupid reception ! insist give asthmatic child room & quot ; , proceed show we diferent wing hotel , well room . say : & quot ; room available , yes , ask room seventh sixth floor , insist want another room & quot ; . go downstairs ... keep refuse , time lose temper bit , tell fix , wathever cost . even say would willing pay well room . keep refuse . call travel agent , call , put we one night Tavistock Hotel , nothing special , much well , clean room friendly personnel . next day , agent call , say would give well room Royal National . like stupid , go , want send we room ... unbelievable . go Holiday Inn Bloomsbury , pay another 400 euro stay confortably instal rest stay London . Holiday Inn Bloomsbury , around corner Royal National , small good hotel , room clean , personnel professional , kind helpful . breakfast great . good hotel stay area . Royal National ? nightmare , fraud , case police . 
 Apr 12 2009 	 3000 Room Youth Hostel . horrible ! 	 please , please book hotel . big . filthy . overprice . adequate . rude staff . 
 Apr 7 2009 	 horrible Hotel 	 horror hotel start check wait 10 minute whilst reception staff chat ( although luckily get 2 coach - load kid arrive ) . continue lift - always bad sign green carpet wall lift . room ok clean , although twin bed narrow . I stay two night part theatre deal . first night absolutely freezing ( January would expect would heating point day night ) . next day ask turn heat friendly lady turn screwdriver turn radiator . boiling could not turn heat ( sure bad going go cold ) .The hotel really noisy ( although party friend not complain ! ) night friend 's room one break bed - quite obviously break hang angle one side . breakfast ok ' ve well greasy spoon £ 2 . generally , way would book hotel choice . many well hotel London budget one . 
 Apr 5 2009 	 Book 	 hotel date it.s decor even clean , breakefast although plentful , BAD . want sleep visit place , whole place occupy teenager every corner globe , fact think book big youth hostle ukSO please , please please BOOK , much well place money around Russel square Makk+Helen Isle Wight 
 Mar 27 2009 	 Basic Accommodation Excellent Location 	 part british Air deal , book double base proximity Russell Square ( Piccadilly Line - straight shot Heathrow , 3 day Tube Bus pass-£21 ) . look ambience , place , look place sleep catch shower explore London , good option cheap price ( even cheap since BA pay room . ) room small , washroom clean , shower hot force -- basic certainly adequate review suggest . staff helpful courteous , even service large group . breakfast basic , not breakfast . , pleased experience . posh stay ? , not advertise way . would stay . 
 Mar 23 2009 	 BA ashamed 	 get room part deal British Airways . skip deal . room large , dirty bad mattress . bathroom dirty mold grow corner . our room street side - very noisy . kid party hall much night . breakfast lousy , dry roll cereal . absolutely service hotel , crabby counter worker . never would step foot hotel . feel betray British Airways . 
 Mar 21 2009 	 good location noisy 	 book hotel British Airways part package . good deal . read review tripadvisor.com stay , say read line quite accurate . good location : hotel within five minute walk distance Russell Square tube station . British Museum ten minute away . many restaurant , sandwich store little grocery store nearby . get drink water Tesco store across street tube station , 0.36p per 2 liter bottle . many kind sandwich sale well , price low £ 1 ( range £ 1 – £ 2.8 ) . Pret Manger store next Tesco store , get sandwich . continental breakfast : bad consider fact free . toast , butter , jam , apple orange juice , milk , four kind cereal . need early order get seat . give direction front desk breakfast serve . ask around direct line English breakfast serve . lady take look voucher tell we pay £ 4.5 per person . say think breakfast free ; give nasty look point line continental breakfast serve . make sure right place prepared pay extra . little bar across street also serve english breakfast low price . may check . room service : get room double bed two twin bed . comfortable clean . supply water boiler cup , tea bag , coffee packet , creamer , sugar . hotel also supply small soap bar towel , shampoo call housekeeping send . within 5 minute show plenty shampoo conditioner . small tv corner , clock . since room face towards street get lot noise window . room warm , leave window open night , noise became irritate . also , seem might emergency response center nearby , constantly listen sound siren night . also , could hear sound teenager hallway outside window . also , want leave luggage hotel checking , take care luggage 50 penny per piece . 
