Wonderful 	 book Chancellor first trip San Francisco , base price location trip advisor review . subsequent conversation people would staying , discover 2 3 people know previously stay rave hotel really look forward stay . disappointed . stay 7 night twin room 14th floor . email hotel day arrival request high floor possible – receive prompt personable reply Kevin , Reservations Manager . other say , room small , ' need lot space , anyway spend little time room . closet big see suitcase take space . bathroom also small , sufficient . similar sized one home ' perfectly adequate . free wireless internet big bonus often pay expensive hotel . work absolutely fine . internet terminal Reception also great service , book something online need printer . staff deal hotel super nice efficient . issue safe room go ' sleep ' twice report reception fix less 10 minute occasion . lady tour desk give great recommendation restaurant . although tell we Alcatraz night tour book online 3 month early ' exist send we bit spin , phone call company quickly sort fact run ! ! eat breakfast hotel morning lovely restaurant staff great . cookie reception delicious , wish start eat early week ! ! location hotel absolutely fantastic one cable car run right outside door . love San Francisco certainly go back sometime future . definitely stay Chancellor Hotel tell anyone know ' go San Francisco book hotel . 
 Superb ... everything ! ! 	 actually boyfriend 's favourite hotel stay whole 3 week holiday ! honest , not like San Francisco much thrilled hotel . as everyone say , right middle everything need - shopping , restaturant , BART walk anywhere . end walk hotel , alllllll way hilly road , turn leave walk bit really zig - zag windy street , allllllll way Fisherman 's Wharf . long warm , quick cable car ride back comfy bed hop rest exhausted body . I read review beforehand noticed room say quite small . agree not huge room , would not say be small . 2 we fair bit luggage comfortable . decor room beautiful add old - fashioned , classy feeling place . lady bar friendly go drink , staff restaurant lunch departure day . little kiosk / desk able get help organise shuttle back airport , buy ticket cable car also postcard stamp send . front desk send postcard nice touch they . as everyone else , would definately recommend stay . free tea , coffee cookie come handy ! 
 superb clean hotel amazing location bag character 	 friend stay research heap hotel San Fran . want somewhere central four day character soul . step Chancellor Hotel complete superb service favourable rate . after send enquiry room , helpful chap call Kevin get straight back offer room period need reserve . keen make sure thing ok end call chat pleasure , even nice phone . offer give we room top face square ; could ask for . as stay , well good email phone experience . clean hotel , amazing location square , helpful staff ( especially lovely lady run bar ) room be right . ' ve read people think room small little run . nonsense really hotel real , proper San Fran hotel 's template chain . super clean , everything need perfect stay San Fran . earth folk want big room ? party ? short have whole heartedly recommene stay . ' ve see lot hotel travel one remember right reason . would stay recommened guess true test whether be good . 
 Honeymoon revisit 	 34 year ago stay 10 day Chancellor honeymoon . property update since lose 's charm . advise General Manager anniversary first time back , greet nice gift bottle sparkle wine room arrival . room small , neat recently refurbish . luque bar hoot night . Hotel Union Square right cable car line , make convenient Fisherman 's wharf well multitude nearby restaurant , theater , shopping attraction . rate reasonable , staff friendly accommodate . use 5 * hotel may find hotel less expectation , simply stature , stay 5 * accommodation frequently would definitely stay boutique hotel . 
 step door everything 	 fab location want buzz zone San Francisco . staff friendly + helped play along ' surprise ' visit . room fine 3 night + suit we fine - may small long stay . walk everywhere - shop , restaurant , BART , taxis door want . 14th floor + hear city noise night window open bot bother we . would stay future visit . 
 self favour stay 	 return home long holiday gather thought would like post review Chancellor Hotel Union Square San FranciscoI would like say can not go wrong staying , 5 star Chancellorwe stay begin August , room decent size right two we , large wardrobe personnel safe inside , comfortable queen bed , nice clean room pleasant decor , table chair window , even view Union square nice indeed Fan ceiling good especially get hot night , enough keep cool not like sound city , close window nice quitethe bath tub nice deep one , relax fall asleep , wonderful day Segway tour walk around San Francisco good thatand location right middle city , nice place eat next door around corner , Staff friendly helpful time good , sense humourso want good hotel stay , central city cable car front door , right good shopping outlet , nice eating , drink etc rate will not break bank place , stay , see self , Best Wes K & amp ; K 
 May 9 2009 	 everything need great location ! ! 	 wife return stay Chancellor . got great deal Expedia pay £ 250 4 night ! ! location spot . speak other prefer Fishermans Wharf area , not see . Union Square place want central . Tram stop right outside door ! staff friendly helpful . would say Susan ( work tour desk hotel reception ) may come across abrupt , lovely lady get pretty much anything need . book tour call relevant company wait make sure confirmed . tour desk not open til 9 am open well evening ( think late 9 pm ) .The room not small expect . clean , nice decor comfortable bed great pillow . even pillow menu choose number option think standard one perfect ! free tea coffee cookie hotel reception free internet access ! criticism bathroom look abit date would put stay recommend Chancellor other . so summary , great hotel , great location , great staff . a word warn want shop SF . cheap may think clothe ! ! careful . find designer shirt Heathrow £ 100 EXACT shirt Union Square $ 285 ( £ 185 ) . Jimmy Choo shoe UK - £ 343 vs $ 595 ( £ 391 ) ! ! warn . 
 May 8 2009 	 great stay Hotel Chancellor 	 husband stay Chancellor 2 night May . late night arrival easily accommodate . Room recently renovate , agree small side . however , get great deal expedia ( $ 150 night ) not expect large room happy clean comfortable . real bonus deep tub bathroom - perfect soak long day walk great San Fran hill ! bed fantastic pillow menu great . location - wise , Hotel practically Union Square cable car stop take Fishermans Wharf . not eat restaurant , service fantastic . would definitely stay 
 May 8 2009 	 Overdue Rave Review 	 first trip SF , , Trip Advisor pull . 's reason hotel highly rate -- - location , helpful staff price combine make hq stay SF . trolley right outside door -- BART airport three block ( uphill naturally ! ) , great restaurant within three block radius great room rate . not know people talk noise - room well insulate -- single room bathroom small clean comfortable . border bookstore right next door ! bellman front desk staff great help store bag , provide direction advice . trust review -- place well worth hard - earn vacation dollar . will get full SF experience right outside doorway . 
 May 5 2009 	 great hotel great location - would def stay . 	 think hotel great . location superb . Right Union Square cable car stop right outside door . shop transport link extremely close - Saks right accross road ! get BART Basketball short walk street train station . staff friendly yes , free cookie , tea & amp ; coffee popcorn ! breakfast Sears next door Cheesecake Factory accross road go . room okay size - small large - enough give be day . bed comfortable everything clean . not really get much noise outside either . would totally recommend definately go back visit San Fran . 
 May 4 2009 	 wonderful 	 originally find hotel Trip Advisor impressed way manager Wes Tyler take ownership comment . begin correspond mention travel SF April . Wes tell let know would stay city . could not happy . Chancellor old hotel one restaurant charming bar . room small side great high ceiling . bathroom spacious today 's standard big deep soak tub . as location staff nothing could well . check anniversary bottle champagne two flute wait well gift wrap picture frame Chancellor logo . sorry long deserve .Gail 
 May 4 2009 	 Perfect look great price ! 	 city tour part week CAlifornia , first time SFO . usually look hotel clealiness , location price , well Chancellor 3 ! right Union Square , front cable car stop , free internet service spare pc whenever feel refreshement , coffee , tea good biscuit always available reception . if arrive airport ( SFO international Oackland , instead take cab , suggest use transfer hotel , definatley cheap . 
 may 1 2009 	 good price / quality ratio town 	 third stay Chancellor good first two . five star location , five star service , little add touch ( mini - safe room , umbrella rainy day , iron press clothe , coffee / tea / cookie / popcorn lobby ) ... clean room , recently refurbish new large screen LCD TV 's , new lamp , fan , etc . see well run hotel build customer satisfaction . view , Chancellor good choice smart traveller . 
 Apr 30 2009 	 MMMM Free Cookies ! 	 end honeymoon trip Vegas Maui , think would good idea settle back itno slight city life 3 night Easter period return London . location supberb , right Union Square great shopaholic ! hotel classic , authentic yet modern nice staff bonus constantly refill tea / coffee hallway ( space room ) well nice supply cookie day trip nice evening snack ! room small expected bit cram fit 2 suitcase floor . bathroom ok glass provide clean entire stay could tell clean long time rim glass , yellow limescale mould build ! old building , hotel doubt room close thin wall . could hear guest next door & quot ; intimate & quot ; even turn radio try drown sound . could street noise though window one morning could actually smell weed one room via air vent . apart incident , enjoy stay Chancelor chapagne , sweet jar pillow choice nice touch end honeymoon . 
 Apr 29 2009 	 price place perfect 	 stay one night could not pick well place . total come $ 100 perfect location . room bathroom small clean bed super comfortable . plus free chocolate chip cookie ! 
 Apr 29 2009 	 Perfect Location 	 excellent hotel right thick everything . go wife 's Birthday folk Chancellor give we room top floor nice view Union Square . bottle champagne also wait we room nice touch . room recently renovate great , complete free wireless . I picky person little nervous stay small boutique hotel , read review thought would give try ' m glad . great hotel would problem recommend anyone . 
 Apr 28 2009 	 Value money right downtown friendly staff 	 spend two night way back honeymoon get nice room great view . even bottle champagne nice pictureframe remember honeymoon stay . right around corner everything , great value buck get great deal book directly hotel . 
 Apr 28 2009 	 runner 's review 	 ' m runner , shopper . Chancellor Hotel fabulous base location . wish run trip , excellent location . SF run club actually offer 3 route base Union Square . one make . want see Wharf -- challenge Powell downhill wharf -- take right ( flat ) run pier return via market -- 5 mile . early morning good , city ! Chancellor -- quiet , clean terribly friendly . request late check surprised generous time allot . room clean one day Lina -- oh , tidy one -- thorough ! room manageable -- bathroom bring back memory apartment use occupy build time -- quaint ! complimentary cookie , coffee tea lovely -- even offer soy milk , treat non milk drinker ! ' m pleased stay Chancellor frequent since fall love city must return . couple side note : * * trying find gourmet snack quick lunch -- one street ( right tunnel ) liquor / market wonderful . stock great vegan wrap quick dish , well fresh produce high end snack . * * want explore new church Sunday -- go Glide block southwest hotel . not know go , whose San Francisco church . Glide Methodist , progressive almost full service various gospel praise song . faint heart -- stand clap hand ! member make feel much home . * * take BART , easy cheap 5.35 ride airport Powell station . * * check farmer 's market Saturday -- great artisan fresh food . * * City Lights bookstore -- must fan poetry bookstore quality ! 
 Apr 26 2009 	 Welcome break ! 	 stay chancellor last leg honeymoon . arrive SAN FRAN airport jump bart ( underground type train ) take we bottom powell st . drag bag street take 5 min ! point trip husband get little fed lack tea America ( fellow brit sympathise ! ) lovely treat tea coffee tap whenever want ! much h delight also constant supply complimentry cookie ! one night pop corn machine delicious . get room like little taste home . bed comfy ever sleep , bathroom spot less . also leave little honey moon bottle wine choc lovely . hotel good location possible four day see everything wanted always use public transport . fisherman wharf fav wander behind little safeway buy american treat take home . overall one good hotel ever stay . return chat hairdresser discover stay previous summer thougt . warn ( nothing hotel ) mist come evening sooooo cold make sure take warm coat evening . 
 Apr 25 2009 	 still good year 	 n - th stay Chancellor follow three - year absence , Chancellor still good choice City , great Union Square location , gracious service good value . really score get newly remodel room stylish , dark wood furniture emerald green upholstered chair , flat screen tv , view onto Powell Street . love ! bathroom small , representative early 20th Century construction era squeeky clean , snow white towel , one get keep rubber ducky ! ! upon check , two - for - one cocktail coupon welcome super nice touch . Chancellor fantastic place stay San Francisco 
 Apr 21 2009 	 great little place great location ! 	 friend originally book hotel elsewhere San Francisco , make mistake check website like first ! find hotel bad review , cancel decide come Chancellor Hotel read fantastic review especially good price . hotel staff friendly start finish . hotel room lot small hotel previously stay US location , comparable old hotel build location . 4 day trip , comfortable - not spend much time hotel room anyway - much see ! location excellent , right heart Union Square - worth visit shopping place like Macy 's Tiffany 's ( even look ! ) right doorstep . also fabulous place ride cable car - although make sure be wait right side road ! breakfast hotel lovely , though venture next door Sear 's couple morning , sell heavenly pancakes omlette 's . possible buy pre make mix pancake also little bottle maple syrup . chinatown worth visit - recommend go oriental Pearl one staff member , walkable hotel . it easy get Fisherman 's Wharf hotel use cable car . also , plan take trip , recommend Muir Woos , Sausilito , Alcatraz , city tour also Yosemite ( long day trip definitely worth ) - chancellor Hotel pick list hotel tour , great convenience.and last least - forget free coffee cookie ! alwasy worth trip reception . hope enjoy stay go 
 Apr 21 2009 	 great location 	 great stay plan lot city need hotel great location . room small big enough manover suit case . bathroom clean extra point jar sweet , free cookie hot drink hotel . 
 Apr 20 2009 	 great value money little gem 	 really lovely hotel ideal location lot little touch make stay enjoyable free tea / coffee & amp ; cookie , umbrella closet , internet access & amp ; wonderful staff . helpful . cable car across road handy get Wharf . great location shop , wish 'd shopping time ! thoroughly enjoy stay & amp ; ' recommend highly enough everyone . 
 Apr 17 2009 	 great value heart San Fran 	 Thanks TripAdvisor -- review guide we wonderful hotel ! wife stay Chancellor holiday April 2009 . generally agree w/ review read . the location perfect value great . three day stay midweek parking , rate $ 106 / day . similar hotel ( , perhaps well accord rating guide ) available similar price , include parking , usually another $ 20 - 50 . , amenity like free wireless internet nice touch . current economy , possible get good hotel deal San Francisco -- watch different website not hesitiate call hotel negotiate . 's quick run - down : -great value ! -location Union Square great - front - desk staff attentive helpful . -Rooms clean , seem recently remodel decent furnishing , paint , carpet , flat - screen tv , etc . large , spacious enough building necessarily show age . -housekeeping could well [ one day return 16:00 day walk around city room service . bring attention front desk , somone room within 20 min . disaster , expect find room unmade end day , want hour relax dinner . also , minor clean - up thing attend - to course stay . ] -cookie pillow menu nice touch . combo location , good price , decent amenity wonderful staff , would wholeheartedly recommend Chancellor friend family . fact , suggest mother . would consider ring endorsement ! 
