excellent 	 stay 7 night - 2 different room . room noisy morning hear people talk loudly slamming door . second room next room renovate may explain noise - sure first room . staff mostly ok except grumpy lady 30 awfully unhelpful . provide locker $ 2 per usage need leave bag hotel check - out . first room small second slightly big new . sell point hotel location 31st & amp ; Broadway 2min walk Macy 's 1min walk subway 1 stop Times Square . wife Thanksgiving could catch parade literally around corner . yes , need cab , get one street one , reception charge ridiculous price . room come free wi - Fi internet access LCD tv hd channel . 
 Oct 13 2007 	 Pleasant stay ! 	 stay Herald 6 night single room ... say pleased overall . clean , quiet , comfy bed , free HBO , free coffee basement , excellent central location , fairly price ; can not go really wrong ! however clearly problem smoke alarm , go several time first time ... told & quot ; leave window open & quot ; , & quot ; not want wake room full smoke & quot ; , yes sound kinda scary . plus get dress go reception fet someone fix ... not professional.4/5 
 Oct 1 2007 	 Good Value 	 pleasantly suprise , expect fairly basic hotel give price ( pay $ 200 & quot ; new & quot ; double ) . location brilliant , view mean quiet . new bed , linen flat screen tv . free coffee everyday biscottion Sunday . staff extremely helfpul , toliet overflow bit someone fix within minute . some room hotel apparantly bite tired great NY great price location . would definately recommend pay extra new room . would stay . 
 Sep 19 2007 	 great price 	 pretty bummed research rate hotel NYC ( Manhattan ) 2 double bed 4 adult . anticipating would spend around $ 300 per night decent place go town time . , father - in - law bring hotel attention . upon read website , find rate approximately $ 220 / night , location decide look . book 3 month advance make sure get room here . our room ninth floor toward back building . window bathroom along wall room look another brick building . even though view nothing , quiet night ! consider read size room Manhattan , think quite bit room move around . bathroom small nothing less expected . think one newly renovate room nice flat - screen television . complaint would 1 elevator service ninth floor slow . one time wait 10 minute elevator press button make way top . the location 31st street Broadway 5th av . nice . 2 - 3 block South Empire State Building 2 - 3 block East Madison Square Garden Penn Station . within 2 - 3 block several subway station . major subway station Herald Square ( 31st Broadway ) several train stop get go . several thing nearby include Manhattan Mall Macy ' . night , store front 31st Street metal fencing window kind make area dark unattractive , day look much well . ' let scare get past dark . overall , remind hotel Europe ' stay ( local one , chain ) . provide we nice , clean , comfortable room . really extra amenity , like continental breakfast , shampoo hairdryer , ' look willing forego favorable rate . would say meet expectation . would recommend stay comfortable without many amenity chain hotel look nice place stay good location decent rate Manhattan ! 
 Sep 15 2007 	 Super Clean ! Super Value ! Super Location 	 hotel New York City 's good keep secret . seriously . start great price . add amazing location . top , room HUGE , bathroom HUGE ( big friend 's entire studio apartment ) , entire room immaculate . bed comfortable , bathroom stock plenty towel Aveda soap . even flat panel tv free HBO ! else could ask ? sure lobby small , elevator tiny , easy overlook . recommend hotel anyone budget New York . definitely stay . 
 Sep 14 2007 	 love place ! 	 first , little unsure place great location $ 99 night . be unheard NYC . also , website kinda sketchy well , interesting . hotel 2 block Empire State building , close everything like shop subway stop . room kind small bathroom rather large bed comfy ! room little tv sister nice flat screen . desk staff nice give we locker store stuff early . parking $ 21 overnight ( also unheard ) , make sure get ticket stamp hotel . otherwise would $ 50- $ 60 . definitely stay future ! 
 Sep 13 2007 	 Great Value ! 	 stay 21 - 25th Aug 07 . renovate room 9th floor great 2 x big really comfy bed , nice bathroom powerful shower , flatscreen tv , could fault room price pay . there work go hotel , much exterior building cover scaffold work do entrance area , howeever interupt stay all . great location , walk distance Times Square , Empire State , Manhattan Mall , Penn Station etc .. plus bar , deli 's close also . I would definately stay . 
 Sep 3 2007 	 say WOW ! 	 Man , place . read review say nay - sayer get wrong . hotel fabulous location , room newly re - furbish flat panel tv room , free internet connection , bed diw . sleep well home . kidding , bed like float cloud . bathroom magnificently appoint beautifully maintain . wish furnish like home . staff warm , friendly responsive need request , help direction different place interest , theater ticket advice good place eat area . area center one good place shop city . hotel bill bargen hotel , price wise , condition room , staff , free internet , coffee breakfast bar , staff make like resort hotel day go . stay ? recommend friend co - worker ? bet . opinion Herald Square Hotel one well keep secret New York , ' m spread news everyone know . 
 Aug 31 2007 	 great find ! 	 great location part reason would recommend budget - price , semi - luxury hotel . return 5 night book refurbish room specifically ( avoid room ' lottery ' reviewer speak ) .We astonish see luxurious modern style room open door . everything brand new furnishing fitting throughout reminiscent 4 - star hotel ( quite sure get 1 star ? ) . shower pressure quite low take heat - 9th ( top ) flr . the cable tv ( HBO ) , quiet air conditioning wonderfully comfortable bed make welcome oasis foot 12 - hour 90 degree heat ! finish thing style - even provide we stretch limo price cab , leave go back Newark Airport 4 am ! can not speak highly place - love ! 
 Aug 26 2007 	 great place stay 	 return 5 day Herald Square want write review gratitude . surprised read last review . could stay Herald Square . room Herald amazingly upgrade equal room hotel twice much . spacious super comfortable bed , flat screen tv quality fixture finish work . staff friendly helpful . location centrally locate . also love theme Life Magazine , museum experience see Life Magazine collectable cover . Herald Square well keep secret city . low price high price experience.i can not wait til lobby complete look forward stay soon . highly recommend Herald . Ron , newport beach ca . 
 Aug 21 2007 	 price hotel service youth hostel 	 ' ve stay short period time really disappionte service . charge hotel 's standard service rather appalling , would say , worse friendly nice youth hostel . check , reception rude impatient . arrive early , put luggage locker room . warn . one would come help . sort everything . single room tiny ( photo show website look deceptively large ) . understand location plus bad service , would never stay . 
 Aug 18 2007 	 Little 	 spend week hotel . room quite small , barely large queen size bed . long counter room upright chair , comfy chair read watch tv . Wi - Fi seem work well . window room -- apparently room except front window . Wall a / c unit , roar loudly enough keep awake even low setting ; a / c , room get stuffy quickly . hotel midst slow renovation , pervasive , sharp odor paint carpet adhesive everywhere . good feature : maid service bathroom -- bring shampoo . lobby feature include indifferent clerk behind bullet - proof glass wall nice self - service coffee bar . hotel appear target european tour group . convenient Herald Square subway station , long slog foot Penn Station . 
