awkward 	 great place . August check move room 's hard - wire internet ( kind -- wireless ! ) not work . additionally air conditioning never get quite cool enough , shower / tub short , awkward nozzle not adjustable force stand drain , elevator small slow , business center tiny closet basement . though ask stay elsewhere time , be corporate room block . e - mail time hotel manager assistant manager various question . nice accommodating , staff ' ve encounter . staff wonderful - hotel need major makeover . speak , gym ( LA Fitness next door ) close renovation be buss guest another one block away . unfortunate timing . this time arrive excited get room 701 , top floor . room indicator , not room & quot ; -01 & quot ; . room awkwardly opposite elevator . door open right elevator lobby , without kind baffle foyer , people elevator , wait landing , look right room . noise ! talk / yell / whisper guest elevator notification ( & quot ; go ! & quot ; ) keep awake night . be move another room today ( additional 40 quid night ! ) hopefully well . 
 average hotel - 5 star 	 hotel situate great location - convenient Covent Garden theatre district . bed comfortable . staff friendly helpful however five star hotel . room average despite & quot ; deluxe & quot ; . look need decoration - attempt hide fact fancy light hang bed . bathroom spacious tatty - heating - supposedly hot towel rail freezing , shower lukewarm draft window . breakfast somehow manage lose hot breakfast order leave we sit 20 minute realise lose . wake drill hammer early final morning somewhere hotel - one bother warn we . check , staff never bother ask stay - seem interested get money . there plenty hotel area would advise people stay elsewhere - definitely five star hotel worth money . 
 Waldorf 	 book one night famous Waldorf Hilton Aldwych lastminute.com . know Waldorf ? rich , famous people use stay ; excellent positon near theatre museum poise edge City ; boast crown jewel ballroom , Palm Court . sound good . , fool history . Waldorf transform Hilton boring , mid range business hotel . lose every shred famous charm . , completely devoid character . still , five star rating belie poor quality service offer . I carry obviously heavy suitcase long flight stair reception , staff watch . Thirsty arrive room , invite spend GBP4 priviledge drinking bottle mineral water . room ostensibly double . two set prettily wrap bathrobe ( GBP40 buy ) lie conveniently bed . however , bed push wall like medieval box bed ; possible access second guest . desk lamp , wrong side desk read bed , work ; follow morning housekeeper confirm bulb go . even low setting , heating ventilation fiercely direct head height uncomfortable stand middle room . the tv remote menu facility , flick aimlessly around find news station want . bathroom tile floor ceiling clammy ; heating towel rail , remain cold throughout stay . bad , despite offer free wireless connection bedside literature , tell front desk way connect internet five star hotel purchase GBP15 24 - hour voucher would permit use hard wire cable desk drawer . Breakfast serve Palm Court , beautiful green palm remember film set remove . room large , cold decorate stiff , brown dry grass . food acceptable , stand middle room , , twice , attract attention staff get coffee . no Christmas decoration , warmth . luxury ? forget . advice : stay somewhere else . shame , Hilton , turn unique elegant hotel average , brown box . Mrs . Rehoboth 
 bitterly disappoint 	 book room celebrate anniversary surprise half disappointing experience ' ve long time . on check - in ( quite late , arrive around 23.15 ) wait receptionist get phone alone . get room key pretty much without one word ask breakfast ... welcome ... room disappointing - small clean 5 star standard . find tv work , call reception ( wait couple minute someone pick ) tell someone , take 15 - 20 minute . check say tv could fix would move leave . needless say one call we , call reception ( be talk well midnight stage ) tell would need contact engineer morning . say be stay night , apologise inconvenience offer we complementary breakfast . by stage really upset romantic mood completely vanish , want make fuss late work next day . oh , bed terrible , feel like spring going give way second . breakfast ask menu rather present . full English , one vegetarian oily tasteless . finish orange juice , never get refill . ask toast ... could believe 5 star hotel actually . so , awful experience . certain expectation , give name rating previous Hilton experience , would well stay home ! half say al least will definitely remember anniversary . unfortunately , memorie nothing like mind book . 
 Oct 30 2008 	 unpretentious 5 - star luxury 	 stay Waldorf one night really disappoint fact check soon . stay many , many London hotel , include classic , grand one , Waldorf great fraction usual price . style hotel combine elegance low - key modernity . room feature traditional 5 - star hotel eg marble bathroom well surprising decorative detail eg colour wall bed headbord give away hint hotel 's history . plus , amazing sheet ever wonderful LaSource toiletry . champagne bar beautiful rococo room , bar dark evening - y . location extrelemely safe convenient visitor ask room face back yard ( traffic noise ) sleep like baby . , wonderful stay quite inexpensive . P.S . someone management read , please reply state brand sheet use . want ! ! ! 
 Oct 10 2008 	 good hotel 	 stay Waldorf first time week visit London theatre visit nothing good say . stay expensive hotel receive great service receive here . everybody helpful smile pleasant change , food good everywhere spotless definitely return . 
 Oct 6 2008 	 fantastic room vanity ! 	 fantastic hotel , comfortable , friendly , well equip - one drawback like toilet shower glass cubicle - ok - could not really see glass , like one bit - look good though - however thing mean keep personal - even sister ! however would happily stay not share room anyone else . one drawback lovely hotel . 
 Oct 3 2008 	 fantastic hotel ! 	 fiance keep return Waldorf Hilton . hotel simply fantastic every aspect . level service second none . room beautifully decorate , modern , comfy bed , power shower bright , modern bathroom . restaurant serve really tasty , modern , well present cuisine well worth visit . staff friendly always helpful . always enjoy stay due return end October . amazing hotel real focus service , refreshing see day . recommend highly enough . 
 Sep 28 2008 	 Fabulous Hotel 	 husband lovely stay Hilton Waldorf . clean , modern , quiet , comfortable room good size huge plasma tv feather pillow ! location short stroll Covent Garden staff friendly attentive . stay one Aldwych ( next door ) think hotel good well especially half price ! let seem work go could not see window room scaffolding . not really room long enough gaze window ! 
 Sep 27 2008 	 enjoy stay Waldorf Hilton 	 stay Waldorf Hilton past June really enjoy stay . staff nice , polite go beyond call duty . check overnight flight San Francisco . tired little cranky . car pull bellman take luggage . upgrade Executive King room , even though pull point stay . luggage arrive room miss one four bag ( small one ) . bellman go back stair look , three mark . research miss luggage keep we inform , poor bellman must room three four time . find leave bag car deliver we hotel . another instance beyond bellman come door fail answer wake call . sure call get wanted insure oversleep . eat restaurant site , enjoyable cocktail lounge . addition first night look around stuck head restaurant check greet warmly hostess . take time show us restaurant , atrium , lounge . the draw back hotel shower , , narrow little slippery . wonderful stay would recommend hotel other go London . 
 Sep 27 2008 	 great business class hotel city centre 	 stay Waldorf whilst business trip London . cost £ 175 room per night good value city centre . room modern , clean well equipped . staff friendly helpful . bed comfortable get good night sleep ! ! much else say really ... arrive 10 pm , go bed check 8 am ! would stay . 
 Sep 14 2008 	 not go ! 	 hotel dine former glory , customer care , room small , dingy price . get away place tourist , make feel really bad local see people getting rip London hotel . 
 Sep 8 2008 	 wonderful experience ! 	 treat like royalty ! husband wonderful experience recent four night stay Waldorf Hilton London . choose hotel difficult find hotel Covent Garden area like Hilton chain . turn good location London centrally locate could walk popular sight . also close several tube bus stop ton restaurant theater . room large modern lovely Crabtree Evelyn shampoos lotion . moment arrive entire staff professional , thoughtful , polite friendly . expectation meet exceed . new deep appreciation Hilton quality experience - prefer Hilton foreigh US travel . special thank Mario go way put we upgrade room Maja whose lovely personality add warmth stay Waldorf Hilton . 
 Sep 2 2008 	 great hotel ! ! ! 	 excellent stay - diamind member , upgrade suite 1st level grant access exective lounge.suite - 2 flatscreen . tub / shower multiple shower head entire body . robe / slipper . spacious living room 2nd bath.executive lounge - open 7 am 11 pm . good munchie free drink ! ! breakfast ok , change day day . great customer service lounge.front desk - one morning raining , provide umbrella use throughout entire day . great customer service . 
 Sep 2 2008 	 Great Hotel great location 	 waas great hotel great location London Eye , theatre Covent Garden . leisure facility little shabby great hotel 
 Aug 31 2008 	 dissapointing 	 dissapointe Waldorf book special night london celebrate 30th birthday . we room back property constant drilling hammer next door property . one third telephone call reception ask either could stop could move tell nothing could it . the room small could hear conversation next door room wall quite thin . swim pool nice steam room work sauna area state dis - repair . lastly , over - hear maid argue across hall . upon leave express view manager time simply tell sorry hope experience well next time stay we ! - yes great location , golly - worth money - ' ve stay well motel waldorf . never stay . 
 Aug 21 2008 	 disappointing stay 	 beat location hotel , frankly be . room Alwych side hotel extremely noisy ( lot bus stop busy theater district ) . Saturday night , could hardly sleep . new style room . walk see - through bathroom , weird statue , sofa look like one would find hospital waiting room . staff poorly train . hardly benefit Diamond member hhonor program . dirty carpet . nope , like stay . sorry ! 
 Aug 18 2008 	 wonderful week Waldorf 	 spend idyllic week Waldorf London . upgrade arrival executive room really small suite lot lovely ammenitie robe slipper , fruit ice tea arrival , bottle evian water every evening , turn service good perk - unlimited access Executive Lounge free use computer , comfortable chair relax free food drink day long . significantly add value stay . staff courteous helpful go way see need anything . location great . close theater Covent Garden well many must - see sight . 
 Aug 18 2008 	 great week 	 ( , wife , sister husband ) start joint 44th anniversary trip week Waldorf Hilton . book use Hilton reward upgrade top floor large room . elevator stop sixth floor short flight stair seventh . three window obstruct scaffold instal exterior renovation 100 year old building little noise room . furnishing modern bed comfortable , albeit tad soft liking . bathroom also large full tub shower many toiletry provide . ample towel available except Sunday housekeeping replace towel , leave we somewhat short . call quickly remedied oversight . there huge closet eve two umbrella . one could store year 's worth clothe space . the air conditioning system one well experience Europe . prefer somewhat cool system provide ample cooling . we also grant access executive lounge continental breakfast provide along egg , bacon , etc every morning , gratis . complimentary alcoholic beverage offer evening along tea service afternoon . lounge also free wifi internet connection computer station guest use . the location West end excellent we book play stay . large number restaurant , nearness Covent Garden location make great center operation exploration . Trafalgar Square short bus ride Strand easy access Parliament Square via bus , pleased location . the Hotel offering guide tour build 100th year celebration take advantage . service , room staff good stay next visit either Park Lane Hilton , favorite Hilton property London . 
 Aug 10 2008 	 contemporary classic great feature 	 Waldorf Hilton luxury hotel Browns Dorchester , good business hotel excellent service well equip room . standard room clean , comfortable bed equip everything would need weekend stay London . its old hotel new touch hotel indicate new state art modern design room . stay several british hotel , also Hilton , old stuffy , mouldy experience - great ! reception area soulless boring , find Waldorf soul bar , café restaurant . time use court much nice could find everything need . hotel get nice fitness area swimmingpool . location , shopping weekend , good ok short taxi ride long walk tour Bond Street , Trafalgar Square Picadilly Circus . breakfast excellent several choice continental buffet space airy elegant . service overall good left hotel smile . 
 Aug 3 2008 	 Steeped history 	 stay one night brief great time . the building 100 year old steep history ( preserve list buidling believe ) .You imagine people stop 1950 's 1920 's ( get drift ) .The staff excellent , ashely conceriege helpful bell boy / porter super professional . we take advantage Valet parking drive London , £ 48 slightly expensive side , save lot hassle . our room good bit abstract modern art mix traditional architecture seem work really well . I would not go far say room 5 * , lilike 4 good 3 * .if look hotel put smack bang centre west end definatly , metre away theatre extremely close Covent garden also . lot bike taxi 's ( sure call ) handy . we choose eat ( great little italian call Stranded Strand ) another night would eaten , dining room look fantastic . all , enjoyable prestige hotel say ' ve ! ! ! 
