great 	 travel world never stay hotel everyone sincerely nice , attentive , efficient , kind staff Hotel Chandler . room lovely comfortable people run hotel really know secret success make traveler feel comfortable cared . would never stay anywhere else positive experience . 
 first class hotel first class staff 	 wife , 2 friend stay Chandler 19/11/2009 23/11/2009 . time arrive time leave , staff friendly helpful , reception staff always hand help requirement , complete online check return flight . knowledgable New York , hand point we right direction helpful hint tip . hotel , quiet , sophisticiated feel , lack restaurant facility could see drawback , not stay New York eat hotel ! tidy little , welcoming , bar . location great turn leave walk hotel , 50 yard 5th Avenue , look right be stare Empire State . say be near perfect position explore midtown downtonw , place . room spacious plenty wardrobe space , nicely sized bathroom great walk shower . hot room , air conditioning hand , strike we odd warm November , weather whilst New York absolutely perfect , ' m sure whether Chandler take credit , want will let ! ! ! highly recommend will stay . 
 good location great room 	 eleventh visit New York first Chandler . stay many hotel city include big chain Novotel , Radisson well independent boutique . Chandler four star independent simply BEST hotel use New York . three minute walk Empire State Building Macy 's , close mid - town Manhattan pretty quiet location . room tenth floor immaculate really modern . bathroom new , contemporary spotless . bath big glass double shower cubicle . room not huge big enough plenty storage . good sized wall mount LCD tv good quality i - pod docking station . one breakfast free charge ok , usual thing - juice , cereal , bread , pastry etc . hotel provide free tea coffee make facility foyer day nice touch . we choose take breakfast morning deli around corner Park Avenue rather pay hotel price . find front desk staff really helpful , courteous polite . book request double room , non - smoking high floor exactly get upgrade without even ask pay . find hotel quiet , relax great condition throughout . genuinely feel good hotel use New York first choice ( inevitably ) return 2010 . HIGHLY RECOMMENDED.Dave Jacqui . 
 Sep 30 2008 	 Loved Hotel Chandler 	 get back 5 night Hotel Chandler stay could well . arrive Sunday morning 7:00 take red eye San Francisco greet great front desk staff . able bag hold valuable locked safekeeping start sightseeing enjoy Manhatten . service fantastic everyone encounter throughout stay . bar great place start end evening computer library great thing well . definitely return Hotel Chandler since room lovely great location Murray Hill . hat management staff make stay enjoyable ! ! 
 Sep 28 2008 	 love room 	 book short notice price right ( NYC ) . impressed quality room - mini - suite . will stay next time . 
 Sep 2 2008 	 gem ! 	 teenage daughter & amp ; stay hotel 4 night August , great ! fifth trip NYC , Hotel Chandler favourite hotel far ( previously stay Hotel Edison , Vincci Avalon , Eastgate Tower , Park South Hotel ) .We queen room , although small previous hotel , well equip , clean comfortable . good sized wardrobe / drawer , foldaway iron / board , desk / chair , table / chair , large flatscreen tv , ipod dock / radio / clock . bed extremely comfortable . bathroom average size spotlessly clean stock wonderful Aveda toiletry . ' m light sleeper , request quiet room i.e . overlook street , give one overlook courtyard . not pretty sight , least not going disturb toot horn , siren etc . the reception staff doorman extremely pleasant ( find bit scary previous hotel ! ) . free use pc library well imo ( ' m tea addict ) , complimentary tea / coffee 24hrs day . plus complimentary glass wine bar Mon - Thurs 7pm-8pm . the location fantastic , close Macy 's , esb , restaurant various subway line take city . there nothing not like stay ( apart noisy neighbours corridor night 's hotel 's fault ) , would definitely recommend stay . also manage get really good discount rate book Quikbook approx 2 month advance . all , relax atmosphere highly recommend ! 
 Aug 31 2008 	 Excellent hotel great stay 	 Hotel Chandler base couple night stay New York site see . overall stay excellent , staff good facility excellent . my room king room large 6 foot bed , flat screen tv nice big bathroom . room large however consider New York hotel still good size . room quality high standard feel comfortable room . the location hotel good site seeing , short walk empire state building 20 minute walk time square . the staff hotel helpful happy help plan trip around New York . I would recommend hotel everyone . 
 Aug 24 2008 	 love customer service 	 select hotel read review customer . I disappoint hotel service hotel staff excellentthere local diner call Tasty 's round corenr hotel excellent Thai restuarant opposite hotel call Thai George . critising would update bathroom room . the free tea coffee handy evening . 
 Aug 20 2008 	 great hotel 	 stay part honeymoon would totally recommend . plus points- room excellent fairly spacious ( new york term ! ) . room amazing condition ( plasma tv , ipod dock speaker , everything spotless new , etc ... ) . shower massive expense rest bathroom bit cramp not matter ; - staff really helpful friendly . flight JFK 530am great check we organise taxi , even time ; - great location really central ; - bar next door good too . negative - none ! 
 Aug 18 2008 	 Loved Hotel Chandler 	 stay Hotel Chandler 5 night - 21 - 26 May 2008 . problem check even though 4 ! room clean , quite small , big wardrobe big bathroom ( beautiful Aveda toiletry ! ) . bed comfortable . location fantastic - quieter area ( want , hustle & amp ; bustle like Times Square ! ) , close lot attraction . staff pleasant . Doormen give we tip place eat cool Irish Bar . use computer & amp ; internet lounge great , cup tea night lounge , complimentary . Loved New York would definitely stay Hotel Chandler . 
 Aug 15 2008 	 great price good location 	 company push hotel since reasonably price Manhattan hotel surprise terrific . hotel nearly brand new appointment flat panel tv 's , king size bed , alarm clock iPod connection , etc . staff nice enough , especially NYC standard . it be locate Times Square sacrifice location will appreciate wallet . ' ve stay properitie NYC ( Grand Hyatt , Doubletree Lexington ) room nice not feel like take cleaner process . 
 Jul 30 2008 	 Amazing 	 return trip NYC friend mother . hotel amazing , beautiful ! people work front desk polite helpful . honest whole staff .. doorman extremly helpful everything polite . help we get taxi , basically anything else ask do not ask thought would nice . nice bunch boy . honestly want leave make experience alot fun . wish could gotten know alittle well able stay contact . hotel beautiful way expect , perfect location everything . 
 Jul 28 2008 	 Loved Hotel Chandler 	 daughter return weekend NYC stay Hotel Chandler . unsure expect hotel , truly pleasantly surprised . room upgrade king clean well maintain . location excellent staff pleasant helpful . able walk attraction midtown Manhattan hotel . terrific weekend would certainly return recommend Hotel Chandler . 
 Jul 28 2008 	 Perfect Hotel 	 husband stay Hotel Chandler July 22nd - July 26th . hotel great . great location Manhattan we . able walk almost anywhere want go . really like hotel location . couple minute Empire State building , 5 minute walk Macy 's . great location around hotel breakfast . check Caprice 5th Avenue breakfast . yummy . room small use , sleep shower . nicely decorate , quiet . hotel little wear around edge , overall really nice . staff nice helpful well . would definitely stay Chandler . 
 Jul 25 2008 	 fond Hotel Chandler 	 travel frequently work NYC least month . recently stay Hotel Chandler client special rate there . the staff nice -- will give point customer service . the major dilemma hotel bathroom . kid , say could get show . ' m large person ( 5 ' 4 , 125lbs ) open glass shower door toilet less 5 inch . door literally hit toilet climb toilet get . spend 20 minute try get take shower all - day flight beyond frustrated . can not imagine would happen large , flexible . when finally wedge , notice shower head smack dab middle shower -- reach past turn water inevitably shock either hot water , freeze cold water . also , shelf place put shampoo soap ! set bar soap tile water pool around ( drain ' work well ) . * * 2nd day stay hotel , mainenance come fix shower door open . use brute force push door shower . think glass would break . the bed decent . room service menu leave MUCH desire . nice turn - down service … but door ' lock within flimsy . room right next elevator could hear " de " bell every time someone stop floor . could also see bright hall light door end inch two carpet . all , stay MUCH well boutique hotel . one worth . 
 Jul 14 2008 	 Loved Hotel Chandler 	 stay Hotel Chandler past weekend , July 12th & amp ; 13th 2008 . time arrive everything well expect . receive warm welcome front desk even receive upgrade Deluxe Queen . room furnishing nice bed extra comfortable . bathroom surprisingly large nicely outfitted . staff every bit helpful could possibly . tight schedule assist information theatre heading . weekend extra special thank experience Hotel Chandler . definitely stay near future . 
 Jul 13 2008 	 stay hotel twice year ! 	 ' ve return back UK NYC stay Hotel Chandler April 2007 return week birthday present partner . equally impressed hotel . hotel service fantastic , nice hotel stay , hotel quiet , need return busy day sightseeing round Manhatten . excellent location , two block Empire State Building . would definately stay . 
 Jul 9 2008 	 nice 	 nice hotel centre Manhattan . room cozy clean staff really nice helpful . not eat hotel enjoy facility library ( internet access ) , fitness room free coffee least . definately place would like return . 
 Jul 8 2008 	 pleasant visit 	 stay Chandler Hotel one night ( July 4th ) . convenient arrive train - less two block Penn . arrive check - in , go get cup coffee . upon return , still check - in ( perhaps 2:30 ) tell room already available , upgrade king charge . room small side ( expect - 's NYC ) clean , bright & amp ; well - furnish . Bathroom clean & amp ; modern . pleasantly surprise free lobby computer & amp ; fitness center . location great - mid - town , close plenty attraction . entire staff helpful & amp ; nice . upon return room later evening , find bed straighten & amp ; next day 's weather forecast . will definitely stay 
