overall 	 usually stay Monaco street , could not get room Saturday night . , book great deal Burnham . room cute , although really small ( NYC apartment , be say something ) . fine night , although would not suited we dog one day . , everything fine . service good , helpful accomodating . 
 Burnham kind hotel ; Chicago kind town . 	 delight stay Hotel Burnham . stay perfect check departure . Tracy Sara front desk , reggie door , Christine restaurant , go beyond make stay warm pleasant . dog Jack treat like royal pup , every effort make staff make stay good could . sleep like baby comfortable bed . room hotel spotlessly clean . restaurant food delicous not forget WINE TIME every evening lobby . perfect . can not wait get back new furniture place room . 
 Excellent stay historic landmark ! 	 stay Burnham 3 night September 2009 . hotel Priceline lucky Burnham . hotel great : incredible staff , central location , amazing building . Kimpton Group obviously great job restore historic landmark ! room small average , nicely decorate add boutique atmosphere . room top floor , overlook Chicago Theater , quite view . we dinner Atwood Café , lovely . Chicago 's major attraction within walking distance ( El , Chicago River , magnificent mile , ... ) . attraction , public transport even block away ( red blue line , course , El ) . blue line direct line O'Hare , order cab get airport . this hotel great experience . would love stay . 
 Jul 3 2007 	 Class location 	 stay Hotel Burnham four night , June 22nd June 26th . upon arrival via taxi Midway airport , greet Reggie , take luggage direct we front desk . check extremely polite fast . reggie show we room 14th floor ( 15 ) . detailed bit history hotel , point various amenity . room overlook State Washington street full view Macy 's ( Marshall Fields ) flagship store , old Chicago Theatre ( pretty night , see pic ) distance Marina City tower State Street bridge river . the room adequate size ( big expect ) queen bed , settee window , entertainment unit stock honor bar . also feature nice Panasonic radio / cd player quality sound . desk bedside free high speed internet connectivity . the entry way / foyer allow room set provide iron . hairdryer also provide . safe take space floor closet , large enough hold oversized laptop computer , good sized camera , anything else wish put inside . the bathroom economy size , immaculate , provide L'Occitane toiletry . linen towel high quality , not stingy they . temperature control individual per room also . the hotel ( outside room ) amazing . detail , history provide nice sense time place . build 1895 office build one original skyscaper Chicago ( post fire guess ? ) . trim , iron work , lighting , carpeting wonderful . starbuck coffee provide every morning lobby , wine taste available every day 5 pm . sit area small quaint . the site restaurant ( Atwood Cafe ) always seem draw crowd . breakfast drink bar , however , dine . breakfast , albeit pricey , large fulfilling service step above . a special notice make service receive every turn . doorman front desk , concierge , room attendant , restaurant , make feel welcome business matter even though site full week . very special thank reggie , Alyssa , Keith , David , Antwon Gus . the noise mention early post occur , find minor consistent trip . new tower build right across street room face Washington / State , reach 20 + story height . noise come construction road level street . the experience excellent highly recommend hotel . everything walk distance short cab ride . two thumb up . tip : food : Cafe Iberico N LaSalle . GREAT Tapas . VTK ( Vong 's Thai Kitchen ) Lou Mitchell 's classic Chicago Breakfast - egg double yolke ! site : Art Institute Chicago - could spend several day here . Millenium Park ( Cloud , Serpentine Bridge etc ) Wrigley Field Cubs gamehancock Tower , less crowd well view Sears tower . Macy 's ( old town shopping 's fine ) 
 Jun 22 2007 	 great place stay especially architecture buff 	 husband spend four night Burnham definitely back . location great , couple block Millennium Park . especially love stay historic building . public space ( include hotel hallway staircase , well reception area restaurant ) gorgeous throwback another era . leisurely breakfast Atwood Cafe great way ponder life change past hundred year ! room , small , beautifully decorate large window . staff consistently pleasant helpful . one word caution : new skyscraper currently construction directly across street hotel . temporarily snarl pedestrian well car traffic corner , also create certain amount noise , even overnight . find soundproof adequate sleep well , definitely hear construction equipment small hour . 
 Jun 1 2007 	 Great Location Service 	 wife visit Hotel Burnham Feb Valentine 's day pleasant stay . everyone work check - in check great friendly . Chicago see Wicked walk around bit downtown . hotel great spot ! everything want short walk . visit former Marshall Field 's flagship store ( Macy 's ) , Millenium park ( ice skating winter ) , Art Institute Ford Theatre show . would not recommend walk good shape , everywhere go within mile radius . also plenty great restaurant type area . the room bit small expect , bed extremely comfortable . stay one low floor apparently upper floor roomy room . also construction new high rise across street , never bother noise . pool premise . also try restaurant , look nice . wine hour also nice , would nice treat . also fun pillow service , order bunch different pillow . sleep well anti - snore pillow ! , would stay . make sure check website , get good deal & quot ; hot deal & quot ; program . 
 May 29 2007 	 Great Location ! 	 husband stay past weekend . location could well . right corner State Washington , one block Wicked three block Millenium Park . walk Michigan Avenue Art Insitute . time need cab go restaurant one evening . room tastefully furnish , quiet comfortable . bathroom could use extra shelf , spacious plenty hot water . staff friendly start finish . front desk always say hello come , doorman always open door not think concierge ever away desk . wine reception popular issue enough seat relax enjoy wine . meet great people definitely return ! 
 May 29 2007 	 would definitely recommend 	 Chicago prep course Memorial Day weekend . last minute , book hotel room Hotwire . Hotel Burnham hotel receive . compliment hotel enough . staff friendly accommodate . allow check 2 hour early check day , all - day seminar promptly offer hold bag day . someone always ready help answer question . room great . bed comfortable . location perfect , within walk distance everything . definitely stay . travel lot find hotel great staff refreshing . 
 May 29 2007 	 okay stay 	 stay Hotel Burnham average . little dissapointe 4 star hotel ! standard room queen bed hotel 2 single Standard . fine husband , 2 friend vacation we happy share bed ! construction across street give horrible view . ( fault hotel ) service average . nothing beyond expectation . Stayed Swisotel time last year . would much rather stay ! 
 May 18 2007 	 Excellent hotel 	 comfortable hotel - room small side , plenty amenity - free internet , tv , cd player , minibar etc . desk chair ( aero style ) comfortable . quality food dinner breakfast excellent . the level customer service high ; staff encounter curteous . downside - rental car valet park hotel downtown , wait . also , noise level high - window sound insulate . would definitely consider stay . 
 May 15 2007 	 Renaissance complete ! 	 return stay Hotel Burnham Chicago , new favorite place stay . & quot ; Disturb & quot ; door hanger say : instead & quot ; Disturb & quot ; say & quot ; Restoration Progress & quot ; , flip side , instead & quot ; please make Room & quot ; say & quot ; Renaissance Complete & quot ; . sentiment completely true . stay Burnham , able completely recharge battery . service ( hotel cafe ) exceptionally friendly , room exceedingly comfortable , amenity doctor order ( big fluffy bathrobe , thick scrunchy sock , pile pillow bed , plus live plant goldfish make seem like home hotel ) , location within walking distance everything want town . one teeny tiny drawback not much countertop space bathroom , light everything else positive place , really can not complain . already look forward next trip hotel . 
 Apr 23 2007 	 Noisy ! wait year go . 	 great boutique hotel - ' ve stay several time love . however , be build across street , not big problem , although bit noisy . big problem city Chicago street repair middle night . weekend April 20 , 2007 midnight jack - hammer still pound . manage fall asleep , 1:30 , woken noise . go night . since stay weekend - management move we another Kimpton hotel , hassle . - great hotel , wait go . hear one hotel employee go go continue ... year ! go sleep anything . 
 Apr 22 2007 	 Burnham great special weekend 	 book Hotel Burnham Kimpton site weekend away celebrate 25th wedding anniversary . want something special historic book romantic get away package queen suite . staff upgrade we king suite without tell we fantastic . king suite beautiful , bed comfortable , 11th floor historic detail everything perfect . noise construction side street , till 9:30 come first night stay later next not problem . special occasion , would definitely recommend Hotel Burnham ! 
 Apr 22 2007 	 great except Noise 	 Hotel Burnham boutique hotel . room huge comfortable . deluxe room comfortable queen size bed . nice desk old - fashioned lounging seat . hotel unique feel style . neither generic corporate hotel overly chic Ian Schraeger boutique , tend go old - style look not mean date need renovation . may tad frilly not top . like old - style grille elevator . everything good shape . I appreciate wireless internet include price room . bathroom good nice soap shampoo L'Occitane . although not really room around sink toiletry bag , plenty room put personal item . the hotel staff excellent . run late meeting arrive check - in staff arrange luggage take room without fuss . consistently impressed professionalism courtesy hotel staff . hotel nicely put good coffee well tea hot water morning . free wine around cocktail hour though never that . Atwood 's hotel lobby excellent restaurant fit hotel 's style . however , restaurant separately manage hotel . the noise , however , construction project across street major problem . quite loud day night one simply count much tranquility . jackhammer afternoon quite lot bang 2AM . hotel not warn guest booking imagine lead unhappiness . manage earplug bring home . would ' ve rate hotel excellent except serious noise issue . 
