bad 	 first let say staff friendly , efficient pleasant . not bad word say . however - party 6 stay thistle prior conference nearby follow day . work NHS book single room save money prove vastly overpriced gastly experience . six room - one fully equip . mine , kettle work . another , hairdryer . several other either towel miss altogether one handtowel bathtowel , another shower work . lucky , two part hotel room prove nice quiet . colleague arrive later part hotel , one get decent night 's sleep . either due noise rain flat roof outside ( noisy apparently ) least one case due sound four generator outside window . say would not bad either , keep go woke . well , fact room hot stuffy . mine fan - tell ? room England fan November without ask one obvious problem . room tiny - less expect , also shabby . mine wallpaper start peel away wall dire need deep clean . one corner actually dust bunny skirt board , go bathroom still empty toiletry bottle rack bath . metal bath fitting rust stained bath , tap look ever shiny , mould grout sealant around bath . seal wall tile floor crack floor look dire need scrub around edge corner . one group evening meal hotel . far concerned fine . calf liver bacon red wine jus , follow ice cream . calf liver fine , probably little well cooked like liver pink not , nice tender . mash potato pipe hot green bean fine . thing spoil red wine jus not appear ever see grape highly salt . however enjoy liver . ice cream disappointment . 3 scoop terribly good ice cream chocolate , strawberry vanilla , sticky red sauce ( description give not like sticky red sauce ) obviously prepare put bowl long time put freezer , bowl . time ago stay Bewleys Hotel Leeds hesitation recommend hotel everybody . ice cream good quality , selection wonderful flavour , come brandy snap basket decorate fresh strawberry . contrast ! especially stay hotel leed much less expensive . overall meal Thistle certainly well , probably bad , could got Little Chef motorway service . my colleague horrendous experience little sleep leave conference early could face arrive home 9.00 p.m. get early train . this experience , experience Thistle hotel we past year , terrible instruction , whatever happen , book anyone thistle ever again . apology wonderful staff hotel . 
 4 * decent hotel 	 stay barbican 1 night meeting friend London . hotel quite big seem build business customer majority room twin . hotel spa two bar situate less 10 min walk Angel Station / Islington find lot shop , bar restaurant . river close although ' walk way ( see ' Gherkin Tower ' London Eye hotel ) . ' less 10 min walk either Angel Station Barbican . council building surround area ' make walk scary terrifying . certainly ' need take taxi , main road 2 min walk away ! fortunate enough upgrade premier room main building fab . gather main building date , friend stay annex quite ' outdated ' ' tired ' clean . breakfast nice , choice nice fry ( good quality sausage ! ) , different cereal croissant , roll bread . incredibly busy Sunday morning hotel fully book waiter seem bit overwhelmed go grab coffee instead waiting serve . overall nice hotel although maybe 4 * . would go back rate right . 
 friendly staff fantastic value 	 reading review doubious visit . book day 's leisure facility use beauty treatment two girlfriend fantstic time . special offer use facility free ( go thistle hotel website ) give deal beauty treatment group . treatment fantstic , staff could not welcome facility great - clean , perfect working order . change room lovely warm , clean . would highly reccomend . 
 Sep 23 2008 	 Somewhere near Watford 	 book late room . previous visit stay Thistle Kensigton fine available time . this hotel fair distance Barbican - much imply web site & amp ; quite way tube station . on arrival like timeshare sale pitch - try sell upgrade , discount pay breakfast ..... twin room get small & amp ; date - pbviously need refurb . the save grace gym great & amp ; allow think run away place - unfortunately treadmill not get anywhere . my one effort call reception take 15 minute three call phoine answer . 
 Sep 17 2008 	 bad bad bad .... 	 really bad business hotel . boiling , small room terrible service . order breakfast room cancel 45 ( ! ! ) minute still not arrive ! really bad value money . 
 Sep 16 2008 	 Good experience 	 book lastminute.com . sometimes special deal hotel , be cheap usual not find actual name book . I pay £ 60 double room Saturday night four star hotel central London- thought could not really go wrong . find Thistle barbican hotel , look Tripadvisor really worry terrible review . now , not know low expectation and/or not pay much room think hotel ideal want . the room good size comfortable ( even decor bit tatty place ) , bathroom spotless public area also clean . staff friendly . I stay many London hotel , well awful lot bad . would happily recommend Thistle barbican people affordable central base . 
 Sep 10 2008 	 even name wrong ... 	 hotel get wrong foot start . it call Thistle Barbican , would suggest within shadow barbican complex edge city ... truth barely see barbican tower place claim ' St Pauls 10 minute away ... ' ? ? ? ? phone perhaps ... anyway , would finally arrive back 1989 real nightmare begin . will concede check smooth within minute walk room ( rack rate £ 199 + vat . ) arrive room , assume mix would actually use keycard access wardrobe ... , indeed room , two single bed prove point ... sadly point have book double . on attempt change room , reasonable request , tell hotel full ... have check 9 pm see ... silly I . on realise cell night , decide make well . not demolition squad available , make well really involved get sleep ... would seem hateful establishment could not even allow small concession . Aircon obviously not invent hotel decorate , instead nasty ceiling fan offer make discernable difference ambient air temperature , also whirr loudly make useless .... not count remind bad 1980 's be . the bathroom look like escape set rise Damp shower curtain resemble Turin Shroud , least experience consistent ... sleepless night end 6 am nextdoor room turn tv ... yes wall thin .... glad shower beat hasty retreat . I really could not recommend less ... fact , be offerre cardboard box flyover alternative , take ... 
 Aug 28 2008 	 room disgsuting 	 room horrible clean . bathroom smell vomit not guarantee hot shower every day . go city day need place sleep okay price reasonable London . Islington 10 minute walk nice highstreet . will try another hotel next time . 
 Aug 24 2008 	 awful not even stay night 	 read previous bad review hotel worry staying photo room look good 4 star hotel confident hotel would ok . book 1 night double room due confusion travel company , book twin room . room small room ever see air conditioning & amp ; noisy due large number group stay hotel . sort room would want stay husband weekend break . I ask move another room offer pay upgrade hotel fully book choice check & amp ; go home would got sleep sleep oven listen group people come back room . we complain manager really interested problem room type travel company , take . however , advise room check telephone advise double room available could come hotel . hear people complain room decide come back want disappointed . 
 Aug 18 2008 	 small room ever endure 	 could believe size room check - stretch arm could nearly touch wall ! see attach picture get idea small be talk , note tiny single bed . no air - conditioning ( even though room guide refer one ) room like sauna night ( mid - August ) , even window open . compressor outside really loud early morning leave window open disaster . 3 night stay yet get full night sleep . I would pay £ 20 / night place let alone £ 120 / night company swindle . plus side , staff polite gym adequate . overall , avoid . 
 Aug 18 2008 	 HOTEL WORTH ! 	 stop hotel 9th August group 14 disgusted service start . arrive find room be not ready eventually give 2 room get change disgusted state room - hole wall , wallpaper peeling , dirty carpet bed linen bathroom also disgusting . complain tell would able change room , manager even confirm room disgusting ! also try get food bar tell ' we be busy , will wait long time do not bother ! ' whole experience awful spend £ 150 room one night would well travelodge service lot well ! would recommend hotel anyone , numerous complaint party whilst already write letter complaint manage office . someone stay London lot never ever go back hotel would definately recommend . 
 Aug 9 2008 	 get good deal 's fine 	 Ignore awful / excellent review hotel simply look price ' ve pay quote . wander street pay £ 180 rack rate 's simply dreadful hotel . , like , be work pay around £ 50 night week 's great deal . sure , not particulary luxurious hotel . place ' ve stay London £ 50 £ 65 braket week truly dreadful compare this . you need second mortgage buy drink hotel bar , be London - go find nice pub instead . my room clean , flat screen tv Sky One , Sky Sports , E4 etc , bed pretty comfy , noise street quite quiet London be around 5 min walk tube . walk Leciester Sq area take around 40 min . I presume bad review people pay odd . pay £ 80 mid - week hotel , look elsewhere . otherwise , be pretty good deal . 
 Aug 6 2008 	 dreadful customer service let 	 large group we stay hotel last weekend hen weekend . admittedly large group average 20 throughout two night stay , however hotel least bit organise , despite one party contact well advance advise confirm itinerary day Saturday . as part hen package organise book agent pay mini spa treatment last half hour . week tell treatment could take place spa instead would use two room book . treatment schedule properly one bit paper scribble lose . leave two party talk individual re - schedule treatment . lot confusion girl end treatment move several time . furthermore , everyone ask suffer illness allergy , everyone ask sign disclaimer form . for we hope enjoy spa facilities jacuzzi & quot ; close maintenance & quot ; despite no - one maintain throughout day . as say large party however staff spa apologise unconcerned time downright rude . one girl go use hairdryer spa Saturday evening hairdryer room particularly powerful challenge member spa staff accuse stay hotel . tell stay question rudeness counter & quot ; much fault & quot ; tell stay start shout she . at breakfast Sunday morning clearly enough staff duty despite reserve table party fully set enough people . ask girl clearing table could bring 3 setting table reply & quot ; , be sit bar ' m work bar & quot ; walk off . all say , complain manager apologetic offer we free sandwich lunch . room comfortable enough generally hotel ok . however pay lot money ( ) hotel advise plenty time number guest etc . fully prepared . even thing go wrong , expect time time , excuse rudeness bad manner . would stay doubt girl party would either , least hen reduce tear spa debacle . 
 Jul 26 2008 	 awful frequent establishment ! 	 stay hotel business London . hotel first choice however allocate stay due hotel area full . I arrive hotel well midnight upon check receptionist tell have upgrade room . pleased tell room 6th floor , take good sign . unfortunately get lift appal state corridor , decor mid ' 70 council office . however late tired make way room , door open small stuffy twin room extremely basic barrenly furnish . dread think room like have upgrade from . there air conditioning room ( so - call 4 star London hotel air conditioning beyond ) . late would immediatly request move . to compensate order room service - simple sandwich - 10 minute placing order get call tell run ingredient request change order salmon sandwich . 20 minute late plate bring door sit sandwich would embarrassed give dog , artfully dress crisp look like have see well day . the follow day , fitful night 's sleep , walk 6th floor reception appear floor look bit well decorate maybe draw short straw . however , would think hotel would accommodate solo businesswomen traveller comfortable room one not double lock door order feel safe . please not stay , unless super - tight budget not mind sleep oven . 
 Jul 22 2008 	 well expect ! 	 read previous review regard hotel less happy staying . book weekend break Superbreaks fly Ryanair Stansted . travel arrangement go well arrive hotel 10 am advise room not ready , not expect . leave case Concierge go walk . return 11.30 informed room ready . bonus thought would wait 2 pm . reception staff friendly helpful , concierge . room second building yes , room quite small , clean , bathroom fresh towel daily soft large . bed comfortable lovely clean cotton white sheet duvet cover . free standing fan good , efficient keep room pleasant temperature . our objective see much London time , spend long time room not option . breakfast good plenty choose .... eat 0800 morning , food replenish regularly hot . hotel day return shower change dinner . eat Fish Central restaurant across road hotel enjoyable experience ... good food , reasonably price wine service efficient friendly . place close Sunday would advise booking table popular eating place . pretentious not table cloth , food good ! eat hotel Sunday night quite impressed chose . rate 3 star superbreak average 3 star establishment , especially price pay London hotel ! use pool go see appear clean reasonable size . staff also helpful time would use . area around hotel quite ghetto area expect walk everywhere stay feel threatened . not venture away night , perhaps dark late hour different story , comment . pleasantly surprised hotel would offer opinion expect inner London 5 star delux hotel , go else . pay , along cleanliness , friendliness helpfulness staff , fault would recommend averse walk . bar price quite high service charge add drink bill , London drink bar compulsory ! quite impressed hotel , especially adverse comment write previous guest . room could update , clean sufficient need . 
