excellent 	 stay hotel solo traveller , visit various friend London , location hotel excellent , right next door warren street station , & amp ; within 5 min walk Euston & amp ; Euston Square . unfortunately warren street closed maintenance weekend , Euston square 2 min walk . first impression think hotel reasonable value money . night single room small & amp ; perfectly adequate Freezing ! turn thermostat room , work , huge window blind cold draught could feel . cold could sleep properly , morning report reception seem fluster people come & amp ; go . go breakfast & amp ; wait 20min get table , lady seating say 's busy morning , realise many guest come breakfast . breakfast lovely great & amp ; prompt tea & amp ; toast . presume heating fix due card room night say problem report sort , night freezing , get kitte jumper & amp ; legging well pj thing warmer & amp ; well night sleep . also note room ask go breakfast later busy , 9 - 10am . the hotel clean & amp ; staff friendly enough , expect well service 4 star hotel . admit not complain cold room breakfast queue , get , find disappointing ' ve stay hostel , tent etc & amp ; pay well hotel treat , not help rain hard 2nd night , street flood & amp ; soooo cold , make hotel room noticable . location wise hotel fault , would stay cheap , & amp ; thermal course ! 
 Jul 20 2008 	 absolutely terrible 	 hotel business people need medium long term stay need . primary issue hotel list follow : General Room . small , cramp . lack open space layout material . room average 150 square foot include bathroom less 20 square foot . bathroom . Aforesaid bathroom less 20 SF include tub / shower , vanity basin toilet . shower screen . glass divider provide tub bathroom door open , leave option get shower straddle toilet both . towel rail provide toilet bowl ( hygienic ) .No bathroom amenity provide . ' shower " soap tap " need wash hair , need either bring supply shop Tesco next door . servicenon existent . general lack basic english language skill exhibit back room dining staff . repeat one ' self multiple time one ' native language get tedious . staff could understand conversation , find rude one instance staff member walk away without resolve issue . additionally , arrive tell room available , even though book month advance reservation detail . wait 60 minute . ' bad , ask could make international call wife ( probable cost 5 pound ) , tell could – even though going spend 1,000 pound accommodation . obviously want build repeat customer ! Prices145 pound ( average ) . kid . know London , find well quality , well service , etc hotel middle major american US city amount $ 300 per night . average dinner set back 25 pound without grog breakfast flat 17 pound buffet style creation cold egg , undercooked bacon , small serve cold coffee . bright point orange juice taste like orange juice . well local cafe 4.95.technologyrepeated problem phone line , inability place international call use call card . tv ( 13 " tube tv believe ! ) come time tell whether message . disconcert lie bed try get sleep sudden get wake glare screen foot bed . 
 Jul 15 2008 	 Nice hotel 	 book hotel lastminute.com ask non smoking room . arrive check time thinking would avoid queue . get reception tell smoking room available - tell book non smoking want non smoking . clerk friendly say could wait one become available want upgrade room could pay £ 20 . say would wait . after wait half hour , clerk eventually call say room ready . tell could still upgrade £ 20 ! ! ! little tetchy point say wait half hour room become available already pay room would pay upgrade ! ! ! ( apologise tell bit stress ! ! LOL ) nice young man decide upgrade free ! ! eventually get room amazing ! ! ! spacious , huge king size bed , sofa table . bathroom huge , bath ( shower bath ) walk shower enough space two ! ! - lovely hotel - little disappointed check . 
 Jul 14 2008 	 nice room ask room change 	 book hotel lastminute.com top secret hotel advertise bargain . arrive hotel 2 pm , time indicate book taking room , tell room not ready come back hour . ask discount say find room . allocate room front hotel , noisy , locate Tottenham Court Road . ask room change allocate another room back hotel . room small quiet , clean adequate stay . big difference room front hotel back hotel regard noise . perhaps different price band these . overall nice hotel , would not choose one room front hotel . way get lucky quieter room available . 
 Jul 8 2008 	 Average ! ! 	 reception look date dirty . lady check could even spell customer service let alone provide . feel like incarcerate cell organise . actually prison cell large room stay in . lift slow , rehearse entire night dance move lift arrive take away shake thing . suggest take stair . room small , much clean well decorate ... old TV 's can not keep window open . breakfast highlight . nice food great room . juice glass big shooter glass , would fill two glass trip OJ.Do not stay unless really . 
 Jul 1 2008 	 Decent Weekend Decent Hotel 	 hotel recommend colleague ( usually stay cheap Premier Inns / Lodges - give we extra resource require see alot London ! ) decide spend little bit extra little bit extra . I must say , however , future , stick know . fault overall stay ( except minor problem get ! ) £ 200 night , expect much more . the location fantastic , 5 minute walk Euston , right next tube station , quiet enough get decent night 's sleep . ' m naive enough expect room view Central London ( seem problem anticipate hotel - window cover back building face window could see ) , disappoint size room - king size bed fantastic , seat area amount table chair , much else basic throw in . check bit nightmare aswell - absolutely heaving arrive , layout reception little confusing , especially surround foreign voice suitcase . accept type card partner , pay full amount upfront , something warn upon booking . also worth say staff reception general rather rude unnecessarily pretencious . I also quite disappointed , Sunday morning , phone ask extra tea coffee supply , replenish . something small , four star hotel , second nature . I must admit quite critical - ' m duty manager small hotel Wales - compare service , £ 80 night , ( £ 150 plus ) be quite astonishing , although lovely weekend away , will not quick part money return ! 
 Jun 30 2008 	 attractive efficient well - locate 	 apprehension learn Hotwire have stay Grafton , give early review . stay quite pleasant , start upgrade single twin , recognize attractive well design room . Grafton share common practive soak customer buffet breakfast , also offer bagel sandwich deliver door GBP 4.00 , reasonable price give convenience . location excellent -- essentially atop Warren Street tube . place solid performer ... 
 Jun 29 2008 	 sick second time stay Grafton 	 sick day stay Grafton August 2007 , put bug . but vomitte 12 hour stay Grafton March 2008 , start wonder hotel . couple week return home undercover documentary UK tv expose cleaning practice Radisson Edwardian chain hotel London . show chambermaid use cloth clean toilet , sink , cup drink glass . 
 Jun 25 2008 	 good location average hotel 	 stay 13 girlfriend hen weekend one night mixed experience . plus point - great location - right next warren st station , minute taxi/ bus Oxford st , picadilly circus , theatre district 20 minute walk . breakfast good plentiful . bed comfy , room nicely furnish well equip ( tea / coffee , iron board etc ... ) Minus point - whilst room fine ( small admittedly clean ) , one friend find cockroach , another moved shower head fall whilst cover green gunk , another moved room stank cigarette another be not able check 3 hour later ! good track record really . would possibly stay need somewhere stay 1 night special occassion would not really recommend . 
 Jun 20 2008 	 HOT HANDLE 	 Location excellent , top Tottenham Court Road , far Euston Station . however , hot day ( 27c ) air conditioning break totally impractical open bedroom window room overlook busy road 24 hour traffic lorry unload supermarket opposite , 2.00 morning ! hotel provide cool air fan aircon broken . room one small ever stay . 
 Jun 3 2008 	 Mixed experience 	 arrive find room ready , state time . give free coffee bar . bar one impressive room hotel . find relax daylight lighting great . eventually 1 hour late ( due computer ) give room . single room , good size . everything could want , big bed , trouser press , fridge , table etc etc . problem ... clean furniture see well day . bedroom furniture dark wood , chip badly could see white chipboard . look horrible . complain cleanliness room bathroom , immediately show another room . room , red marker pen wall . obvious child draw wall . bathroom still dirty . go back original room go fault . hotel promise would put right . go meeting return , white show chip furniture tone brown marker pen . actually use feel tip paint furniture . bathroom also clean . apart , hotel lack little touch . toiletry , bottle shower gel , attach case wall could steal . scrimp save , evident room condition , really evident bathroom . good point hotel ? next door Warren St Tube . include breakfast , one good London . rare find traditional english breakfast serve day . staff helpful .... extent . public room relax . hotel need upgrade good clean . since Radisson take edwardian chain , little money spend Hotels . upon time , Edwardian Hotels little something extra , term ambience . today scrimp saving show , detriment Hotels . 
