Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 may 17 2008 	 Great Value Manhattan 	 stay quite hotel Manhattan , pleasantly surprise Omni . little less expensive lot hotel area -- also whole lot nice ( anyone ever stay Marriott midtown ? Blech ! ) hard time believe anyone find staff rude . every single person , desk clerk concierge doorman , exceptionally nice hotel . not think waiter breakfast speak much english kind quiet , rude unpleasant , fine . ' m morning person anyways , even , not need someone lip butt early morning . ever , actually . fact , staff nice write positive review corporate affiliate get personal call Manager , really nice guy . additionally , whole hotel tastefully decorate , spotlessly clean . think recently renovate , everything room pretty much new ( bathroom especially new -- nice ) . three we various hotel room different floor . request high floor 15 face Madison ave ( think ) , somehow get significantly large room friend -- couch , desk , armchair kingsize bed , plenty room navigate around everything . actually need much space ( , going sit hotel room day like sloth ? not think ) , nice . friend 7 , room probably half size , yeah , little small , furniture decoration exactly quality , bathroom size , turn 180 . say construction start 8 am , not really bother . friend 10 , room also small , , quality , furniture , bathroom ( right fixture ) . we think room comfortable surprisingly nice . guess complaint would little dim ( overhead light ) . little hard put makeup bathroom , someone else mention . big deal . finally , great location . 10 - 15 minute walk Central Park , shopping , restaurant , etc . would definitely recommend stay business tourism ( honeymoon spot kid ) , would go back . be great location nice space without pay four season - level price . 
 May 6 2008 	 good business 	 husband stay Omni business , join part trip . say ' m use Four season , will try judge Omni base standard , Omni 4 - star . think great hotel business traveller . suite large . great location , perfect shopping ! 4 - star , hotel seem nice . glitch - a dirty glass , amenity replace housekeeping , etc . light dim difficult put makeup bathroom . thing , clean excellent location . 
 Apr 20 2008 	 great location 	 previously stay Sofitel Westin Times Square ( upgrade top floor room ) expect little disappointed Omni Berkshire pleasantly surprised . corner E52nd Madison ideally middle Times Square Central Park . room end corridor overlook Madison none build work noise other mention . room excellent size NYC standard ( full desk , settee easy chair footstool easily accommodate ) bathroom perfectly sufficient . overall hotel seem clean . turn service nice touch . negative comment : ( ) tv reception poor ( ii ) lighting - dull room table lamp illuminate even daylight could gloomy . corridor , , oddly light give feel place bit run , reality fine . however small gripe - £ 150 per night room size quality NYC brilliant value ( suspect could got cheap try bit hard ) . can not afford Sofitel want somewhere close , top , bright light highly recommend hotel . 
 Apr 18 2008 	 ok great 	 Omni ok hotel , really not understand wildly enthusiastic review . room tiny , period . person working desk get move way person get qround bed . bathroom tiny well - barely enough room one person 's toiletry sink . armoire - not closet - beat , tv 1980 vintage , hotel overall tiny bit shabby . addition , 's office building construction behind hotel be unlucky enough get room side prepare construction noise 7AM 5pm week 9am 4pm weekend . noise hallway intrusive , . like take nap afternoon - like - bad . front desk flat rude ask another room . food good hotel restaurant , be wildly expensive one guy wait we apparently operate another planet . take wife 's order , say , & quot ; will exactly be & quot ; , bring we two completely different meal . later hear complain co - worker mad becauase make work Sunday . concierge generally pleasant , appear overworked bit harry . bell staff definitely harry time non - existent . plus side , hotel perfect spot convenient touring shopping . overlook minor annoyance 's ok , great , place stay New york . 
 Apr 15 2008 	 great Stay Omni 	 stay Omni girl 's weekend . room plenty big , especially NYC standard , three people . staff friendly helpful . location great anyone look shop along Madison Ave 5th Ave . cab aplenty subway also nearby . walk Times Square Central Park . complaint hotel little noisy side . could hear people room next us people hall . little soundproofing would go long way . 
 Apr 6 2008 	 excelent choice 	 good location , nice large room bathroom , shower ! , comfortable bed charming personnel . drawback : bit noisy , window modern enough , good choice - limit breakfast buffet . ( fact would recomend try Isadoras restaurant front hotel breakfast ) overal hotel would recomend budget . 
 Apr 4 2008 	 Little Gem - Great Service Location 	 return 4 night stay Omni Berkshire . party 5 - 2 family . do research , want quiet , comfortable , well locate hotel exactly get , lot ... do research check many hotel review could ( include trip advisor ) , even trawl street google map get sense many hotel review . look : mid - town manhattan locationcomfortable , clean , well design roomsgood polite serviceWithin walk distance amenitiesquietnessin research , Omni Berkshire seem quality dissapointe . busy get . however , service really good . lovely atmosphere staff helpful friendly . worried atmosphere might stiff , absolutely lovely - helpful face . happy . upgrade large room view one amazing ( top floor suite ) . concierge great , particularily mary . look like find gem would happy return . hotel great single , family , group , business . 
 Apr 1 2008 	 good choice 	 hotel beautifully maintain staff helpful polite . bed comfortable , temperature control perfect . however , room exceptionally small . please also note long - term construction project go next door , jack hammer begin 7 . 
 Mar 28 2008 	 great business 	 stay hotel business trip perfect . staff friendly efficient , bed comfortable , toiletry nice , concierge give great restaurant recommendation . I not breakfast seem expensive , 's cafe directly across street delicious omlettes , bagel , etc . the location right centre midtown - near moma , shopping , central park - walk everywhere . make sure explore rest New York - have tempting stay area . 
 Mar 20 2008 	 Nice stay Omni 	 two daughter stay weekend 3/14/08 . enjoy location hotel comfortable bed . problem request high floor quiet room call twice tell staff birthday celebration . none request meet special consideration birthday . contact manager assure future occur . hotel full , probably St. Patricks day . staff little interaction we offer king room Jr. suite fold couch . good option three people . hotel lovely morning coffee service great . special request sure contact manager front desk . overall nice trip . 
 Mar 19 2008 	 always enjoy Stays Omni 	 ' ve stay Omni number time last 7 year always pleased . room nice , location great always find staff accomodate . 
 Mar 15 2008 	 Loved Omni 	 stay 05 girlfriend weekend theater trip . hotel nice comfortable . clean great location shopping , museum , theater . staff friendly . room spacious . bed plush cozy . store bag check not plan trip around hotel 's check time . 
 Mar 10 2008 	 Great Weekend Omni 	 go girl weekend love everything Omni . room 's ( 830 832 ) decent size 3 adult per room - large NYC standard . check great , arrive 1 pm room ready . sign omni membership prior travel result get 1 free hot beverage 1 free cold beverage deliver room morning . concierge staff bell hop could enough we helpful . bathroom nice amenity , plush robe tolietrie one expect decent 4 * hotel . light construction go office block right across street hotel not start 8 am , time . easy walk also many major attraction ( St Patricks Cathedral , Rockerfeller Center etc ) ........ talk shop . Duane Reed drug store 1 block buy water soft drink not get gouge minibar price . would stay trip NYC . 
 Mar 9 2008 	 good great 	 hotel nice luxury . room large bathroom nice good size . reason , maid spray something smell like Febreeze room smell really bother . would stay could not find another hotel like well price . 
