good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Jul 13 2009 	 great location ; Recommended get good price 	 stay day program Manhattan center . overall , find hotel relatively clean , bed 's make time service great . hotel staff go way get we room early 7 , hotel check 3PM . , hotel staff move we slightly large room accomodate roller bed friend staying night . New Yorker steal $ 160 / night location proximity NY tourist hot spot . good part free internet $ 9- $ 10 buck / day hotel . 
 Jul 9 2009 	 Great Hotel -- 	 stay one night- july 4 , good location -- 1 block subway -- friendly staff -- room small ( par NYC ) - clean . bed comfy . great deal price well . would recommend ! 
 Jul 9 2009 	 Amazing Renovations 	 service New Yorker almost outshine renovation do hotel . pleasantness trip begin person help we reservation phone continue throughout stay . wife graciously welcome front desk Mohammed , may nice man NYC . parking : park garage 35th street , 8th 9th Ave , receive discount rate stay New Yorker . room : compare hotel outside NYC , room tiny , amount time one stay room , room size n / a . room rest hotel renovate , room house new bed furniture . bathroom always fine . get room window ; look uptown nice breeze . location perfect . near MSG , theater , Chelsea 
 Jul 9 2009 	 great start great holiday 	 stay New Yorker 29th june - 3rd July 2009.it roughly 30 minute JFK airport situate heart main attraction ( pratically walk distance everything - depend prefer walk get taxi 's everywhere ) get taxi bell boy carry case reception desk , greet extremely helpful polite staff . we even get upgarde city view room , husband birthday . 24th floor amazing view window ( madison square garden one empire state building ) room particualry huge let fair , go NY spend day room . amenity need hotel room : comfortable bed , bathroom , hair dryer bathroom , tv , iron board + iron . also free wifi , come handy could send receive email keep huge roaming mobile phone bill down . each night come back room spend long day NYC , clean staff come re - make bed provide clean fresh towel . eat ticktock diner breakfast , say yummy good value money . check breeze , bell boy whistle we taxi take we back airport . overall amazing stay ny make even well fantastic hotel . 
 Jul 9 2009 	 Loved New Yorker Hotel 	 return week NY stay New Yorker hotel . room superb large 3 we . clean daily find nice room return busy tiring day . bed comfortable . staff always nice we anytime speak . loaction great . central shop attraction well public transport ie . subway bus . would problem recommend hotel definately return . 
 Jul 8 2009 	 brilliant time friendly staff back . 	 partner stay hotel four day time staff welcome , ok like other yes room little small , enjoy , view window good , price pay well worth , would highly recommend hotel friend , brilliant location right hart city , every thing could want , within walking distance , hotel get 9/10 . back stay , thank New Yorker Hotel , staff hotel thank . Marc Wilson Manchester England . 
 Jul 3 2009 	 fantastic location great onsite facility comfortable 	 book hotel online despite negative review pleased . entire booking process quick efficient . arrive late night greet well make fee comfortable staff . room shockingly tiny view except section hotel . say bed extremely comfortable room necessary amenity . bathroom show age despite effort upgrade room amenity limit . the location property FANTASTIC everything could possibly need within walking distance hotel - Macy 's , Cinema 's , Restaurants , Shops etc . onsite Diner excellent value offer wide menu choice . I would highly reccomend hotel anyone want see New York . 
 Jul 1 2009 	 say tin ... 	 stay room 2516 arrive SuperShuttle @ 3 pm ( check - out 12 pm , check - in 3 pm ) . swift check - in Mohammed front desk little brisque . package send friend not helpful could guide go / who talk get package keep point say ' stand ' solo traveller first time USA ? somewhat aggravating . perhaps due busy period check - in however . consider solo traveller room plenty large enough , air conditioning turn return day housekeeping , ice bucket ( ice machine landing lift room ) available , towel ( enviro - policy adopt will change leave floor , hang will not ) , linen change every third day unless otherwise indicate , flat screen television fit wall ( movie / recent television episode available purchase ) , iron & amp ; iron board closet ( along hanger shirt / trouser luggage stand ) , plenty drawer space , alarm clock , usual toiletry bathroom soft / main lighting . I think room start 20th floor go . never personally problem sound - room 34th street side ( oppose 8th avenue side McDonalds across road hotel open 24/7 ) .staff always pleasant housekeeping reception / concierge . everyone say hello even yo - yo - ing backwards forward hotel . check 12 pm able use restroom downstairs ( grab card concierge need access ) stay Foyer wait SuperShuttle back jfk.also try Tick Tock Diner last day - nothing spectacular fast service , quick hot food attentive staff . 
 Jun 30 2009 	 cockroache poor staff service tiny room = return 	 impressed lobby , that s impressed . room quite small , hardly room luggage sister stay whole week even small room ! fit bed desk that s ! literally room what - so - ever walk hold luggage ! bathroom door would not lock properly either room . two cockroach find room , definitly good sign cleanliness ! diner alright , food average , coffee taste water staff quite intimidate abrupt ! check time 11 am , fine , someone open door 6 am morning , good thing put dead bolt ! staff behind front desk stand small group talk eachother , along guest wait ! definitely return hotel ! 
 Jun 29 2009 	 view 	 soon walk room awe strike view Empire State Building . companion excite flash picture . yes room small New York . lobby elegant staff attentive . fact smoke alarm go warm mist shower staff member immediately check see ok.the location also great . Macy 's 2 block away fantastic diner call Skylight serve huge portion . 
 Jun 26 2009 	 Excellent hotel 	 agree everything positive post hotel - great location etc . refurbish nicely . come across negative - maybe people rather hotel ! yes room bit small come New York sit hotel room ! would definitely come back hotel future 
 Jun 25 2009 	 Nice stay New Yorker good size room 	 stay Bookexpo , room good size NYC . bed comfortably staff friendly . bathroom not place put toiletry desk outside bathroom door could go . good place stay , centrally locate . 
 Jun 25 2009 	 great location nice staff 	 spouse go honeymoon nyc.room small , everything else great . staff nice friendly , location great . empire state minute away , Times square also ... next trip ny stay NYR : ) 
 Jun 24 2009 	 nicely refurbish unprofessional front desk 	 + location+ room neatly refurbish good quality materials+ free wifi- unprofessional front desk ( service smile please ! ) - loud AC ( old ) - double bed small two peopleverdict : ok far great . 
 Jun 23 2009 	 Awesome 	 back last year book hotel mixec review room staff , start panic suppose dream trip girlfriend 21st birthday ...... turn dream trip ! ! staff helpful happy , upon check ask could refurbish room high floor , problem . Everytime want use safety deposit box staff happy help ! room small hey be one famous city 's world like London . love would definately book thsi hotel location amazing ! ! ! 
 Jun 23 2009 	 good base explore NYC 	 stay New Yorker Hotel 5 night begin June . travel mum joint birthday celebration specifically want twin room midtown hotel . book we refurbish double double room flight via Expedia get good deal . lot internet search look review make booking . previously visit New York stayed Roger Williams Hotel know would quite standard not want disappointed arrive ! disappoint New Yorker . room fairly small reviewer comment factor New York Hotels . double double room exactly picture website clean modernly decorate nice relax . bathroom could done update adequate decent size . bed comfortable room view Hudson River nice . room safes use safety deposit box valuable work ok . breakfast Tick Tock diner couple time nice hotel could eat get sight seeing etc . think hotel good base get around . get 3 day Grayline bus ticket - hop see sight tour guide ( cost $ 98 include Ellis Island & amp ; Statue Liberty either Empire State Building Top Rock - Empire State Building night fab , also inc $ 50 Chicago ticket use ) ten min walk near pick point . Macys shop 34th Street really nearby Madison Square Garden . go see couple show Broadway walk back Time Square hotel 15 - 20mins . nice lunch would recommend Tavern Green Central Park , $ 39 set three course lunch food atmosphere definitely worth money . would definitely stay New Yorker visit New York . 
