Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Nov 11 2004 	 Superb efficient friendly 	 5 night stay Essex House enjoy every minute . slight problem assign non - park view room , quick phone call reception ten minute later 3rd floor park view room want great view though tree central park ( bird eye view Marathon ! ) . staff always friendly , helpful efficient , problem check - out ( despite ask late check - out ) , towncar airport transfer book luggage storage late flight back Newark airport . the food excellent , albeit expensive . room service fast hot , freshly make delicious meal ( heartily recommend BLT , cheesecake , Ice Cream Sundae ! ) . Breakfast Cafe Botanica nice allow we watch poor New Yorkers go work Central Park South enjoy buffet breakfast , though get little loud Businness people weekday . cheaper food option include Rays Pizza ( cheap good pizza slice ) opposite rear entrance hotel La Parisienne Deli round corner 7th Avenue delicious american style breakfast quick evening meal typical American / New York style Deli / Diner street Carnegie Hall . Heartily recommend . 
 Nov 9 2004 	 nice price get ... 	 get great corporate rate town business . stay Hilton Sheraton previous 4 week - find rate . jump , well , 's Essex House . disappointed . nice room , wonderful bed find Westin property , nice staff though overwhelmingly friendly ( except gentleman elevator every day ) . yes , old like NY hotel . room view park unless really want pay . , get good rate , stay ? little bit treat we road warrior stay place like chain . I eat hotel ... hear 's good - expensive . be ny.i would stay need part town get corp rate . 
 Nov 2 2004 	 many well option ny 	 surprised read review list . travel NY frequently disappoint Hotel . yeah , 's Park room not face face Park closet size . actually change room 4 time ( never ) . hotel far expensive decent room . front desk clerk downright rude nasty . hotel lobby busy Grand Central Station . many New Yorkers use lobby cross 59th 58th street .. create chaotic , unwelcome atmosphere . hotel also nickel dim everything . $ 10 pp use fitness center , $ 10 wine glass bring room , huge phone internet fee , etc . only highlight restaurant lounge atmosphere . 's . 
 Oct 28 2004 	 Magnificent cozy . 	 lovely , centric , cozy luxurious hotel . be quite expensive worth . located right front Central Park . restaurant superb . room top top . sheet ... well ... delicious . one good hotel ' ve ever stay . 
 Oct 25 2004 	 Awesome location reasonable price comfortable bed 	 Essex House awesome location right Central Park . room basic room park view . room not huge sufficient . room great view park directly across street . heavenly bed good bed ' ve ever sleep . think bed home good heavenly bed well . shower nice double shower head system work great . staff always friendly helpful . couple minor side room . paint shower peel wall paper bathroom . also , first night , hole one sheet . Essex House overall great would definitely stay . 
 Oct 5 2004 	 Favorite Hotel NYC ! 	 husband stay St. Regis Club Essex house 4 night last week wonderful time . upgrade wonderfully appoint suite Starwood Gold Preferred membership . bed comfortable want take home , well shower . however , staff absolutely superd . housekeeper Daisy gem , make sure suite perfect . real asset hotel . Nina , concierge absolutely unrelenting pursuit get we reservation Elaines Babbo , succeed ! also make wonderful recommendation restaurant . wish concierge 's diligent kind . sum , great trip , hotel stay future New York City trip . 
 Sep 17 2004 	 Best Visit ever 	 stay St. Regis Club part Essex House . want minimum 350 sq ft room , pricy NYC . $ 449 / nite ; 9/10/04- 9/12/04 . upgrade Astor Suite ; Park View , 600+sq ft . Unbelievable ! feel like Humphrey Bogart go walk carry maltese Falcon . perfect condition , beautifully decorate muted color ; actual apartment dining room table one end living Room . quiet yet across Central Park many free activity . pleasant change Times Sq . usually stay . 
 Sep 14 2004 	 Loved Essex House . 	 stay Westin Essex House Labor Day weekend ( 9/3 - 9/6 ) 5 year old daughter . truly wonderful experience . park view fantastic . would definetely recommend get one . 11th floor obtain good rate Starwood website & quot ; Buy 2 night get one Night Free & quot ; promotion . well worth every penny . nice size room , well decorate clean . staff , conceirge nice helpful . daugher love central park , , location perfect we . everything else make great use subway station locate 57th 7th . see Beauty Beast one night , Circle Line another night , carriage ride around park . also street Columbus Circle / Time Warner building . lot store check , especially Whole Foods Market . mainly eat , can not comment room service hotel restaurant . bed truly heavenly , shower . plan return stay Essex around winter holiday . 
 Sep 9 2004 	 great 	 great ! like location , make everything easy walk . quiet . use South entrance avoid smell horse dropping . 
 Aug 26 2004 	 enjoy Essex House 	 husband 2 teenage boy stay Essex House July 31 - Aug 3 2004 . SPG member upgrade St Regis level ( high floor hotel ) . room magnificent - suite great view Central Park . downside 1 bed ( couch not pull ) . call rollaways , crowded room . front desk promise take care next day would please leave bag pack . well , like episode & quot ; & quot ; move we even large suite Westin level ( still park view ) sight seeing . room clean large . staff professional helpful , especially doormen / bellhop . not feel get good service concierge , however . ask family - friendly restaurant area . respond yes ( long pause ) . ask might , ! not think need play 20 question . location can not beat . right across street Central Park , close enough Times Square theater walk - nearly crowd noisy . easy pick double decker bus tour across street , well . 
 Aug 25 2004 	 great hotel ! love ! 	 girlfriend stay Essex House late July go NYC wedding . pick hotel location ( fabulous ) reputation . disappointed . whole stay great , Heavenly Bed room various hotel service acesse . upgrade room view Park , would highly recommend . concierge desk helpful arrange limo service us function attend , price reasonable big city standard . bar restaurant hotel first rate many great place dine within five minute walk hotel . could go , let conclude say completely pleased next visit New York definitely stay Essex House . 
 Aug 25 2004 	 Charming reasonably price ! 	 husband return trip New York enjoy everything lovely Art Deco Essex House . room clean , bed comfortable , staff friendly excellent view Central Park ! location perfect walk around mid town close good shopping New York . would definitely stay , consider New York staple . 
