nice 	 hotel nice spend much time , chop room , double bed barely fit room , standard not bath small shower , bathroom tiny , unless pay suite , would not u would stay 4 star hotel , u will not wireless room , iron board , aircon ( hotel hot ) buy eye drop nose bleed hot night . rest hotel nice would recommend stay room awful try make much money possible we make room small get u get nothing , u even pay use hotel pool ! ? . 
 Excellent Location Noisy though . 	 Partner Stayed hotel 24th November 1 night see Lion King . arrive early get hotel go midday hotel staff could still check we although read normal check not 2.30pm . bonus ! Conceirge happy hold bag not possible though do not keep we . room 1st floor front hotel bit quieter other still noisy enough partner find hard get sleep . bed uncomfortable also do not help . extremely hard ! bathroom tiny ! excellent location tube 2 minute walk road Oxford street next street , perfect Christmas shopping explore London . would stay location 1 night ! 
 definitely will not go back 	 stay hotel 2 night , never go back . price cheap , read review still try b / c think London 's hotel like , small expensive . goodness , sleep one night , leg red dot , see nanny work hotel , therefore room clean . not feel comfortable hotel even though location great . receptionist lobby trainee , think tired job , can not hear say , talk nose . look sleepy . busy hotel , check , elevator working , end need walk ground floor , outdated hotel . walk distance British Museum . 
 Excellent - go suite include fab breakfast . great location comfortable room 	 thoroughly enjoy stay , seasoned traveller know like . excellent location theatre , good restaurant Oxford Street . good transport link , bus straight Victoria , Tottenham Court Road tube round corner . British Museum round corner . staff friendly helpful . choose top range suite excellent include luxury breakfast real term pay £ 149 ( £ 169 minus 2 x £ 10 breakfast ) air condition 7th floor noise . worth every penny . hotel full busy everyone keep smile ( except barmaid 11.00 night obviously long day ! ) concierge desk excellent help use London . plan make base next trip . 
 Feb 24 2008 	 never ... 	 book hotel meeting prior knowledge expect . due flight delay book early hour morning . phone ahead twice warn late arrival however knowledge arrive . book quickly however arrive room tiny , cold stank stale smoke . phone reception ask move inform room arrive late accomodate elsewhere . even 2 am noise outside terrible . group young people shout screaming carry 4 am , sirens general noise street make impossible sleep well . room cold sleep fully clothe towel spare sheet top bed cover . as meeting follow morning 10 go breakfast 08.30 . Queue ' be not bad arrive 10 minute wait table however dine room reminiscent school dinner hall , total chaos . Breakfast consist tin fruit lukewarm , poor quality item . leave queue long , approx 50 - 60 people go early can . a colleague also hotel misfortune use underground car park . access hotel several flight stair easy suitcase . stairwell also serve gather place group teenager refuse move generally intimidate , safe place lone female traveller all . even 1 night would seriously recommend go elsewhere . 
 Feb 23 2008 	 give miss ! 	 price 's alright . far location go - fab - 's place really go . ' m sure centrally locate hotel nice ! room small cramp , enough room bathroom step , poor lighting shower tap sink room mind take minute jiggling turn ! lifts room temperamental , one occassion 1/4 working . staff helpful disintereste . unable get snack bar , seem proper meal . good bit though breakfast . never see queue breakfast anywhere , ever ! around 50 - 60 people wait front we good 20 minute later see dining area 's like school canteen ! 's much individual table bench really , queue hot food consist bacon , sausage , scrambled egg , bean hash brown - toast even ! effort be really worth ! stay location - eat ! ! stay 1 night bad , stay city long would disappoint . 
 Feb 22 2008 	 convenient practical 	 St Giles Hotel convenient theatre land , sight , tube Tottenham Court Road . stay two night find hotel perfectly acceptable . read review site expect small room , fine space move around . bathroom spacious good shower . room & amp ; bathroom clean well present . window open 4 inch ( safety reason presume 7th floor ) , good view Tottenham Court Road could make Big Ben London Eye like . road noisy centre London ! stangely room quite dark lamp either side bed ' dress table ' area ; central light . check quick checkout quick ! queue lifts peak time , use stair not want wait . we not eat breakfast hotel many nice coffee shop / cafe area try ! one morning cake coffee Covent Garden lovely . an add bonus Gym / Swimming Pool . hotel own YMCA . hotel guest use facility small fee - swam morning - refreshing way start day ! not like recommend thing people different idea good / suitable . say would stay . want good value money . 
 Feb 21 2008 	 Noisy small room temperature control hotelle mass scale 	 send business trip , idea expect . positive : - location - right junction Tottenham Court Rd & amp ; Oxford St - great- view - include Houses Parliament London Eye . be pretty good view . negative : - room small - bit like student hall residence ' ve ever one them- everything room pretty basic worn- Noisy - everyone walk along corridor hear clearly , room cheek - by - jowl- temperature - room neither air conditioning heating control , result much hot night- breakfast - reviewer note , chaos . school canteen good analogy . crazy madness , particularly be prime . avoid pay that.- Lifts - action , big hotel . load floor , load room = long wait full lift . mostly , one not London mooch hotel , location great . right price ( ear plugs appropriate clothing ) could alright . could not recommend though . 
 Feb 20 2008 	 Bad Choice 	 book hotel weekend get away boyfriend , disgust service state hotel ! ! fool thinking would nice hotel marble reception area , let trick ! stand que 15 minute , enter room find hard move 2 us 2 suitcase much ! take shower find shower head break along toilet seat ! ! complain tell fix return night ... be not , complain get upgrade ( apparently ) room suppoese supierior previous small stunk smoke complain move another average size room , staff rude interested helping . good point would say good selection breakfast location good ! ! * * would reccomend hotel anyone ! ! ! * * 
 Feb 18 2008 	 great location 	 location make hotel unique choice want within walk distance downtown London . book hotel website & quot ; deluxe double & quot ; room mean double room additional seating area , fact extra room desk , small wardrobe , couch space leave luggage . highly recommend book type room , price ( ~20 pound ) well worth upgrade . room clean airy , although lobby corridor , especially downstairs , unpleasant smell . four lift adequate busy hour hotel 700 room . never breakfast , plenty excellent choice around , Sainsbury 's opposite Pret Manger Soho 's Fernandez & amp ; Wells thousand other . within 5 minute practically anywhere central London . 
 Feb 18 2008 	 hate 	 start ? sister & amp ; send away relaxing weekend & amp ; hotel hell earth . tell could check 2 pm , yet get rude man reception say could not check yet & amp ; not know would able , send away ! wish would never able check ever , go downhill . return 8:30pm & amp ; allow room . filthy . thick mould along shower grouting , extractor long work dust within thick . goodness know splatter bedroom wall , dead bug squashed leave . window tiny & amp ; room therefore stuffy noise night terrible . follow morning go breakfast 9 am . queue long , never see anything like ! 40 - 50 people front we & amp ; get dining area huge disappointment . chaos good way describe . like school canteen design & amp ; staff seem dash everywhere try keep everything . drink machine , fresh juice tea / coffee . also squash mug glass leave . fruit tin toast cereal . could go hour , leave review get angry . 
 Feb 15 2008 	 absolutely fine ! ! 	 Booked hotel superbreak combine theatre trip . check trip advisor booking hotel wonder make mistake review good . arrive hotel close amenity entrance nice . wait check , obviously manage hit busy time day maybe could do staff . room clean , reasonable size window . breakfast clean plenty , queue table go quickly . overall pleased visit would gladly stay long , would definitely consider booking visit London . 
 Feb 15 2008 	 avoid hotel 	 book hotel two night stay celebrate husband birthday . book airmile . the hotel cheap budget hotel excellent location . lucky check two reception staff wait 5 minute . queue form we long . we give room 11th floor- read review , think would less noisy . room small- bed 4ft- double . bathroom small clean well equipped . safety deposit box room . I two main issue hotel . the breakfast include price awful . queue get queue get breakfast . like revolt canteen . table dirty chaos . never prison- think would expect . toast / pastry / cake / fresh fruit . soggy croisant / frozen stale roll . bacon cover disgusting white deposit egg see well day . bad thing queues- 15minute get food . then good hunt table could not face next day . the second issue build work staff 's attitude . if work need do that s fair enough customer need house away warnd- none . we do not go spend much time hotel- well . return one hour change dress early night greet dreadful noise building directly room . human could stand noise . Reception take 5 minute answer say could move rooms- helpful mission get ready go ! ! know building work could stayed elsewhere way anyone put rooms- sheer exploitation . agree refund money speak airmile advise experience . the size room problem location great customer service breakfast awful - the bad ever encounter . plenty similarly price hotel nearby . 
 Feb 10 2008 	 weekend break 	 stay one night triple room st gile . great room , fab location , good value money . can not fault room - free safe , hair dryer , tea / coffee facility , hot water adequate shower room . breakfast ( go 10.30am ) good , get table easily good choice food . lazy dog bar adjoin hotel lively great finish good day sightseeing visit theatre . would stay ? absolutely ! 
