Excellent 	 much research choose stay K & amp ; K London business sightseeing disappoint . location roughly 150 yard Earl 's Court tube station . rely heavily mass transportation trip . ExCel convention center bit trip take little hour reach South Kensington area much nice area around ExCel . also use train system number trip meet client . connection Victoria several station easy Earl 's Court tube station . it quiet . hotel block main drag . addition , get room overlooks courtyard . minimal noise city within hotel . the room small ( typical Europe ) well design . internet free ( although wifi room may need connect via cable ) .The bed comfortable bed new . the bath well design plenty light . the staff attentive . case early package arrive schedule . deal concern professionally notify we promptly arrive . learn also schedule stay sister hotel Paris phone ahead , confirm reservation ensure well care . class act ! really enjoy hotel location . wide range restaurant foot hotel . use restaurant hotel look clean active morning . I stay Hotel George . 
 Mar 28 2006 	 ok .... 4star 	 stay K & amp ; K hotel Vienna Prague would suggest George compare ! hotel rate . room get crap 10 degree slant one side room other . on one night stay area without electricity hotel standby power ... ... close bar , pen paper work ! way make room safely . the hotel good location clean tidy . breakfast good standard . reception staff could look enjoy job . request feather bed ... not do ! report safe work arrival four day later still joy ! next time ' m head back Regency Hotel ... well value money ! 
 Mar 25 2006 	 nice location clean room 	 stay 4 night hotel . hotel 1 min . walk tube station ( Earl 's court ) . , easy access Heathrow airport central London . the room clean , peace quiet . reception staff friendly helpful . though breakfast buffet ( include room charge case ) ordinary serve staff ' enough skill , room breakfast garden view really lovely see squirrel . generally , hotel worth stay return hotel . 
 Mar 21 2006 	 excellent stay -- great location 	 wife 21 - year old daughter stay seven night ( 3/12 - 3/19 ) excellent experience . book executive king ( king bed , comfortable large pull - out daughter ) roomy enough London standard . king bed fine , though like many ridge middle . modern furnishing throughout hotel , include plasma tv room . interestingly , hotel seem cater german patron many german tv station , german newspaper , etc . staff polite helpful warm . three computer available guest constant use , especially youth -- perhaps set one two aside adult . good breakfast buffet put morning long time , well stock replenish . supper one night people dining room , treat well . location would hard beat -- one block Earl 's Court Tube stop , three line run , hotel still quiet street . would definitely consider stay opportunbity arise . 
 Mar 16 2006 	 nice place reasonable price 	 stay base previous good report site not disappointed . room good size although bathroom tiny . modern decor , well appoint clean ( apart red wine stain carpet ) . floor heat nice touch bathroom ! staff pleasant efficient . check - in trouble free . breakfast buffet well stock get £ 4 voucher check - in first morning . location good - close underground several local restaurant bar . 
 Mar 13 2006 	 good ' ve stay London 	 think may room previous reviewer ? ! ( Room 123 ) . bit drafty , however night not bother change . find curtain heavy enough block light ( maybe wine dinner ! ) everything place 's place , well think . staff friendly , breakfast super , everywhere clean stylish . stay London many time undoubtedly good value stay , though read review sure ask garden view room next time . add bonus us parking site Reception kindly allow we stay check extra charge go theatre matinee , big bonus we , consider usual extortionate London car park charge . ask bar staff restaurant recommendation end Benitos ( ? ) - nearby fabulous ! proper old fashioned intimate family run italian restaurant . also enjoy good lunch Earls Court Tavern . look forward return July . 
 Mar 12 2006 	 Great Hotel 	 Disregard small space enjoy clean , well - maintain , professionally staff hotel . would definitely recommend hotel other . nice breakfast lot choice . great value money one expensive world . good central location close underground . 
 Mar 10 2006 	 ok . 	 would agree reviewer indicate hotel somewhat overrated site . first room extremely small ( even London standard ) , let cold wind blow shut window somehow , situate orange light outside shine room night feel sleep giant pumpkin . change room upon request , however . wireless internet intermittent room although plug - in network cable always fine , little inconvenient . positive note business center downstair nice staff super regard . 
 Mar 7 2006 	 Love K+K 	 love k+k Hotel George . stay hotel twice stay London plan stay . area around hotel nice . ton pub restaurant . like area feel crowded touristy area London . hotel also right near Earl 's Court tube station , two main line easy get anywhere . also stay K+K Hotel Paris . would stay K+K Hotel . staff friendly , hotel nice location great . 
 Mar 6 2006 	 Love hotel ! 	 not anything negative say hotel leave 4 short night . everyone say , location key . never London , not sure location outside city center worry . easy get around tube fact Earl 's Court Picadilly District line , get anywhere city ( include airport ) without change train . hotel beautifully decorate . modern clean line . speak clean , room clean well appoint hair dryer , bath product , etc . iron never check front desk need one . we book room United Vacations get flight hotel together . pleasantly surprised learn full , hot buffet breakfast include room . always delicious offer plenty variety please everyone . staff helpful ( help we print train schedule Oxford ) always pleasant . hotel also bar open daily 1 convenient stop pub close . not miss Prince Tek pub 1 block hotel . pleasant people good pub food ( love mushy pea ) . hope get back K & amp ; K soon certainly look european city ! cheer ! 
 Mar 3 2006 	 Nice Little Hotel Great Location 	 family 3 return London spend 4 night K & amp ; K Hotel George . although room bit small , immaculately clean well equip . hotel lovely , quiet street , even though be around corner Earl 's Court tube station . great location . hop Picadilly District line get tourist destination theatre ease . breakfast ample , lot choice ( ask face garden . lovely , even winter ) . not dinner hotel . mediocre several good & quot ; neighborhood & quot ; restaurant within 10 minute stroll . would definitely stay Hotel George . 
 Feb 26 2006 	 Loved - like flat London 	 hotel great , 's neighborhoody location food shop nearby tube street , love . London eight night , five K & amp ; K. would leave book sixth night . move Marylebone area Oxford like nice stay K & amp ; K Earl 's Court area . like tour city day choose one restaurant take near hotel many choice . buy ticket play husband haircut hair blow Supercuts right . great price , homey feel . say deserve , not want book next time 's K & amp ; K , keep room open we ! 
 Feb 25 2006 	 Excellent Quality / Superb value 	 excellent value . although house block former victorian house , intreior totally refurbish stylishly modernise . 's bright cheerful fresh . room large well appoint . comfortable . public area small average size hotel well design . staff knowledgable helpful . breakfast include room rate first class great selection high quality meat cheese bread good cook breakfast alternative . porridge good ! dining room look large rear garden squirrel romp eat . area safe OK will not find many good restaurant . say hotel 2 min walk Earls Court Tube . South Kensington ( one stop ) dozen place eat level quality / price Piccadilly Line zip direct Covent Garden West end 15 min . only niggle bed pillow little soft tatse sometimes everything ! 
