really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Feb 22 2007 	 great place stay 	 great stay hotel 16th 20th February 2007 . arrive EWR choose travel train Newark Penn take PATH train ( $ 1.50 ) World Trade Center 10 minute easy walk Hotel . friendly arrival check , bell boy drag case away , 4 lift 15 floor , rarely wait 30 second . room , well two room plus bathroom , comfortable , coffee making , self - serve minibar charge room take item cavernous safe . view fantastic , worth extra harbor view , despite new build block partially block vista . a tv room , fair size bathroom low wide bath - suit american physique ? hair dryer , two settee , desk , big bed , number restaurant premise . also gym , free use hotel guest . breakfast little frantic busy time , plenty choice , manager 's reception nice thought . subway around ten minute away . lovely walk along waterfront Circle Line ferry ( 30 minute stroll ) Ellis Island Statue Liberty Brooklyn Bridge ( 50 minute ) . pick point sight see bus around 15 min away buy ticket point around 30 min away ( next ferry ) . recommend red bus rather blue one , quite other difficulty ' sightseeing NY ' company ! good buy 2 3 day ticket , hop hop plus Empire State visit ( jump part queue ) other include . Security Empire State Ferries high airport allow little extra time . we feel safe walking , tout major problem . subway ticket $ 2 use within two hour , Metrocard $ 7 give unlimited bus subway travel 3 am next day . get 5 borough ( Manhatten , Brooklyn , Bronx , Queens Staten Island ) . also feel quite safe use public transport . Hope help enjoy stay . 
 Feb 21 2007 	 Loved Embassy Suites ! 	 husband stay hotel Jan. 15 16 . pleasant surprise ! book room direct call hotel . courteous staff , get excellent AAA rate ( $ 233 night king size bed suite ) . hotel new , offer free breakfast evening cocktail . bed comfortable crispy white sheet . bathroom great Bath Body work product . Everytime contact front desk , extremely helpful . also six computer lobby free internet access . everything great price Manhattan hotel class run $ 350 ! minor problem remote control tv would go try switch channel . nothing bad enough ruin stay though ! Embassy Suites Manhattan without doubt 4 - 5 star hotel , anyone want great place stay Manhattan , would highly recommend . 
 Feb 21 2007 	 Weekend Getaway 	 spend chilly weekend Embassy Suites . good deal include parking . Manager 's reception lot fun . drink snack , friendly feel . full breakfast include , everything could possibly want . little hectic food good . request get corner room top floor . outstanding view Statue Liberty Hudson River . unfortunately view room block new condo complex might want specifically request room view . room clean , large , bed terrific . completely separate living room ( bedroom door close ) nice nap family kid . one block ground zero , 8 easy block Battery Park Holocaust Museum . truly freeze go downstairs right hotel easy dinner Chevy 's . neighborhood deserted night plenty cab right outside take elsewhere city . parking snafu check . Manager came immediately solve problem . handle well leave say would back . 
 Feb 21 2007 	 Excellent hotel - good position 	 three night ( extremely cold ) early February . highly recommend hotel - especially already ` do ` NY Midtown tourist thing . positioned border Financial District tribeca - great explore area well SoHo - Greenwich Villages - Chinatown . less five minute walk Chambers Street subway ( 1,2,3 , , C , e line ) . right beside Ground Zero site . quiet night - completely non - threatening . good restaurant quite close - try Odeon W. Broadway Devin Greenwich St .. 24 hour convenience store two block along North end Avenue . get breakfast 8 am ` want bit wait - selection great . Manager ` Reception evening also popular . staff accommodate - room well maintain good sized . lucky still view past construction site opposite river Jersey shore ( Room 930 ) .Booked hotel website - £ 100 pn incl taxis . 
 Feb 20 2007 	 Sweet Embassy 	 never stay one Embassy Suites chain experience Embassy Suites New York would hesitate repeat customer recommend friend . stay number hotel New York , include Waldorf , Soho Grand , Parker Meridien other , honestly say amount pay Embassy Suites able find comparable hotel Manhattan . room , basic suite , living room minibar , mircrowave , tv etc large bright bedroom well functional bathroom granite counter . consider decidedly pokey room use NYC fantastic amount space - fact far large tiny studio apartment many friend live city . addition room keep beautifully clean , bed bed comfortable . number restaurant within build hotel , well great many within short walk cab ride . perhaps reservation , entirely matter personal choice , hotel 's location slightly quiet look stay lively neighbourhood . amenity could need nearby , Battery Park / WTC area , like financial district , rich exciting area culturally speak . area 's upside safe short cab ride tribeca , Soho Village many far preferably option many overprice slightly grubby hotel area . all , stay good hotel town like Mandarin Oriental - Embassy Suites acquit admirably . will not get frill four five star comfort value money unparalleled . 
 Feb 20 2007 	 Theives Embassy ! ! ! 	 three friend stay embassy feb09 feb12 ... entire stay leave & quot ; disturb & quot ; sign door . however , housekeeper name KELLY sixth floor come room first night comment do not know anyone , going drop fresh towel .... second morning ... good thing keep chain door . really do not bother think anything . check monday morning . rush ... forget one small luggage contain make - up , medication ( need daily basis ) , lot money . half hour , noticed forgot hotel call go room pick could return . head security name ernest say nothing leave room . return hotel look . question housekeeping . KELLY first respond have not time yet clean room have not go room yet ( suggest must take ) . ask go room . soon walk room , notice $ 10 tip leave coffee table go . obviously someone room ... mention miss tip ernest that s KELLY admit go room right check grab tip . ernest say would investigate situation interrogate KELLY figure happen . never call back . call , response do not figure anything new story KELLY previously give . result .... luggage never retrieve . TRUST HOUSEKEEPING HOTEL ! ! ! ! ! make use safe u leave room ! ! ! 
 Feb 18 2007 	 DISAPPOINTING ... completely underwhelmed 	 often refer site hotel review experience find time comment mark ... time feel like hat must go another property ... could possibly place people describe site ! arrive hotel evening find room type reserve available . put another room promise change folowing day .... find staff rude indifferent apology offer inconvenience .... despite hilton gold member ! ! . also notice field series complaint disgruntle guest desk indifference .... start worry come . the room typical embassy suite ( basic ) room exception furniture seem worn brownish / rust colour stain carpet . also work room next door ( MIDDLE NIGHT ) call front desk ( take three call pick phone ! ) say would see could ... two hour later 12:30am noise next door stop . the room remote control TV ... call reception remote . say would send someone ... wait hour , call , say someone way ... show time noise next door stop ... unbelievable ! really seem air complete disorganisation propertyonly one two phone room work internet work .... attempt call assisatnce one pick up . beware build construction front hotel MAJORITY room previously full view hudson face construction .... next morning go front desk ask toswitch room ... say would possibly able switch 3 pm afternoon leave pack bag door move ... give experience lack responsiveness decide risk anymore mishap , check go another hotel . postive side embassy great fitness facility free breakfast morning quite good neither opinion stellar enough compensate poor service . return ... much well experience Le Parker Meridien , Sofitel , Rennaisance , Palace , Benjamin HIlton 
 Feb 16 2007 	 great place stay NYC 	 stay Embassy Suites New York 2 night Feb love it . staff - extremely friendly particularly , reception concierge . location - 2 min Ground Zero , 8 min metro , overlook Hudson ( although build apartment front block room ) . Great Century 21 , Battery Park , Wall Street . Facilities - Fantastic eat breakfast fully - cook , pancake , omlette , cereal , bagel toast , fresh fruit . free drink nibble every night . massive room ny , clean . hotel really quite funky , restaurant cinema complex . in word ( two ) - stay ! 
 Feb 15 2007 	 Great Manhattan family hotel 	 stay hotel recently read review site . hotel great . room microwave fridge safe . breakfast great fill day . red line 1 station far . evening manager 's reception great . 2 free alcoholic drink free soda . clean , friendly good experience . stay . want try location . 
 Jan 20 2007 	 Loved ! 	 suite room microwave fridge . fantastic complimentary breakfast set day , everything could think of . a great idea free bar 5 - 7p.m downside close seven hotel pretty quiet . not lot go night downtown & quot ; Buzz & quot ; 2 dollar metro ride away . great location Financial District , Battery Park , Liberty Island South Street Seaport . highly recommend Hotel . 
