seriously 	 1st trip Las Vegas , stay Harrahs . gamble enough Atlantic City New Orleans room Vegas compe . check , go room discover view dirty pipe brick wall . go desk ask room change . tell desk clerk already upgrade junior suite ( news ) nothing available . cough paperwork hand back . check Monday afternoon leave Thursday . not spend one dime hotel / casino - go Bellagio spend ton money - service impeccable . 
 little disappoint 	 stay Harrahs whenever Vegas always satisfy . however , four night trip 46th wedding anniversay little disappointing . arrive around 11 tired flight luggage we . tell could get room 3 pm . ask anything available tell yes want upgrade . think extra money pay fact second year stay Harrahs anniversary mention many time stay would get pretty nice room . disappointing room ever . must small room hotel swimming pool outside patio door must upgrade . disappointed . thing noise room next door continue night long two night ( swear , cry , scream tv ) . 1st night could request move think maybe people would go next night . nope . one isolated incidence . really like Harrahs hopefully well experience upcoming stay . majority staff gem . 
 not stay HOTEL ! 	 start .... thousand dollar worth item steal room . door close lock properly ( video evidence ) security guard came make personal call room right front we . majority staff deal either care keep reffere us & quot ; Risk Management Department & quot ; seem comprise one man work 2 hotel . tell charge thing room clothe steal nothing wear . buy clothe tell could charge room . also tell would take three day & quot ; third party & quot ; review evidence . upon return home discover security guard never file report holiday . month half since incident nothing do . call hotel nearly daily update . one man say check lose find could find suitcase .... really ? MONTH later ? wow ! want compensation steal item somebody fix door . also , instal camera hallway elevator might help theifs can not come detect . not beleive security information find pamphlet room outdate , security manager tell we ! ! ! contact CEO run Harrahs among thng currently speak well business bueau Las Vegas . could write would take forever . not stay hotel , be good something bad happen ! ! ! ! ! 
 Jun 19 2009 	 good location poor service 	 stay Harrah 's June 7 - 10 . give room 16th floor although reservation request room low floor . June 8 necessary speak management receive extra pillow . one day departure soil pillowcase leave top cosmetic bathroom . although location hotel good , security visible . several night observe young man loitering near elevator . 
 Jun 17 2009 	 so'so stay Harrah 's 	 girlfriend stand Harrah ' June 7th till 11th quick getaway fun sun . Harrah 's get pretty much pay average hotel good price 40 US night . pretty good thing stay Harrah ' one location amazing , Harrah ' pretty much center strip want go gondolas venetian see fountain Bellagio ' short walk monorail stop away . secondly contrarily people say feel price restaurant pretty reasonable . eat Toby ' two occasion meal well drink come 35 dollar less occasion , " 12 dollar two pitcher beer great deal drinker " check breeze arrive 10 am room ready we get free coupon see Mac king " purchase drink show " . room pretty small true ' Vegas need stay room long period time . bad , pool terrible . definitely go close pool soon change lining floor ' lumpy fall apart top pool area extremely dirty . stay four night go pool every day tan bloody bandage right next step pool day check till day leave . also go use Jacuzzi nine thirty one day find cup beer bottle still lay around night pretty gross . room stay seem lack plug want charge cell phone would either unplug something charge bathroom . already book room Harrah ' beware check credit card statement . Harrah ' ask deposit checking room service incidental receptionist say either give two hundred dollar cash credit card charge one hundred dollar day incidental , hotel hold check . needless say give cash find two day later take money card anyway , go downstairs speak supervisor twice fix needless say big headache . overall hotel average would say average ' terrible pool area . 
 Jun 17 2009 	 good 	 coffee pot room , would nice , ( stay last time Planet Hollywood , thing coffee pot ) , would nice one provide . leave time cleaning lady , keep ask leave conditioner , not would replace use one . cocktail waitress seem casino , rare , noticed table always one , machine player spend much table player would nice see cocktail waitress . overall hotel reception helpfull question . 
 Jun 16 2009 	 expectation 	 husband stay Harrah 's 6 night June 9th thru 15th . stay Mardi Gras Tower , clean small . upon arrival update newly - remodel room , flat panel tv , nice bed safe . get view air conditioning unit brick wall . really surprised see dresser space , drawer room storage two bed - side night stand tiny set drawer closet . bathroom nice , flat panel tv , need ammenity Vegas ? bathroom long need , due loud noise vent make turn bathroom light . 5th trip Vegas 4 year . love city really nice hotel . definately stay Harrah 's future . 
 Jun 16 2009 	 would not stay . 	 husband stay June 9 - 13th . hotel average well . Stayed Mardi Gras tower 14th floor . clean , small . bare bone .. hotel extremely crowd noisy . carnival court offer nothing loud music . find miserable even sit sadly place sit outside pool area even good enough call blah . could pick Flamingo price . see Flamingo tell make huge mistake .. good thing hotel location . be middle everything . want place lie head , would ok choice . 
 Jun 15 2009 	 clean room great location ! 	 book package Allegiant Air not choice upgrade room , thereby stay & quot ; classic room & quot ; Carnival Tower . room not small , two queen bed , small table two chair . view window not anything special ( parking garage ) not mind . bed not uncomfortable not pillowtop either . sheet , carpet bathroom clean 's matter . a / c keep room comfortable temperature plenty hot water shower although pressure not like use home . smoker notice room smell like smoke soon walk door . would bother non - smoker . however .... wall thin . hear neighbor come room every morning 4:00 4:30 would wake we . would talk laugh loud would wake could not get back sleep . would hear maid roll cart morning knock door several room . casino little confusing mother - in - law stay one small area would not get lose . well light bright day not feel like play dungeon ( like Rio ) . cocktail waitress non - existent noon around time . dealer friendly ( exception one ) entertain . Cafe ' two steak special not bad , reasonably price . amazed number young adult stay . get tired see scantily dress young female 's personal opinion fault casino . boyfriend , could not go , would love . : - ) check fairly fast . 5 people ahead . checkout extremely fast one line . one problem bill 's want charge $ 4.31 bottle water neither we drink quickly take bill question ask . would definitely stay . 
 Jun 15 2009 	 convenient location 	 get back stay ... June 10th thru 13th . upon check 8 : OO p.m. conventially tell room not ready ! ! ! offer upgrade room addtl . $ 10 per night ..... upgrade we CHARGE ... ! state would balcony , etc .... BALCONY view horrendous building ... view ... ! ! ! wall room paper thin . Heard & quot ; carnal & quot ; noise room next door . need upgrade ventilation system casino area .... ! ! ! horrible issue 's smoke . go Venetian totally diff . -- smoke issue ..... say piano bar fun .... location convenient though ...... ! 
 Jun 14 2009 	 horrible experience ! ! 	 bad experience regard Harrahs property ! offer COMPED Premium Executive Suite get hotel tell available , tell would give premium room . unexceptable eventually half hour complain deal hotel manager give suite . Suite ok frustrated . eat Toby Keiths Bar Grill disappointed , way overprice great ! Cafe also good overpriced cafe . topper get home notice $ 98.10 charge credit card room not stay , day refund money . ' m process get money back pursue be refunded . never stay Harrahs property ever 's unfortunate becuase stay HArrahs Reno always treat good , Harrahs HUGE disappointment ! ! ! ! ! ! ! would never recommend place . 
 Jun 14 2009 	 well many well 	 place sort generic feel . nothing sexy exciting . pool gym actually big hotel 's . Carnival Court cool food decent pricey restaurant visit . machine tight . 's clean hotel employee seem eager please dose not & quot ; POP & quot ; place middle strip . 
 Jun 11 2009 	 much much Nicer Anticipated 	 first time stay Harrahs book 1 night ( case not like ) rate $ 39 cheap room . cheap expect . thing bothersome wait check . must 20 we line 2 reservation clerk . person check take least 10 15 minute not blame clerk stupid people ask hundred question ! finally , someone Diamond desk came take 5 us desk . not really save time tell Diamond member receive special care . ask room away Carnival Court bar receive room Carnival Court Tower . , nice room new furnishing except tv . first room mini bar course not dare use . 2 queen bed bed spread glad . bathroom large nicely appoint nice toiletry . tile look new . one thing impress way room door close . close quietly bang sound . excellent invention ! pleased room overall would stay heart beat . far casino go , play slot quite long time little money . drink service excellent . CW make round quite often course tip accordingly . next time stay 1 night . 
 Jun 10 2009 	 Bad 	 stay Harrahs 7 night . book premium room Carnival Tower view strip online . mainly want stay location strip . arrive , tell we room not ready yet . ( almost 4:00 afternoon ) could put we one & quot ; renovated & quot ; room Mardi Gras tower flat screen tv ( view strip ) . also tell we stay renovated room , would overlook pool Carnival Court bad thing Carnival Court play loud music 3:00am hear room . tell would wait room book . seem make offer everyone check . hear tell several people thing . try make sound like get upgrade take renovated room case . room definitely low quality . also , check , long line 2 people working desk . first thing notice walk hotel strong smell cigarette smoke . hotel air freshener flow thru vent not notice smoke much Harrahs smell cigarette smoke overwhelming . would take shower morning soon get lobby smell like cigarette ! room Carnival Tower nice . nothing special , nice . room overlook pool ( really could not hear music Carnival Court ) . room suppose strip view room really could not see much strip . bathroom spacious actually decent water flow shower . bed comfortable . housekeep great job . pool need update need chair . eat Flavors Buffet food good . also eat Cafe . food good service sloooow . they great steak shrimp special afternoon $ 7.99 Toby Keith 's Love Bar Grill . eat , well hurry . get stop someone lobby want we go 2 hour presentiation time share Wyndam Suites . go presentation give choice $ 100 gambling money , $ 125 food voucher use restaurant / buffet hotel own Harrahs ( Ballys , Paris , Rio , etc ) show ticket . go presentation take $ 125 food voucher . give we 5 amount $ 25 . use whole amount not give change back . food voucher well worth time spend presentation . Food Vegas cheap ! also give we two 2 1 buffet coupon . want internet service room pay $ 11.99 24 hour . business center pay outragous price internet well . everywhere go Harrahs hotel , someone try stop sell something . get pretty old . overall , hotel ok . would lot well not smell like smoke time . 
