agreeable 	 locate nicely midtown easy access subway . lots selection eat shopping nearby . construction lobby minimally inconvenient . room clean well proportion , staff friendly helpful , even NYC . 
 Staff wonderful remodel underway 	 large group famile jump roper Macy 's Thanksgiving Day Parade . Staff get we room long bus trip always help detail . hotel undergo remodeling ( need many NYC hotel ) , clean comfortable . internet free lobby warm cookie available time bonus . busy time person receive individual attention service . Hilton standard , realize construction go , maintain . staff helpful take care need . New York hotel room small fact life . clean important group complaint . 
 Location good -- -but 's ... 	 always try stay Hilton chain .. hotel old run . construction take place Nov 30 , probably good thing . room really small sure hot . NYC , hotel turn AC winter . 1 choice , heat open window . noisy horn blow etc .. staff excellent one thing bad breakfast .... chef consider career option . restaurant business , could not believe put .... cold bland ...... wise , location great .... 
 Sep 23 2008 	 great rate great location can not wait go back 	 plan trip NYC last minute ( three day notice ) get great rate Doubletree Midtown . subway stop ( 6 ) right outside front door - take AirTrain JFK E train connect 6 station . the place obviously good business - always bustle lobby . use self check kiosk - problem ( though talk desk clerk might got we room high 2nd floor near elevator ) . Room recently redo big non NYC hotel rooom . really . lie . big room . bathroom redone , clean stylish ( thank sunscreen , ) . even proximity hall traffic , quiet . some people complain NYPD NYFD right next door - siren not loud room else city . Booked Hilton website AAA discount - 220+tax night Fri - Sat stay . will definitely go back . 
 Sep 21 2008 	 Great Location Helpful Staff 	 stay one night late August . location beat . underground stop ten foot front door provide easy access Yankee Stadium , WTC site , Village . hotel cool neighborhood walk around bad walk Central Park Met . room spacious , although bathroom small . , similarly price hotel area would try first return . however , would not mind stay all . staff also helpful question ! 
 Sep 21 2008 	 great location great staff 	 first trip NY birthday surprise god daughter 18th birthday . I spend long time internet reviewing comment number NY hotel end book Doubletree . send little note manager say much look forward stay request quiet room away fire station . our room spacious 2 x double , bed comfortable ever sleep . yes view window brick wall , room quiet dark night . bathroom be not big shower great go ny waste much time bathroom . a birthday card , cake complimentary breakfast voucher also wait we wonderful surprise . staff friendly helpful hotel situate within walk distance main tourist spot . we problem extra item bill mini bar , fridge sensitive , problem get bill ammende . would definately stay understand comment make . maybe people incredibly fussy ! ! ! want start trip limo airport Grayline Limos great , despite plane 2 hour late , large white limo ever see ! ! ! ! helicopter Manhattan Helicpoters might bit expensive do not pack like sardine go time bookedclaire 
 Sep 18 2008 	 Housekeeping terrible 	 stay surprised duvet cover duvet cover wrap sheet go round duvet . find strange resulted sleep actual duvet rather cover find unhygienic . housekeeper give extra shampoo product shower either second day stay give replacement facewash , consider much pay much ask able shower second day give handluggage restriction bring shower product . Laundry also leave floor 11 am late day get stick lift first day stay door would open floor . I would stay . 
 Sep 15 2008 	 would stay 	 go New York City December Christmas weekend shopping . free night bank hotel . reservation trouble check , however desk agent work hard able help we comp would breakfast next morning , appreciative . hotel great location , near subway far many attraction . state previous review , room pretty small , suffiicent . flatscreen tv nice could not hear anything hallway ( stereotypical NYC siren however could hear ) . breakfast ( $ 25 / person value ) joke . get free breakfast Holiday Inn Express ' similar . free , not complain . parking ramp next door not expensive overall great say Manhattan would stay . 
 Sep 15 2008 	 Good Location 	 good location main attraction - subway adjacent use yellow cab walk place . hotel room adequate ( king size ) clean although next lift request move well receive - alternative offer even less attractive . many friendly face amongst staff general New York attitude & quot ; take leave & quot ; dominate . breakfast include deal good buffet selection plenty option locally cheap price . not bother concierge service unless wish pay premium theatre ticket airport taxi service . get room extension till 3 pm day departure extra cost - anything later charge full day rate . 
 Sep 11 2008 	 New York ...... amazing place . 	 go new york 5 day trip anniversary , average hotel , lobby nice clean , check efficient , good location . room average nothing special . breakfast , well eat one great cafe nearby . tourist place within reasoable distance . overall average , must well hotel price tag , would stay . 
 Sep 6 2008 	 okay 	 husband go 3 day getaway NYC . want find relatively reasonable price hotel clean good location . hotel moderately price figure Doubletree name good . the location good . good cafe quick reasonable lunch breakfast locate adjacent hotel . room disappointing . gym smell . get move , next room . point , alternative stay . fitness center also poor . wi fi available free , need use lobby . cost use room . overall , would recommend hotel . 
 Sep 4 2008 	 convenient stay Double Tree 	 stay double tree 3 night labour day weekend . cost we 730 dollar , think fair hotel . room clean terribly outdated complain , see quick fix & quot ; renovating & quot ; room . stay room 604 , face lexingon could hear noise street , loud enough keep night . also agree bellman pushy . find reception helpful , get we 2 three room arrive 11 am , long checkin time ( 3 pm ) , also tip , 30min later call say last room ready upgrade queen king . one thing not like cheap hotel . want pay everything , bottle opener , use fridge room , internet service . consider not low end hotel , would think could bend offer complimentary service . checkout extremely simple , not speak anyone . overall great average hotel stay , complain must pay , feel New York City , get money 's worth . 
 Sep 3 2008 	 average 	 average experience . small outdated room fix several time year . would stay get great deal planning spending little time hotel . 
 Sep 2 2008 	 Great Location room good .... 	 yes , location great . ........... hall carpet look dirty , room need update . spend 3 night , luckily spend little time room . warm cookie nice - not even touch mini bar snack ... charge touching ! probably would stay - price cheap know ..... need attention . 
 Sep 2 2008 	 less DoubleTree 	 great location right accross street Police Fire station . ask moved room tell could . never even ask twice Hilton Honors Diamond member . one day maid fail clean room even tell have leave . room service close 11 pm seem unusual 24/7 city ! offer breakfast thru executive lounge morning , basic surprisingly sparse food choice . 
 Aug 21 2008 	 Striclty ok need refurbishment 	 stay hotel Sunday night . got rate $ 280 inclusive . room pretty small that s par course NYC . rate decent consider New York . Located Lex Ave 51st St . subway station next door city accessible . hotel desperate need renovation . room must least 10 year old . less say bathroom well . hotel overall chaos . walk lobby people wait everywhere either check check . lucky stay 1 night . check 9 morning need keep store luggage finish meeting . charge $ 1 per bag check another $ 1 collect ! ! ! ! mean know NYC charge almost 300 buck can not keep bag free ... show cheap mentality hotel NY . return rental car pick bag take almost half hour find luggage store . luggage keep completely hapazardly . overall inexpensive place stay SURELY doubletree standard hotel . 
 Aug 20 2008 	 great location staff ! 	 wife take kid free getaway New York soon arrive hotel , glad select . greate smile everyone helpful . arrive train around noon even though check 3 pm , get right nice clean room . 7th floor face Lexington problem noise . concierge helpful get around town dinner suggestion . hotel 2 block e train 1 block 4 train super easy get around anywhere want go . 20 minute train Yankee stadium 10 - 15 min walk 51st st theater . nice area feel totally safe even walk around late night . warm cookie nice plus long day walk around . would stay ! 
 Aug 18 2008 	 solid choice Manhattan 	 stay 1 night quick one night business trip . colleague ( be Hiltonhonors diamond ) stay across street Waldorf pay $ 200 . would call hotel solid 3 - star . show age little thing consider critical great , fast elevator , excellent fitness room ( new equipment , early morning access , water / towel available ) , easy ck in / out . good lobby bar also ( course Whiskey Blue & quot ; W & quot ; right next door also ) . definitely look property next trip . 
