vile 	 book three night hotel , trip celebrate good friend 's birthday . want stay somewhere downtown , park car enjoy Fremont Street attraction foot . choose Plaza location price : big mistake . the warning sign early , start disgusting garage . check , order non - smoking room , tell smoking room available . elevator groaned squeal go , shudder shake stop floor . open door greet unspeakably awful smell , like mixture cigarette butts , vomit Lysol . flick light switch , room remain dark . enter , foot hit something metal send flying across room . ( turn large steel kickplate vacuum cleaner . ) grope around room find bathroom , turn light . fluorescent fixture flicker buzz life , find wish still dark . ' ve travel world , include third world region Asia central America , ' ve never hotel room disgusting . wallpaper deep yellow cigarette smoke , peel every seam . bathroom tile moldy crack . carpet dirty could barely see pattern wide variety dark mysterious stain . everything room ( lamp , phone tv remote , table ) sticky gooey residue , desperately hope not kind bodily fluid . open window try air foul stench , hinge open inch . I immediately call another hotel ( Golden Nugget ) make new accomodation . sadly , nothing available night bed one night Plaza . use toilet paper ( box tissue provide ) grab toss DNA encrust bedspread corner , pull back cover . sheet ( miraculously ) seem clean , settle night try ignore awful smell . bed rock - hard , strange crunchy feel sound , though mattress contain layer pebble . ( probably dry , crunchy foam rubber . ) try think pillow , variety mite pathogen surely contain . in morning , headache sore throat , inhale smell night . want IMMEDIATELY , hop shower . wonderful , hot water ! ! ! faucet sink work ok , clearly shower valve defective . ice water shower , way would walk around vile carpet , wrap hand towel around foot shuffle around shave dressed . seriously people , joint disgusting beyond belief , wretched petri dish filth . room fill head depressing thought , last thing want wake ... everything scream & quot ; flophouse . & quot ; deserve well . 
 Bad Stay 	 look cheap hotel get pay , hotel . Beds super uncomfortable , room look like use lot ... kinda gross looking . Buffett nice cheap guy like $ 2 beer . bus ride strip , close would like . 
 good cheap hotel 	 great hotel big room , great low price 
 Mar 31 2008 	 Great Location 	 get back 3 night Plaza despite read & amp ; place , great time . group 4 room ( 3 adjoining ) North Tower . room clean reasonably well - appoint , although worn . room size decent & amp ; staff accomodate . note : bring HAIRDRYER . Vegas , 60 's style . extras frill . in - room coffee maker . be look fun , affordable spot downtown , . never feel ill ease uncomfortable enter leave property , even late night . hotel security & amp ; Fremont Street security nice job . buffet decent & amp ; Subway & amp ; McDonald 's onsite come handy . coffee shop staff bit pokey & amp ; line get long a.m. , , pleased & amp ; would return Plaza . fun ! 
 Mar 30 2008 	 be ok ... 	 price reason stay March 21 22nd . book deluxe room fear standard room . believe ninth floor , view Main Street Station . the room large . old wear out . Carpet dark stll look dirty . bed , hard , pillow ok , sheet clean . bath vanity outside bath toilet , good shape , clean , caulk clean . bathroom small . Bathtub not drain well . new rubber mat bottom tub . mold spot tile . tile floor stain scratch . our toilet run night , hard flush . room quiet except toilet running , shut door . train run right behind Plaza , noisy . room ok two night . would probably stay rate weekend , switch Fremont week , cheap , do . it be right next Greyhound bus station . Plaza Seattle 's Best Coffee , McDonalds . 
 Mar 28 2008 	 decent price decent room 	 go group friend decide book inexpensive room save money activity ( like lose blackjack table ) . Booked four room next Plaza reasonable $ 80 piece double queen option . pleasantly surprise overall size room , one big enough fit everyone party ( 9 total ) comfortably watch early morning college football game . combine open attach door room , make vary spacious environment everyone relax . bathroom rather small though strangely architecture entryway narrow regular door 's width . location pretty good , end Fremont Street ... not try pool , tennis court gym can not comment . casino little small side large variety table game , ajoine casino offer respite gambling vice . not try internal restaurant , recommend make trip Planet Hollywood Casino 's buffett ... , good opinion expensive $ 28 per person . fun weekend trip guy would stay another deal come . 
 Mar 25 2008 	 bad people write ! 	 stay . one historical hotel Las Vegas , next greyhound station Las Vegas downtown . location pretty good . room large , even Vegas standard , little bit run still ok . find front desk helpfull . room cost 33 usd buffet 6 usd good quality alltough 's small limited choice . price breakfast , lunch dinner same . yes be little bit run pool , allthough large , not look attractive . be really good value money . 's boring hotel , yes , traveler low budget excellent choice . 
 Mar 25 2008 	 Absolute slime 	 wow . need room night , book morning flight unexpectedly . place choice , think would good enough . wrong . dust everywhere , rip carpet , tear wallpaper , water / urine stain hollow - core bathroom door , 17 & quot ; tv poor clarity , break window , cigarette burn bedspread , dust / food crumbs / dead spider beneath head bed night stand . lobby duct tape hold carpet together . kid ? usually stay 3- 4 - star place business , drive cross - country stay dive New Mexico , west Texas , midwest , never experience filth . shower leave ( moldy - tile shower ) , feel need one leave . even plane morning welcome respite filth place , say airplane , something wrong . 
 Mar 23 2008 	 Old decrepit 	 travel long time rarely ever complain hotel . however , make exception case . list 3 * expect clean , well keep amenity . well , not many amenity , also terrible condition . room poorly light old carpet reek cigarette smoke . bed uncomfortable bathroom although clean small could barely towel . hallway also terrible condition . fact , door scratch mark like domestic disturbance take place puke stain carpet throughout hall . expect much stay give condition way little doubt Plaza would ever advise anyone spend time money . 
 Mar 2 2008 	 good ........ 	 stay Plaza Feb 21st thru 24th . Vegas club previous 5 night would stay deluxe room Plaza much cheap . check go room . dump old standard room . like 15 year ago stay . ask view none pay extra deluxe room include fridge . room fridge . call front desk tell deluxe room . see pictures website room new furniture . finally go back front desk give new room 8th floor overlook Freemont Street new furniture fridge . pay standard room would complain try lie we give we pay . anyways room pretty nasty bathroom small almost take shower sit toilet . sink shower leak constantly . could use a / c heater blow much dust whatever . one night come back early watch movie do not even . shower sound like jack hammer try get hot water . least bed pretty comfy . Maid service good also bellmen friendly quick . room paper thin wall man next door cough night keep . free room offer June since property owner Las Vegas Club go instead . even free do not think would stay . 
 Feb 27 2008 	 HMmmm not settle get . 	 book hotwire , spose & quot ; 3 & quot ; star hotel , WOW ! wrong . maybe 2 star , fact ' ve stay Motel 6 be well . customer service ? eh , average good . room ? South Tower , stink , moment step inside moment leave . however , north tower actually smell look clean . odd , true . attach & quot ; viewing & quot ; pleasure photo first room get photo 2nd one . huge difference . average ( minus Fri Sat night ) 38.00 hotwire charge we 49 per night . not impressed accord hotwire , 3 star hotel . NOOOOooooo . fitness room pathetic limit . pool CLOSES 6PM ! will let picture describe rest . oh , 12.95 internet access room . side note , GREAT location Freemont street . first room disgust front desk change room North tower . MUCH clean , Much Nicer . NT afraid stay NORTH tower . safe neighborhood 
 Feb 25 2008 	 Front Desk Clerk Lier 	 make short sweet . book room 3 month advance simple request king , non - smoking , view Fremont . Front Desk Clerk lie say room fill request . take key view room say way . go back downstairs speak supervisor every request grant . hotel info= wear , tape carpet , smell smoke , parking garage elevator scarey . I love old vegas feel past time renovation . not pay penny $ 50.00 stay warn hairs towel rice bed sheet . positive note quite supervisor duty . 
 Feb 19 2008 	 dump ! 	 hotel definitely substandard way . staff say renovate 15 year . carpet wear , dirty , threadbare patched duct tape throughout hotel . book three night give room South Tower . room small well appoint . wall paper peel strong smell disinfectant bug spray . heater / AC unit extremely noisy . bed pillow substandard also . next morning ask upgrade well room move we & quot ; deluxe & quot ; room North Tower . room marginally well still small shabby . bathroom dark stain bubble wall old water leak . room tv channel selection woefully inadequate internet service unless wireless willing pay hefty fee . bathroom small counter space . room amenitites hair dryer , iron , iron board , coffee maker , etc . addition , room noisy -- - could hear door slam , people yell , loud music , outside street noise , etc throughout night . totally unhappy stay . also please downtown location . next time pay stay Strip . 
 Feb 4 2008 	 absolutly bad Hotel ever stay 	 travel 200 night year , spend night hotel . recently Vegas furniture show , plaza close property show . despite mixed review think would give shot base low cost . I never ever stay gross place . the sheet wrinkle ( doub't change ) bed spread multiple stain . literally path worn carpeting bed bathroom . appear room never update . bathroom disgust dirty shower / tub soap leave previous stay . multiple light bulb burn take one two three call front desk period 4 hour get light ! ask possible room accidentlly skip ( give soap , sheet , lightbulb .... ) house keeping , assure . would rather hear skip , human make mistake time ! , would rather stay Fitz , Four Queens , Golden Nugget , Las Vegas Club Fremont hotel look downtown location .. 
 Jan 23 2008 	 great stay ! ! ! 	 GREAT ! ! ! wanted & quot ; FREMONT EXPERIENCE & quot ; get ! staff wonderful ! doorman cab help know go . book standard room .. expect much friend get strand upgrade suite ... two bed two bed room along w/ living room w/ dining table Tv room ... let tell .. feel like princess ! be not expect alot old building .. check Bellagio suite nice . bathroom small stay toilet long , right ! VEGAS ! read review carpet look old ... Bellagio 's rug .. think people hundred people stay ! ? say enough much fun Plaza .. eat 777 7.77 buffett .. everything see expensive Hotels admit taste & amp ; even well item ! walk main door Freemont street . easy acce everything . main strip fun goodness walk good time , Plaza already . Viva Las Vegas show great dancer wonderful chic w / her magic show super .. old guy dress like cowboy well see 6 day stay Vegas . say want fabulous time Vegas budget far BEST place stay . always take trolly / bus new part Vegas ... downtownis place dig wonderful time w / out worry spend food etc . make reservation dec 2008 bring Husband time ... 
 Jan 23 2008 	 never ! 	 stay many hotel Freemont save money Lady Luck Golden Nugget old hotel keep clean comfy . time decide try Plaza hotel Main street . directly infront freemmont . bad hotel / motel ever stay . visit Vegas four time year california . love city . hotel depress scary . understand old hotel excuse room dirty . mold shower could clean cauking . wallpaper fall wall , rip fall . easily fix . big water stain wall bed , u can not miss . cover atleast picture frame ? r thing make room look nice scary little money . know , work old nice hotel Palm Springs , Caliente Tropics . elevator parking bad shape . make horrible sound bounce much , not feel safe . next time rather spend extra buck stay strip . never expose stay dump like . even husband say look foward go back hotel room 3:30am , always look save buck . bad . trust . 
