nice 	 pro : - outstanding location Embarcedero Drive across Ferry Building- Large & amp ; Beautiful Atrium- Large RoomsCons : - room date , wear out- Bathrooms clean- Service adequateWe stay Hyatt Regency city would like say nice hotel , quite worth price stay . initial impression hotel good , incredibly 10 + story atrium hang light global ball greet we . hotel location superior close walk chinatown , Financial District , Fisherman 's Wharf . however check room , must admit room sub - standard Hyatt Regency hotel . big problem old , worn look feel room . carpet stain rough -most likely not replace . bathroom fixture old eyesore . old fixture noticeable hair bathroom not leave positive impression . not help dim lighting bathroom entry way not give room & quot ; bright & quot ; look . bed sheet rough typical & quot ; fluffy & quot ; high - thread count linen . room really big downer . not try many on - site service except fitness room bare couple treadmill recline bike light weight . new Stay Fit fitness center not open time fitness facility could well next time . for dollar 's worth , would not recommend Hyatt Regency . reason , would want stay location be pretty much . 
 Jun 28 2008 	 Adequate 	 complete 4 night stay Hyatt Regency find ok far accommodation , less - than - stellar customer service . check - in bumpy . reservation Regency Suite . make online res call 800 # confirm king , 1br suite Regency Club access . confirm . upon arrival , Regency Suites rename club access . accord desk agent never ( kind confusing .... good thing be rename ! ) . club access main reason pick Hyatt hotel month research , confirm reservation include , able talk manager provide access . initially , tell would significant amount extra per night ( $ 75 ) top $ 400 per night already pay . doubt husband could drink $ 75 worth coffee soft drink day ( alcoholic beverage honor bar system fairly expensive ) . , ultimately right thing , take lot unnecessary back forth get feel think try get away something really want have promise . the room ...... one BR suite chop . BR king bed desk , master bath separate tub show huge window next tub nice . small bathroom toilet sink small hallway living area BR . live area generous size include balcony span entire length suite great water view 11th floor location . suite recently remodle modern asian feel , dark ( lot black grey ) appear do kind cheap . upscale thing flat screen tv 's nice . Suite clean maid service do fairly early day nice . club room ...... newly remodel top hotel former 360 degree revolve restaurant . long revolve ability walk around see view city great ! club room much upscale rest hotel . service seem reserve people . staff bring food drink handful people see day day .... & quot ; regulars & quot ; guess . food good , fresh baked good mostly . new massage chair nice . service ...... concierge forgot make reservation husband 's birthday dinner . not get call back day request , find another concierge take care . say informed restaurant birthday , not hotel certainly nothing recognize . one exceptional concierge name Stacie great suggestion , other seem bothered question . all , clean adequate . nothing place make eager return . would go back Omni heartbeat .... stay two year ago 's true read call name remember time come near desk .... one good customer service hotel ' ve ever encounter . Omni treat like important guest time , Hyatt , much ! 
 Jun 20 2008 	 Nice Hotel good location 	 great location . walk distance thing downtown . staff willing move room due original one locate overlook ice rink due play loud music late evening . room bed fine . par hotel . one warning would share parking hotel outragiously expensive ( around $ 50- $ 60 / day ) . also , staff work budget rental car desk locate hotel extraordinarily unhelpful ( border rude ) close early afternoon weekend force effectively pay overnight parking hotel ( unless find street parking ) , note , extremely expensive . 
 Jun 19 2008 	 want teke shampoo compensate -- great location 	 start positive . beautiful lobby central space . great location perfect San Francisco visit - close ferry terminal , beautiful public space nearby , walk distance downtown , Chinatown waterfront . BART streetcar . many nice restaurant eatery close . Walgreen be across street . lovely quick glass elevator . room pleasing . negative . almost 300/ day expect . business center charge 50 cent minute internet use . refrigerator room computerize minibar put water without getting charge . bed like canoe spouse ; keep rolling center ! daughter sleep alone bed complaint . linen nice bed , wish mattress ! sink faucet almost impossible turn wet hand . would dry hand turn water , get right mix hot cold impossible , hand wet . suffer hot hand washing . balcony space appreciate , not like rail make slotted concrete . , great location , try get deal , take shampoo ! 
 Jun 17 2008 	 Good Location indifferent service 	 like location hotel , convenient Ferry Building California Street cable car . also great happen return Budget rental car leave car front formality quickly deal dedicated desk reception level . I refurbish club room 17th floor . room overlook Market Street fine exceptional . great view Bay Bridge . semi open bathroom shower water temperature hot almost impossible shower . report problem twice stay nothing ever do . mention check - out receptionist simply remove $ 8 phone charge compensation . surprised toweling robe supply , toiletry rather ordinary room information almost non - existent . the top floor Club Lounge pleasant offer great view . staff friendly good range food item offer although rather limited range alcoholic beverage charge . staff throughout hotel make little impression think arrival poor . welcome door staff leave handle luggage car , reception room . overall , one poor Hyatt experience . 
 Jun 15 2008 	 nice location 	 stay conference . staff helpful Atrium quite grand place . room fine - clean spacious . slightly odd smell hotel , probably something cleaning fluid ? hotel close pier everything want see within walking distance . reviewer complain high price breakfast . croissant / bun shop ( ' Les Croissants ' ) across road hotel entrance , would recommend buying breakfast . 
 Jun 13 2008 	 nice place 	 stay Hyatt conference hotel . check late upgrade suite 17th floor $ 219 . view incredible , look SE bay Bay Bridge . room nice -- three tv 's , include one bathroom mirror ( ! ) bed comfortable nice selection pillow . Minibar way overprice , breakfast option hotel . starbuck across street Peet 's block away , go instead . many breakfast option around . service hotel nice . everyone friendly . concierge helpful navigate BART couple excursion around area . the hotel nice walk ( less mile ) Union Square , big shopping district SFMOMA , great museum . walk Market Street several time . the hotel right next California St Cable Car line Embarcadero entrance MUNI BART . access transportation option could easier close . parking hotel expensive . pay $ 57 one night could offload rental car next morning . 
 Jun 9 2008 	 great hotel SF 	 stay hotel one night wedding Ferry Building , love experience . room actually balcony overlook Ferry Building . find room balcony SF hard , pleased . order room service breakfast , great well . would suggest stay San Francisco . 
 Jun 4 2008 	 Great Hotel - New Favorite 	 I ve stay property three time past 3 month . time impressed professionalism helpfulness front desk staff . last trip mother first visit San Francisco . require two queen bed want BALCONY room could enjoy private space sit outdoors enjoy view bay . staff helpful getting room - apparently balcony room two bed . highly recommend balcony room . completely update flat screen tv , bath update - bot totally redone adequate . highlight we newly open REgency Club space situate space previously occupy revolving restaurant . long revolve , offer fantastic panorama view city bay excellent service , food , beverage morning night . staff go beyond hotel succeed create special stressful day . far good Club room ' ve visit within Hyatt chain . 
 May 29 2008 	 well 	 Hyatt Regency San Francisco much well expect read previous review . always surprised negative comment & quot ; average room & quot ; & quot ; old hotel & quot ; . reserve regular room , get , regular room . want something extra , reserve suite . yes , build 30 year ago , advantage . common area much large hotel huge atrium . inside atrium , quiet peaceful hard tell hustle bustle city outside door . the reality Hyatt like every large Hyatt hotel big city . big , clean , staff friendly accommodating . although regular room average size , like Hyatts know , clean , well decorate comfortable . previously state , hotel walking distance Fisherman 's Wharf ( 1 mile ? ) Union Square , ( 3/4 mile ) course BART , bus cable car stop right front door . all thing relative course depend expectation , much pay room . do not Champagne taste beer budget , happy hotel . 
 may 23 2008 	 Central Location excellent staff 	 stay Hyatt Regency five night May 16 . book Priceline give beautiful room 17th floor . staff excellent , professional , helpful polite . Ann , Vancouver Canada 
 May 4 2008 	 Excellent Hotel Location 	 Hotel excellent location close SF Bay Trolley Cars BART station adjacent Hotel . stay Hotel terrible stay Westin Market Street SF , difference huge . this modern construction shake , rattle roll windy sf.the Hotel 's restaurant great breakfast excellent wonderful staff especially reception dining room . its location allow wonderful walk attraction catch Bart . TIP ..... catch BART SF Airport Hotel ! ! ! 
 Apr 24 2008 	 Disappointed 	 check review , generally write love hotel , problem regency beginning . check , despite guarantee king size bed give room full size bed ( yes full queen ) . go request different room tell not anything available night manager would call follow morning . well call , ask morning say manager would call , well never . top air conditioning not work , hot San Francisco weekend , take two day fix . however , hotel beautiful lobby , relatively central location . 
